Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1991,6,24,,21,6000,,10,,,,,,9400,,,23700,,,8.2,,,,,,120,,7000
1991,8,19,,23,3000,10,10,10,31,,,,9200,841,13,28000,,35000,8,,,10,300,,,3,
1991,8,28,,24,2000,,10,,,,,,8600,,,25700,,,8.1,,,,,,80,,1000
1991,10,28,,14,4000,,,,,,,,10200,,,,,,8.2,,,,,,90,,
1991,11,12,,8,2000,10,10,10,31,,,,11000,885,52,33000,,35000,8.2,,,10,530,,,4,
1992,4,22,,6,,,,,,,,,17800,,,,,,7.4,,,,,,,,
1992,4,28,,6.5,7000,10,10,10,31,,,,13800,1150,77,28000,,34000,8.2,,,10,350,,,5,
1992,6,17,,17.9,3000,10,10,10,31,,,,10000,974,39,27000,,36000,8.2,,,10,130,,,3,
1992,8,12,,20.7,4000,10,10,10,31,,,,9600,1280,39,26000,,33000,8.2,,,10,320,,,5,
1992,8,24,,22,,,,,,,,,9200,,,,,,8.1,,,,,,,,
1992,11,4,,11,5000,10,20,10,31,,,,10900,1060,39,24000,,32000,8.1,,,10,530,,,8,
1993,4,26,,5.2,6000,10,10,10,31,,,,14400,1460,52,24000,,34000,8.1,,,10,530,,,9,
1993,6,7,,13.7,7000,10,10,20,31,,,,11200,1900,64,26000,,34000,8,,,10,260,,,7,
1993,8,31,,24.4,2000,20,10,10,61,,,,8600,1110,64,25000,,32000,8.1,,,10,360,,,3,
1993,11,3,,9.8,4000,10,10,10,31,,,,11300,1370,64,24000,,34000,8,,,10,730,,,4,
1994,5,4,,5.1,3000,10,10,10,31,,,,14600,3320,180,22000,,31000,8,,,10,80,,,7,
1994,6,15,,17.4,2000,10,10,10,31,,,,9800,1590,39,23000,,29000,8,,,10,280,,,3,
1994,8,11,,22.4,3000,10,20,20,31,,,,8600,1200,39,24000,,33000,8.1,,,10,480,,,3,
1994,12,14,,5,8000,10,30,10,31,,,,9800,1280,52,25000,,32000,7.8,,,60,1000,,,8,
1995,3,22,,0.5,3000,10,20,10,31,,,,11400,1280,39,20000,,33000,7.8,,,10,1100,,,6,
1995,6,20,,19,5000,10,10,10,31,,,,9600,1110,52,22000,,32000,8.1,,,10,280,,,3,
1995,8,10,,24.6,2000,10,20,10,31,,,,7900,708,52,22000,,31000,8.2,,,10,460,,,3,
2014,8,11,,22.4,,4,8,,12,,2600,,8900,471,27,22500,,33600,8.2,,,2.2,152,,,4,
2014,8,12,,22.5,,4,11,,12,,2500,,,521,33,22400,,33900,,,,2.2,193,,,4,
2014,10,28,,13.7,,4,9,,12,,2450,,10250,423.5,18.5,21750,,33700,8.2,,,3,297.5,,,4,
2015,4,8,,0.55,,4,10.5,,12,,2400,,14800,706.5,38,22100,,34000,8,,,4.25,442.5,,,5.45,
2015,5,13,,12.3,,4,10,,12,,2100,,10900,701,37,21100,,31600,7.8,,,3.4,307,,,4,
2015,5,14,,10.6,,,,,,,2300,,12200,,,21400,,33000,7.6,,,19,323,,,52.5,
2015,6,5,,15.1,,,6,,,1.2,,,,1360,17,,,,,,,,,,,,
2015,6,10,,14.5,,4,8,,12,,2100,,10500,1260,22,21600,,34700,8.1,,,3,468,,,4,
2015,6,11,,14.9,,4,7,,12,,2100,,10800,1250,24,22000,,35100,7.8,,,3,340,,,4,
2015,7,8,,18.6,,4,8,,12,,2200,,9300,668,25,20400,,32200,8.1,,,3,288,,,4,
2015,7,9,,19.4,,4,9,,12,,2300,,9700,772,33,20700,,33100,8.1,,,9,321,,,15.5,
2015,7,29,,22.9,,4,7,,12,,,,8700,486,23,20800,,32900,8.4,,,3,287,,,4,
2015,7,30,,23.9,,4,10,,12,,,,9300,473,25,20600,,31600,8.3,,,3,310,,,4,
2015,10,26,,12.7,,,7,,,0.7,,,10700,515,14,,,,8.25,,,,,,,,
2015,11,3,,12.55,,5.5,25,,17,,,,10250,464,40.5,20000,,32400,8.2,,,4.95,825,,,10.45,
2016,3,1,,0.4,,8,40,,25,,,,,1060,38,,,,,,,6.9,,,,,
2016,5,3,,6.65,,4,8,,12,,,,13300,1075,21.5,,,,8.3,,,3,,,,,
2016,5,17,,10.05,,,7,,,0.8,,,12000,749,25.5,,,,8.3,,,,,,,,
2016,6,7,,18.25,,4,14.5,,12,,,,9850,244.5,43.5,,,,8.2,,,8.1,,,,,
2016,6,24,,20.1,,,7,,,0.4,,,11600,263,13,,,,8.6,,,,,,,,
2016,7,6,,22.05,,4,12,,12,,,,9300,415.5,28.5,,,,8.2,,,,,,,,
2016,8,2,,24.65,,4,10,,12,,,,8650,405,36.5,,,,8.35,,,3,,,,,
2016,8,11,,25.8,,,11.5,,,1,,,8800,350,14,,,,8.35,,,,,,,,
2016,9,7,,24.7,,4,12,,12,,,,8700,317,33,,,,8.4,,,,,,,,
2016,9,8,,24.5,,4,9,,12,,,,8000,282,28,,,,8.4,,,,,,,,
2016,9,22,,23,,,11.5,,,1.3,,,9400,163,16.5,,,,8.55,,,,,,,,
2016,10,5,,19.8,,4,9.5,,12,,,,9300,243.5,24.5,,,,8.25,,,,,,,,
2016,11,3,,13.8,,4.5,14,,14,,,,10200,262.5,36,,,,8.1,,,,,,,,
2016,12,7,,7.5,,5,20,,16,,,,11950,545,34,,,,8.2,,,,,,,,
