Year,Month,Lake Level
1881,7,174.329
1881,8,174.232
1881,9,174.125
1881,10,174.11
1881,11,174.055
1881,12,174.116
1882,1,174.259
1882,2,174.259
1882,3,174.397
1882,4,174.464
1882,5,174.522
1882,6,174.567
1882,7,174.567
1882,8,174.525
1882,9,174.442
1882,10,174.305
1882,11,174.208
1882,12,174.052
1883,1,174.025
1883,2,174.089
1883,3,174.147
1883,4,174.183
1883,5,174.323
1883,6,174.537
1883,7,174.598
1883,8,174.579
1883,9,174.485
1883,10,174.387
1883,11,174.272
1883,12,174.281
1884,1,174.18
1884,2,174.259
1884,3,174.317
1884,4,174.485
1884,5,174.567
1884,6,174.592
1884,7,174.525
1884,8,174.476
1884,9,174.345
1884,10,174.244
1884,11,174.098
1884,12,174.076
1885,1,174.022
1885,2,173.958
1885,3,173.915
1885,4,174.165
1885,5,174.387
1885,6,174.543
1885,7,174.531
1885,8,174.534
1885,9,174.488
1885,10,174.457
1885,11,174.421
1885,12,174.406
1886,1,174.412
1886,2,174.189
1886,3,174.131
1886,4,174.4
1886,5,174.491
1886,6,174.522
1886,7,174.515
1886,8,174.454
1886,9,174.378
1886,10,174.308
1886,11,174.22
1886,12,174.195
1887,1,174.125
1887,2,174.256
1887,3,174.494
1887,4,174.509
1887,5,174.564
1887,6,174.57
1887,7,174.5
1887,8,174.403
1887,9,174.333
1887,10,174.153
1887,11,174.07
1887,12,174.076
1888,1,174.022
1888,2,173.939
1888,3,173.97
1888,4,174.162
1888,5,174.238
1888,6,174.278
1888,7,174.323
1888,8,174.293
1888,9,174.159
1888,10,174.046
1888,11,174.064
1888,12,174.028
1889,1,174.034
1889,2,173.985
1889,3,173.936
1889,4,174.043
1889,5,174.098
1889,6,174.229
1889,7,174.29
1889,8,174.195
1889,9,174.076
1889,10,173.948
1889,11,173.866
1889,12,173.945
1890,1,174.055
1890,2,174.144
1890,3,174.18
1890,4,174.329
1890,5,174.433
1890,6,174.546
1890,7,174.43
1890,8,174.296
1890,9,174.238
1890,10,174.18
1890,11,174.171
1890,12,174.101
1891,1,174.034
1891,2,174.028
1891,3,174.168
1891,4,174.128
1891,5,174.073
1891,6,174.116
1891,7,174.086
1891,8,174.003
1891,9,173.948
1891,10,173.833
1891,11,173.699
1891,12,173.72
1892,1,173.729
1892,2,173.665
1892,3,173.677
1892,4,173.848
1892,5,174.092
1892,6,174.323
1892,7,174.36
1892,8,174.253
1892,9,174.156
1892,10,173.985
1892,11,173.884
1892,12,173.802
1893,1,173.686
1893,2,173.711
1893,3,173.778
1893,4,174
1893,5,174.256
1893,6,174.314
1893,7,174.229
1893,8,174.125
1893,9,174.009
1893,10,173.903
1893,11,173.781
1893,12,173.805
1894,1,173.891
1894,2,173.854
1894,3,173.863
1894,4,173.985
1894,5,174.104
1894,6,174.198
1894,7,174.162
1894,8,174.049
1894,9,173.997
1894,10,173.9
1894,11,173.827
1894,12,173.805
1895,1,173.705
1895,2,173.635
1895,3,173.638
1895,4,173.714
1895,5,173.781
1895,6,173.808
1895,7,173.775
1895,8,173.75
1895,9,173.72
1895,10,173.574
1895,11,173.543
1895,12,173.592
1896,1,173.622
1896,2,173.598
1896,3,173.583
1896,4,173.72
1896,5,173.836
1896,6,173.918
1896,7,173.881
1896,8,173.945
1896,9,173.848
1896,10,173.775
1896,11,173.662
1896,12,173.671
1897,1,173.662
1897,2,173.723
1897,3,173.836
1897,4,174.003
1897,5,174.104
1897,6,174.134
1897,7,174.131
1897,8,174.083
1897,9,173.997
1897,10,173.848
1897,11,173.808
1897,12,173.799
1898,1,173.814
1898,2,173.875
1898,3,173.955
1898,4,174.131
1898,5,174.177
1898,6,174.186
1898,7,174.119
1898,8,174.058
1898,9,173.942
1898,10,173.881
1898,11,173.845
1898,12,173.793
1899,1,173.839
1899,2,173.775
1899,3,173.888
1899,4,173.979
1899,5,174.073
1899,6,174.11
1899,7,174.08
1899,8,174.003
1899,9,173.894
1899,10,173.82
1899,11,173.824
1899,12,173.738
1900,1,173.744
1900,2,173.808
1900,3,173.915
1900,4,174.009
1900,5,174.058
1900,6,174.083
1900,7,174.04
1900,8,174.031
1900,9,173.933
1900,10,173.86
1900,11,173.778
1900,12,173.769
1901,1,173.738
1901,2,173.631
1901,3,173.595
1901,4,173.72
1901,5,173.726
1901,6,173.851
1901,7,173.909
1901,8,173.869
1901,9,173.848
1901,10,173.732
1901,11,173.68
1901,12,173.689
1902,1,173.656
1902,2,173.519
1902,3,173.613
1902,4,173.781
1902,5,173.894
1902,6,173.973
1902,7,174.165
1902,8,174.162
1902,9,174.052
1902,10,174.025
1902,11,173.942
1902,12,173.881
1903,1,173.82
1903,2,173.845
1903,3,174.022
1903,4,174.256
1903,5,174.269
1903,6,174.256
1903,7,174.235
1903,8,174.168
1903,9,174.116
1903,10,174.012
1903,11,173.866
1903,12,173.763
1904,1,173.729
1904,2,173.76
1904,3,173.939
1904,4,174.281
1904,5,174.342
1904,6,174.4
1904,7,174.366
1904,8,174.272
1904,9,174.192
1904,10,174.083
1904,11,173.973
1904,12,173.857
1905,1,173.79
1905,2,173.695
1905,3,173.686
1905,4,173.884
1905,5,174.076
1905,6,174.235
1905,7,174.259
1905,8,174.201
1905,9,174.128
1905,10,174.031
1905,11,173.915
1905,12,173.909
1906,1,173.918
1906,2,173.915
1906,3,173.848
1906,4,173.976
1906,5,174.058
1906,6,174.119
1906,7,174.144
1906,8,174.137
1906,9,174.052
1906,10,174.009
1906,11,173.997
1906,12,174.073
1907,1,174.177
1907,2,174.086
1907,3,174.019
1907,4,174.165
1907,5,174.214
1907,6,174.333
1907,7,174.345
1907,8,174.259
1907,9,174.18
1907,10,174.156
1907,11,174.07
1907,12,174.022
1908,1,174.116
1908,2,174
1908,3,174.141
1908,4,174.329
1908,5,174.403
1908,6,174.403
1908,7,174.345
1908,8,174.287
1908,9,174.15
1908,10,174.037
1908,11,173.854
1908,12,173.766
1909,1,173.772
1909,2,173.775
1909,3,173.872
1909,4,173.964
1909,5,174.205
1909,6,174.311
1909,7,174.25
1909,8,174.192
1909,9,174.055
1909,10,173.872
1909,11,173.827
1909,12,173.76
1910,1,173.717
1910,2,173.689
1910,3,173.842
1910,4,173.97
1910,5,174.119
1910,6,174.131
1910,7,174.067
1910,8,174.009
1910,9,173.952
1910,10,173.909
1910,11,173.781
1910,12,173.735
1911,1,173.644
1911,2,173.659
1911,3,173.656
1911,4,173.817
1911,5,173.9
1911,6,173.918
1911,7,173.86
1911,8,173.817
1911,9,173.79
1911,10,173.793
1911,11,173.671
1911,12,173.76
1912,1,173.717
1912,2,173.656
1912,3,173.702
1912,4,174.022
1912,5,174.116
1912,6,174.137
1912,7,174.107
1912,8,174.086
1912,9,174.089
1912,10,173.982
1912,11,173.912
1912,12,173.799
1913,1,174.006
1913,2,174.061
1913,3,174.073
1913,4,174.555
1913,5,174.537
1913,6,174.5
1913,7,174.412
1913,8,174.311
1913,9,174.162
1913,10,174.064
1913,11,174.019
1913,12,173.979
1914,1,173.952
1914,2,173.848
1914,3,173.778
1914,4,173.991
1914,5,174.211
1914,6,174.25
1914,7,174.186
1914,8,174.107
1914,9,174.034
1914,10,173.955
1914,11,173.778
1914,12,173.756
1915,1,173.665
1915,2,173.741
1915,3,173.756
1915,4,173.769
1915,5,173.836
1915,6,173.888
1915,7,173.945
1915,8,174.025
1915,9,173.994
1915,10,173.921
1915,11,173.775
1915,12,173.753
1916,1,173.836
1916,2,173.939
1916,3,173.903
1916,4,174.08
1916,5,174.205
1916,6,174.333
1916,7,174.314
1916,8,174.192
1916,9,174.031
1916,10,173.912
1916,11,173.833
1916,12,173.787
1917,1,173.811
1917,2,173.735
1917,3,173.805
1917,4,174.116
1917,5,174.241
1917,6,174.4
1917,7,174.497
1917,8,174.412
1917,9,174.32
1917,10,174.189
1917,11,174.232
1917,12,174.104
1918,1,173.9
1918,2,173.827
1918,3,174.009
1918,4,174.016
1918,5,173.985
1918,6,174.098
1918,7,174.113
1918,8,174.104
1918,9,174.08
1918,10,174.028
1918,11,173.979
1918,12,173.997
1919,1,173.994
1919,2,174.003
1919,3,174.089
1919,4,174.259
1919,5,174.451
1919,6,174.479
1919,7,174.378
1919,8,174.287
1919,9,174.168
1919,10,174.083
1919,11,174.006
1919,12,173.9
1920,1,173.723
1920,2,173.564
1920,3,173.589
1920,4,173.824
1920,5,174.028
1920,6,174.086
1920,7,174.128
1920,8,174.125
1920,9,174.055
1920,10,173.964
1920,11,173.918
1920,12,173.915
1921,1,173.918
1921,2,173.9
1921,3,173.97
1921,4,174.177
1921,5,174.265
1921,6,174.241
1921,7,174.195
1921,8,174.08
1921,9,173.985
1921,10,173.857
1921,11,173.872
1921,12,173.854
1922,1,173.784
1922,2,173.68
1922,3,173.747
1922,4,174.031
1922,5,174.156
1922,6,174.195
1922,7,174.156
1922,8,174.083
1922,9,174.028
1922,10,173.9
1922,11,173.76
1922,12,173.665
1923,1,173.68
1923,2,173.58
1923,3,173.631
1923,4,173.781
1923,5,173.881
1923,6,173.936
1923,7,173.933
1923,8,173.842
1923,9,173.787
1923,10,173.702
1923,11,173.619
1923,12,173.708
1924,1,173.714
1924,2,173.726
1924,3,173.699
1924,4,173.866
1924,5,173.982
1924,6,174.025
1924,7,174.067
1924,8,173.979
1924,9,173.918
1924,10,173.842
1924,11,173.647
1924,12,173.561
1925,1,173.513
1925,2,173.476
1925,3,173.607
1925,4,173.726
1925,5,173.723
1925,6,173.683
1925,7,173.665
1925,8,173.653
1925,9,173.607
1925,10,173.507
1925,11,173.461
1925,12,173.443
1926,1,173.339
1926,2,173.296
1926,3,173.333
1926,4,173.571
1926,5,173.68
1926,6,173.702
1926,7,173.689
1926,8,173.72
1926,9,173.76
1926,10,173.845
1926,11,173.772
1926,12,173.769
1927,1,173.662
1927,2,173.625
1927,3,173.665
1927,4,173.857
1927,5,173.918
1927,6,173.991
1927,7,173.982
1927,8,173.933
1927,9,173.82
1927,10,173.729
1927,11,173.659
1927,12,173.817
1928,1,173.833
1928,2,173.854
1928,3,173.769
1928,4,173.872
1928,5,173.958
1928,6,174.055
1928,7,174.141
1928,8,174.113
1928,9,173.979
1928,10,173.891
1928,11,173.854
1928,12,173.875
1929,1,173.884
1929,2,173.955
1929,3,174.095
1929,4,174.427
1929,5,174.628
1929,6,174.628
1929,7,174.592
1929,8,174.479
1929,9,174.36
1929,10,174.223
1929,11,174.171
1929,12,174.168
1930,1,174.351
1930,2,174.305
1930,3,174.415
1930,4,174.534
1930,5,174.528
1930,6,174.464
1930,7,174.387
1930,8,174.247
1930,9,174.128
1930,10,174.009
1930,11,173.872
1930,12,173.83
1931,1,173.753
1931,2,173.662
1931,3,173.567
1931,4,173.674
1931,5,173.772
1931,6,173.824
1931,7,173.842
1931,8,173.793
1931,9,173.705
1931,10,173.616
1931,11,173.543
1931,12,173.54
1932,1,173.699
1932,2,173.781
1932,3,173.769
1932,4,173.811
1932,5,173.888
1932,6,173.894
1932,7,173.857
1932,8,173.781
1932,9,173.692
1932,10,173.522
1932,11,173.491
1932,12,173.443
1933,1,173.531
1933,2,173.51
1933,3,173.607
1933,4,173.836
1933,5,173.97
1933,6,173.948
1933,7,173.866
1933,8,173.778
1933,9,173.641
1933,10,173.507
1933,11,173.379
1933,12,173.363
1934,1,173.311
1934,2,173.211
1934,3,173.202
1934,4,173.369
1934,5,173.439
1934,6,173.449
1934,7,173.449
1934,8,173.418
1934,9,173.379
1934,10,173.293
1934,11,173.186
1934,12,173.165
1935,1,173.193
1935,2,173.174
1935,3,173.272
1935,4,173.403
1935,5,173.507
1935,6,173.555
1935,7,173.592
1935,8,173.598
1935,9,173.485
1935,10,173.36
1935,11,173.336
1935,12,173.33
1936,1,173.208
1936,2,173.153
1936,3,173.369
1936,4,173.598
1936,5,173.686
1936,6,173.689
1936,7,173.665
1936,8,173.583
1936,9,173.525
1936,10,173.482
1936,11,173.409
1936,12,173.354
1937,1,173.549
1937,2,173.714
1937,3,173.714
1937,4,173.82
1937,5,173.997
1937,6,174.052
1937,7,174.122
1937,8,174.052
1937,9,173.878
1937,10,173.705
1937,11,173.577
1937,12,173.491
1938,1,173.497
1938,2,173.631
1938,3,173.766
1938,4,173.967
1938,5,173.988
1938,6,174.025
1938,7,174.025
1938,8,174.022
1938,9,173.909
1938,10,173.817
1938,11,173.683
1938,12,173.631
1939,1,173.641
1939,2,173.619
1939,3,173.75
1939,4,173.924
1939,5,174.043
1939,6,174.055
1939,7,174.037
1939,8,173.991
1939,9,173.891
1939,10,173.772
1939,11,173.702
1939,12,173.644
1940,1,173.525
1940,2,173.513
1940,3,173.564
1940,4,173.778
1940,5,173.906
1940,6,174.006
1940,7,174.022
1940,8,173.961
1940,9,173.921
1940,10,173.83
1940,11,173.705
1940,12,173.741
1941,1,173.842
1941,2,173.714
1941,3,173.659
1941,4,173.729
1941,5,173.775
1941,6,173.824
1941,7,173.811
1941,8,173.75
1941,9,173.65
1941,10,173.564
1941,11,173.479
1941,12,173.497
1942,1,173.452
1942,2,173.54
1942,3,173.598
1942,4,173.897
1942,5,173.991
1942,6,174.104
1942,7,174.098
1942,8,174.076
1942,9,174
1942,10,173.924
1942,11,173.884
1942,12,173.851
1943,1,173.973
1943,2,173.884
1943,3,173.948
1943,4,174.11
1943,5,174.372
1943,6,174.567
1943,7,174.567
1943,8,174.491
1943,9,174.354
1943,10,174.247
1943,11,174.153
1943,12,174.043
1944,1,173.915
1944,2,173.872
1944,3,173.912
1944,4,174.168
1944,5,174.329
1944,6,174.375
1944,7,174.311
1944,8,174.205
1944,9,174.113
1944,10,174.025
1944,11,173.952
1944,12,173.881
1945,1,173.83
1945,2,173.75
1945,3,173.958
1945,4,174.168
1945,5,174.29
1945,6,174.424
1945,7,174.464
1945,8,174.39
1945,9,174.287
1945,10,174.32
1945,11,174.205
1945,12,174.128
1946,1,174.116
1946,2,174.003
1946,3,174.101
1946,4,174.165
1946,5,174.205
1946,6,174.357
1946,7,174.384
1946,8,174.272
1946,9,174.141
1946,10,174.025
1946,11,173.93
1946,12,173.839
1947,1,173.814
1947,2,173.817
1947,3,173.808
1947,4,174.183
1947,5,174.473
1947,6,174.646
1947,7,174.57
1947,8,174.497
1947,9,174.418
1947,10,174.256
1947,11,174.137
1947,12,174.07
1948,1,174.055
1948,2,173.982
1948,3,174.141
1948,4,174.375
1948,5,174.503
1948,6,174.512
1948,7,174.479
1948,8,174.375
1948,9,174.247
1948,10,174.07
1948,11,173.967
1948,12,173.918
1949,1,173.936
1949,2,174.016
1949,3,174.073
1949,4,174.116
1949,5,174.153
1949,6,174.147
1949,7,174.119
1949,8,174.028
1949,9,173.888
1949,10,173.808
1949,11,173.671
1949,12,173.631
1950,1,173.869
1950,2,174.061
1950,3,174.058
1950,4,174.302
1950,5,174.339
1950,6,174.296
1950,7,174.235
1950,8,174.144
1950,9,174.104
1950,10,174.022
1950,11,173.967
1950,12,174.08
1951,1,174.083
1951,2,174.095
1951,3,174.302
1951,4,174.467
1951,5,174.543
1951,6,174.537
1951,7,174.503
1951,8,174.412
1951,9,174.29
1951,10,174.192
1951,11,174.153
1951,12,174.18
1952,1,174.342
1952,2,174.546
1952,3,174.613
1952,4,174.732
1952,5,174.759
1952,6,174.75
1952,7,174.683
1952,8,174.595
1952,9,174.512
1952,10,174.32
1952,11,174.183
1952,12,174.183
1953,1,174.238
1953,2,174.235
1953,3,174.305
1953,4,174.381
1953,5,174.473
1953,6,174.561
1953,7,174.525
1953,8,174.482
1953,9,174.345
1953,10,174.226
1953,11,174.116
1953,12,174.031
1954,1,174.022
1954,2,173.976
1954,3,174.128
1954,4,174.387
1954,5,174.476
1954,6,174.448
1954,7,174.409
1954,8,174.348
1954,9,174.247
1954,10,174.296
1954,11,174.311
1954,12,174.293
1955,1,174.357
1955,2,174.293
1955,3,174.457
1955,4,174.558
1955,5,174.561
1955,6,174.525
1955,7,174.454
1955,8,174.409
1955,9,174.278
1955,10,174.174
1955,11,174.046
1955,12,174.006
1956,1,173.921
1956,2,173.75
1956,3,173.93
1956,4,174.089
1956,5,174.329
1956,6,174.393
1956,7,174.387
1956,8,174.36
1956,9,174.262
1956,10,174.095
1956,11,173.945
1956,12,173.909
1957,1,173.857
1957,2,173.851
1957,3,173.918
1957,4,174.11
1957,5,174.229
1957,6,174.244
1957,7,174.314
1957,8,174.198
1957,9,174.083
1957,10,173.955
1957,11,173.808
1957,12,173.848
1958,1,173.875
1958,2,173.717
1958,3,173.741
1958,4,173.802
1958,5,173.839
1958,6,173.872
1958,7,173.952
1958,8,173.952
1958,9,173.888
1958,10,173.76
1958,11,173.638
1958,12,173.571
1959,1,173.522
1959,2,173.656
1959,3,173.79
1959,4,173.961
1959,5,174.092
1959,6,174.08
1959,7,173.994
1959,8,173.924
1959,9,173.817
1959,10,173.778
1959,11,173.702
1959,12,173.775
1960,1,173.872
1960,2,173.912
1960,3,173.918
1960,4,174.086
1960,5,174.208
1960,6,174.293
1960,7,174.326
1960,8,174.311
1960,9,174.232
1960,10,174.083
1960,11,173.924
1960,12,173.833
1961,1,173.79
1961,2,173.796
1961,3,174.006
1961,4,174.174
1961,5,174.397
1961,6,174.375
1961,7,174.317
1961,8,174.29
1961,9,174.198
1961,10,174.031
1961,11,173.909
1961,12,173.83
1962,1,173.741
1962,2,173.784
1962,3,173.878
1962,4,173.985
1962,5,174.012
1962,6,174.049
1962,7,174.028
1962,8,173.988
1962,9,173.912
1962,10,173.857
1962,11,173.833
1962,12,173.76
1963,1,173.659
1963,2,173.589
1963,3,173.68
1963,4,173.872
1963,5,173.933
1963,6,173.921
1963,7,173.845
1963,8,173.799
1963,9,173.72
1963,10,173.622
1963,11,173.54
1963,12,173.464
1964,1,173.439
1964,2,173.473
1964,3,173.574
1964,4,173.741
1964,5,173.833
1964,6,173.811
1964,7,173.769
1964,8,173.702
1964,9,173.622
1964,10,173.47
1964,11,173.388
1964,12,173.382
1965,1,173.452
1965,2,173.5
1965,3,173.671
1965,4,173.79
1965,5,173.881
1965,6,173.878
1965,7,173.833
1965,8,173.79
1965,9,173.753
1965,10,173.671
1965,11,173.635
1965,12,173.656
1966,1,173.747
1966,2,173.766
1966,3,173.857
1966,4,173.964
1966,5,174.067
1966,6,174.092
1966,7,174.07
1966,8,174.006
1966,9,173.918
1966,10,173.723
1966,11,173.729
1966,12,173.878
1967,1,173.857
1967,2,173.875
1967,3,173.915
1967,4,174.086
1967,5,174.201
1967,6,174.205
1967,7,174.232
1967,8,174.186
1967,9,174.08
1967,10,174
1967,11,173.976
1967,12,174.043
1968,1,174.089
1968,2,174.177
1968,3,174.174
1968,4,174.262
1968,5,174.281
1968,6,174.345
1968,7,174.363
1968,8,174.32
1968,9,174.214
1968,10,174.089
1968,11,174.028
1968,12,174.058
1969,1,174.067
1969,2,174.238
1969,3,174.198
1969,4,174.393
1969,5,174.549
1969,6,174.619
1969,7,174.689
1969,8,174.631
1969,9,174.473
1969,10,174.311
1969,11,174.223
1969,12,174.25
1970,1,174.079
1970,2,174.068
1970,3,174.116
1970,4,174.282
1970,5,174.367
1970,6,174.412
1970,7,174.415
1970,8,174.369
1970,9,174.287
1970,10,174.224
1970,11,174.185
1970,12,174.21
1971,1,174.147
1971,2,174.133
1971,3,174.315
1971,4,174.385
1971,5,174.437
1971,6,174.479
1971,7,174.438
1971,8,174.38
1971,9,174.345
1971,10,174.27
1971,11,174.16
1971,12,174.164
1972,1,174.182
1972,2,174.198
1972,3,174.33
1972,4,174.471
1972,5,174.606
1972,6,174.62
1972,7,174.65
1972,8,174.595
1972,9,174.562
1972,10,174.513
1972,11,174.578
1972,12,174.634
1973,1,174.648
1973,2,174.689
1973,3,174.795
1973,4,174.925
1973,5,174.908
1973,6,174.987
1973,7,174.936
1973,8,174.841
1973,9,174.684
1973,10,174.572
1973,11,174.459
1973,12,174.477
1974,1,174.524
1974,2,174.644
1974,3,174.769
1974,4,174.892
1974,5,174.886
1974,6,174.905
1974,7,174.853
1974,8,174.748
1974,9,174.624
1974,10,174.465
1974,11,174.428
1974,12,174.487
1975,1,174.49
1975,2,174.541
1975,3,174.683
1975,4,174.706
1975,5,174.708
1975,6,174.75
1975,7,174.704
1975,8,174.644
1975,9,174.666
1975,10,174.553
1975,11,174.429
1975,12,174.434
1976,1,174.407
1976,2,174.428
1976,3,174.768
1976,4,174.796
1976,5,174.801
1976,6,174.769
1976,7,174.763
1976,8,174.701
1976,9,174.561
1976,10,174.431
1976,11,174.242
1976,12,174.131
1977,1,174.039
1977,2,173.986
1977,3,174.177
1977,4,174.391
1977,5,174.51
1977,6,174.437
1977,7,174.436
1977,8,174.383
1977,9,174.381
1977,10,174.332
1977,11,174.232
1977,12,174.256
1978,1,174.302
1978,2,174.279
1978,3,174.322
1978,4,174.606
1978,5,174.644
1978,6,174.604
1978,7,174.522
1978,8,174.427
1978,9,174.319
1978,10,174.218
1978,11,174.142
1978,12,174.06
1979,1,174.059
1979,2,174.05
1979,3,174.194
1979,4,174.473
1979,5,174.564
1979,6,174.588
1979,7,174.58
1979,8,174.546
1979,9,174.529
1979,10,174.429
1979,11,174.325
1979,12,174.36
1980,1,174.436
1980,2,174.378
1980,3,174.44
1980,4,174.651
1980,5,174.665
1980,6,174.699
1980,7,174.656
1980,8,174.691
1980,9,174.613
1980,10,174.429
1980,11,174.289
1980,12,174.267
1981,1,174.158
1981,2,174.135
1981,3,174.305
1981,4,174.375
1981,5,174.509
1981,6,174.585
1981,7,174.602
1981,8,174.538
1981,9,174.503
1981,10,174.445
1981,11,174.389
1981,12,174.322
1982,1,174.254
1982,2,174.284
1982,3,174.426
1982,4,174.651
1982,5,174.626
1982,6,174.643
1982,7,174.596
1982,8,174.467
1982,9,174.341
1982,10,174.245
1982,11,174.23
1982,12,174.323
1983,1,174.379
1983,2,174.368
1983,3,174.41
1983,4,174.534
1983,5,174.686
1983,6,174.701
1983,7,174.701
1983,8,174.692
1983,9,174.53
1983,10,174.408
1983,11,174.397
1983,12,174.424
1984,1,174.362
1984,2,174.391
1984,3,174.553
1984,4,174.624
1984,5,174.594
1984,6,174.685
1984,7,174.662
1984,8,174.611
1984,9,174.52
1984,10,174.453
1984,11,174.375
1984,12,174.325
1985,1,174.399
1985,2,174.458
1985,3,174.787
1985,4,174.973
1985,5,174.919
1985,6,174.886
1985,7,174.831
1985,8,174.729
1985,9,174.656
1985,10,174.53
1985,11,174.695
1985,12,174.705
1986,1,174.635
1986,2,174.787
1986,3,174.866
1986,4,174.941
1986,5,174.964
1986,6,175.046
1986,7,175.034
1986,8,174.945
1986,9,174.82
1986,10,174.927
1986,11,174.835
1986,12,174.865
1987,1,174.847
1987,2,174.784
1987,3,174.739
1987,4,174.836
1987,5,174.794
1987,6,174.766
1987,7,174.776
1987,8,174.685
1987,9,174.594
1987,10,174.432
1987,11,174.348
1987,12,174.352
1988,1,174.305
1988,2,174.32
1988,3,174.36
1988,4,174.462
1988,5,174.455
1988,6,174.403
1988,7,174.328
1988,8,174.264
1988,9,174.137
1988,10,174.027
1988,11,174.002
1988,12,173.983
1989,1,174.031
1989,2,174.054
1989,3,174.098
1989,4,174.236
1989,5,174.318
