,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
30,2014-11-10,0.014,MILLIGRAM PER LITER,0.0084,MILLIGRAM PER LITER,3.6,MILLIGRAM PER LITER,,,0.01,MILLIGRAM PER LITER,0.34,MILLIGRAM PER LITER,3.31,MILLIGRAM PER LITER,3.92,MILLIGRAM PER LITER,25.3,MILLIGRAM PER LITER
31,2014-12-15,0.02,MILLIGRAM PER LITER,0.0111,MILLIGRAM PER LITER,4.36,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,0.76,MILLIGRAM PER LITER,3.65,MILLIGRAM PER LITER,4.02,MILLIGRAM PER LITER,26.2,MILLIGRAM PER LITER
32,2013-04-03,0.012,MILLIGRAM PER LITER,0.0045,MILLIGRAM PER LITER,,,,,0.016,MILLIGRAM PER LITER,0.73,MILLIGRAM PER LITER,3.84,MILLIGRAM PER LITER,2.52,MILLIGRAM PER LITER,21.8,MILLIGRAM PER LITER
33,2013-05-27,0.025,MILLIGRAM PER LITER,0.0117,MILLIGRAM PER LITER,,,,,0.026,MILLIGRAM PER LITER,0.27,MILLIGRAM PER LITER,3.09,MILLIGRAM PER LITER,3.5,MILLIGRAM PER LITER,23.1,MILLIGRAM PER LITER
34,2013-06-26,0.032,MILLIGRAM PER LITER,0.0113,MILLIGRAM PER LITER,,,,,0.027,MILLIGRAM PER LITER,1.6,MILLIGRAM PER LITER,3.1,MILLIGRAM PER LITER,4.08,MILLIGRAM PER LITER,24.9,MILLIGRAM PER LITER
35,2013-07-09,0.052,MILLIGRAM PER LITER,0.0161,MILLIGRAM PER LITER,,,,,0.027,MILLIGRAM PER LITER,0.4,MILLIGRAM PER LITER,3.37,MILLIGRAM PER LITER,4.28,MILLIGRAM PER LITER,23.4,MILLIGRAM PER LITER
36,2013-08-19,0.022,MILLIGRAM PER LITER,0.0088,MILLIGRAM PER LITER,3.5,MILLIGRAM PER LITER,,,0.011,MILLIGRAM PER LITER,0.15,MILLIGRAM PER LITER,3.46,MILLIGRAM PER LITER,3.8,MILLIGRAM PER LITER,26.8,MILLIGRAM PER LITER
37,2013-09-17,0.025,MILLIGRAM PER LITER,0.0078,MILLIGRAM PER LITER,3.7,MILLIGRAM PER LITER,,,0.01,MILLIGRAM PER LITER,1.3,MILLIGRAM PER LITER,3.37,MILLIGRAM PER LITER,4.52,MILLIGRAM PER LITER,27.9,MILLIGRAM PER LITER
38,2013-10-28,0.012,MILLIGRAM PER LITER,0.0053,MILLIGRAM PER LITER,4.5,MILLIGRAM PER LITER,,,0.013,MILLIGRAM PER LITER,0.46,MILLIGRAM PER LITER,3.71,MILLIGRAM PER LITER,4.48,MILLIGRAM PER LITER,25.8,MILLIGRAM PER LITER
39,2013-11-25,0.018,MILLIGRAM PER LITER,0.0074,MILLIGRAM PER LITER,4.55,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,0.67,MILLIGRAM PER LITER,4.05,MILLIGRAM PER LITER,4.32,MILLIGRAM PER LITER,24.8,MILLIGRAM PER LITER
