#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2012,7,10,7,55,NAN,5.7,NAN,NAN,NAN,NAN,NAN,NAN,23.6,24.3,NAN,NAN,NAN
2012,7,10,8,55,NAN,8.6,NAN,NAN,NAN,NAN,NAN,NAN,23.2,24.2,NAN,NAN,NAN
2012,7,10,9,55,NAN,7,NAN,NAN,NAN,NAN,NAN,NAN,22.6,24.1,NAN,NAN,NAN
2012,7,10,10,55,NAN,5,NAN,NAN,NAN,NAN,NAN,NAN,21.9,24,NAN,NAN,NAN
2012,7,10,12,55,NAN,6.7,NAN,NAN,NAN,NAN,NAN,NAN,22,24,NAN,NAN,NAN
2012,7,10,13,55,NAN,5.1,NAN,NAN,NAN,NAN,NAN,NAN,22.7,24,NAN,NAN,NAN
2012,7,10,14,55,NAN,5.7,NAN,NAN,NAN,NAN,NAN,NAN,22.7,24,NAN,NAN,NAN
2012,7,10,15,55,NAN,5.1,NAN,NAN,NAN,NAN,NAN,NAN,22.6,24,NAN,NAN,NAN
2012,7,10,16,55,NAN,5.4,NAN,NAN,NAN,NAN,NAN,NAN,22.6,24.1,NAN,NAN,NAN
2012,7,10,18,55,NAN,5.6,NAN,NAN,NAN,NAN,NAN,NAN,23.2,24.3,NAN,NAN,NAN
2012,7,10,19,55,NAN,5,NAN,NAN,NAN,NAN,NAN,NAN,23.6,24.3,NAN,NAN,NAN
2012,7,10,20,55,NAN,4.3,NAN,NAN,NAN,NAN,NAN,NAN,24.8,24.4,NAN,NAN,NAN
2012,7,10,21,55,NAN,4.9,NAN,NAN,NAN,NAN,NAN,NAN,25.3,24.4,NAN,NAN,NAN
2012,7,10,22,55,NAN,4.2,NAN,NAN,NAN,NAN,NAN,NAN,26.1,24.4,NAN,NAN,NAN
2012,7,11,0,55,NAN,3.3,NAN,NAN,NAN,NAN,NAN,NAN,24.5,24.3,NAN,NAN,NAN
2012,7,11,1,55,NAN,4.6,NAN,NAN,NAN,NAN,NAN,NAN,24.2,24.3,NAN,NAN,NAN
2012,7,11,2,55,NAN,3.6,NAN,NAN,NAN,NAN,NAN,NAN,24.1,24.3,NAN,NAN,NAN
2012,7,11,3,55,NAN,5.4,NAN,NAN,NAN,NAN,NAN,NAN,24,24.2,NAN,NAN,NAN
2012,7,11,4,55,NAN,5.7,NAN,NAN,NAN,NAN,NAN,NAN,23.3,24.2,NAN,NAN,NAN
2012,7,11,5,55,NAN,4.1,NAN,NAN,NAN,NAN,NAN,NAN,23,24.1,NAN,NAN,NAN
2012,7,11,6,55,NAN,3.3,NAN,NAN,NAN,NAN,NAN,NAN,23.2,24.1,NAN,NAN,NAN
2012,7,11,7,55,NAN,3.8,NAN,NAN,NAN,NAN,NAN,NAN,22.9,24.1,NAN,NAN,NAN
2012,7,11,8,55,NAN,3.1,NAN,NAN,NAN,NAN,NAN,NAN,22.7,24,NAN,NAN,NAN
2012,7,11,9,55,NAN,2.4,NAN,NAN,NAN,NAN,NAN,NAN,22.7,24,NAN,NAN,NAN
2012,7,11,10,55,NAN,2.6,NAN,NAN,NAN,NAN,NAN,NAN,23.3,24,NAN,NAN,NAN
2012,7,11,11,55,NAN,1.9,NAN,NAN,NAN,NAN,NAN,NAN,23.2,24,NAN,NAN,NAN
2012,7,11,12,55,NAN,3.1,NAN,NAN,NAN,NAN,NAN,NAN,23.4,24,NAN,NAN,NAN
2012,7,11,13,55,NAN,3.6,NAN,NAN,NAN,NAN,NAN,NAN,23.8,24.1,NAN,NAN,NAN
2012,7,11,14,55,NAN,3.6,NAN,NAN,NAN,NAN,NAN,NAN,24,24.2,NAN,NAN,NAN
2012,7,11,15,55,NAN,4.8,NAN,NAN,NAN,NAN,NAN,NAN,23.9,24.3,NAN,NAN,NAN
2012,7,11,16,55,NAN,5.8,NAN,NAN,NAN,NAN,NAN,NAN,24.1,24.3,NAN,NAN,NAN
2012,7,11,17,55,NAN,6.2,NAN,NAN,NAN,NAN,NAN,NAN,24.2,24.4,NAN,NAN,NAN
2012,7,11,18,55,NAN,6.5,NAN,NAN,NAN,NAN,NAN,NAN,24.6,24.4,NAN,NAN,NAN
2012,7,11,19,55,NAN,6.9,NAN,NAN,NAN,NAN,NAN,NAN,24.6,24.4,NAN,NAN,NAN
2012,7,11,20,55,NAN,6.7,NAN,NAN,NAN,NAN,NAN,NAN,25,24.5,NAN,NAN,NAN
2012,7,11,21,55,NAN,6.9,NAN,NAN,NAN,NAN,NAN,NAN,25.3,24.4,NAN,NAN,NAN
2012,7,11,22,55,NAN,6.2,NAN,NAN,NAN,NAN,NAN,NAN,25.4,24.4,NAN,NAN,NAN
2012,7,12,1,55,NAN,5,NAN,NAN,NAN,NAN,NAN,NAN,24.6,24.3,NAN,NAN,NAN
2012,7,12,2,55,NAN,5,NAN,NAN,NAN,NAN,NAN,NAN,24.6,24.2,NAN,NAN,NAN
2012,7,12,3,55,NAN,4.8,NAN,NAN,NAN,NAN,NAN,NAN,24.6,24.2,NAN,NAN,NAN
2012,7,12,4,55,NAN,4.9,NAN,NAN,NAN,NAN,NAN,NAN,24.5,24.2,NAN,NAN,NAN
2012,7,12,5,55,NAN,5.6,NAN,NAN,NAN,NAN,NAN,NAN,24.5,24.2,NAN,NAN,NAN
2012,7,12,6,55,NAN,5.1,NAN,NAN,NAN,NAN,NAN,NAN,24.5,24.2,NAN,NAN,NAN
2012,7,12,7,55,NAN,4.5,NAN,NAN,NAN,NAN,NAN,NAN,24.1,24.1,NAN,NAN,NAN
2012,7,12,8,55,NAN,5.6,NAN,NAN,NAN,NAN,NAN,NAN,24.3,24.1,NAN,NAN,NAN
2012,7,12,9,55,NAN,5.5,NAN,NAN,NAN,NAN,NAN,NAN,24.4,24.1,NAN,NAN,NAN
2012,7,12,10,55,NAN,5.5,NAN,NAN,NAN,NAN,NAN,NAN,24.4,24.1,NAN,NAN,NAN
2012,7,12,11,55,NAN,3.9,NAN,NAN,NAN,NAN,NAN,NAN,23.9,24.1,NAN,NAN,NAN
2012,7,12,12,55,NAN,3.8,NAN,NAN,NAN,NAN,NAN,NAN,23.8,24.1,NAN,NAN,NAN
2012,7,12,13,55,NAN,3.2,NAN,NAN,NAN,NAN,NAN,NAN,23.6,24.2,NAN,NAN,NAN
2012,7,12,14,55,NAN,3.7,NAN,NAN,NAN,NAN,NAN,NAN,24.5,24.3,NAN,NAN,NAN
2012,7,12,15,55,NAN,4,NAN,NAN,NAN,NAN,NAN,NAN,24.7,24.4,NAN,NAN,NAN
2012,7,12,16,55,NAN,4.8,NAN,NAN,NAN,NAN,NAN,NAN,24.6,NAN,NAN,NAN,NAN
2012,7,12,17,55,NAN,5.3,NAN,NAN,NAN,NAN,NAN,NAN,24.9,NAN,NAN,NAN,NAN
2012,7,12,18,55,NAN,6.2,NAN,NAN,NAN,NAN,NAN,NAN,25,NAN,NAN,NAN,NAN
2012,7,12,19,55,NAN,6,NAN,NAN,NAN,NAN,NAN,NAN,25.2,NAN,NAN,NAN,NAN
2012,7,12,20,55,NAN,5.6,NAN,NAN,NAN,NAN,NAN,NAN,25.6,12.2,NAN,NAN,NAN
2012,7,12,21,55,NAN,4.9,NAN,NAN,NAN,NAN,NAN,NAN,26.2,12.2,NAN,NAN,NAN
2012,7,12,22,55,NAN,5,NAN,NAN,NAN,NAN,NAN,NAN,26.3,12.2,NAN,NAN,NAN
2012,7,13,0,55,NAN,1.8,NAN,NAN,NAN,NAN,NAN,NAN,25.7,9.8,NAN,NAN,NAN
2012,7,13,2,55,NAN,5.5,NAN,NAN,NAN,NAN,NAN,NAN,25.3,NAN,NAN,NAN,NAN
2012,7,13,3,55,NAN,3.3,NAN,NAN,NAN,NAN,NAN,NAN,25.8,12.2,NAN,NAN,NAN
2012,7,13,4,55,NAN,4,NAN,NAN,NAN,NAN,NAN,NAN,25.8,12.2,NAN,NAN,NAN
2012,7,13,6,55,NAN,3.9,NAN,NAN,NAN,NAN,NAN,NAN,25.5,12.2,NAN,NAN,NAN
2012,7,13,7,55,NAN,7.4,NAN,NAN,NAN,NAN,NAN,NAN,25.6,12.3,NAN,NAN,NAN
2012,7,13,8,55,NAN,7.8,NAN,NAN,NAN,NAN,NAN,NAN,25.3,12.3,NAN,NAN,NAN
2012,7,13,9,55,NAN,6.2,NAN,NAN,NAN,NAN,NAN,NAN,24.8,12.3,NAN,NAN,NAN
2012,7,13,10,55,NAN,6,NAN,NAN,NAN,NAN,NAN,NAN,24.4,12.3,NAN,NAN,NAN
2012,7,13,11,55,NAN,6.4,NAN,NAN,NAN,NAN,NAN,NAN,24.1,12.4,NAN,NAN,NAN
2012,7,13,12,55,NAN,5.8,NAN,NAN,NAN,NAN,NAN,NAN,24,12.4,NAN,NAN,NAN
2012,7,13,13,55,NAN,3.9,NAN,NAN,NAN,NAN,NAN,NAN,24.2,12.4,NAN,NAN,NAN
2012,7,13,14,55,NAN,3.2,NAN,NAN,NAN,NAN,NAN,NAN,24.7,12.5,NAN,NAN,NAN
2012,7,13,15,55,NAN,2.3,NAN,NAN,NAN,NAN,NAN,NAN,25.3,12.5,NAN,NAN,NAN
2012,7,13,16,55,NAN,2,NAN,NAN,NAN,NAN,NAN,NAN,25.3,12.5,NAN,NAN,NAN
2012,7,13,17,55,NAN,2.6,NAN,NAN,NAN,NAN,NAN,NAN,25.5,12.5,NAN,NAN,NAN
2012,7,13,18,55,NAN,2.3,NAN,NAN,NAN,NAN,NAN,NAN,26.3,12.5,NAN,NAN,NAN
2012,7,13,19,55,NAN,3.1,NAN,NAN,NAN,NAN,NAN,NAN,26.9,12.5,NAN,NAN,NAN
2012,7,13,21,55,NAN,3.6,NAN,NAN,NAN,NAN,NAN,NAN,27,12.5,NAN,NAN,NAN
2012,7,13,22,55,NAN,2.9,NAN,NAN,NAN,NAN,NAN,NAN,27.7,12.5,NAN,NAN,NAN
2012,7,14,1,55,NAN,6.7,NAN,NAN,NAN,NAN,NAN,NAN,25.7,12.5,NAN,NAN,NAN
2012,7,14,2,55,NAN,5.7,NAN,NAN,NAN,NAN,NAN,NAN,25.2,12.5,NAN,NAN,NAN
2012,7,14,3,55,NAN,6.5,NAN,NAN,NAN,NAN,NAN,NAN,24.4,12.5,NAN,NAN,NAN
2012,7,14,4,55,NAN,6.2,NAN,NAN,NAN,NAN,NAN,NAN,23.9,12.5,NAN,NAN,NAN
2012,7,14,5,55,NAN,5.1,NAN,NAN,NAN,NAN,NAN,NAN,23.5,12.5,NAN,NAN,NAN
2012,7,14,6,55,NAN,3.6,NAN,NAN,NAN,NAN,NAN,NAN,22.9,12.6,NAN,NAN,NAN
2012,7,14,7,55,NAN,3,NAN,NAN,NAN,NAN,NAN,NAN,22.3,12.6,NAN,NAN,NAN
2012,7,14,8,55,NAN,3,NAN,NAN,NAN,NAN,NAN,NAN,21.9,12.6,NAN,NAN,NAN
2012,7,14,9,55,NAN,3.2,NAN,NAN,NAN,NAN,NAN,NAN,21.7,12.6,NAN,NAN,NAN
2012,7,14,10,55,NAN,3.4,NAN,NAN,NAN,NAN,NAN,NAN,21.6,12.7,NAN,NAN,NAN
2012,7,14,11,55,NAN,3.7,NAN,NAN,NAN,NAN,NAN,NAN,21.4,12.7,NAN,NAN,NAN
2012,7,14,12,55,NAN,2.8,NAN,NAN,NAN,NAN,NAN,NAN,21.4,12.7,NAN,NAN,NAN
2012,7,14,13,55,NAN,2.2,NAN,NAN,NAN,NAN,NAN,NAN,21.5,12.7,NAN,NAN,NAN
2012,7,14,14,55,NAN,1.6,NAN,NAN,NAN,NAN,NAN,NAN,21.8,12.7,NAN,NAN,NAN
2012,7,14,15,55,NAN,1.2,NAN,NAN,NAN,NAN,NAN,NAN,22.1,12.7,NAN,NAN,NAN
2012,7,14,16,55,NAN,0.1,NAN,NAN,NAN,NAN,NAN,NAN,23.5,12.7,NAN,NAN,NAN
2012,7,14,17,55,NAN,1.3,NAN,NAN,NAN,NAN,NAN,NAN,24.3,12.7,NAN,NAN,NAN
2012,7,14,18,55,NAN,2.3,NAN,NAN,NAN,NAN,NAN,NAN,24.3,12.7,NAN,NAN,NAN
2012,7,14,19,55,NAN,2.7,NAN,NAN,NAN,NAN,NAN,NAN,24.6,12.6,NAN,NAN,NAN
2012,7,14,20,55,NAN,1.6,NAN,NAN,NAN,NAN,NAN,NAN,26.1,12.6,NAN,NAN,NAN
2012,7,14,21,55,NAN,2.3,NAN,NAN,NAN,NAN,NAN,NAN,25.3,12.6,NAN,NAN,NAN
2012,7,14,22,55,NAN,3.2,NAN,NAN,NAN,NAN,NAN,NAN,25,12.6,NAN,NAN,NAN
2012,7,15,1,55,NAN,4.5,NAN,NAN,NAN,NAN,NAN,NAN,24.4,12.6,NAN,NAN,NAN
2012,7,15,2,55,NAN,3.7,NAN,NAN,NAN,NAN,NAN,NAN,24.6,12.6,NAN,NAN,NAN
2012,7,15,3,55,NAN,2.7,NAN,NAN,NAN,NAN,NAN,NAN,24.9,12.6,NAN,NAN,NAN
2012,7,15,4,55,NAN,3.2,NAN,NAN,NAN,NAN,NAN,NAN,25.3,12.6,NAN,NAN,NAN
2012,7,15,5,55,NAN,4.3,NAN,NAN,NAN,NAN,NAN,NAN,25.5,12.6,NAN,NAN,NAN
2012,7,15,6,55,NAN,5.8,NAN,NAN,NAN,NAN,NAN,NAN,25.4,12.6,NAN,NAN,NAN
2012,7,15,7,55,NAN,6.9,NAN,NAN,NAN,NAN,NAN,NAN,25.2,12.6,NAN,NAN,NAN
2012,7,15,8,55,NAN,6.4,NAN,NAN,NAN,NAN,NAN,NAN,25,12.6,NAN,NAN,NAN
2012,7,15,9,55,NAN,7,NAN,NAN,NAN,NAN,NAN,NAN,24.7,12.6,NAN,NAN,NAN
2012,7,15,10,55,NAN,7.5,NAN,NAN,NAN,NAN,NAN,NAN,24.8,12.6,NAN,NAN,NAN
2012,7,15,11,55,NAN,6.8,NAN,NAN,NAN,NAN,NAN,NAN,24.7,12.7,NAN,NAN,NAN
2012,7,15,12,55,NAN,7.6,NAN,NAN,NAN,NAN,NAN,NAN,24.6,12.7,NAN,NAN,NAN
2012,7,15,13,55,NAN,7,NAN,NAN,NAN,NAN,NAN,NAN,24.5,12.7,NAN,NAN,NAN
2012,7,15,14,55,NAN,6.8,NAN,NAN,NAN,NAN,NAN,NAN,24.6,12.7,NAN,NAN,NAN
2012,7,15,15,55,NAN,6.4,NAN,NAN,NAN,NAN,NAN,NAN,24.7,12.7,NAN,NAN,NAN
2012,7,15,16,55,NAN,4.7,NAN,NAN,NAN,NAN,NAN,NAN,24.8,12.7,NAN,NAN,NAN
2012,7,15,17,55,NAN,4.3,NAN,NAN,NAN,NAN,NAN,NAN,25.4,12.7,NAN,NAN,NAN
2012,7,15,18,55,NAN,3,NAN,NAN,NAN,NAN,NAN,NAN,25.9,12.8,NAN,NAN,NAN
2012,7,15,19,55,NAN,3,NAN,NAN,NAN,NAN,NAN,NAN,25.9,12.8,NAN,NAN,NAN
2012,7,15,20,55,NAN,1.4,NAN,NAN,NAN,NAN,NAN,NAN,27.1,12.8,NAN,NAN,NAN
2012,7,15,21,55,NAN,1.7,NAN,NAN,NAN,NAN,NAN,NAN,26.9,12.8,NAN,NAN,NAN
2012,7,15,22,55,NAN,2.4,NAN,NAN,NAN,NAN,NAN,NAN,26.7,12.8,NAN,NAN,NAN
2012,7,16,1,55,NAN,3.1,NAN,NAN,NAN,NAN,NAN,NAN,26.2,12.9,NAN,NAN,NAN
2012,7,16,2,55,NAN,3.8,NAN,NAN,NAN,NAN,NAN,NAN,26.8,12.9,NAN,NAN,NAN
2012,7,16,3,55,NAN,6.9,NAN,NAN,NAN,NAN,NAN,NAN,26.7,12.9,NAN,NAN,NAN
2012,7,16,4,55,NAN,5.8,NAN,NAN,NAN,NAN,NAN,NAN,26.3,12.9,NAN,NAN,NAN
2012,7,16,5,55,NAN,6.8,NAN,NAN,NAN,NAN,NAN,NAN,26.2,12.9,NAN,NAN,NAN
2012,7,16,6,55,NAN,5.6,NAN,NAN,NAN,NAN,NAN,NAN,25.7,12.9,NAN,NAN,NAN
2012,7,16,7,55,NAN,4.9,NAN,NAN,NAN,NAN,NAN,NAN,25.7,12.9,NAN,NAN,NAN
2012,7,16,8,55,NAN,5.4,NAN,NAN,NAN,NAN,NAN,NAN,25.4,12.9,NAN,NAN,NAN
2012,7,16,9,55,NAN,4.8,NAN,NAN,NAN,NAN,NAN,NAN,24.6,12.9,NAN,NAN,NAN
2012,7,16,10,55,NAN,2.8,NAN,NAN,NAN,NAN,NAN,NAN,24.7,13,NAN,NAN,NAN
2012,7,16,11,55,NAN,2.7,NAN,NAN,NAN,NAN,NAN,NAN,25.2,13,NAN,NAN,NAN
2012,7,16,12,55,NAN,1.8,NAN,NAN,NAN,NAN,NAN,NAN,25.8,13.1,NAN,NAN,NAN
2012,7,16,13,55,NAN,0.9,NAN,NAN,NAN,NAN,NAN,NAN,25.6,13.2,NAN,NAN,NAN
2012,7,16,14,55,NAN,0.5,NAN,NAN,NAN,NAN,NAN,NAN,25.2,NAN,NAN,NAN,NAN
2012,7,16,15,55,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,25.4,NAN,NAN,NAN,NAN
2012,7,16,16,55,NAN,0.9,NAN,NAN,NAN,NAN,NAN,NAN,25.4,NAN,NAN,NAN,NAN
2012,7,16,17,55,NAN,2.1,NAN,NAN,NAN,NAN,NAN,NAN,25.6,NAN,NAN,NAN,NAN
