Year,Month,Day,Inflow temperature [°C],Inflow concentration of O2 [mg m-3],Inflow pH [-],"*Orthophosphate, water, filtered, as PO4 [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as phosphorus [mg m-3]",Inflow concentration as NH4 [mg m-3],*Suspended sediment concentration [mg m-3]
2014,8,17,,,,162,178,53,87,24000
2014,8,19,,,,59,176,19,13,15000
2014,8,19,,,,73,158,24,16,15000
2014,8,19,,,,115,177,38,171,28000
2014,8,23,,,,151,197,49,47,24000
2014,8,23,,,,151,208,49,65,23000
2014,8,23,,,,228,199,74,263,32000
2014,8,23,,,,220,191,72,136,31000
2014,8,24,,,,470,352,153,106,80000
2014,8,26,,,,443,293,144,98,56000
2014,9,1,,,,299,251,98,86,28000
2014,9,8,,,,189,185,62,173,24000
2014,9,8,,,,174,274,57,90,33000
2014,9,8,,,,180,185,59,103,17000
2014,9,10,,,,264,232,86,346,12000
2014,9,11,,,,307,260,100,481,32000
2014,9,11,,,,292,397,95,100,137000
2014,9,11,,,,300,314,98,181,91000
2014,9,12,,,,407,417,133,158,139000
2014,9,13,,,,594,444,194,104,102000
2014,9,15,,,,694,436,226,106,54000
2014,10,5,,,,157,210,51,74,45000
2014,10,16,,,,254,186,83,79,25000
2014,10,16,,,,258,172,84,65,18000
2014,10,29,,,,254,214,83,184,44000
2014,11,11,,,,211,137,69,13,14000
2014,11,11,,,,213,175,69,13,40000
2014,11,22,,,,182,143,59,15,12000
2014,11,22,,,,177,135,58,13,6000
2014,11,24,,,,228,140,74,19,10000
2014,11,24,,,,207,143,68,35,14000
2014,11,24,,,,215,145,70,13,33000
2014,11,24,,,,244,390,80,13,181000
2014,11,24,,,,294,489,96,22,214000
2014,11,25,,,,365,560,119,15,253000
2014,11,27,,,,1230,684,402,108,115000
2014,11,28,,,,967,512,316,108,56000
2014,11,30,,,,672,417,219,80,73000
2014,12,8,,,,346,213,113,44,25000
2014,12,11,,,,473,278,154,96,33000
2014,12,11,,,,488,269,159,101,30000
2014,12,25,,,,188,158,61,31,29000
2014,12,25,,,,200,255,65,27,99000
2015,1,1,,,,348,255,113,91,45000
2015,1,3,,,,310,204,101,75,30000
2015,1,4,,,,324,261,106,100,49000
2015,1,4,,,,563,388,184,103,97000
2015,1,5,,,,608,733,198,124,304000
2015,1,6,,,,787,443,257,122,66000
2015,1,7,,,,897,456,293,158,48000
2015,3,12,,,,1190,967,389,604,188000
2015,3,13,,,,783,756,255,319,131000
2015,3,14,,,,585,641,191,231,166000
2015,3,14,,,,694,718,226,283,294000
2015,3,15,,,,605,562,197,302,149000
2015,3,18,,,,430,297,140,204,53000
2015,3,27,,,,242,349,79,101,167000
2015,3,28,,,,248,298,81,103,135000
2015,3,29,,,,290,251,95,100,68000
2015,3,30,,,,288,311,94,88,124000
2015,4,4,,,,152,209,49,13,72000
2015,4,5,,,,132,299,43,13,152000
2015,4,9,,,,141,176,46,36,62000
2015,4,10,,,,244,471,80,68,233000
2015,4,11,,,,307,362,100,70,134000
2015,4,16,,,,258,210,84,13,47000
2015,4,21,,,,210,337,69,52,148000
2015,4,24,,,,294,207,96,69,35000
2015,4,28,,,,137,142,45,13,25000
2015,4,28,,,,121,119,39,13,18000
2015,5,8,,,,12,133,4,65,33000
2015,5,11,,,,12,127,4,20,19000
2015,5,11,,,,12,154,4,41,28000
2015,5,13,,,,306,293,100,227,58000
2015,5,13,,,,292,292,95,208,52000
2015,5,15,,,,314,275,102,235,45000
2015,5,28,,,,12,185,4,333,39000
2015,5,30,,,,215,273,70,235,69000
2015,5,31,,,,245,256,80,205,61000
2015,5,31,,,,260,256,85,234,67000
2015,5,31,,,,224,367,73,130,140000
2015,5,31,,,,258,1210,84,208,781000
2015,6,1,,,,424,1030,138,188,575000
2015,6,3,,,,536,525,175,576,169000
2015,6,4,,,,433,329,141,500,105000
2015,6,6,,,,362,184,118,232,57000
2015,6,9,,,,292,166,95,31,64000
2015,6,13,,,,562,300,183,126,153000
2015,6,14,,,,414,329,135,28,331000
2015,6,15,,,,500,385,163,36,421000
2015,6,16,,,,398,851,130,32,458000
2015,6,16,,,,468,714,152,89,355000
2015,6,16,,,,515,900,168,84,418000
2015,6,17,,,,536,795,175,68,291000
2015,6,17,,,,426,599,139,68,280000
2015,6,20,,,,600,441,196,47,95000
2015,6,24,,,,691,312,225,34,38000
2015,6,27,,,,609,424,199,66,169000
2015,6,27,,,,563,386,184,75,192000
2015,6,27,,,,450,468,147,60,329000
2015,6,27,,,,389,633,127,148,407000
2015,6,28,,,,384,543,125,131,245000
2015,6,28,,,,400,465,130,145,208000
2015,6,28,,,,397,351,130,165,207000
2015,6,28,,,,385,407,126,131,213000
2015,6,30,,,,434,224,141,87,70000
2015,6,30,,,,468,331,153,106,85000
2015,7,2,,,,488,268,159,50,63000
2015,7,13,,,,430,345,140,27,111000
2015,7,22,,,,462,288,151,30,60000
2015,7,22,,,,472,303,154,28,61000
2015,7,24,,,,439,243,143,13,32000
2015,7,31,,,,60,268,20,51,45000
2015,8,2,,,,12,227,4,17,71000
2015,8,13,,,,12,253,4,13,40000
2015,8,24,,,,14,219,5,65,27000
2015,8,24,,,,24,223,8,46,48000
2015,9,3,,,,12,139,4,39,14000
2015,9,8,,,,20,144,7,13,13000
2015,9,8,,,,52,153,17,19,25000
2015,9,16,,,,16,151,5,19,23000
2015,9,22,,,,135,167,44,67,51000
2015,9,30,,,,53,134,17,433,32000
2015,10,8,,,,21,137,7,16,12000
2015,10,8,,,,30,127,10,21,20000
2015,10,15,,,,12,155,4,21,128000
2015,10,20,,,,12,131,4,17,26000
2015,10,27,,,,12,123,4,67,77000
2015,10,29,,,,12,109,4,282,17000
2015,10,30,,,,59,120,19,41,12000
2015,11,2,,,,71,102,23,13,12000
2015,11,10,,,,89,120,29,13,84000
2015,11,17,,,,174,113,57,13,6000
2015,11,17,,,,180,109,59,13,5000
2015,11,30,,,,77,103,25,28,23000
2015,12,2,,,,215,171,70,26,24000
2015,12,8,,,,212,159,69,13,
2015,12,8,,,,213,137,70,13,18000
2015,12,15,,,,53,97,17,63,23000
2015,12,21,,,,64,85,21,13,11000
2015,12,24,,,,111,123,36,83,34000
2015,12,24,,,,154,286,50,38,148000
2015,12,27,,,,331,529,108,111,215000
2015,12,28,,,,438,882,143,95,460000
2015,12,28,,,,411,809,134,103,391000
2015,12,29,,,,432,868,141,56,484000
2016,1,1,,,,558,582,182,44,184000
2016,1,3,,,,478,433,156,32,109000
2016,2,23,,,,115,104,37,13,39000
2016,2,23,,,,115,132,37,19,20000
2016,3,2,,,,203,369,66,77,106000
2016,3,11,,,,159,289,52,53,143000
2016,3,12,,,,168,252,55,38,114000
2016,3,13,,,,198,344,65,49,180000
2016,3,15,,,,245,424,80,53,214000
2016,3,16,,,,273,468,89,45,210000
2016,3,16,,,,265,478,86,57,241000
2016,3,18,,,,318,365,104,42,152000
2016,3,20,,,,259,264,85,33,80000
2016,3,25,,,,204,487,67,199,321000
2016,3,29,,,,330,727,108,124,473000
2016,4,1,,,,287,716,93,57,458000
2016,4,3,,,,320,473,104,45,220000
2016,4,15,,,,166,218,54,20,90000
2016,4,27,,,,12,242,4,36,160000
2016,4,27,,,,12,202,4,32,77000
2016,5,1,,,,121,353,40,82,151000
2016,5,2,,,,167,466,54,54,279000
2016,5,3,,,,220,501,72,68,262000
2016,5,5,,,,310,388,101,182,152000
2016,5,8,,,,184,160,60,42,43000
2016,5,11,,,,155,133,51,13,39000
2016,5,13,,,,220,454,72,14,298000
2016,5,16,,,,354,316,116,92,125000
2016,5,17,,,,308,285,100,55,78000
2016,5,25,,,,12,77,4,13,52000
2016,5,25,,,,12,126,4,13,41000
2016,6,1,,,,12,156,4,32,43000
2016,6,5,,,,12,159,4,555,35000
2016,6,7,,,,274,250,89,450,65000
2016,6,10,,,,164,179,53,169,49000
2016,6,15,,,,12,262,4,50,159000
2016,6,17,,,,144,179,47,142,47000
2016,6,20,,,,12,241,4,59,83000
2016,6,21,,,,12,193,4,58,63000
2016,6,22,,,,12,199,4,92,79000
2016,6,23,,,,12,209,4,62,84000
2016,6,23,,,,12,143,4,69,212000
2016,6,24,,,,363,830,118,655,480000
2016,6,27,,,,341,336,111,398,121000
2016,6,29,,,,321,276,105,200,73000
2016,6,29,,,,338,311,110,204,84000
2016,7,13,,,,133,207,44,60,57000
2016,7,19,,,,162,312,53,54,76000
2016,7,25,,,,12,131,4,28,34000
2016,7,25,,,,12,115,4,21,17000
2016,7,29,,,,16,132,5,201,31000
2016,8,3,,,,45,256,15,48,74000
2016,8,11,,,,22,83,7,18,9000
2016,8,15,,,,244,304,80,283,77000
2016,8,16,,,,202,245,66,256,78000
2016,8,18,,,,157,146,51,46,26000
2016,8,18,,,,170,170,55,96,42000
2016,8,18,,,,166,144,54,75,23000
2016,8,22,,,,324,225,106,70,44000
2016,8,25,,,,357,190,116,58,25000
2016,8,26,,,,330,199,108,104,39000
2016,9,1,,,,296,305,96,204,27000
2016,9,2,,,,292,179,95,38,35000
2016,9,7,,,,236,150,77,34,30000
2016,9,11,,,,242,167,79,108,30000
2016,9,12,,,,403,860,131,70,66000
2016,9,13,,,,380,264,124,110,48000
2016,9,17,,,,277,169,90,66,30000
2016,9,18,,,,192,156,63,115,36000
2016,9,22,,,,332,222,108,60,39000
2016,9,26,,,,386,228,126,53,37000
2016,9,26,,,,371,266,121,51,45000
2016,9,29,,,,419,203,137,140,31000
2016,10,3,,,,277,256,90,98,61000
2016,10,12,,,,157,251,51,16,
2016,10,19,,,,166,136,54,66,
2016,10,21,,,,237,155,77,144,
2016,10,22,,,,437,318,143,180,
2016,10,24,,,,461,258,150,52,
2016,10,24,,,,467,287,152,58,
2016,10,31,,,,410,195,134,80,
2016,11,3,,,,381,222,124,44,
2016,11,9,,,,374,279,122,75,
2016,11,16,,,,284,167,93,31,
2016,11,21,,,,242,154,79,45,
2016,11,26,,,,487,328,159,13,
2016,11,29,,,,379,219,124,105,
2016,11,29,,,,370,302,121,26,
2016,11,29,,,,330,292,108,37,
2016,11,29,,,,503,432,164,13,
2016,12,6,,,,420,292,137,59,
2016,12,13,,,,312,169,102,108,
2016,12,21,,,,295,149,96,174,
2016,12,27,,,,460,144,150,94,
