Year,Month,Day,Inflow volume [m3 d-1],*Suspended sediment concentration[mg m-3]
1980,9,23,2593370.079,
1980,9,24,2446575.546,
1980,9,25,2715698.856,
1980,9,26,1998852.221,
1980,9,27,2018424.825,
1980,9,28,1976833.041,
1980,9,29,1729728.911,
1980,9,30,1614739.86,
1980,10,1,1531556.292,
1980,10,2,4648493.537,
1980,10,3,3474137.275,
1980,10,4,1108298.722,
1980,10,5,1152337.082,
1980,10,6,1017775.427,
1980,10,7,983523.3695,
1980,10,8,1115638.449,
1980,10,9,1032454.88,
1980,10,10,1274665.859,
1980,10,11,848961.7145,
1980,10,12,780457.5992,
1980,10,13,831835.6856,
1980,10,14,824495.959,
1980,10,15,863641.1677,
1980,10,16,861194.5922,
1980,10,17,893000.0743,
1980,10,18,937038.4341,
1980,10,19,1005542.549,
1980,10,20,1105852.147,
1980,10,21,939485.0097,
1980,10,22,888106.9232,
1980,10,23,858748.0166,
1980,10,24,1822698.782,
1980,10,25,1355402.852,
1980,10,26,1098512.42,
1980,10,27,1257539.831,
1980,10,28,1284452.162,
1980,10,29,1326043.946,
1980,10,30,1568254.925,
1980,10,31,1529109.716,
1980,11,1,1509537.112,
1980,11,2,1521769.99,
1980,11,3,1607400.134,
1980,11,4,1619633.011,
1980,11,5,1524216.565,
1980,11,6,1531556.292,
1980,11,7,1482624.781,
1980,11,8,1409227.514,
1980,11,9,1411674.09,
1980,11,10,1313811.068,
1980,11,11,1328490.521,
1980,11,12,1294238.464,
1980,11,13,1277112.435,
1980,11,14,1267326.133,
1980,11,15,1264879.557,
1980,11,16,1277112.435,
1980,11,17,1326043.946,
1980,11,18,1338276.824,
1980,11,19,1274665.859,
1980,11,20,1242860.377,
1980,11,21,1223287.773,
1980,11,22,1223287.773,
1980,11,23,1223287.773,
1980,11,24,1223287.773,
1980,11,25,1223287.773,
1980,11,26,1223287.773,
1980,11,27,1247753.528,
1980,11,28,1272219.284,
1980,11,29,1321150.795,
1980,11,30,1419013.817,
1980,12,1,1663671.371,
1980,12,2,1810465.904,
1980,12,3,1712602.882,
1980,12,4,2006191.948,
1980,12,5,2299781.013,
1980,12,6,2568904.323,
1980,12,7,2935890.655,
1980,12,8,4403835.983,
1980,12,9,7339726.638,
1980,12,10,13700823.06,
1980,12,11,12942384.64,
1980,12,12,11107452.98,
1980,12,13,9639507.651,
1980,12,14,8367288.367,
1980,12,15,7168466.35,
1980,12,16,5945178.577,
1980,12,17,4526164.76,
1980,12,18,4085781.162,
1980,12,19,3009287.922,
1980,12,20,1891202.897,
1980,12,21,2011085.099,
1980,12,22,1800679.602,
1980,12,23,2104054.97,
1980,12,24,2172559.085,
1980,12,25,1854504.264,
1980,12,26,1761534.393,
1980,12,27,1800679.602,
1980,12,28,1563361.774,
1980,12,29,1585380.954,
1980,12,30,1751748.091,
1980,12,31,1751748.091,
1981,1,1,1751748.091,
1981,1,2,1724835.76,
1981,1,3,1702816.58,
1981,1,4,1685690.551,
1981,1,5,1808019.328,
1981,1,6,2013531.674,
1981,1,7,1947474.135,
1981,1,8,1817805.631,
1981,1,9,1817805.631,
1981,1,10,1781106.997,
1981,1,11,1705263.156,
1981,1,12,1602506.983,
1981,1,13,1580487.803,
1981,1,14,1507090.536,
1981,1,15,1450819.299,
1981,1,16,1419013.817,
1981,1,17,1394548.061,
1981,1,18,1374975.457,
1981,1,19,1374975.457,
1981,1,20,1374975.457,
1981,1,21,1374975.457,
1981,1,22,1374975.457,
1981,1,23,1455712.45,
1981,1,24,1477731.63,
1981,1,25,1463052.177,
1981,1,26,1778660.422,
1981,1,27,2297334.438,
1981,1,28,3865589.363,
1981,1,29,6018575.843,
1981,1,30,7144000.594,
1981,1,31,6189836.131,
1981,2,1,4893151.092,
1981,2,2,6140904.62,
1981,2,3,7364192.393,
1981,2,4,5994110.088,
1981,2,5,4501699.005,
1981,2,6,3792192.096,
1981,2,7,3327342.743,
1981,2,8,2984822.166,
1981,2,9,2617835.834,
1981,2,10,2471041.301,
1981,2,11,5113342.891,
1981,2,12,7486521.171,
1981,2,13,10226685.78,
1981,2,14,10911726.94,
1981,2,15,10006493.98,
1981,2,16,12599864.06,
1981,2,17,28624933.89,
1981,2,18,44038359.83,
1981,2,19,59696443.32,
1981,2,20,75599184.37,
1981,2,21,82204938.35,
1981,2,22,64100279.31,
1981,2,23,54803292.23,
1981,2,24,54803292.23,
1981,2,25,50154798.69,
1981,2,26,43793702.27,
1981,2,27,35230687.86,
1981,2,28,28624933.89,
1981,3,1,23903043.08,
1981,3,2,19156686.53,
1981,3,3,17321754.87,
1981,3,4,14312466.94,
1981,3,5,11768028.38,
1981,3,6,10349014.56,
1981,3,7,9248055.564,
1981,3,8,7853507.503,
1981,3,9,7168466.35,
1981,3,10,6287699.153,
1981,3,11,5627123.756,
1981,3,12,5333534.69,
1981,3,13,5039945.625,
1981,3,14,4672959.293,
1981,3,15,4452767.494,
1981,3,16,3938986.629,
1981,3,17,3743260.585,
1981,3,18,3547534.542,
1981,3,19,3400740.009,
1981,3,20,3229479.721,
1981,3,21,3058219.433,
1981,3,22,2813561.878,
1981,3,23,2666767.345,
1981,3,24,2593370.079,
1981,3,25,2444128.97,
1981,3,26,2341372.798,
1981,3,27,2326693.344,
1981,3,28,2329139.92,
1981,3,29,2519972.812,
1981,3,30,2666767.345,
1981,3,31,2715698.856,
1981,4,1,3033753.677,
1981,4,2,2813561.878,
1981,4,3,2813561.878,
1981,4,4,2960356.411,
1981,4,5,2984822.166,
1981,4,6,3131616.699,
1981,4,7,3351808.498,
1981,4,8,3229479.721,
1981,4,9,2886959.144,
1981,4,10,2911424.9,
1981,4,11,3645397.564,
1981,4,12,5382466.201,
1981,4,13,15388960.18,
1981,4,14,48931510.92,
1981,4,15,69727403.06,
1981,4,16,57249867.78,
1981,4,17,44527674.94,
1981,4,18,34496715.2,
1981,4,19,28135618.78,
1981,4,20,21480933.29,
1981,4,21,17615343.93,
1981,4,22,14190138.17,
1981,4,23,11621233.84,
1981,4,24,9639507.651,
1981,4,25,7682247.214,
1981,4,26,7902439.014,
1981,4,27,7559918.437,
1981,4,28,8220493.835,
1981,4,29,18887563.22,
1981,4,30,27890961.22,
1981,5,1,30092879.22,
1981,5,2,26912331.01,
1981,5,3,24955070.57,
1981,5,4,21725590.85,
1981,5,5,17590878.18,
1981,5,6,17272823.35,
1981,5,7,19597070.12,
1981,5,8,19548138.61,
1981,5,9,15315562.92,
1981,5,10,12110548.95,
1981,5,11,20746960.63,
1981,5,12,22214905.96,
1981,5,13,21823453.87,
1981,5,14,22728686.82,
1981,5,15,47708223.15,
1981,5,16,61653703.76,
1981,5,17,52112059.13,
1981,5,18,37432605.85,
1981,5,19,26667673.45,
1981,5,20,19768330.41,
1981,5,21,14654987.52,
1981,5,22,11645699.6,
1981,5,23,8930000.743,
1981,5,24,7413123.904,
1981,5,25,6385562.175,
1981,5,26,5700521.022,
1981,5,27,5529260.734,
1981,5,28,6043041.599,
1981,5,29,12183946.22,
1981,5,30,12428603.77,
1981,5,31,10128822.76,
1981,6,1,15927206.8,
1981,6,2,12575398.31,
1981,6,3,8563014.411,
1981,6,4,7682247.214,
1981,6,5,7339726.638,
1981,6,6,10446877.58,
1981,6,7,9150192.542,
1981,6,8,13064713.42,
1981,6,9,33518084.98,
1981,6,10,57494525.33,
1981,6,11,56026580,
1981,6,12,46974250.48,
1981,6,13,51622744.02,
1981,6,14,117190968.7,
1981,6,15,171015630.7,
1981,6,16,177866042.2,
1981,6,17,136274257.9,
1981,6,18,85385486.56,
1981,6,19,55781922.45,
1981,6,20,41836441.84,
1981,6,21,34007400.09,
1981,6,22,48931510.92,
1981,6,23,52112059.13,
1981,6,24,38900551.18,
1981,6,25,42325756.95,
1981,6,26,45750962.71,
1981,6,27,45506305.16,
1981,6,28,35230687.86,
1981,6,29,22312768.98,
1981,6,30,14239069.68,
1981,7,1,20282111.28,
1981,7,2,25689043.23,
1981,7,3,19009891.99,
1981,7,4,11156384.49,
1981,7,5,8660877.433,
1981,7,6,6581288.219,
1981,7,7,5749452.533,
1981,7,8,4672959.293,
1981,7,9,4012383.895,
1981,7,10,3596466.053,
1981,7,11,2764630.367,
1981,7,12,2099161.818,
1981,7,13,2316907.042,
1981,7,14,2116287.847,
1981,7,15,2108948.121,
1981,7,16,2025764.552,
1981,7,17,1834931.66,
1981,7,18,1881416.595,
1981,7,19,1803126.177,
1981,7,20,1771320.695,
1981,7,21,2764630.367,
1981,7,22,5088877.136,
1981,7,23,5382466.201,
1981,7,24,7462055.415,
1981,7,25,8709808.944,
1981,7,26,8318356.856,
1981,7,27,6214301.887,
1981,7,28,5724986.778,
1981,7,29,6263233.398,
1981,7,30,7510986.926,
1981,7,31,8244959.59,
1981,8,1,8954466.498,
1981,8,2,9199124.053,
1981,8,3,9345918.586,
1981,8,4,8587480.166,
1981,8,5,6556822.463,
1981,8,6,5382466.201,
1981,8,7,4183644.184,
1981,8,8,3767726.341,
1981,8,9,3278411.232,
1981,8,10,3009287.922,
1981,8,11,2715698.856,
1981,8,12,2351159.1,
1981,8,13,2157879.632,
1981,8,14,1910775.501,
1981,8,15,1854504.264,
1981,8,16,1575594.652,
1981,8,17,1636759.04,
1981,8,18,1631865.889,
1981,8,19,1443479.572,
1981,8,20,1294238.464,
1981,8,21,1279559.011,
1981,8,22,1259986.406,
1981,8,23,1296685.039,
1981,8,24,1071600.089,
1981,8,25,949271.3118,
1981,8,26,1010435.7,
1981,8,27,1005542.549,
1981,8,28,1044687.758,
1981,8,29,998202.8228,
1981,8,30,1059367.211,
1981,8,31,2289994.711,
1981,9,1,4452767.494,
1981,9,2,9737370.673,
1981,9,3,22092577.18,
1981,9,4,56026580,
1981,9,5,52356716.68,
1981,9,6,40857811.62,
1981,9,7,29848221.66,
1981,9,8,17664275.44,
1981,9,9,12820055.86,
1981,9,10,10128822.76,
1981,9,11,6874877.284,
1981,9,12,4819753.826,
1981,9,13,4208109.939,
1981,9,14,3327342.743,
1981,9,15,2789096.122,
1981,9,16,2568904.323,
1981,9,17,3058219.433,
1981,9,18,3914520.874,
1981,9,19,4257041.45,
1981,9,20,4379370.227,
1981,9,21,5015479.869,
1981,9,22,4624027.782,
1981,9,23,3841123.607,
1981,9,24,3253945.476,
1981,9,25,2789096.122,
1981,9,26,2666767.345,
1981,9,27,2617835.834,
1981,9,28,2666767.345,
1981,9,29,3156082.454,
1981,9,30,3400740.009,
1981,10,1,4795288.07,
1981,10,2,5627123.756,
1981,10,3,7266329.372,
1981,10,4,6410027.931,
1981,10,5,6238767.642,
1981,10,6,7559918.437,
1981,10,7,9517178.874,
1981,10,8,8660877.433,
1981,10,9,7559918.437,
1981,10,10,5284603.179,
1981,10,11,4257041.45,
1981,10,12,3547534.542,
1981,10,13,3009287.922,
1981,10,14,2519972.812,
1981,10,15,2346265.949,
1981,10,16,2013531.674,
1981,10,17,2013531.674,
1981,10,18,2123627.574,
1981,10,19,1908328.926,
1981,10,20,2013531.674,
1981,10,21,2233723.473,
1981,10,22,2471041.301,
1981,10,23,6410027.931,
1981,10,24,8342822.612,
1981,10,25,7168466.35,
1981,10,26,6067507.354,
1981,10,27,7168466.35,
1981,10,28,27401646.12,
1981,10,29,33518084.98,
1981,10,30,29603564.11,
1981,10,31,21872385.38,
1981,11,1,15462357.45,
1981,11,2,9517178.874,
1981,11,3,6336630.664,
1981,11,4,6067507.354,
1981,11,5,5284603.179,
1981,11,6,4550630.516,
1981,11,7,4036849.651,
1981,11,8,3743260.585,
1981,11,9,3131616.699,
1981,11,10,3058219.433,
1981,11,11,2886959.144,
1981,11,12,2691233.101,
1981,11,13,2471041.301,
1981,11,14,2471041.301,
1981,11,15,2289994.711,
1981,11,16,2067356.336,
1981,11,17,2067356.336,
1981,11,18,1959707.012,
1981,11,19,3131616.699,
1981,11,20,4868685.337,
1981,11,21,4330438.716,
1981,11,22,4795288.07,
1981,11,23,6703616.996,
1981,11,24,7266329.372,
1981,11,25,7168466.35,
1981,11,26,7657781.459,
1981,11,27,8563014.411,
1981,11,28,10422411.83,
1981,11,29,11694631.11,
1981,11,30,9737370.673,
1981,12,1,8758740.455,
1981,12,2,8660877.433,
1981,12,3,7364192.393,
1981,12,4,6972740.306,
1981,12,5,6874877.284,
1981,12,6,6238767.642,
1981,12,7,5700521.022,
1981,12,8,5627123.756,
1981,12,9,5529260.734,
1981,12,10,4966548.358,
1981,12,11,4721890.804,
1981,12,12,4550630.516,
1981,12,13,3816657.852,
1981,12,14,3400740.009,
1981,12,15,2233723.473,
1981,12,16,2177452.236,
1981,12,17,2177452.236,
1981,12,18,1854504.264,
1981,12,19,1465498.752,
1981,12,20,1604953.558,
1981,12,21,1511983.687,
1981,12,22,1908328.926,
1981,12,23,7951370.525,
1981,12,24,26912331.01,
1981,12,25,32294797.21,
1981,12,26,28869591.44,
1981,12,27,21872385.38,
1981,12,28,17028165.8,
1981,12,29,13578494.28,
1981,12,30,10300083.05,
1981,12,31,8978932.254,
1982,1,1,9957562.472,
1982,1,2,13994412.12,
1982,1,3,18178056.31,
1982,1,4,55047949.79,
1982,1,5,77801102.36,
1982,1,6,74620554.15,
1982,1,7,58228497.99,
1982,1,8,36698633.19,
1982,1,9,25933700.79,
1982,1,10,14777316.3,
1982,1,11,5529260.734,
1982,1,12,4868685.337,
1982,1,13,5382466.201,
1982,1,14,6410027.931,
1982,1,15,6410027.931,
1982,1,16,5871781.31,
1982,1,17,5382466.201,
1982,1,18,5015479.869,
1982,1,19,4648493.537,
1982,1,20,4281507.206,
1982,1,21,4159178.428,
1982,1,22,3914520.874,
1982,1,23,5969644.332,
1982,1,24,8758740.455,
1982,1,25,13211507.95,
1982,1,26,14924110.83,
1982,1,27,13211507.95,
1982,1,28,10520274.85,
1982,1,29,8147096.568,
1982,1,30,11694631.11,
1982,1,31,26178358.34,
1982,2,1,32294797.21,
1982,2,2,32784112.32,
1982,2,3,27156988.56,
1982,2,4,20159782.5,
1982,2,5,15462357.45,
1982,2,6,12575398.31,
1982,2,7,10520274.85,
1982,2,8,9296987.075,
1982,2,9,8758740.455,
1982,2,10,7951370.525,
1982,2,11,7266329.372,
1982,2,12,6605753.974,
1982,2,13,5969644.332,
1982,2,14,5455863.468,
1982,2,15,4868685.337,
1982,2,16,4868685.337,
1982,2,17,7853507.503,
1982,2,18,13847617.59,
1982,2,19,24710413.01,
1982,2,20,34496715.2,
1982,2,21,40368496.51,
1982,2,22,50888771.36,
1982,2,23,67280827.52,
1982,2,24,110340557.1,
1982,2,25,124041380.2,
1982,2,26,110585214.7,
1982,2,27,73152608.83,
1982,2,28,47463565.59,
1982,3,1,36209318.08,
1982,3,2,33273427.43,
1982,3,3,35720002.97,
1982,3,4,33028769.87,
1982,3,5,29848221.66,
1982,3,6,43793702.27,
1982,3,7,50399456.25,
1982,3,8,40857811.62,
1982,3,9,30337536.77,
1982,3,10,23658385.53,
1982,3,11,28380276.33,
1982,3,12,84406856.34,
1982,3,13,160250698.3,
1982,3,14,233158649.5,
1982,3,15,241721663.9,
1982,3,16,190343577.5,
1982,3,17,178110699.7,
1982,3,18,171015630.7,
1982,3,19,145571245,
1982,3,20,128689873.7,
1982,3,21,124530695.3,
1982,3,22,106670693.8,
1982,3,23,83672883.67,
1982,3,24,67036169.96,
1982,3,25,53824662.01,
1982,3,26,47218908.04,
1982,3,27,42325756.95,
1982,3,28,36943290.74,
1982,3,29,30582194.33,
1982,3,30,25689043.23,
1982,3,31,37187948.3,
1982,4,1,43793702.27,
1982,4,2,38411236.07,
1982,4,3,31560824.54,
1982,4,4,28624933.89,
1982,4,5,23951974.6,
1982,4,6,21089481.21,
1982,4,7,18985426.24,
1982,4,8,17370686.38,
1982,4,9,17321754.87,
1982,4,10,19890659.19,
1982,4,11,27646303.67,
1982,4,12,47708223.15,
1982,4,13,65812882.19,
1982,4,14,58962470.66,
1982,4,15,44283017.38,
1982,4,16,34007400.09,
1982,4,17,36453975.64,
1982,4,18,41347126.73,
1982,4,19,34986030.31,
1982,4,20,24955070.57,
1982,4,21,17762138.46,
1982,4,22,13554028.52,
1982,4,23,10520274.85,
1982,4,24,9835233.695,
1982,4,25,8587480.166,
1982,4,26,7633315.704,
1982,4,27,6679151.241,
1982,4,28,6336630.664,
1982,4,29,5847315.555,
1982,4,30,5137808.647,
1982,5,1,4868685.337,
1982,5,2,4183644.184,
1982,5,3,4110246.917,
1982,5,4,4061315.406,
1982,5,5,3890055.118,
1982,5,6,3718794.83,
1982,5,7,3620931.808,
1982,5,8,3694329.074,
1982,5,9,4819753.826,
1982,5,10,5088877.136,
1982,5,11,4942082.603,
1982,5,12,4770822.315,
1982,5,13,4721890.804,
1982,5,14,4550630.516,
1982,5,15,3987918.14,
1982,5,16,3792192.096,
1982,5,17,3669863.319,
1982,5,18,3620931.808,
1982,5,19,3572000.297,
1982,5,20,3841123.607,
1982,5,21,4893151.092,
1982,5,22,8807671.966,
1982,5,23,12232877.73,
1982,5,24,13456165.5,
1982,5,25,10520274.85,
1982,5,26,8416219.878,
1982,5,27,9761836.429,
1982,5,28,35964660.53,
1982,5,29,54313977.12,
1982,5,30,50888771.36,
1982,5,31,41347126.73,
1982,6,1,31560824.54,
1982,6,2,29358906.55,
1982,6,3,21016083.94,
1982,6,4,16489919.18,
1982,6,5,13089179.17,
1982,6,6,10544740.6,
1982,6,7,8709808.944,
1982,6,8,6948274.551,
1982,6,9,4917616.847,
1982,6,10,5113342.891,
1982,6,11,8709808.944,
1982,6,12,10202220.03,
1982,6,13,9076795.276,
1982,6,14,7364192.393,
1982,6,15,6434493.686,
1982,6,16,5651589.511,
1982,6,17,6777014.262,
1982,6,18,13798686.08,
1982,6,19,14336932.7,
1982,6,20,11034055.71,
1982,6,21,8807671.966,
1982,6,22,9345918.586,
1982,6,23,9541644.629,
1982,6,24,7535452.682,
1982,6,25,6091973.11,
1982,6,26,4501699.005,
1982,6,27,4061315.406,
1982,6,28,3596466.053,
1982,6,29,5284603.179,
1982,6,30,12526466.8,
1982,7,1,11865891.4,
1982,7,2,7951370.525,
1982,7,3,24710413.01,
1982,7,4,35475345.42,
1982,7,5,31805482.1,
1982,7,6,23266933.44,
1982,7,7,13138110.68,
1982,7,8,8244959.59,
1982,7,9,6899343.04,
1982,7,10,4819753.826,
1982,7,11,6067507.354,
1982,7,12,5676055.267,
1982,7,13,6532356.708,
1982,7,14,5358000.446,
1982,7,15,4281507.206,
1982,7,16,3400740.009,
1982,7,17,2911424.9,
1982,7,18,2519972.812,
1982,7,19,2568904.323,
1982,7,20,3351808.498,
1982,7,21,3351808.498,
1982,7,22,4012383.895,
1982,7,23,3131616.699,
1982,7,24,2813561.878,
1982,7,25,2691233.101,
1982,7,26,2378071.431,
1982,7,27,2033104.279,
1982,7,28,1663671.371,
1982,7,29,1839824.811,
1982,7,30,1910775.501,
1982,7,31,1423906.968,
1982,8,1,1328490.521,
1982,8,2,1406780.939,
1982,8,3,1237967.226,
1982,8,4,1883863.17,
1982,8,5,1519323.414,
1982,8,6,1220841.197,
1982,8,7,1159676.809,
1982,8,8,1255093.255,
1982,8,9,1159676.809,
1982,8,10,1773767.271,
1982,8,11,1482624.781,
1982,8,12,1272219.284,
1982,8,13,1242860.377,
1982,8,14,1186589.14,
1982,8,15,1061813.787,
1982,8,16,939485.0097,
1982,8,17,939485.0097,
1982,8,18,841621.9878,
1982,8,19,890553.4987,
1982,8,20,951717.8874,
1982,8,21,787797.3258,
1982,8,22,1027561.729,
1982,8,23,1113191.873,
1982,8,24,1044687.758,
1982,8,25,956611.0385,
1982,8,26,941931.5852,
1982,8,27,1122978.176,
1982,8,28,1174356.262,
1982,8,29,893000.0743,
1982,8,30,873427.4699,
1982,8,31,834282.2612,
1982,9,1,748652.1171,
1982,9,2,790243.9014,
1982,9,3,721739.7861,
1982,9,4,672808.2752,
1982,9,5,726632.9372,
1982,9,6,741312.3904,
1982,9,7,714400.0594,
1982,9,8,738865.8149,
1982,9,9,743758.966,
1982,9,10,1012882.276,
1982,9,11,819602.8079,
1982,9,12,716846.635,
1982,9,13,641002.7931,
1982,9,14,689934.304,
1982,9,15,729079.5127,
1982,9,16,748652.1171,
1982,9,17,800030.2035,
1982,9,18,839175.4123,
1982,9,19,792690.4769,
1982,9,20,819602.8079,
1982,9,21,826942.5345,
