Year,Month,Day,Inflow temperature [°C],Inflow pH [-],Inflow concentration of O2 [mg m-3],"*Suspended solids, water, unfiltered [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","* Phosphorus, water, filtered, as phosphorus [mg m-3]","* Orthophosphate, water, filtered,  as phosphorus [mg m-3]",Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]",Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of NO3 [mg m-3]
1986,9,11,20.8,8.8,11200,,,,,,,,,,,,,,,,,
1986,9,11,20.8,8.8,11000,,,,,,,,,,,,,,,,,
1986,11,18,4.5,8.8,13000,,92,110,10,30,,,95000,94000,6700,,,10,10,,26,8320
1987,3,24,12.5,9,12000,,31,80,20,10,,,70000,93000,70,,,18,20,,64,11300
1987,4,28,18.5,8.9,12800,,31,160,20,10,,,67000,84000,100,,,19,30,,26,14000
1987,8,25,20.2,8.8,10600,,61,180,40,20,,,43000,94000,490000,,,4,20,,26,443
1987,8,25,21.1,8.8,10400,,,,,,,,,,,,,,,,,
1987,8,25,20.2,8.8,10800,,,,,,,,,,,,,,,,,
1987,8,25,20.2,8.8,10600,,,,,,,,,,,,,,,,,
1987,8,25,20.2,8.8,10600,,,,,,,,,,,,,,,,,
1987,8,25,20.2,8.8,10600,,,,,,,,,,,,,,,,,
1987,10,2,,,,,,200,,,,,,,,,,,,,,
1987,10,3,,,,,,170,,,,,,,,,,,,,,
1987,10,4,,,,,,190,,,,,,,,,,,,,,
1987,10,5,,,,,,170,,,,,,,,,,,,,,
1987,10,5,,,,,,,,,,,,,,,,,,,,
1987,10,5,,,,,,170,,,,,,,,,,,,,,
1987,10,6,,,,,,150,,,,,,,,,,,,,,
1987,10,7,,,,,,160,,,,,,,,,,,,,,
1987,10,8,,,,,,130,,,,,,,,,,,,,,
1987,10,9,,,,,,130,,,,,,,,,,,,,,
1987,10,10,,,,,,130,,,,,,,,,,,,,,
1987,10,11,,,,,,130,,,,,,,,,,,,,,
1987,10,12,,,,,,130,,,,,,,,,,,,,,
1987,10,12,,,,,,150,,,,,,,,,,,,,,
1987,10,13,,,,,,190,,,,,,,,,,,,,,
1987,10,14,,,,,,200,,,,,,,,,,,,,,
1987,10,15,,,,,,200,,,,,,,,,,,,,,
1987,10,16,,,,,,150,,,,,,,,,,,,,,
1987,10,17,,,,,,160,,,,,,,,,,,,,,
1987,10,18,,,,,,160,,,,,,,,,,,,,,
1987,10,19,,,,,,,,,,,,,,,,,,,,
1987,10,19,,,,,,140,,,,,,,,,,,,,,
1987,10,19,,,,,,130,,,,,,,,,,,,,,
1987,10,19,,,,,,,,,,,,,,,,,,,,
1987,10,20,,,,,,120,,,,,,,,,,,,,,
1987,10,21,,,,,,100,,,,,,,,,,,,,,
1987,10,22,,,,,,80,,,,,,,,,,,,,,
1987,10,23,,,,,,100,,,,,,,,,,,,,,
1987,10,24,,,,,,90,,,,,,,,,,,,,,
1987,10,25,,,,,,80,,,,,,,,,,,,,,
1987,10,26,,,,,,70,,,,,,,,,,,,,,
1987,10,26,,,,,,70,,,,,,,,,,,,,,
1987,10,27,,,,,,100,,,,,,,,,,,,,,
1987,10,28,,,,,,110,,,,,,,,,,,,,,
1987,10,29,,,,,,130,,,,,,,,,,,,,,
1987,10,31,,,,,,180,,,,,,,,,,,,,,
1987,11,1,,,,,,160,,,,,,,,,,,,,,
1987,11,2,,,,,,190,,,,,,,,,,,,,,
1987,11,2,,,,,,,,,,,,,,,,,,,,
1987,11,2,,,,,,170,,,,,,,,,,,,,,
1987,11,3,,,,,,170,,,,,,,,,,,,,,
1987,11,4,,,,,,210,,,,,,,,,,,,,,
1987,11,5,,,,,,180,,,,,,,,,,,,,,
1987,11,6,,,,,,170,,,,,,,,,,,,,,
1987,11,7,,,,,,130,,,,,,,,,,,,,,
1987,11,8,,,,,,140,,,,,,,,,,,,,,
1987,11,9,,,,,,130,,,,,,,,,,,,,,
1987,11,9,,,,,,130,,,,,,,,,,,,,,
1987,11,10,,,,,,130,,,,,,,,,,,,,,
1987,11,11,,,,,,130,,,,,,,,,,,,,,
1987,11,12,,,,,,130,,,,,,,,,,,,,,
1987,11,13,,,,,,150,,,,,,,,,,,,,,
1987,11,14,,,,,,190,,,,,,,,,,,,,,
1987,11,15,,,,,,200,,,,,,,,,,,,,,
1987,11,16,,,,,,200,,,,,,,,,,,,,,
1987,11,16,,,,,,,,,,,,,,,,,,,,
1987,11,16,,,,,,150,,,,,,,,,,,,,,
1987,11,17,,,,,,160,,,,,,,,,,,,,,
1987,11,18,,,,,,160,,,,,,,,,,,,,,
1987,11,19,,,,,,140,,,,,,,,,,,,,,
1987,11,20,,,,,,130,,,,,,,,,,,,,,
1987,11,21,,,,,,120,,,,,,,,,,,,,,
1987,11,22,,,,,,110,,,,,,,,,,,,,,
1987,11,23,,,,,,160,,,,,,,,,,,,,,
1987,11,23,,,,,,100,,,,,,,,,,,,,,
1987,11,24,,,,,,100,,,,,,,,,,,,,,
1987,11,25,,,,,,100,,,,,,,,,,,,,,
1987,11,26,,,,,,140,,,,,,,,,,,,,,
1987,11,28,,,,,,180,,,,,,,,,,,,,,
1987,11,28,,,,,,170,,,,,,,,,,,,,,
1987,11,29,,,,,,180,,,,,,,,,,,,,,
1987,11,29,,,,,,260,,,,,,,,,,,,,,
1987,11,30,,,,,,250,,,,,,,,,,,,,,
1987,11,30,,,,,,,,,,,,,,,,,,,,
1987,11,30,,,,,,240,,,,,,,,,,,,,,
1987,12,1,,,,,,210,,,,,,,,,,,,,,
1987,12,2,,,,,,220,,,,,,,,,,,,,,
1987,12,3,,,,,,210,,,,,,,,,,,,,,
1987,12,4,,,,,,230,,,,,,,,,,,,,,
1987,12,5,,,,,,190,,,,,,,,,,,,,,
1987,12,6,,,,,,160,,,,,,,,,,,,,,
1987,12,7,,,,,,150,,,,,,,,,,,,,,
1987,12,7,,,,,,160,,,,,,,,,,,,,,
1987,12,8,,,,,,170,,,,,,,,,,,,,,
1987,12,9,,,,,,210,,,,,,,,,,,,,,
1987,12,10,,,,,,180,,,,,,,,,,,,,,
1987,12,11,4.1,7.7,11300,,184,140,70,60,,,88000,82000,8200,,,32,10,,193,42700
1987,12,11,4.1,7.5,11000,,,,,,,,,,,,,,,,,
1987,12,11,4.1,7.5,11100,,,,,,,,,,,,,,,,,
1987,12,11,4.1,7.5,11300,,,,,,,,,,,,,,,,,
1987,12,11,4,7.5,11300,,,,,,,,,,,,,,,,,
1987,12,11,4,7.5,11700,,,,,,,,,,,,,,,,,
1987,12,11,3.9,7.6,11700,,,,,,,,,,,,,,,,,
1987,12,11,4.1,7.5,11700,,,,,,,,,,,,,,,,,
1987,12,11,4.1,7.7,11300,,,,,,,,,,,,,,,,,
1987,12,11,4.2,7.7,11300,,,,,,,,,,,,,,,,,
1987,12,11,4.2,7.7,11300,,,,,,,,,,,,,,,,,
1987,12,11,4.2,,11300,,,,,,,,,,,,,,,,,
1987,12,11,4.1,,11300,,,,,,,,,,,,,,,,,
1987,12,11,,,,,,200,,,,,,,,,,,,,,
1987,12,12,,,,,,220,,,,,,,,,,,,,,
1987,12,13,,,,,,210,,,,,,,,,,,,,,
1987,12,14,,,,,,200,,,,,,,,,,,,,,
1987,12,14,,,,,,,,,,,,,,,,,,,,
1987,12,14,,,,,,200,,,,,,,,,,,,,,
1987,12,15,,,,,,210,,,,,,,,,,,,,,
1987,12,15,,,,,,330,,,,,,,,,,,,,,
1987,12,15,,,,,,710,,,,,,,,,,,,,,
1987,12,15,,,,,,760,,,,,,,,,,,,,,
1987,12,16,,,,,,700,,,,,,,,,,,,,,
1987,12,16,,,,,,760,,,,,,,,,,,,,,
1987,12,16,,,,,,780,,,,,,,,,,,,,,
1987,12,16,,,,,,660,,,,,,,,,,,,,,
1987,12,17,,,,,,720,,,,,,,,,,,,,,
1987,12,17,,,,,,660,,,,,,,,,,,,,,
1987,12,17,,,,,,670,,,,,,,,,,,,,,
1987,12,17,,,,,,230,,,,,,,,,,,,,,
1987,12,18,,,,,,540,,,,,,,,,,,,,,
1987,12,18,,,,,,490,,,,,,,,,,,,,,
1987,12,19,,,,,,430,,,,,,,,,,,,,,
1987,12,21,,,,,,380,,,,,,,,,,,,,,
1987,12,22,,,,,,390,,,,,,,,,,,,,,
1987,12,22,,,,,,370,,,,,,,,,,,,,,
1987,12,22,,,,,,360,,,,,,,,,,,,,,
1987,12,22,,,,,,390,,,,,,,,,,,,,,
1987,12,23,,,,,,380,,,,,,,,,,,,,,
1987,12,23,,,,,,380,,,,,,,,,,,,,,
1987,12,24,,,,,,380,,,,,,,,,,,,,,
1987,12,24,,,,,,360,,,,,,,,,,,,,,
1987,12,25,,,,,,250,,,,,,,,,,,,,,
1987,12,25,,,,,,230,,,,,,,,,,,,,,
1987,12,26,,,,,,250,,,,,,,,,,,,,,
1987,12,27,,,,,,220,,,,,,,,,,,,,,
1987,12,28,,,,,,220,,,,,,,,,,,,,,
1988,1,4,,,,,,150,,,,,,,,,,,,,,
1988,1,5,,,,,,170,,,,,,,,,,,,,,
1988,1,6,,,,,,160,,,,,,,,,,,,,,
1988,1,7,,,,,,150,,,,,,,,,,,,,,
1988,1,8,,,,,,150,,,,,,,,,,,,,,
1988,1,9,,,,,,150,,,,,,,,,,,,,,
1988,1,10,,,,,,140,,,,,,,,,,,,,,
1988,1,11,,,,,,140,,,,,,,,,,,,,,
1988,1,11,,,,,,,,,,,,,,,,,,,,
1988,1,11,,,,,,140,,,,,,,,,,,,,,
1988,1,12,,,,,,140,,,,,,,,,,,,,,
1988,1,13,,,,,,130,,,,,,,,,,,,,,
1988,1,14,,,,,,130,,,,,,,,,,,,,,
1988,1,15,,,,,,130,,,,,,,,,,,,,,
1988,1,16,,,,,,140,,,,,,,,,,,,,,
1988,1,17,,,,,,140,,,,,,,,,,,,,,
1988,1,18,,,,,,190,,,,,,,,,,,,,,
1988,1,18,,,,,,170,,,,,,,,,,,,,,
1988,1,19,,,,,,140,,,,,,,,,,,,,,
1988,1,20,,,,,,200,,,,,,,,,,,,,,
1988,1,21,,,,,,170,,,,,,,,,,,,,,
1988,1,22,,,,,,210,,,,,,,,,,,,,,
1988,1,23,,,,,,290,,,,,,,,,,,,,,
1988,1,24,,,,,,300,,,,,,,,,,,,,,
1988,1,25,,,,,,290,,,,,,,,,,,,,,
1988,1,25,,,,,,250,,,,,,,,,,,,,,
1988,1,26,,,,,,240,,,,,,,,,,,,,,
1988,1,27,,,,,,220,,,,,,,,,,,,,,
1988,1,29,,,,,,210,,,,,,,,,,,,,,
1988,1,29,,,,,,230,,,,,,,,,,,,,,
1988,1,30,,,,,,240,,,,,,,,,,,,,,
1988,1,31,,,,,,230,,,,,,,,,,,,,,
1988,2,1,,,,,,320,,,,,,,,,,,,,,
1988,2,1,,,,,,350,,,,,,,,,,,,,,
1988,2,2,,,,,,310,,,,,,,,,,,,,,
1988,2,3,,,,,,310,,,,,,,,,,,,,,
1988,2,4,,,,,,380,,,,,,,,,,,,,,
1988,2,5,,,,,,270,,,,,,,,,,,,,,
1988,2,7,,,,,,200,,,,,,,,,,,,,,
1988,2,8,,,,,,180,,,,,,,,,,,,,,
1988,2,8,,,,,,180,,,,,,,,,,,,,,
1988,2,9,,,,,,190,,,,,,,,,,,,,,
1988,2,10,,,,,,200,,,,,,,,,,,,,,
1988,2,11,,,,,,190,,,,,,,,,,,,,,
1988,2,12,,,,,,190,,,,,,,,,,,,,,
1988,2,13,,,,,,180,,,,,,,,,,,,,,
1988,2,14,,,,,,170,,,,,,,,,,,,,,
1988,2,15,,,,,,170,,,,,,,,,,,,,,
1988,2,15,,,,,,170,,,,,,,,,,,,,,
1988,2,16,,,,,,170,,,,,,,,,,,,,,
1988,2,17,,,,,,160,,,,,,,,,,,,,,
1988,2,18,,,,,,170,,,,,,,,,,,,,,
1988,2,19,,,,,,170,,,,,,,,,,,,,,
1988,2,20,,,,,,250,,,,,,,,,,,,,,
1988,2,21,,,,,,270,,,,,,,,,,,,,,
1988,2,22,,,,,,290,,,,,,,,,,,,,,
1988,2,22,,,,,,,,,,,,,,,,,,,,
1988,2,22,,,,,,310,,,,,,,,,,,,,,
1988,2,23,,,,,,320,,,,,,,,,,,,,,
1988,2,23,,,,,,360,,,,,,,,,,,,,,
1988,2,23,,,,,,410,,,,,,,,,,,,,,
1988,2,23,,,,,,440,,,,,,,,,,,,,,
1988,2,24,,,,,,380,,,,,,,,,,,,,,
1988,2,24,,,,,,410,,,,,,,,,,,,,,
1988,2,25,,,,,,410,,,,,,,,,,,,,,
1988,2,26,,,,,,380,,,,,,,,,,,,,,
1988,2,27,,,,,,250,,,,,,,,,,,,,,
1988,2,28,,,,,,240,,,,,,,,,,,,,,
1988,2,29,,,,,,240,,,,,,,,,,,,,,
1988,3,1,,,,,,200,,,,,,,,,,,,,,
1988,3,2,,,,,,180,,,,,,,,,,,,,,
1988,3,3,,,,,,180,,,,,,,,,,,,,,
1988,3,4,,,,,,160,,,,,,,,,,,,,,
1988,3,5,,,,,,150,,,,,,,,,,,,,,
1988,3,6,,,,,,160,,,,,,,,,,,,,,
1988,3,7,,,,,,150,,,,,,,,,,,,,,
1988,3,7,,,,,,,,,,,,,,,,,,,,
1988,3,7,,,,,,140,,,,,,,,,,,,,,
1988,3,8,,,,,,140,,,,,,,,,,,,,,
1988,3,9,,,,,,180,,,,,,,,,,,,,,
1988,3,10,,,,,,170,,,,,,,,,,,,,,
1988,3,12,,,,,,180,,,,,,,,,,,,,,
1988,3,14,,,,,,180,,,,,,,,,,,,,,
1988,3,15,,,,,,160,,,,,,,,,,,,,,
1988,3,16,3,8.3,12700,,153,150,70,50,,,72000,74000,6900,,,42,30,,180,36600
1988,3,16,,,,,,150,,,,,,,,,,,,,,
1988,3,17,,,,,,150,,,,,,,,,,,,,,
1988,3,18,,,,,,160,,,,,,,,,,,,,,
1988,3,19,,,,,,150,,,,,,,,,,,,,,
1988,3,20,,,,,,130,,,,,,,,,,,,,,
1988,3,21,,,,,,130,,,,,,,,,,,,,,
1988,3,22,,,,,,110,,,,,,,,,,,,,,
1988,3,23,,,,,,190,,,,,,,,,,,,,,
1988,3,24,,,,,,200,,,,,,,,,,,,,,
1988,3,24,,,,,,310,,,,,,,,,,,,,,
1988,3,25,,,,,,350,,,,,,,,,,,,,,
1988,3,25,,,,,,380,,,,,,,,,,,,,,
1988,3,25,,,,,,390,,,,,,,,,,,,,,
1988,3,25,,,,,,390,,,,,,,,,,,,,,
1988,3,28,,,,,,,,,,,,,,,,,,,,
1988,3,28,,,,,,420,,,,,,,,,,,,,,
1988,3,29,,,,,,310,,,,,,,,,,,,,,
1988,3,30,,,,,,230,,,,,,,,,,,,,,
1988,3,31,,,,,,220,,,,,,,,,,,,,,
1988,4,1,,,,,,190,,,,,,,,,,,,,,
1988,4,2,,,,,,170,,,,,,,,,,,,,,
1988,4,3,,,,,,170,,,,,,,,,,,,,,
1988,4,4,,,,,,260,,,,,,,,,,,,,,
1988,4,4,,,,,,480,,,,,,,,,,,,,,
1988,4,5,,,,,,420,,,,,,,,,,,,,,
1988,4,5,,,,,,840,,,,,,,,,,,,,,
1988,4,6,,,,,,790,,,,,,,,,,,,,,
1988,4,6,,,,,,550,,,,,,,,,,,,,,
1988,4,7,,,,,,500,,,,,,,,,,,,,,
1988,4,7,,,,,,540,,,,,,,,,,,,,,
1988,4,8,,,,,,660,,,,,,,,,,,,,,
1988,4,8,,,,,,670,,,,,,,,,,,,,,
1988,4,9,,,,,,600,,,,,,,,,,,,,,
1988,4,9,,,,,,590,,,,,,,,,,,,,,
1988,4,10,,,,,,550,,,,,,,,,,,,,,
1988,4,10,,,,,,510,,,,,,,,,,,,,,
1988,4,11,,,,,,470,,,,,,,,,,,,,,
1988,4,11,,,,,,460,,,,,,,,,,,,,,
1988,4,11,,,,,,,,,,,,,,,,,,,,
1988,4,11,,,,,,420,,,,,,,,,,,,,,
1988,4,12,,,,,,320,,,,,,,,,,,,,,
1988,4,13,,,,,,270,,,,,,,,,,,,,,
1988,4,14,,,,,,240,,,,,,,,,,,,,,
1988,4,15,,,,,,220,,,,,,,,,,,,,,
1988,4,16,,,,,,200,,,,,,,,,,,,,,
1988,4,17,,,,,,260,,,,,,,,,,,,,,
1988,4,18,,,,,,200,,,,,,,,,,,,,,
1988,4,18,,,,,,100,,,,,,,,,,,,,,
1988,4,19,,,,,,140,,,,,,,,,,,,,,
1988,4,20,,,,,,110,,,,,,,,,,,,,,
1988,4,21,,,,,,120,,,,,,,,,,,,,,
1988,4,22,,,,,,90,,,,,,,,,,,,,,
1988,4,23,,,,,,90,,,,,,,,,,,,,,
1988,4,24,,,,,,100,,,,,,,,,,,,,,
1988,4,25,,,,,,90,,,,,,,,,,,,,,
1988,4,25,,,,,,110,,,,,,,,,,,,,,
1988,4,26,,,,,,120,,,,,,,,,,,,,,
1988,4,27,,,,,,130,,,,,,,,,,,,,,
1988,4,28,,,,,,120,,,,,,,,,,,,,,
1988,4,29,,,,,,120,,,,,,,,,,,,,,
1988,4,30,,,,,,120,,,,,,,,,,,,,,
1988,5,1,,,,,,140,,,,,,,,,,,,,,
1988,5,2,,,,,,140,,,,,,,,,,,,,,
1988,5,2,,,,,,,,,,,,,,,,,,,,
1988,5,2,,,,,,110,,,,,,,,,,,,,,
1988,5,3,,,,,,130,,,,,,,,,,,,,,
1988,5,4,,,,,,110,,,,,,,,,,,,,,
1988,5,5,,,,,,120,,,,,,,,,,,,,,
1988,5,6,,,,,,120,,,,,,,,,,,,,,
1988,5,7,,,,,,100,,,,,,,,,,,,,,
1988,5,8,,,,,,120,,,,,,,,,,,,,,
1988,5,9,,,,,,160,,,,,,,,,,,,,,
1988,5,9,,,,,,,,,,,,,,,,,,,,
1988,5,9,,,,,,140,,,,,,,,,,,,,,
1988,5,10,,,,,,120,,,,,,,,,,,,,,
1988,5,11,,,,,,110,,,,,,,,,,,,,,
1988,5,12,,,,,,130,,,,,,,,,,,,,,
1988,5,13,,,,,,140,,,,,,,,,,,,,,
1988,5,13,,,,,,,,,,,,,,,,,,,,
1988,5,14,,,,,,130,,,,,,,,,,,,,,
1988,5,15,,,,,,140,,,,,,,,,,,,,,
1988,5,16,,,,,,140,,,,,,,,,,,,,,
1988,5,16,,,,,,,,,,,,,,,,,,,,
1988,5,16,,,,,,130,,,,,,,,,,,,,,
1988,5,17,,,,,,150,,,,,,,,,,,,,,
1988,5,18,,,,,,140,,,,,,,,,,,,,,
1988,5,19,,,,,,160,,,,,,,,,,,,,,
1988,5,20,,,,,,130,,,,,,,,,,,,,,
1988,5,21,,,,,,90,,,,,,,,,,,,,,
1988,5,22,,,,,,110,,,,,,,,,,,,,,
1988,5,23,,,,,,130,,,,,,,,,,,,,,
1988,5,23,,,,,,,,,,,,,,,,,,,,
1988,5,23,,,,,,150,,,,,,,,,,,,,,
1988,5,24,,,,,,210,,,,,,,,,,,,,,
1988,5,25,,,,,,210,,,,,,,,,,,,,,
1988,5,26,,,,,,230,,,,,,,,,,,,,,
1988,5,27,,,,,,220,,,,,,,,,,,,,,
1988,5,28,,,,,,210,,,,,,,,,,,,,,
1988,5,29,,,,,,220,,,,,,,,,,,,,,
1988,5,30,,,,,,190,,,,,,,,,,,,,,
1988,5,31,,,,,,230,,,,,,,,,,,,,,
