Year,Month,Day,Inflow temperature [°C],Inflow concentration of O2 [mg m-3],Inflow pH [-],"*Suspended solids, water, unfiltered [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as phosphorus [mg m-3]",Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of NO3 [mg m-3],*Suspended sediment concentration [mg m-3]
2011,3,2,1.2,12600,7.9,,,,,,,,,,570000
2011,3,8,3.4,11400,7.8,,,,,,,,,,339000
2011,3,27,,,,,,,,,,,,,
2011,4,16,,,,,,,,,,,,,
2011,4,20,,,,,,,,,,,,,
2011,5,26,17,7200,7.7,,326,1070,106,,,,46,18200,1760000
2011,5,27,16.4,6900,7.6,,349,826,114,,37500,18200,72,19200,556000
2011,5,31,19.5,7300,7.6,,371,423,121,,,,55,14100,178000
2011,6,1,21.7,7300,7.8,,371,542,121,,,,63,14700,247000
2011,6,4,24.3,7500,8,,371,287,121,,,,28,13400,74000
2011,6,5,,,,,,,,,,,,,
2011,6,28,25.5,14400,8.9,,12,163,4,,55700,54400,23,14500,57000
2011,8,7,,,,,,,,,,,,,
2011,8,22,,,,,,,,,,,,,
2011,8,24,,,,,,,,,,,,,
2011,9,7,,,,,,,,,,,,,
2011,9,27,17.1,7800,8.1,,248,284,81,,,,43,,131000
2011,10,4,15.4,9300,8,,359,276,117,,,,58,19000,55000
2011,10,20,12,8700,7.8,,498,630,163,,,,45,27900,335000
2011,10,20,12.1,8400,7.9,,706,513,230,,,,132,26100,171000
2011,10,20,11.7,8400,8.1,,343,260,112,,,,187,22600,68000
2011,11,7,,,,,,,,,,,,,
2011,11,14,,,,,,,,,,,,,
2011,11,27,8.6,10300,7.6,,470,380,153,,,,40,19700,119000
2011,11,28,,,,,,,,,,,,,
2011,11,29,7.5,10400,7.6,,377,456,123,,,,18,15300,239000
2011,11,30,6,10300,7.6,,354,505,115,,33700,17400,25,10700,255000
2011,12,4,4.2,11400,7.8,,418,350,136,,,,40,11200,107000
2011,12,15,,,,,,,,,,,,,
2012,1,8,,,,,,,,,,,,,
2012,1,17,,,,,,,,,,,,,
2012,2,12,,,,,,,,,,,,,
2012,2,24,,,,,,,,,,,,,
2012,3,13,,,,,,,,,,,,,
2012,5,7,,,,,,,,,,,,,
2012,5,11,18.2,7800,7.9,,,,,,,,,,
2012,6,1,,,,,,,,,,,,,
2012,7,10,,,,,,,,,,,,,
2012,7,11,27.1,5700,8.5,,,,,,,,,,
2012,7,19,,,,,,,,,,,,,
2012,8,10,,,,,,,,,,,,,
2012,8,15,,,8.3,,15,138,5,,,,13,171,28000
2012,8,21,,,,,,,,,,,,,
2012,9,22,,,,,,,,,,,,,
2012,10,7,13.7,11900,8.4,,12,124,4,,,,118,3580,23000
2012,10,16,,,,,,,,,,,,,
2012,10,18,,,,,,,,,,,,,
2012,12,5,,,,,,,,,,,,,
2013,1,10,,,,,,,,,,,,,
2013,1,13,5.3,11600,7.8,,415,1230,135,,,,97,29000,1120000
2013,1,13,5.5,11200,7.7,,477,1050,155,,46500,28400,98,33000,821000
2013,1,14,5.6,10800,7.7,,444,1100,145,,,,31,24900,871000
2013,1,14,,,,,,,,,,,,,
2013,1,17,3.1,12200,7.7,,579,969,189,,,,36,21300,467000
2013,1,19,1.8,13000,7.8,,609,806,199,,,,42,22500,360000
2013,1,22,0,14100,8.1,,589,678,192,,,,96,24500,196000
2013,1,30,,,,,,,,,,,,,
2013,1,31,2.1,12900,8.2,,284,311,93,,,,144,34900,114000
2013,2,1,0,14000,8.4,,278,297,91,,84900,82700,19,34200,108000
2013,2,5,0.1,13900,8,,475,424,155,,,,172,34700,96000
2013,2,25,,,,,,,,,,,,,
2013,2,27,1.1,13500,7.8,,375,552,122,,,,13,29700,277000
2013,2,28,1.6,13200,7.8,,466,634,152,,,,13,35600,324000
2013,3,5,1.7,13800,7.8,,370,336,121,,,,75,36700,122000
2013,3,10,,,,,,,,,,,,,
2013,3,11,6.2,12500,8,,182,198,59,,,,87,31400,96000
2013,3,12,5.3,12300,8,,200,320,65,,,,78,34000,135000
2013,3,17,3.2,12900,7.9,,382,454,124,,,,24,30000,163000
2013,4,3,,,,,,,,,,,,,
2013,4,10,,,,,,,,,,,,,
2013,4,11,7.8,11300,8.7,,202,508,66,,,,182,37900,286000
2013,4,12,7.8,11000,6.7,,220,582,72,,,,317,39800,313000
2013,4,12,7.6,10400,7.1,,454,972,148,,53000,36000,546,39300,564000
2013,4,16,9.8,10600,7,,529,576,172,,,,98,27200,218000
2013,6,3,19.4,6500,7.8,,405,569,132,,,,336,41900,297000
2013,6,5,19.1,6900,7.8,,438,345,143,,,,655,49100,97000
