,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
35,2013-07-09,0.035,MILLIGRAM PER LITER,0.012,MILLIGRAM PER LITER,,,,,0.015,MILLIGRAM PER LITER,0.53,MILLIGRAM PER LITER,2.77,MILLIGRAM PER LITER,4.36,MILLIGRAM PER LITER,45.7,MILLIGRAM PER LITER
36,2013-08-19,0.057,MILLIGRAM PER LITER,0.0284,MILLIGRAM PER LITER,3.55,MILLIGRAM PER LITER,,,0.037,MILLIGRAM PER LITER,0.34,MILLIGRAM PER LITER,2.92,MILLIGRAM PER LITER,4.52,MILLIGRAM PER LITER,52.7,MILLIGRAM PER LITER
37,2013-09-17,0.078,MILLIGRAM PER LITER,0.0449,MILLIGRAM PER LITER,4.5,MILLIGRAM PER LITER,,,0.03,MILLIGRAM PER LITER,1.67,MILLIGRAM PER LITER,3.74,MILLIGRAM PER LITER,4.96,MILLIGRAM PER LITER,56.2,MILLIGRAM PER LITER
38,2013-10-28,0.03,MILLIGRAM PER LITER,0.0779,MILLIGRAM PER LITER,4.2,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,0.56,MILLIGRAM PER LITER,3.34,MILLIGRAM PER LITER,4.76,MILLIGRAM PER LITER,45.6,MILLIGRAM PER LITER
39,2013-11-25,0.018,MILLIGRAM PER LITER,0.0068,MILLIGRAM PER LITER,4.15,MILLIGRAM PER LITER,,,0.29,MILLIGRAM PER LITER,1.07,MILLIGRAM PER LITER,3.33,MILLIGRAM PER LITER,4.7,MILLIGRAM PER LITER,51.9,MILLIGRAM PER LITER
40,2012-03-28,0.057,MILLIGRAM PER LITER,0.0133,MILLIGRAM PER LITER,,,,,0.019,MILLIGRAM PER LITER,0.56,MILLIGRAM PER LITER,2.7,MILLIGRAM PER LITER,3.68,MILLIGRAM PER LITER,22.5,MILLIGRAM PER LITER
41,2012-05-09,0.065,MILLIGRAM PER LITER,0.0127,MILLIGRAM PER LITER,,,,,0.024,MILLIGRAM PER LITER,0.61,MILLIGRAM PER LITER,2.5,MILLIGRAM PER LITER,3.96,MILLIGRAM PER LITER,51.6,MILLIGRAM PER LITER
42,2012-06-13,0.054,MILLIGRAM PER LITER,0.0175,MILLIGRAM PER LITER,,,,,0.043,MILLIGRAM PER LITER,0.53,MILLIGRAM PER LITER,2.52,MILLIGRAM PER LITER,4.52,MILLIGRAM PER LITER,59.0,MILLIGRAM PER LITER
43,2012-07-30,0.083,MILLIGRAM PER LITER,0.0533,MILLIGRAM PER LITER,,,,,0.052,MILLIGRAM PER LITER,0.52,MILLIGRAM PER LITER,4.59,MILLIGRAM PER LITER,,,79.6,MILLIGRAM PER LITER
44,2012-08-27,0.059,MILLIGRAM PER LITER,0.0414,MILLIGRAM PER LITER,,,,,0.055,MILLIGRAM PER LITER,0.42,MILLIGRAM PER LITER,3.98,MILLIGRAM PER LITER,5.04,MILLIGRAM PER LITER,78.6,MILLIGRAM PER LITER
45,2012-10-22,0.09,MILLIGRAM PER LITER,0.0368,MILLIGRAM PER LITER,,,,,0.02,MILLIGRAM PER LITER,0.7,MILLIGRAM PER LITER,3.8,MILLIGRAM PER LITER,5.08,MILLIGRAM PER LITER,59.3,MILLIGRAM PER LITER
46,2012-11-13,0.052,MILLIGRAM PER LITER,0.034,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.25,MILLIGRAM PER LITER,3.74,MILLIGRAM PER LITER,5.0,MILLIGRAM PER LITER,56.9,MILLIGRAM PER LITER
47,2011-03-22,0.0375,MILLIGRAM PER LITER,0.0088,MILLIGRAM PER LITER,,,,,0.011,MILLIGRAM PER LITER,0.55,MILLIGRAM PER LITER,2.7,MILLIGRAM PER LITER,3.52,MILLIGRAM PER LITER,40.8,MILLIGRAM PER LITER
48,2011-04-27,0.05,MILLIGRAM PER LITER,0.0301,MILLIGRAM PER LITER,,,,,0.016,MILLIGRAM PER LITER,0.7,MILLIGRAM PER LITER,2.63,MILLIGRAM PER LITER,2.96,MILLIGRAM PER LITER,38.4,MILLIGRAM PER LITER
49,2011-06-28,0.069,MILLIGRAM PER LITER,0.0309,MILLIGRAM PER LITER,,,,,0.119,MILLIGRAM PER LITER,0.94,MILLIGRAM PER LITER,3.1,MILLIGRAM PER LITER,4.64,MILLIGRAM PER LITER,51.3,MILLIGRAM PER LITER
50,2011-07-25,0.053,MILLIGRAM PER LITER,0.0196,MILLIGRAM PER LITER,,,,,0.044,MILLIGRAM PER LITER,0.5,MILLIGRAM PER LITER,2.71,MILLIGRAM PER LITER,4.7,MILLIGRAM PER LITER,62.6,MILLIGRAM PER LITER
51,2011-05-31,0.05,MILLIGRAM PER LITER,0.0159,MILLIGRAM PER LITER,,,,,0.027,MILLIGRAM PER LITER,0.63,MILLIGRAM PER LITER,2.48,MILLIGRAM PER LITER,4.02,MILLIGRAM PER LITER,43.2,MILLIGRAM PER LITER
52,2011-10-26,0.113,MILLIGRAM PER LITER,0.0227,MILLIGRAM PER LITER,,,,,0.039,MILLIGRAM PER LITER,0.98,MILLIGRAM PER LITER,2.19,MILLIGRAM PER LITER,4.82,MILLIGRAM PER LITER,60.2,MILLIGRAM PER LITER
53,2011-11-29,0.3,MILLIGRAM PER LITER,0.0284,MILLIGRAM PER LITER,,,,,0.017,MILLIGRAM PER LITER,1.36,MILLIGRAM PER LITER,1.87,MILLIGRAM PER LITER,2.82,MILLIGRAM PER LITER,29.0,MILLIGRAM PER LITER
54,2011-08-22,0.11,MILLIGRAM PER LITER,0.0921,MILLIGRAM PER LITER,,,,,0.024,MILLIGRAM PER LITER,0.43,MILLIGRAM PER LITER,4.16,MILLIGRAM PER LITER,4.92,MILLIGRAM PER LITER,61.9,MILLIGRAM PER LITER
55,2010-04-26,0.042,MILLIGRAM PER LITER,0.0022,MILLIGRAM PER LITER,,,,,0.004,MILLIGRAM PER LITER,0.74,MILLIGRAM PER LITER,0.083,MILLIGRAM PER LITER,3.64,MILLIGRAM PER LITER,50.8,MILLIGRAM PER LITER
56,2010-03-22,0.093,MILLIGRAM PER LITER,0.0652,MILLIGRAM PER LITER,,,,,0.089,MILLIGRAM PER LITER,1.18,MILLIGRAM PER LITER,2.98,MILLIGRAM PER LITER,3.9,MILLIGRAM PER LITER,51.4,MILLIGRAM PER LITER
57,2010-05-31,0.085,MILLIGRAM PER LITER,0.0157,MILLIGRAM PER LITER,,,,,0.028,MILLIGRAM PER LITER,0.65,MILLIGRAM PER LITER,,,4.32,MILLIGRAM PER LITER,65.0,MILLIGRAM PER LITER
58,2010-06-21,0.065,MILLIGRAM PER LITER,0.0275,MILLIGRAM PER LITER,,,,,0.36,MILLIGRAM PER LITER,0.77,MILLIGRAM PER LITER,3.38,MILLIGRAM PER LITER,4.52,MILLIGRAM PER LITER,58.4,MILLIGRAM PER LITER
59,2010-09-28,0.096,MILLIGRAM PER LITER,0.0319,MILLIGRAM PER LITER,,,,,0.042,MILLIGRAM PER LITER,0.71,MILLIGRAM PER LITER,2.36,MILLIGRAM PER LITER,,,47.6,MILLIGRAM PER LITER
60,2010-10-25,0.084,MILLIGRAM PER LITER,0.0721,MILLIGRAM PER LITER,,,,,0.024,MILLIGRAM PER LITER,0.39,MILLIGRAM PER LITER,4.23,MILLIGRAM PER LITER,4.54,MILLIGRAM PER LITER,63.4,MILLIGRAM PER LITER
61,2010-11-23,0.113,MILLIGRAM PER LITER,0.025,MILLIGRAM PER LITER,,,,,0.022,MILLIGRAM PER LITER,0.81,MILLIGRAM PER LITER,2.66,MILLIGRAM PER LITER,3.92,MILLIGRAM PER LITER,43.6,MILLIGRAM PER LITER
