Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,
"30","2016","April    ","Spring","Erie","ER1611","E010M16","ER10","33.1","42.679733","-79.691567","2016/04/06 17:36","GMT","23.5","Bottom Minus 10","surface water","INSITU_MEAS","routine field sample","16GE18S10","P-ortho as P","Phosphorus, Orthophosphorus as P","1.69","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"31","2016","April    ","Spring","Erie","ER1611","E010M16","ER10","33.1","42.679733","-79.691567","2016/04/06 17:36","GMT","32.2","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE18S11","P-ortho as P","Phosphorus, Orthophosphorus as P","1.47","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"32","2016","April    ","Spring","Erie","ER1611","E042M16","ER42","22","41.964217","-82.04115","2016/04/05 14:01","GMT","2","Surface","surface water","INSITU_MEAS","routine field sample","16GE18S21","P-ortho as P","Phosphorus, Orthophosphorus as P","2.4","ug/l","Filtrate","LG215","","","","","","","","",
"33","2016","April    ","Spring","Erie","ER1611","E042M16","ER42","22","41.964217","-82.04115","2016/04/05 14:01","GMT","11.4","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE18S23","P-ortho as P","Phosphorus, Orthophosphorus as P","1.82","ug/l","Filtrate","LG215","","","","","","","","",
"34","2016","April    ","Spring","Erie","ER1611","E042M16","ER42","22","41.964217","-82.04115","2016/04/05 14:01","GMT","21.5","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE18S31","P-ortho as P","Phosphorus, Orthophosphorus as P","0.831","ug/l","Filtrate","LG215","","","","","","","","",
"35","2016","April    ","Spring","Erie","ER1611","E043M16","ER43","22.5","41.788517","-81.944183","2016/04/05 15:55","GMT","2","Surface","surface water","INSITU_MEAS","routine field sample","16GE18S41","P-ortho as P","Phosphorus, Orthophosphorus as P","0.756","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"36","2016","April    ","Spring","Erie","ER1611","E043M16","ER43","22.5","41.788517","-81.944183","2016/04/05 15:55","GMT","11","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE18S43","P-ortho as P","Phosphorus, Orthophosphorus as P","1.16","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"37","2016","April    ","Spring","Erie","ER1611","E043M16","ER43","22.5","41.788517","-81.944183","2016/04/05 15:55","GMT","21.7","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE18S51","P-ortho as P","Phosphorus, Orthophosphorus as P","0.598","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"38","2016","April    ","Spring","Erie","ER1611","E073M16","ER73","24.5","41.977717","-81.7572","2016/04/05 18:12","GMT","2","Surface","surface water","INSITU_MEAS","routine field sample","16GE18S61","P-ortho as P","Phosphorus, Orthophosphorus as P","2.02","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"39","2016","April    ","Spring","Erie","ER1611","E073M16","ER73","24.5","41.977717","-81.7572","2016/04/05 18:12","GMT","12.1","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE18S63","P-ortho as P","Phosphorus, Orthophosphorus as P","1.67","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"40","2016","April    ","Spring","Erie","ER1611","E073M16","ER73","24.5","41.977717","-81.7572","2016/04/05 18:12","GMT","23.5","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE18S71","P-ortho as P","Phosphorus, Orthophosphorus as P","1.66","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"41","2016","April    ","Spring","Erie","ER1611","E036M16","ER36","23.5","41.93495","-81.47845","2016/04/05 20:04","GMT","1.9","Surface","surface water","INSITU_MEAS","routine field sample","16GE18S81","P-ortho as P","Phosphorus, Orthophosphorus as P","0.968","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"42","2016","April    ","Spring","Erie","ER1611","E036M16","ER36","23.5","41.93495","-81.47845","2016/04/05 20:04","GMT","11.7","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE18S83","P-ortho as P","Phosphorus, Orthophosphorus as P","1.23","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"43","2016","April    ","Spring","Erie","ER1611","E036M16","ER36","23.5","41.93495","-81.47845","2016/04/05 20:04","GMT","22.7","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE18S91","P-ortho as P","Phosphorus, Orthophosphorus as P","2.18","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"44","2016","April    ","Spring","Erie","ER1611","E031M16","ER31","21","42.253233","-81.10625","2016/04/06 05:24","GMT","","Middle Depth","surface water","INSITU_MEAS","lab duplicate","16GE19C83","P-ortho as P","Phosphorus, Orthophosphorus as P","1.48","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"45","2016","April    ","Spring","Erie","ER1611","E78MM16","ER78M","21.9","42.1174","-81.249767","2016/04/06 01:54","GMT","2.1","Surface","surface water","INSITU_MEAS","field duplicate","16GE19D41","P-ortho as P","Phosphorus, Orthophosphorus as P","1.66","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"46","2016","April    ","Spring","Erie","ER1611","E037M16","ER37","23","42.110117","-81.575067","2016/04/05 21:45","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE19I12","P-ortho as P","Phosphorus, Orthophosphorus as P","9.75","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"47","2016","April    ","Spring","Erie","ER1611","E038M16","ER38","22.4","42.281483","-81.67175","2016/04/05 23:18","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE19I32","P-ortho as P","Phosphorus, Orthophosphorus as P","7.99","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"48","2016","April    ","Spring","Erie","ER1611","E78MM16","ER78M","21.9","42.1174","-81.249767","2016/04/06 01:54","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE19I52","P-ortho as P","Phosphorus, Orthophosphorus as P","2.06","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"49","2016","April    ","Spring","Erie","ER1611","E030M16","ER30","19.9","42.429767","-81.20455","2016/04/06 07:09","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE19I72","P-ortho as P","Phosphorus, Orthophosphorus as P","0.612","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"50","2016","April    ","Spring","Erie","ER1611","E031M16","ER31","21","42.253233","-81.10625","2016/04/06 05:24","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE19I92","P-ortho as P","Phosphorus, Orthophosphorus as P","1.31","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"51","2016","April    ","Spring","Erie","ER1611","E037M16","ER37","23","42.110117","-81.575067","2016/04/05 21:45","GMT","2","Surface","surface water","INSITU_MEAS","routine field sample","16GE19S01","P-ortho as P","Phosphorus, Orthophosphorus as P","2.03","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"52","2016","April    ","Spring","Erie","ER1611","E037M16","ER37","23","42.110117","-81.575067","2016/04/05 21:45","GMT","12.2","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE19S03","P-ortho as P","Phosphorus, Orthophosphorus as P","1.39","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"53","2016","April    ","Spring","Erie","ER1611","E037M16","ER37","23","42.110117","-81.575067","2016/04/05 21:45","GMT","23.5","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE19S11","P-ortho as P","Phosphorus, Orthophosphorus as P","1.7","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"54","2016","April    ","Spring","Erie","ER1611","E038M16","ER38","22.4","42.281483","-81.67175","2016/04/05 23:18","GMT","2","Surface","surface water","INSITU_MEAS","routine field sample","16GE19S21","P-ortho as P","Phosphorus, Orthophosphorus as P","7.24","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"55","2016","April    ","Spring","Erie","ER1611","E038M16","ER38","22.4","42.281483","-81.67175","2016/04/05 23:18","GMT","11.2","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE19S23","P-ortho as P","Phosphorus, Orthophosphorus as P","5.68","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"56","2016","April    ","Spring","Erie","ER1611","E038M16","ER38","22.4","42.281483","-81.67175","2016/04/05 23:18","GMT","21.4","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE19S31","P-ortho as P","Phosphorus, Orthophosphorus as P","9.17","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
