Row,YEAR,MONTH,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,
"33","2010","April    ","Michigan","MI1011","M0FEM10","MIFE","68.2","42.583417","-86.416583","2010/04/02 04:34","EDT","2","Surface","surface water","Individual","routine field sample","10GA10S81","O2diss","Oxygen, Dissolved","-3.75153","mg/l","Total/Bulk","LG301","",
"34","2010","April    ","Michigan","MI1011","M0FEM10","MIFE","68.2","42.583417","-86.416583","2010/04/02 04:34","EDT","32.4","Middle Depth","surface water","Individual","routine field sample","10GA10S83","O2diss","Oxygen, Dissolved","-3.76272","mg/l","Total/Bulk","LG301","",
"35","2010","April    ","Michigan","MI1011","M0FEM10","MIFE","68.2","42.583417","-86.416583","2010/04/02 04:34","EDT","5","Five Meter","surface water","Individual","routine field sample","10GA10S8A","O2diss","Oxygen, Dissolved","-3.75369","mg/l","Total/Bulk","LG301","",
"36","2010","April    ","Michigan","MI1011","M0FEM10","MIFE","68.2","42.583417","-86.416583","2010/04/02 04:34","EDT","9.8","Ten Meter","surface water","Individual","routine field sample","10GA10S8B","O2diss","Oxygen, Dissolved","-3.75644","mg/l","Total/Bulk","LG301","",
"37","2010","April    ","Michigan","MI1011","M0FEM10","MIFE","68.2","42.583417","-86.416583","2010/04/02 04:34","EDT","19.8","Twenty Meter","surface water","Individual","routine field sample","10GA10S8C","O2diss","Oxygen, Dissolved","-3.75923","mg/l","Total/Bulk","LG301","",
"38","2010","April    ","Michigan","MI1011","M0FEM10","MIFE","68.2","42.583417","-86.416583","2010/04/02 04:34","EDT","55.3","Bottom Minus 10","surface water","Individual","routine field sample","10GA10S90","O2diss","Oxygen, Dissolved","-3.75589","mg/l","Total/Bulk","LG301","",
"39","2010","April    ","Michigan","MI1011","M0FEM10","MIFE","68.2","42.583417","-86.416583","2010/04/02 04:34","EDT","63.1","Bottom Minus","surface water","Individual","routine field sample","10GA10S91","O2diss","Oxygen, Dissolved","-3.75771","mg/l","Total/Bulk","LG301","",
"40","2010","April    ","Michigan","MI1011","M027M10","MI27M","107","43.6001","-86.91685","2010/04/02 17:32","EDT","9.8","Ten Meter","surface water","Individual QC","field duplicate","10GA11D23","O2diss","Oxygen, Dissolved","-3.68023","mg/l","Total/Bulk","LG301","",
"41","2010","April    ","Michigan","MI1011","M040M10","MI40","171.2","44.760017","-86.966833","2010/04/03 08:54","EDT","164.8","Bottom Minus","surface water","Individual QC","field duplicate","10GA11D91","O2diss","Oxygen, Dissolved","-3.73898","mg/l","Total/Bulk","LG301","",
"42","2010","April    ","Michigan","MI1011","M023M10","MI23","93.4","43.133217","-87.000017","2010/04/02 14:17","EDT","2.5","Surface","surface water","Individual","routine field sample","10GA11S01","O2diss","Oxygen, Dissolved","-3.65765","mg/l","Total/Bulk","LG301","",
"43","2010","April    ","Michigan","MI1011","M023M10","MI23","93.4","43.133217","-87.000017","2010/04/02 14:17","EDT","45.2","Middle Depth","surface water","Individual","routine field sample","10GA11S03","O2diss","Oxygen, Dissolved","-3.68269","mg/l","Total/Bulk","LG301","",
"44","2010","April    ","Michigan","MI1011","M023M10","MI23","93.4","43.133217","-87.000017","2010/04/02 14:17","EDT","5.2","Five Meter","surface water","Individual","routine field sample","10GA11S0A","O2diss","Oxygen, Dissolved","-3.65937","mg/l","Total/Bulk","LG301","",
"45","2010","April    ","Michigan","MI1011","M023M10","MI23","93.4","43.133217","-87.000017","2010/04/02 14:17","EDT","10.1","Ten Meter","surface water","Individual","routine field sample","10GA11S0B","O2diss","Oxygen, Dissolved","-3.67886","mg/l","Total/Bulk","LG301","",
"46","2010","April    ","Michigan","MI1011","M023M10","MI23","93.4","43.133217","-87.000017","2010/04/02 14:17","EDT","20","Twenty Meter","surface water","Individual","routine field sample","10GA11S0C","O2diss","Oxygen, Dissolved","-3.66558","mg/l","Total/Bulk","LG301","",
"47","2010","April    ","Michigan","MI1011","M023M10","MI23","93.4","43.133217","-87.000017","2010/04/02 14:17","EDT","80.2","Bottom Minus 10","surface water","Individual","routine field sample","10GA11S10","O2diss","Oxygen, Dissolved","-3.70101","mg/l","Total/Bulk","LG301","",
"48","2010","April    ","Michigan","MI1011","M023M10","MI23","93.4","43.133217","-87.000017","2010/04/02 14:17","EDT","88.1","Bottom Minus","surface water","Individual","routine field sample","10GA11S11","O2diss","Oxygen, Dissolved","-3.70506","mg/l","Total/Bulk","LG301","",
"49","2010","April    ","Michigan","MI1011","M027M10","MI27M","107","43.6001","-86.91685","2010/04/02 17:32","EDT","2.1","Surface","surface water","Individual","routine field sample","10GA11S21","O2diss","Oxygen, Dissolved","-3.67466","mg/l","Total/Bulk","LG301","",
"50","2010","April    ","Michigan","MI1011","M027M10","MI27M","107","43.6001","-86.91685","2010/04/02 17:32","EDT","4.7","Five Meter","surface water","Individual","routine field sample","10GA11S22","O2diss","Oxygen, Dissolved","-3.67823","mg/l","Total/Bulk","LG301","",
"51","2010","April    ","Michigan","MI1011","M027M10","MI27M","107","43.6001","-86.91685","2010/04/02 17:32","EDT","9.8","Ten Meter","surface water","Individual","routine field sample","10GA11S23","O2diss","Oxygen, Dissolved","-3.68049","mg/l","Total/Bulk","LG301","",
"52","2010","April    ","Michigan","MI1011","M027M10","MI27M","107","43.6001","-86.91685","2010/04/02 17:32","EDT","20.3","Twenty Meter","surface water","Individual","routine field sample","10GA11S24","O2diss","Oxygen, Dissolved","-3.68712","mg/l","Total/Bulk","LG301","",
"53","2010","April    ","Michigan","MI1011","M027M10","MI27M","107","43.6001","-86.91685","2010/04/02 17:32","EDT","30.4","Thirty Meter","surface water","Individual","routine field sample","10GA11S25","O2diss","Oxygen, Dissolved","-3.69102","mg/l","Total/Bulk","LG301","",
"54","2010","April    ","Michigan","MI1011","M027M10","MI27M","107","43.6001","-86.91685","2010/04/02 17:32","EDT","40.3","Forty Meter","surface water","Individual","routine field sample","10GA11S26","O2diss","Oxygen, Dissolved","-3.69811","mg/l","Total/Bulk","LG301","",
