-35.5,,,,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,
-35.0,,7.78,,,,,,,,,,,,7.17,,,,,,,,,,7.74,,,,,,
-34.5,,,,,,,,7.83,,,,,,,,,,,,,,,,,,,,,,
-34.0,,,8.095,,8.7,,,,,7.65,,7.8,,,,,,,,,,,,,,,7.57,,,
-33.0,,,,,7.74,7.45,,,,,,,,7.63,,,,,,,,,,,,,,,,
-32.5,,,,,,,,,,7.81,,,,,,,,,,,,,,,,,,,,
-32.0,,7.83,8.485,,7.01,,,8.3,,7.83,,,,,,,,,,,,,,,,,,,,7.95
-31.5,,,,,,8.18,,,,,,,,,,,,,,,,,,,,,,,,
-31.0,,,,,,7.98,,8.03,,,,7.69,,7.66,,7.24,,,7.59,8.15,7.59,,,,7.5,,8.2,,,
-30.5,,,,,,,,,,,,,,,,,,,,,,,7.56,,,,,,,
-30.0,,8.265,,,,,,8.31,,,,,,7.695,,,,,,,,,,,,,7.78,,8.37,
-29.2,,,,,,,,,,7.92,,,,,,,,,,,,,,,,,,,,
-29.0,,,,,,7.65,,,,7.92,,7.76,,,,,,,,,,7.63,,,,,,,,
-28.0,,,,,7.83,,,,,,,7.8933333333333335,,,,,,,,8.08,,,,,,,7.68,,,8.05
-27.8,,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.0,,,,,7.76,,,8.184999999999999,,,,,,,,,,,7.64,,,,,,,,,,,
-26.5,,,,,7.26,7.78,,,,,,,,,,,,,,,,,,,,,,,,
-26.2,,,,,,,,,,7.84,,,,,,,,,,,,,,,,,,,,
-26.0,,7.81,,,,,,7.85,,,,7.9,,,,7.69,,,,,,,,,,,,,,
-25.0,,,,,7.75,8.18,,,,,,,,7.73,,,,,,,7.645,,7.755,,,7.76,7.890000000000001,8.41,8.36,
-24.0,,,,,,8.03,,,,7.9,,,,7.655,,,,,,,,,,,7.5,,,,,
-23.5,,,,,8.78,,,,,,,,,,,,,,,,,,,,,,,,,
-23.0,,,,,,,,,,,,7.94,,7.835,,,,,7.66,,,,,,,,,,,
-22.5,,8.19,,,,,,8.31,,,,,,,,,,,,,,7.72,,,,,,,,
-22.0,,7.99,,,,,,8.07,,8.0,,,,8.0,,,,,,,,,,,,,7.75,,,
-21.5,,,,,7.79,,,,,8.02,,,,,,,,,,,,,,,,,,,,
-21.0,,8.15,8.64,,8.06,,,8.57,,,,,,7.970000000000001,,7.67,,,8.47,,,,,8.01,,,7.960000000000001,,,
-20.5,,,,,,,,8.38,,8.03,,,,,,,,,,,,,,,,,7.71,,,
-20.0,,8.38,8.73,,,,,,,,,8.09,,8.13,,8.13,,,,8.25,,,,,,,,,,8.3
-19.0,,,,,,,,,,8.59,,8.09,,8.23,,,,,7.77,8.21,,,,,7.97,,7.904999999999999,,,
-18.0,,,,,8.13,,,,,,,,,,,,,,,,,,,,,,7.79,,,8.55
-17.5,,,,,8.01,,,8.69,,,,,,,,,,,,,,,,,,,,,,
-17.0,,,,,,,,,,8.485,,8.26,,,,,,,,,,,,,,,,,,
-16.5,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,8.15,,,
-16.0,,,,,8.07,,,,,8.675,,,,8.27,,,,,,,,,,,,,,,,
-15.0,,8.825,,,,,,8.65,,,,8.365,,,,8.13,,,,8.495000000000001,,,,,,,,,,
-14.5,,,,,8.64,,,,,,,,,,,,,,,,,,,,,,,,,
-14.0,,,,,,,,8.84,,,,,,,,,,,,,,,,8.32,,,,,,
-13.0,,,,,9.38,,,,,,,,,,,,,,,,,,,,,,,,,
-12.0,,,,,,,,8.94,,,,8.620000000000001,,,,,,,,,,,,,,,,,,
-11.0,,,,,,,,8.93,,,,,,,,,,,,,,,,,,,8.265,,,
-10.0,,8.665,,,,8.1,,,,,,8.56,,8.43,,,,,,,7.74,,7.77,,,7.84,8.23,8.42,8.36,8.48
-9.5,,,,,,,,,,,,,,,,,,,8.43,,,,,,,,,,,
-9.0,,,,,,,,,,,,8.67,,,,,,,,,,,,,,,,,,8.58
-8.5,,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,8.405,8.711666666666668,8.497142857142856,7.912857142857143,8.19,7.986,8.331999999999999,8.815999999999999,8.063333333333334,8.67,8.084,8.496,8.236666666666666,8.33,7.9049999999999985,8.232000000000001,8.243333333333332,8.0225,8.478333333333333,8.549999999999999,7.8325,8.185,7.710000000000001,8.31,8.013333333333334,7.9,8.16,8.389999999999999,8.403333333333332,8.530000000000001
