YEAR,MONTH,count,mean,std,min,25%,50%,75%,max
2009,April    ,108.0,16.301203703703706,4.423111237979163,0.06,16.3725,16.9075,17.7045,28.874000000000002
2009,August   ,117.0,15.499085470085468,4.033630525565005,0.036000000000000004,15.546,16.926,17.932000000000002,18.441
2010,April    ,108.0,15.075064814814816,4.274984372870051,0.069,13.197,16.116,17.057,23.97
2010,August   ,121.0,14.759330578512401,3.718434270380545,0.054000000000000006,14.868,16.119,16.76,17.608
2011,April    ,103.0,13.982640776699034,6.582923916563377,0.075,7.031499999999999,16.0,16.4315,27.195
2011,August   ,116.0,15.366405172413794,3.184338609858237,0.043,15.47025,16.4045,17.0995,17.914
2012,April    ,102.0,16.89661764705883,3.7900620179468736,0.044000000000000004,16.4865,17.6935,18.1475,24.732
2012,August   ,104.0,15.23565384615385,3.7599746326587757,0.022000000000000002,13.996500000000001,16.757,17.404,18.074
2013,April    ,103.0,17.051737864077673,4.430112227944085,0.08800000000000001,17.1125,17.472,18.188000000000002,28.85
2013,August   ,107.0,15.855299065420553,3.234194426586223,0.013999999999999999,16.074,16.942,17.442999999999998,17.995
2014,April    ,102.0,16.69538235294118,3.3225626279598113,0.068,16.334,16.975,18.17275,21.2
2014,August   ,112.0,15.838249999999999,3.9443453092901137,0.057999999999999996,16.6855,17.2425,17.88,19.639
2015,April    ,103.0,16.1486213592233,4.0461593460051475,0.048,16.493499999999997,17.215,18.0625,22.031
2015,August   ,114.0,15.967210526315798,3.564178912192583,0.061,16.592750000000002,17.5235,17.848,18.538
2016,April    ,101.0,17.413465346534654,4.236935256914735,0.039,17.0,17.64,18.024,26.6
2016,August   ,107.0,15.392869158878502,3.6332356027352875,0.046,15.2375,16.617,17.6525,18.555
2017,April    ,97.0,15.878051546391756,3.5046181061895973,0.017,14.729000000000001,16.348,18.119,21.496
