SAMPLING_DATE,SAMPLE_DEPTH_M,VALUE_1
1984/12/05 13:12,0.91,7.6
1986/08/14 10:40,0.91,21.4
1986/08/07 23:20,0.91,23.0
1986/04/26 10:55,0.91,2.3
1986/04/19 08:20,0.91,1.8
1989/08/20 01:55,0.91,21.2
1985/11/23 19:50,0.91,10.2
1985/11/22 21:10,0.91,10.6
1985/08/13 01:05,0.91,22.0
1985/04/26 03:54,0.91,1.7
1990/04/12 01:13,0.91,1.8
1985/04/27 11:55,0.91,1.8
1985/08/08 04:40,0.91,21.5
2001/08/05 07:30,1.0,23.62
2002/04/23 06:59,1.0,2.9
2002/08/07 18:32,1.0,23.8
2003/08/09 04:07,1.0,23.2
2003/04/18 23:46,1.0,1.11
2002/04/08 12:26,1.0,1.8
2003/04/15 07:43,1.0,0.65
1998/04/09 07:20,1.5,3.3
2004/04/10 21:17,1.5,0.6
2008/04/23 04:40,1.5,2.0
2007/08/09 05:40,1.6,24.2
2005/04/08 08:20,1.6,0.4
2006/08/12 08:59,1.6,24.3
2013/08/11 03:10,1.8,20.7
2005/04/12 01:30,1.9,1.0
2012/04/09 02:55,1.9,3.7
2010/04/10 11:22,1.9,1.8
2005/04/12 01:30,1.9,1.0
2009/08/19 17:23,2.0,24.7
2010/08/10 21:59,2.0,24.2
2009/04/16 09:31,2.0,1.9
2011/04/13 02:33,2.0,1.3
2004/08/07 03:30,2.0,20.9
2014/04/25 00:23,2.0,1.0
2015/04/26 10:03,2.0,1.1
2015/08/12 14:34,2.0,21.9
2016/08/12 14:56,2.0,25.3
2017/08/14 17:18,2.0,22.7
2004/08/07 03:30,2.0,20.9
2018/04/08 22:31,2.0,0.9
2006/04/09 17:30,2.1,1.9
2016/04/06 13:13,2.1,2.6
2017/04/07 04:29,2.2,2.3
2011/08/11 08:09,2.3,23.9
2008/08/11 03:05,2.5,22.4
2013/04/03 15:14,2.5,0.7
2003/08/09 04:07,2.5,23.5
2012/08/11 04:45,3.0,24.4
2005/08/11 04:45,3.0,25.1
2005/08/11 04:45,3.0,25.1
2007/04/09 19:17,3.1,0.3
2014/08/15 16:31,4.0,21.3
1983/04/26 02:10,4.27,3.5
1983/04/27 08:15,4.27,3.7
1990/08/16 01:34,4.57,22.2
1993/04/16 16:05,4.57,1.1
1988/08/12 19:10,4.57,24.7
1983/08/23 01:35,4.57,20.2
1983/08/07 21:55,4.57,24.25
1986/04/19 08:20,4.88,1.85
1985/04/26 03:54,4.88,1.7
1992/04/03 20:00,4.88,0.65
1989/08/14 16:30,4.88,21.8
1989/08/20 01:55,4.88,21.2
1984/08/08 01:20,4.88,22.6
1990/04/12 01:13,4.88,1.8
1984/08/06 19:04,4.88,22.8
1993/04/11 07:25,4.88,0.54
1985/08/08 04:40,4.88,21.6
1984/08/20 14:45,4.88,23.0
1984/12/05 23:35,4.88,7.6
1991/04/07 01:40,4.88,1.8
1991/08/15 07:00,4.88,22.6
1984/12/05 13:12,4.88,7.6
1990/04/18 15:05,4.88,2.3
1988/04/16 02:05,4.88,1.2
1988/08/18 13:45,4.88,25.1
1988/04/09 21:20,4.88,1.2
1984/04/18 22:00,4.88,0.65
1984/04/20 04:35,4.88,0.95
1983/10/21 22:30,4.88,14.1
1983/10/21 15:00,4.88,14.4
1983/08/09 04:17,4.88,23.25
1987/04/03 21:25,4.88,1.3
1987/04/06 02:55,4.88,1.4
1983/05/09 23:18,4.88,5.8
1985/04/27 11:55,4.88,1.8
1987/04/19 16:55,4.88,2.9
1984/05/01 23:32,4.88,2.0
1987/08/01 13:45,4.88,23.8
2011/04/13 02:33,4.9,1.3
2013/04/03 15:14,4.9,0.7
2004/04/10 21:17,5.0,0.7
2015/04/26 10:03,5.0,1.1
2003/04/15 07:43,5.0,0.65
2012/04/09 02:55,5.0,3.7
2005/04/08 08:20,5.0,0.6
2015/08/12 14:34,5.0,21.9
2003/04/18 23:46,5.0,1.11
2002/04/23 06:59,5.0,2.8
2002/04/08 12:26,5.0,1.8
2018/04/08 22:31,5.0,0.9
2016/04/06 13:13,5.0,2.6
2009/04/16 09:31,5.0,1.9
2003/08/09 04:07,5.0,22.6
2004/08/07 03:30,5.0,20.9
2014/04/25 00:23,5.0,1.0
2006/04/09 17:30,5.0,1.9
2006/08/12 08:59,5.0,24.2
2007/08/09 05:40,5.0,24.2
2008/04/23 04:40,5.1,1.9
2005/04/12 01:30,5.1,1.0
2010/04/10 11:22,5.1,1.8
2007/04/09 19:17,5.1,0.3
1998/04/09 07:20,5.1,3.2
1992/04/09 11:15,5.18,1.0
1991/08/09 13:00,5.18,21.6
1990/08/10 04:25,5.18,22.5
1991/04/14 10:42,5.18,2.65
1985/11/23 19:50,5.18,10.2
1986/04/26 10:55,5.18,2.3
2017/04/07 04:29,5.2,2.3
2008/08/11 03:05,5.3,22.4
2011/08/11 08:09,5.4,23.9
2013/08/11 03:10,6.0,20.7
1986/08/07 23:20,6.4,23.0
2001/08/05 07:30,6.5,23.6
2017/08/14 17:18,6.5,22.2
2002/08/07 18:32,7.0,23.6
2005/08/11 04:45,7.0,25.1
2009/08/19 17:23,7.0,23.7
2016/08/12 14:56,7.0,25.3
1984/08/08 01:20,7.01,22.5
1986/08/14 10:40,7.32,21.4
1989/08/14 16:30,7.62,21.6
1987/08/16 11:35,7.92,23.5
2012/08/11 04:45,8.5,24.4
2006/08/12 08:59,9.0,24.2
2004/08/07 03:30,9.0,20.8
1988/08/18 13:45,9.14,25.0
2015/08/12 14:34,9.4,21.4
1992/04/03 20:00,9.45,0.65
1985/08/13 01:05,9.45,22.0
1990/04/18 15:05,9.75,2.3
1992/04/09 11:15,9.75,1.0
1983/05/09 23:18,9.75,5.8
1985/11/23 19:50,9.75,10.3
1984/04/20 04:35,9.75,1.0
1985/04/27 11:55,9.75,1.8
1987/04/19 16:55,9.75,2.9
2010/08/10 21:59,9.9,24.2
2018/04/08 22:31,10.0,0.9
2018/04/08 22:31,10.0,0.9
2004/04/10 21:17,10.0,0.8
2014/04/25 00:23,10.0,1.0
2002/04/23 06:59,10.0,2.9
2008/04/23 04:40,10.0,1.9
2014/08/15 16:31,10.0,21.3
2005/08/11 04:45,10.0,25.1
2015/04/26 10:03,10.0,1.1
2016/04/06 13:13,10.0,2.6
2005/04/08 08:20,10.0,0.6
2016/04/06 13:13,10.0,2.6
2008/08/11 03:05,10.0,22.4
2005/04/12 01:30,10.0,1.0
2011/04/13 02:33,10.0,1.3
2006/04/09 17:30,10.0,1.9
2003/04/15 07:43,10.0,0.65
2010/04/10 11:22,10.0,1.8
2003/04/18 23:46,10.0,1.11
2002/04/08 12:26,10.0,1.8
2002/04/08 12:26,10.0,1.8
2009/04/16 09:31,10.0,1.9
1993/04/16 16:05,10.06,1.1
1983/04/26 02:10,10.06,3.5
1983/10/21 22:30,10.06,14.1
1983/08/07 21:55,10.06,23.25
1986/04/26 10:55,10.06,2.3
1991/04/14 10:42,10.06,2.65
1988/04/09 21:20,10.06,1.2
1983/08/23 01:35,10.06,20.2
1993/04/11 07:25,10.06,0.57
1983/10/21 15:00,10.06,14.4
1984/12/05 13:12,10.06,7.6
1983/04/27 08:15,10.06,3.7
1987/04/06 02:55,10.06,1.3
1984/04/18 22:00,10.06,0.65
1987/04/03 21:25,10.06,1.3
1991/04/07 01:40,10.06,1.8
1983/08/09 04:17,10.06,23.2
1988/04/16 02:05,10.06,1.2
1984/08/06 19:04,10.06,22.7
1985/04/26 03:54,10.06,1.7
1984/12/05 23:35,10.06,7.6
2017/04/07 04:29,10.1,2.3
2007/08/09 05:40,10.1,24.2
2012/04/09 02:55,10.1,3.7
2017/04/07 04:29,10.1,2.3
2013/04/03 15:14,10.1,0.7
2007/04/09 19:17,10.1,0.3
1998/04/09 07:20,10.2,3.2
1990/04/12 01:13,10.36,1.8
1989/08/20 01:55,10.97,20.8
1987/08/01 13:45,10.97,23.8
2011/08/11 08:09,11.1,23.9
1984/05/01 23:32,11.28,2.0
1991/08/09 13:00,11.28,21.6
1986/08/07 23:20,11.58,22.8
2013/08/11 03:10,12.0,20.5
2015/08/12 14:34,12.0,16.9
1988/08/12 19:10,12.19,23.2
2009/08/19 17:23,12.4,22.9
1991/08/15 07:00,12.5,22.2
2015/08/12 14:34,12.7,15.0
2001/08/05 07:30,13.0,22.2
2017/08/14 17:18,13.0,21.8
1990/08/10 04:25,13.72,22.2
2008/08/11 03:05,13.9,22.4
2005/08/11 04:45,14.0,24.8
2016/08/12 14:56,14.0,24.4
2002/08/07 18:32,14.0,23.5
1987/08/16 11:35,14.02,23.2
2011/08/11 08:09,14.5,13.6
1986/08/14 10:40,14.63,21.4
1985/08/08 04:40,14.63,21.4
1990/08/16 01:34,15.54,22.1
1984/08/20 14:45,15.85,22.5
2001/08/05 07:30,16.0,19.0
2017/08/14 17:18,16.0,19.9
1984/08/06 19:04,16.15,14.0
1989/08/14 16:30,16.15,12.4
1984/08/08 01:20,16.46,16.0
1991/08/15 07:00,16.46,12.0
2002/08/07 18:32,16.9,19.3
2012/08/11 04:45,17.0,24.4
2005/08/11 04:45,17.0,9.3
1983/08/09 04:17,17.37,15.3
1988/08/12 19:10,17.37,15.8
1985/08/13 01:05,17.37,21.3
2006/08/12 08:59,17.9,24.2
2004/08/07 03:30,18.0,20.2
2008/08/11 03:05,18.0,17.7
2013/08/11 03:10,18.2,16.2
1987/08/16 11:35,18.59,15.0
2007/08/09 05:40,18.8,15.5
1983/04/26 02:10,18.9,3.5
1984/04/20 04:35,18.9,1.0
2016/08/12 14:56,19.0,17.8
1988/08/18 13:45,19.2,15.0
1992/04/03 20:00,19.2,0.65
1983/04/27 08:15,19.2,3.7
1984/08/20 14:45,19.2,17.9
1984/04/18 22:00,19.2,0.75
2010/08/10 21:59,19.4,22.8
1990/04/12 01:13,19.51,1.8
1986/08/07 23:20,19.51,16.0
1987/04/06 02:55,19.81,1.3
1992/04/09 11:15,19.81,1.05
1989/08/20 01:55,19.81,8.3
1987/04/03 21:25,19.81,1.3
1991/04/07 01:40,19.81,1.8
1993/04/11 07:25,19.81,0.57
1985/04/27 11:55,19.81,1.8
1988/04/16 02:05,19.81,1.2
1986/04/19 08:20,19.81,2.0
1986/08/14 10:40,19.81,13.0
1985/04/26 03:54,19.81,1.8
2012/04/09 02:55,19.9,3.7
1998/04/09 07:20,19.9,3.2
2003/04/15 07:43,20.0,0.65
2009/04/16 09:31,20.0,1.9
2012/08/11 04:45,20.0,16.2
2002/04/08 12:26,20.0,1.8
2016/04/06 13:13,20.0,2.6
2004/04/10 21:17,20.0,0.9
2004/04/10 21:17,20.0,0.9
2011/04/13 02:33,20.0,1.3
2006/04/09 17:30,20.0,1.9
2010/04/10 11:22,20.0,1.7
2007/04/09 19:17,20.0,0.3
2003/04/18 23:46,20.0,1.11
2006/04/09 17:30,20.0,1.9
2014/08/15 16:31,20.0,21.2
2015/04/26 10:03,20.0,1.2
2002/04/23 06:59,20.0,2.9
2015/08/12 14:34,20.0,8.9
2014/04/25 00:23,20.0,1.0
2018/04/08 22:31,20.0,0.9
2008/04/23 04:40,20.1,1.9
2005/04/12 01:30,20.1,1.0
2013/04/03 15:14,20.1,0.7
2005/04/08 08:20,20.1,1.0
1983/10/21 22:30,20.12,13.3
1988/04/09 21:20,20.12,1.1
1990/08/16 01:34,20.12,18.0
1993/04/16 16:05,20.12,1.1
1991/04/14 10:42,20.12,2.65
1983/05/09 23:18,20.12,5.8
1986/04/26 10:55,20.12,2.4
1983/08/07 21:55,20.12,13.75
1985/11/23 19:50,20.12,10.3
1987/04/19 16:55,20.12,2.9
1983/10/21 15:00,20.12,14.2
2017/04/07 04:29,20.2,2.3
1984/12/05 23:35,20.42,7.6
1984/12/05 13:12,20.42,7.5
1984/05/01 23:32,20.42,2.0
1990/04/18 15:05,20.42,2.25
1985/08/13 01:05,20.42,14.0
1984/08/06 19:04,20.73,9.1
2010/08/10 21:59,20.8,15.1
2009/08/19 17:23,20.9,9.2
2001/08/05 07:30,21.0,9.57
1985/08/08 04:40,21.34,13.3
2013/08/11 03:10,22.0,10.5
2004/08/07 03:30,22.0,12.2
1983/08/23 01:35,22.25,11.7
1991/08/09 13:00,22.25,8.1
1987/08/01 13:45,22.56,13.8
2014/08/15 16:31,23.1,11.5
2010/08/10 21:59,23.1,8.4
2006/08/12 08:59,23.4,13.4
1990/08/10 04:25,24.38,13.0
2002/08/07 18:32,24.9,8.1
2014/08/15 16:31,25.2,8.4
2007/08/09 05:40,25.3,4.4
1991/04/14 10:42,25.3,2.65
2016/08/12 14:56,25.5,8.5
2010/08/10 21:59,25.8,7.3
1984/08/08 01:20,26.52,6.5
2009/08/19 17:23,27.1,6.5
2003/08/09 04:07,27.2,9.8
2017/08/14 17:18,28.0,8.4
2004/08/07 03:30,28.0,4.6
1984/08/20 14:45,28.04,7.4
2016/08/12 14:56,28.1,7.7
2011/08/11 08:09,28.4,5.5
2008/08/11 03:05,28.5,5.2
1983/08/07 21:55,29.26,7.0
1983/10/21 22:30,29.26,12.6
1986/08/07 23:20,29.57,8.3
1987/04/19 16:55,29.57,2.9
1984/05/01 23:32,29.57,2.0
1991/04/14 10:42,29.57,2.65
1983/04/26 02:10,29.57,3.5
1990/04/12 01:13,29.57,1.8
1984/08/06 19:04,29.87,6.5
1985/04/27 11:55,29.87,1.8
1984/12/05 23:35,29.87,7.6
1984/04/20 04:35,29.87,1.05
1988/08/12 19:10,29.87,6.4
1983/05/09 23:18,29.87,5.7
1990/04/18 15:05,29.87,2.25
1983/04/27 08:15,29.87,3.7
1993/04/11 07:25,29.87,0.58
1988/04/09 21:20,29.87,1.1
1987/04/03 21:25,29.87,1.3
1984/04/18 22:00,29.87,0.8
1988/04/16 02:05,29.87,1.2
1983/10/21 15:00,29.87,13.4
1986/04/26 10:55,29.87,2.4
1986/04/19 08:20,29.87,2.05
1993/04/16 16:05,29.87,1.1
1983/08/23 01:35,29.87,5.3
1998/04/09 07:20,29.9,3.2
2014/04/25 00:23,30.0,1.1
2002/04/08 12:26,30.0,1.8
2010/04/10 11:22,30.0,1.7
2015/04/26 10:03,30.0,1.2
2002/04/23 06:59,30.0,2.9
2003/04/15 07:43,30.0,0.65
2008/04/23 04:40,30.0,2.0
2009/04/16 09:31,30.0,2.0
2003/04/18 23:46,30.0,1.11
2005/08/11 04:45,30.0,5.2
2018/04/08 22:31,30.0,0.9
2004/04/10 21:17,30.0,0.9
2016/04/06 13:13,30.0,2.6
2012/08/11 04:45,30.0,6.3
2005/04/12 01:30,30.1,1.0
2011/04/13 02:33,30.1,1.3
2012/04/09 02:55,30.1,3.7
2007/04/09 19:17,30.1,0.6
2006/04/09 17:30,30.1,1.9
2005/04/08 07:50,30.1,1.1
2017/04/07 04:29,30.1,2.4
1992/04/03 20:00,30.18,0.65
1985/11/23 19:50,30.18,10.3
1987/04/06 02:55,30.18,1.3
1985/04/26 03:54,30.18,1.9
1992/04/09 11:15,30.18,1.15
1984/12/05 13:12,30.18,7.4
1991/04/07 01:40,30.18,1.8
2013/04/03 15:14,30.4,0.0
2013/04/03 15:14,30.4,0.7
1986/08/14 10:40,30.48,4.9
2014/08/15 16:31,30.8,4.9
1989/08/14 16:30,31.09,5.4
1990/08/16 01:34,31.09,10.0
2013/08/11 03:10,32.0,6.3
1988/08/18 13:45,32.61,6.2
1985/08/08 04:40,32.61,5.9
1985/08/13 01:05,33.22,6.0
1991/08/15 07:00,34.14,6.8
1990/08/10 04:25,34.44,8.1
2003/08/09 04:07,35.0,5.4
1989/08/20 01:55,35.36,4.7
1987/08/16 11:35,35.66,5.2
1984/08/06 19:04,36.88,5.5
2001/08/05 07:30,37.0,4.81
1985/08/13 01:05,39.62,4.9
1984/05/01 23:32,39.62,2.0
1983/08/23 01:35,39.62,3.4
1983/05/09 23:18,39.62,5.7
1984/04/20 04:35,39.62,1.2
2009/08/19 17:23,39.8,5.3
2005/04/08 07:50,39.8,1.1
2010/08/10 21:59,39.9,6.1
1998/04/09 07:20,39.9,3.2
2013/08/11 03:10,39.9,6.0
2008/04/23 04:40,39.9,2.0
1984/12/05 13:12,39.93,7.4
1983/08/09 04:17,39.93,5.75
1983/04/27 08:15,39.93,3.7
1984/04/18 22:00,39.93,1.0
1991/04/07 01:40,39.93,1.8
1984/12/05 23:35,39.93,7.5
1986/08/07 23:20,39.93,5.0
1985/08/08 04:40,39.93,4.7
2002/04/23 06:59,40.0,3.0
2002/04/08 12:26,40.0,1.8
2003/08/09 04:07,40.0,5.4
2005/08/11 04:45,40.0,5.1
2013/04/03 15:14,40.0,0.7
2004/04/10 21:17,40.0,0.9
2007/08/09 05:40,40.0,4.3
2014/04/25 00:23,40.0,1.1
2018/04/08 22:31,40.0,0.9
2014/08/15 16:31,40.0,4.7
2017/08/14 17:18,40.0,5.4
2015/04/26 10:03,40.0,1.2
2015/08/12 14:34,40.0,6.4
2016/08/12 14:56,40.0,6.3
2007/04/09 19:17,40.0,0.7
2012/08/11 04:45,40.0,6.0
2003/04/15 07:43,40.0,0.65
2004/08/07 03:30,40.0,4.6
2006/04/09 17:30,40.0,1.9
2009/04/16 09:31,40.0,2.0
2010/04/10 11:22,40.0,1.7
2003/04/18 23:46,40.0,1.11
2011/04/13 02:33,40.1,1.3
2016/04/06 13:13,40.1,2.6
2005/04/12 01:30,40.1,1.0
2012/04/09 02:55,40.1,3.7
2011/08/11 08:09,40.2,24.4
2017/04/07 04:29,40.2,2.4
1993/04/11 07:25,40.23,0.58
1985/04/27 11:55,40.23,1.8
1992/04/09 11:15,40.23,1.3
1983/10/21 15:00,40.23,13.0
1987/04/19 16:55,40.23,2.9
1984/08/20 14:45,40.23,5.1
1983/08/07 21:55,40.23,5.5
1987/04/03 21:25,40.23,1.3
1984/08/08 01:20,40.23,5.3
1983/04/26 02:10,40.23,3.5
1987/08/16 11:35,40.23,5.2
1991/08/09 13:00,40.23,5.5
1986/04/26 10:55,40.23,2.4
1988/08/12 19:10,40.23,5.0
1985/04/26 03:54,40.23,2.1
1983/10/21 22:30,40.23,12.3
1991/08/15 07:00,40.23,6.2
1986/04/19 08:20,40.23,2.1
1993/04/16 16:05,40.23,1.1
2008/08/11 03:05,40.3,5.1
2008/08/11 03:05,40.3,5.1
2006/08/12 08:59,40.3,5.9
1988/04/09 21:20,40.54,1.1
1987/08/01 13:45,40.54,5.0
1988/08/18 13:45,40.54,4.95
1986/08/14 10:40,40.54,4.0
1989/08/20 01:55,40.54,4.7
1989/08/14 16:30,40.54,4.4
1990/04/18 15:05,40.54,2.25
1990/08/10 04:25,40.54,7.0
1985/11/23 19:50,40.54,10.3
1987/04/06 02:55,40.54,1.3
1988/04/16 02:05,40.54,1.2
1985/11/22 21:10,40.54,10.6
1992/04/03 20:00,41.45,0.65
1990/08/16 01:34,42.06,6.5
2011/08/11 08:08,45.2,4.7
1990/04/12 01:13,47.55,1.8
1983/05/09 23:18,48.46,5.6
1987/08/16 11:35,48.77,5.1
1990/04/18 15:05,48.77,2.25
1983/04/26 02:10,48.77,3.5
2004/08/07 03:30,49.0,4.6
1984/04/20 04:35,49.38,3.25
1984/04/18 22:00,49.38,1.25
1988/08/18 13:45,49.38,4.9
1984/12/05 13:12,49.38,7.4
1989/08/14 16:30,49.38,4.3
1985/04/27 11:55,49.38,1.9
1984/12/05 23:35,49.38,7.5
1985/08/08 04:40,49.38,4.7
1991/08/09 13:00,49.38,5.0
1983/10/21 15:00,49.68,12.2
1985/11/23 19:50,49.68,10.3
1987/08/01 13:45,49.68,4.9
1983/04/27 08:15,49.68,3.7
1985/08/13 01:05,49.68,4.8
1983/08/23 01:35,49.68,3.15
1991/08/15 07:00,49.99,5.3
1983/10/21 22:30,49.99,10.3
1984/08/06 19:04,49.99,5.2
2002/08/07 18:32,50.0,6.8
2002/04/23 06:59,50.0,3.0
2002/04/08 12:26,50.0,1.8
1988/04/16 02:05,50.29,1.2
1983/08/07 21:55,50.29,5.1
1984/05/01 23:32,50.29,2.0
1986/08/07 23:20,50.29,4.9
1992/04/03 20:00,50.29,0.65
1989/08/20 01:55,50.29,4.7
1984/08/20 14:45,50.29,5.1
1990/08/16 01:34,50.29,6.2
1988/08/12 19:10,50.29,5.0
1986/08/14 10:40,50.29,4.0
1991/04/07 01:40,50.29,2.1
1987/04/19 16:55,50.29,3.8
1987/04/06 02:55,50.6,1.3
1988/04/09 21:20,50.6,1.7
1985/04/26 03:54,50.6,2.2
1986/04/19 08:20,50.9,2.1
1986/04/26 10:55,50.9,2.4
1984/08/08 01:20,50.9,5.1
1993/04/11 07:25,51.21,0.58
1991/04/14 10:42,51.21,2.85
1992/04/09 11:15,51.21,1.4
1990/08/10 04:25,51.21,6.3
1993/04/16 16:05,51.21,1.1
1985/11/22 21:10,51.21,10.5
1983/08/09 04:17,51.21,5.2
2003/04/15 07:43,51.8,0.65
1987/04/03 21:25,51.82,1.3
1990/04/12 01:13,51.82,1.8
2017/08/14 17:18,51.9,5.4
2017/08/14 17:18,51.9,5.4
1998/04/09 07:20,52.0,3.2
2003/04/18 23:46,52.0,1.11
2003/08/09 04:07,52.0,5.3
2016/08/12 14:56,52.0,5.5
2004/04/10 21:17,52.0,0.9
2007/08/09 05:40,52.0,4.3
2018/04/08 22:31,52.1,0.9
2017/04/07 04:29,52.1,2.4
1983/10/21 15:00,52.12,12.0
2011/04/13 02:33,52.2,1.3
2012/08/11 04:45,52.2,5.7
2010/08/10 21:59,52.3,5.8
2010/08/10 21:59,52.3,5.8
2013/08/11 03:10,52.3,5.7
2009/08/19 17:23,52.4,5.2
2005/04/12 01:30,52.4,1.1
2008/04/23 04:40,52.5,2.3
2008/08/11 03:05,52.5,5.1
2007/04/09 19:17,52.6,0.9
2006/04/09 17:30,52.6,1.9
2015/08/12 14:34,52.6,5.8
2012/04/09 02:55,52.7,3.7
2011/08/11 08:09,52.7,4.7
2015/04/26 10:03,52.8,1.4
2013/04/03 15:14,52.9,0.7
2010/04/10 11:22,52.9,1.7
2006/08/12 08:59,52.9,5.1
2016/04/06 13:13,53.0,2.9
2009/04/16 09:31,53.0,2.0
2005/08/11 04:45,53.0,4.9
2014/08/15 16:31,53.2,4.7
2014/04/25 00:23,53.2,1.1
2005/04/08 07:50,53.3,1.2
1983/10/21 22:30,53.95,9.6
1983/10/21 15:00,55.47,10.1
1983/05/09 23:18,55.78,5.4
1984/04/20 04:35,56.39,3.35
1983/04/26 02:10,56.39,3.5
1983/10/21 22:30,56.69,9.1
1983/08/07 21:55,57.0,5.1
1984/05/01 23:32,57.0,2.0
2001/08/05 07:30,57.6,4.51
1984/08/20 14:45,57.61,5.1
1983/04/27 08:15,57.61,3.7
1984/12/05 23:35,57.61,7.5
1984/04/18 22:00,57.91,1.4
1984/12/05 13:12,57.91,7.4
1985/04/27 11:55,57.91,1.9
1988/08/18 13:45,57.91,4.9
1987/08/16 11:35,57.91,5.1
1991/08/09 13:00,57.91,5.0
1991/04/14 10:42,57.91,3.45
2002/04/08 12:26,58.0,1.8
2002/04/23 06:59,58.0,3.0
2005/04/12 01:30,58.1,1.2
2005/04/12 01:30,58.1,1.2
1983/08/09 04:17,58.22,5.2
1984/08/08 01:20,58.22,4.9
1985/08/08 04:40,58.22,4.7
1989/08/14 16:30,58.22,4.3
1984/08/06 19:04,58.22,5.0
1983/08/23 01:35,58.22,3.1
1990/04/18 15:05,58.22,2.25
1989/08/20 01:55,58.83,4.7
1988/04/16 02:05,58.83,2.4
1987/04/19 16:55,58.83,3.9
1986/04/26 10:55,59.13,3.2
1988/04/09 21:20,59.13,2.0
1985/08/13 01:05,59.13,4.8
1987/08/01 13:45,59.13,4.9
1985/11/23 19:50,59.13,10.3
1991/08/15 07:00,59.13,5.3
1992/04/03 20:00,59.13,0.65
1990/08/10 04:25,59.13,6.2
2002/08/07 18:32,59.4,6.0
1985/04/26 03:54,59.44,2.5
1990/08/16 01:34,59.44,6.1
1987/04/06 02:55,59.44,1.3
1986/08/14 10:40,59.44,4.0
1986/08/07 23:20,59.44,4.8
1991/04/07 01:40,59.44,2.6
1985/11/22 21:10,59.74,10.2
2004/08/07 03:30,60.0,4.5
2004/04/10 21:17,60.0,1.1
1986/04/19 08:20,60.05,2.6
1992/04/09 11:15,60.05,1.5
1998/04/09 07:20,60.3,3.2
1990/04/12 01:13,60.35,2.4
1988/08/12 19:10,60.35,5.0
1993/04/11 07:25,60.35,0.58
1993/04/16 16:05,60.35,1.1
2017/04/07 04:29,60.4,2.4
2008/08/11 03:05,60.4,5.1
1987/04/03 21:25,60.66,1.3
2005/08/11 04:45,60.7,4.8
2018/04/08 22:31,60.7,0.9
2003/04/15 07:43,60.8,0.65
2005/04/08 07:50,60.9,1.2
2005/04/08 07:50,60.9,1.2
2013/04/03 15:14,60.9,0.7
2012/08/11 04:45,61.0,5.6
2003/08/09 04:07,61.0,5.2
2003/04/18 23:46,61.0,1.11
2016/08/12 14:56,61.1,5.5
2011/04/13 02:33,61.1,1.4
2013/08/11 03:10,61.2,5.7
2014/08/15 16:31,61.3,4.6
2008/04/23 04:40,61.3,2.3
2011/08/11 08:09,61.4,4.7
2007/08/09 05:40,61.4,4.3
2015/04/26 10:03,61.4,1.4
2006/04/09 17:30,61.5,1.9
2015/08/12 14:34,61.5,5.7
2010/08/10 21:59,61.5,5.8
2007/04/09 19:17,61.7,0.9
2012/04/09 02:55,61.7,3.7
2012/04/09 02:55,61.7,3.7
2014/04/25 00:23,61.7,1.3
2010/04/10 11:22,61.8,1.7
2010/04/10 11:22,61.8,1.7
2009/08/19 17:23,61.8,5.1
