YEAR,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1996,1996,2016,2016,2017,2017
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.38,,,,,,,,,,0.5,,,,,,1.5,1.7,0.5,,,,,,,,
-24.08,,,,,,1.6,,,,,,,,,,,,,,,,,,,,
-24.0,,,,,,,,,,,,,,,,,,,,,,,,0.381,4.46,
-23.77,,,,,,2.3,,,,,,,,,,,,0.6,,,,,,,,
-23.5,,,,,,,,,,,,,,,,,,,,,,,1.69,,,
-23.47,,,,,,,,,,,,,,,,,3.6,,,,,,,,,
-23.16,,,,0.3,,,1.8,,,,,1.3,,,,0.9,,,,,,,,,,
-23.1,,,,,,,,,,,,,,,,,,,,,,,,0.353,,
-23.0,,,,,,,,,,,,,,,,,,,,,,,4.21,,3.88,
-22.86,,,,,2.4,,4.0,,1.35,,,0.0,,0.4,1.8,1.7,,,6.2,,,,,,,
-22.56,,,,,,,,,1.2,0.6,,,,,,,,,,,,,,,,
-22.25,,0.0,,,,,,0.1,,,,,,,,,2.0,0.35,,,,,,,,
-22.0,,,,,,,,,,,,,,,,,,,,,7.7,,,,,
-21.95,,,,0.8,,,,,,,0.9,0.5,,0.0,,,1.4,,6.5,,,,,,,
-21.64,,,,,,,,,1.3,,0.7,,,,,,4.5,0.3,,,,,,,,
-21.34,2.0,,3.9,,,1.3,,,1.1,1.6,0.8,,,,0.8,2.5666666666666664,,0.5,,,,,,,,
-21.03,,,5.5,,,2.7,,,,0.8,,,,,,,,,,,,,,,,
-20.73,2.0,,,0.8,,0.9,,,0.9,,,0.9,,,0.6,,,0.3,,,,,,,,
-20.42,,,,,,0.6,,,1.5499999999999998,,,,,0.2,0.0,,,0.3,,,,,,,,
