Year,1995,1995,1995,1998,1998,2000,2002,2002,2004,2004,2006,2006,2009,2010
Month,4,8,10,4,7,8,4,7,4,8,4,8,4,7
DEPTH_FROM,,,,,,,,,,,,,,
-21.0,,6.403333333333333,9.455,,,5.91,,9.091999999999999,14.485,0.0,14.440000000000001,8.1175,14.245000000000001,7.994
-20.5,,6.746666666666667,9.4775,,,5.96,,8.991999999999999,14.504999999999999,0.0,14.447999999999999,8.012500000000001,14.2425,7.814
-20.0,,7.166666666666667,9.482500000000002,,,5.96,,8.995999999999999,14.559999999999999,0.0,14.468,7.879999999999999,14.2425,7.7
-19.5,,7.8566666666666665,9.49,,,6.05,,9.008,14.515,0.0,14.459999999999999,7.88,14.240000000000002,7.4959999999999996
-19.0,,8.020000000000001,9.497499999999999,,,6.52,,8.966,14.445,0.0,14.472,8.114999999999998,14.2425,7.291999999999999
-18.5,,7.766666666666666,9.5125,,,7.11,,8.906,14.510000000000002,0.0,14.468,8.125,14.2425,7.214
-18.0,,7.396666666666667,9.51,,,7.3,,8.88,14.515,0.0,14.456,8.030000000000001,14.2425,7.248
-17.5,,7.603333333333334,9.5075,,,8.5,,8.758,14.51,0.0,14.456,8.09,14.2425,7.074
-17.0,,7.550000000000001,9.5025,,,9.18,,8.658,14.42,0.0,14.464000000000002,8.2825,14.2425,6.944
-16.5,,7.386666666666667,9.497499999999999,,,9.2,,8.67,14.440000000000001,0.0,14.473999999999998,8.122499999999999,14.2375,7.074000000000001
-16.0,,7.173333333333333,9.5,,,9.14,,8.486,14.469999999999999,0.0,14.472,8.147499999999999,14.235000000000001,7.175999999999999
-15.5,,7.536666666666666,9.51,,,9.13,,8.749999999999998,14.48,0.0,14.458000000000002,8.16,14.235000000000001,7.048
-15.0,,8.229999999999999,9.525,,,9.14,,8.714,14.46,0.0,14.460000000000003,8.405,14.225,6.9319999999999995
-14.5,,8.290000000000001,9.5425,,,9.15,,8.972,14.364999999999998,0.0,14.466,8.6475,14.2225,6.882
-14.0,,8.306666666666667,9.545,,,9.16,,9.014,14.435,0.0,14.470000000000002,8.7175,14.23,6.872
-13.5,,8.31,9.557500000000001,,,9.2,,9.018,14.425,0.0,14.466,8.6,14.2375,6.903999999999999
-13.0,,8.333333333333334,9.557500000000001,,,9.22,,9.016,14.440000000000001,0.0,14.468,8.585,14.225000000000001,6.932
-12.5,,8.346666666666666,9.5625,,,9.23,,8.98,14.364999999999998,0.0,14.470000000000002,8.515,14.2175,6.912000000000001
-12.0,,8.336666666666666,9.567499999999999,,,9.26,,9.02,14.350000000000001,0.0,14.469999999999999,8.4825,14.209999999999999,6.864
-11.5,,8.323333333333332,9.5675,,,9.26,,9.038,14.395,0.0,14.469999999999999,8.545,14.207500000000001,6.882000000000001
-11.0,,8.336666666666666,9.559999999999999,,,9.24,,8.978,14.385,0.0,14.463999999999999,8.61,14.205,6.8740000000000006
-10.5,,8.340000000000002,9.5575,,,9.25,,8.924,14.34,0.0,14.459999999999999,8.657499999999999,14.2075,6.862
-10.0,,8.353333333333333,9.557500000000001,,,9.25,,8.956,14.305,0.0,14.459999999999999,8.675,14.21,6.880000000000001
-9.5,,8.35,9.56,,,9.24,,9.022,14.335,0.0,14.462,8.6275,14.205,6.866
-9.0,,8.343333333333334,-17.560000000000002,,,9.25,,9.16,14.275,0.0,14.469999999999999,8.8225,14.192499999999999,6.816
-8.5,,8.336666666666668,-17.5575,,,9.25,,9.17,14.32,0.0,14.468,8.9075,14.1925,6.802000000000001
-8.0,,8.323333333333332,-17.552500000000002,,,9.24,,9.158,14.23,0.0,14.460000000000003,8.875,14.192499999999999,6.824000000000001
-7.5,,8.316666666666666,-17.56,,,9.26,,9.152,14.2,0.0,14.454000000000002,8.865,14.1875,6.864
-7.0,,8.313333333333333,-17.552500000000002,,,9.26,,9.152000000000001,14.215,0.0,14.446000000000002,8.837499999999999,14.1875,6.808
-6.5,,8.31,-17.5625,,,9.24,,9.145999999999999,14.205,0.0,14.443999999999999,8.817499999999999,14.162500000000001,6.779999999999999
-6.0,,8.31,-17.57,,,9.24,,-12.488,14.15,0.0,14.443999999999999,8.82,14.165,6.764
-5.5,,8.306666666666667,-17.572499999999998,,,9.24,,-12.495999999999999,14.07,0.0,14.443999999999999,8.81,14.209999999999999,6.758
-5.0,,8.303333333333333,-17.572499999999998,,,9.23,,-12.489999999999998,14.075,0.0,14.454000000000002,8.814,14.195,6.74
-4.5,,8.303333333333333,-17.572499999999998,,,9.24,,-12.49,14.0,0.0,14.466,8.797999999999998,14.1875,6.7459999999999996
-4.0,,8.286666666666667,-17.567500000000003,,,9.24,,-12.494,13.969999999999999,0.0,14.464000000000002,8.702000000000002,14.162500000000001,6.75
-3.5,,8.266666666666667,-17.5675,,,9.22,,-12.502,13.89,0.0,14.459999999999999,8.626000000000001,14.1525,6.74
-3.0,,8.25,-17.57,,,9.22,,-12.504,13.8,0.0,14.443999999999999,8.66,14.1375,6.708000000000001
-2.5,,8.243333333333334,-17.585,,,9.22,,-12.508,13.76,0.0,14.419999999999998,8.744,14.135000000000002,6.728
-2.0,,8.17,-17.622500000000002,,,9.22,,-12.516000000000002,13.684999999999999,0.0,14.412,8.569999999999999,14.14,6.708
-1.5,,8.116666666666667,-44.675,,,9.21,,-12.538000000000002,13.575,0.0,14.392000000000001,8.548,14.1425,6.606
-1.0,,8.15,-44.68,,,9.21,,-12.556,13.47,0.0,14.366,8.524,14.127500000000001,6.526000000000001
-0.5,,-18.717499999999998,-44.69,-99.0,-99.0,9.2,,-12.565999999999999,13.495000000000001,0.0,14.358,8.446000000000002,14.11,6.529999999999999
-0.0,-99.0,-18.7425,-44.6925,,-99.0,9.19,-99.0,-71.945,13.515,,14.356,8.290000000000001,14.455,6.541999999999999
