-61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054000000000000006,,,,
-61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.976,,,,,,,,,
-61.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,0.310921685,0.041256595,,0.0397333335,,,,,,,,,1.34,0.054000000000000006,,,,,,,,,,,,,,,,,,0.0981333333333333,,,,,,
-60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,1.38,,,,,
-60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.047,,,,,,,,,,,,,,,,,,,,,,,,,
-60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,0.07400000000000001,,,,,,,,,,,,,,,,,,,,
-60.66,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,
-60.35,,,,,,,,,,,,,,,,,0.25,,1.25,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7333333329999999,,,,,,4.4639999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.05,,,,,,,,,,,,1.5,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.0,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.35,0.68,,,,,,,,3.593,0.105,,,,,,,,,,,,,,,,,,,,,,
-59.74,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-59.44,,,,,,,,,0.2,,,,0.95,1.1,,,,,,0.07,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,
-59.13,,,,,,,,,,0.2,1.1,1.1,,,0.2,4.18,,,,0.02,,13.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-58.83,,,,,,,,,,,,,,1.5,,0.69,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-58.22,,0.3,,,,0.35,,,,0.2,,,,,,,,0.64,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,
-58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361,,,,,,,,,,,,,,,,,,,,,,,,,,,
-57.91,,,,,0.8,,2.2,,0.2,,,,,,0.1,,,,,,2.6,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-57.61,2.2,,,,,0.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-57.0,,0.2,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-56.69,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-56.39,2.0,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-55.78,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-55.47,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-53.95,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.327,,,,,,,,,,,,,,,,,,,,,
-53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3886666666666671,0.147333333333333,,
-53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038756195,,0.023133333,,,,,,,,,,,,,,0.107,,,,,,,2.795,,,,,,,,,,,,,
-52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,,,,,,2.171,,,,,,1.4133333333333302,,,,,
-52.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7333333333333303,
-52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0938666666666667,0.885333333333333,,,,,,,
-52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.610666667,,6.37,,,,,,,,,,,,,,,,,0.0906666666666667
-52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.047,0.35,,,,,,,,,,,,,,
-52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.853,,,,,,,,,0.071,,,,,,,,,,,,
-52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,0.052000000000000005,,,,
-52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,0.11146666666666699,,,,,,
-52.12,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-52.0,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,0.64226779,,0.6579999999999999,,,0.4,0.95,,,,,,1.053,0.044000000000000004,4.1530000000000005,,,,,,,0.04,,,,,,,,,,,,,,,,
-51.82,,,,,,,,,,,,,,1.0,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,0.873,,,,,,,,,,,,,,,,,,,,,,,,,
-51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-51.21,,0.2,,,,,,,,,1.27,,,,,,,,,0.02,2.61,,1.0,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.9,,,,,,0.4,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6,,,,,,,,,0.2,,,,,1.2,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.29,,0.2,,,,0.5,,0.7,,,,,0.55,1.4,,0.47,0.17,0.81,,0.01,0.7,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3595,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,
-49.99,,,,2.0,,0.2,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49.68,2.3,0.2,,3.2,,,,,,0.2,0.6,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49.38,,,,,0.55,,2.3,,0.2,0.15,,,,,,,,0.57,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49.007,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,,,,,,,,,,,,,,,,,,,,,,
-48.77,1.4,,,,,,,,,,,,,,0.2,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.853,,,,,,,1.4088,,,,,,
-48.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0320000000000014,,,,,,,
-48.46,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.508,0.27399999999999997,,
-48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192,,,,,,,,,,,,
-48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.6729999999999999,,,,,,,,,,,,,,,,,,
-48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,0.168,,,1.11333333333333,,,,6.86666666666667,
-48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49713319499999997,,,0.051266667,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5893333333333302,,,,,,,,,0.293333333333333
-47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,,,,,,,3.85,,0.78,,,,,0.13699999999999998,,,,,,,,,,
-47.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.883,,,,,,,,,,,
-47.55,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08376338900000001,,,,,,,,,,,,,,,1.5935,,,,,,,,,,,,,,,,,,,,,
-47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.073,,,,,,,,,,,,,,,,,,,,,,,,,
-47.24,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,,,,
-47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,,,,,,,
-47.0,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.94,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,
-46.63,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7260000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526666667,,,,,,,,,,,,1.4669999999999999,,,,,,,,,0.2,,,,,,,,,,,,,,
-46.33,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.02,,,,,,,,,,,,,,,,,,,,,2.8,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040933332999999995,,,,,,,,0.28300000000000003,,,,0.151,,,,,,,,,,,,,,,,,,,,,,
-45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45.72,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45.42,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,,,,,,,,,,,,
-45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.248,,,,,0.11626666666666699,,,,,,,,
-45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30124347500000004,,,,,,,,,,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,
-44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179,,,,,,,,,,,,,,,1.66,,,,,
-44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040733333,,,,,,,,,,,,,,,,,1.24,,,,,,2.784,,,,,,,,,,2.34666666666667,0.18466666666666698
-44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,,,,,,,,,,,,,,,,0.768,,,,,,,
-44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7170000000000001,,0.61,0.973,,,,,,,,,0.773333333333333,0.132266666666667,,,,,,,,
-44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,0.5973333333333335,,,
-44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,
-44.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.2366003195,,,,0.35,,,,0.104,,,,,,,,,,,,,,,,,,0.175,,,,0.295466666666667,,0.257333333333333,,,,
-43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,0.326666666666667,,
-43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,0.212,,,,,,,,,,,,,,,,,,,,,,,,
-43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.59,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.018000000000001,,,,,,,,,,,,,,,,,,,,,,,,,
-43.489,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.28,,,,,,,,,,,0.6,,,,,,,,,,,,1.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32899999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.58,,,,,,,,1.16,0.17300000000000001,,,,,,,,,,,,,,,,,,,,,,
-42.98,,,,,,,,,,,0.55,0.92,,,,,,0.74,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42.67,,,,,,,,,0.3,0.2,,,0.9,,,,,,,,3.1,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42.37,,,,,,,,,0.4,,,,,1.4,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16899999999999998,,,,,,,,,,
-42.06,,,,,,,,,,,,0.865,0.9,1.6,,1.42,0.22,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.573333333,,,,,,,,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.76,,,,2.3,,,,0.6,,,,,,,0.2,2.24,,0.84,1.84,0.07,,4.550000000000001,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.45,,,,,0.7,0.4,,,,,,,,,,,0.31,,1.1,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07735,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.15,,0.4666666666666666,,,,0.4,1.85,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.561,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40.84,1.8,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40.54,,,,,,,,,0.22,,1.3,,0.2,1.2,0.44999999999999996,1.87,,0.99,2.95,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,,,0.385,,,,,,,,,,,,,,
-40.23,1.95,0.2,,1.95,0.6,0.4,,,0.2333333333333333,0.5,0.7,0.9,1.0,1.3833333333333335,0.2,,0.18,,,0.05,,0.5,0.8,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6335,,,,,,,,,,0.13973333333333302,,,,,,,,
-40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.227,,,,,,,,,,,,1.5519999999999998,,0.912,,,,,,,
-40.0,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,0.53692273,,,,,0.33,1.13,,6.08,,0.3715,,1.3976666666666668,0.077,4.587,0.1,,0.095,0.673333333,,6.44,0.11,,,3.307,,2.012,,,,,0.1392,1.3866666666666698,,1.0,0.198,3.2333333333333303,0.913333333333333
-39.979,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39.93,2.0,0.8,,,0.5,,1.9,,0.3,0.1,,0.6,0.7,,,,,,1.44,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.706666667,,,,,,,,,,,,,,,,,,,,2.64,,,,,0.276,,,,,,0.25866666666666704,,,,
-39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.827,,,,,,,,,0.261,,,,,,,,,,,,
-39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673333333333333,,,
-39.62,,0.2,1.8,,0.8,,,0.7,,0.0,0.5,,,,0.3,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02933333333333,,,,,,6.61333333333333,
-39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.003,,,,,,,,,,,,,
-39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05333333333333,,,,,
-39.32,,,,,,,,,,0.25,,,,1.3,0.4,0.47,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,0.153,,,,,,,,,,
-39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.133333333,,,,,,,,,,,,,,,,,,,
-39.01,,,,1.1,,,,,,,,,,0.9,,,,,1.71,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39.0,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,0.50137397,,,0.053666667,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52533333333333,,,,,,,,,
-38.71,,,,,,,,,,,,,,,,0.76,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,,,,,,,,,,,,,,,,,
-38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,0.40266666666666706,,
-38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22566107100000002,,,,,,,,,,,,,,,1.4869999999999999,,,,,,,0.25,,,3.9160000000000004,,,,,,,,,,,
-38.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,
-38.1,,,,,,,,,,0.3,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,1.993,0.10400000000000001,1.38,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,
-37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154,,,,,,,,,,,,
-37.8,,,,,,,,,,,,,,,,,,,,,1.5,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,,,,,,,,,,,,,,,,,,,,
-37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1694999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.49,,,,,,,,,,,,,,,,,,,,,2.9,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4886666666666671
-37.19,,,,,,,,,,,,,,,,,,,,,,0.44,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1533,0.41100000000000003,0.27699999999999997,,,,,,,,,,,,,,,,,,,,0.161066666666667,,,,,,
-36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.626,,,,,,,,,,,,,,,,,,
-36.88,,,,0.9,,0.3,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2106666666666665,,,1.3666666666666698,,,,,
