-30.1,,,,,,,,,,,0.2895,,0.29600000000000004,,0.267,,,,,,,,0.168,,0.23800000000000002,,,,,,,,,,0.23
-30.0,0.21,,0.2148965,,0.274082,,0.25057766666666664,,0.290779,,,0.255,,0.39,,,0.24100000000000002,,0.23399999999999999,,0.191,0.265,,,,0.324,,,0.177,,0.155,,0.2,,
-29.749000000000002,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,,,,,
-29.0,,,,,0.263303,0.301565,,,,,,,,,,,,,,,,,,,,0.32299999999999995,,,,,,,,,
-28.5,,,,,,,,,,,,,,,,,,0.256,,,,,,,,,,,,,,0.19699999999999998,,,
-28.4,,,,,,,,,,,,,,,,,,,,,,,,0.149,,,,,,,,,,,
-28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,
-28.0,,,,0.191695,0.259314,,,,,0.275092,,,,,,,,,,0.295,,,,,,,,,,,,,,,
-27.5,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,
-27.2,,,,,,,,0.21111799999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.129,,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.1,,,,,,,,,,,,,,,,,,,,0.262,,,,,,,,,,,,,,,
-27.0,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,0.191,
-26.9,,,,,,0.30185,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,
-26.0,,,,,,,,,,,,0.222,,,,,,,,,,,,,,,,,,,,,,,
-25.8,,,,,,,,,,,,,,,,,,,,,,0.154,,,,,,,,,,,,,
-25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,
-25.3,,,,,,,,,,,,,,,,0.266,,,,,,,,,,,,,,,,,,,
-25.1,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,
-25.0,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,0.244,,,,,,,
-24.9,,,,,,0.309897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.7,,,,,,,,,,,,,,,,,0.237,,,,,,,,,,,,,,,,,,
-24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16299999999999998,,
-24.5,,,,,,,,,,,,,,,,,,,,,,,0.153,,,,,,,,0.131,,,,
-24.4,,,,,,,,,,,,,0.295,,,,,,,,,,,,0.228,,,,0.14,,,,,,
-24.3,,,,,,,,,,,,,,,0.27699999999999997,,,,,,,,,,,,,,,,,,,,
-24.2,,,,,,,,,,,,,,,,,,,0.20600000000000002,0.221,0.19699999999999998,,,,,,,,,,,,,,
-24.1,,,,0.21307600000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.0,,,,,0.273266,,0.257401,0.20978000000000002,0.30735300000000004,0.27425,,,,,,,,,,0.20199999999999999,,,,,,,0.2,,,,,,,0.131,0.217
-23.7,,,,,,0.304108,,,,,,,,,,,,,,,,,,,,,0.2585,,,,,,,,
-23.6,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,,,,,,,,,
-23.5,,,,,,,,,,,,,,,,,,,0.2095,,,,,,,,,,,,,,0.142,,
-23.4,,,,,,,,,,,,,,0.243,,,,,,,,,,,,,,,,,,0.183,,,
-23.3,,,,,,,,,,,,,,,,,0.23399999999999999,,,,,,,,,,,,,,,,,,
-23.2,,,,,0.26827,,,,,,0.286,,,,,,,,0.201,,,,,,,,,,0.13,,,,,,
-23.1,,,,,,,,,,,,,0.34349999999999997,,,,,,,,,0.077,,,,,,,,0.152,0.17600000000000002,,,0.10099999999999999,
-23.0,0.172,,0.241538,0.20718899999999998,,,,,,,,,,,,,,,,,0.207,,,,,,,,,,0.128,,0.166,,0.21950000000000003
-22.9,,,,,,,,,,,,,,,0.455,,,,,,,,,,,,,,,,,,,,
-22.7,,,,,,,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,
-22.6,,,,,,,,,,,,,,,0.27399999999999997,,,,,,,,,,,,,,,,,,,,
-22.5,,,,,,,,,,,,,0.303,,,,,,,,,,,,,,,,0.16899999999999998,,,,,,
-22.4,,,,,,,,,,,0.269,,,,,,,,,,,,0.134,,0.233,,,,,,,,,,
-22.25,,,,,,,0.245569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.1,,,,,,,0.23690799999999998,,0.352074,,,,,,,,,,,,,,0.162,,,,,,,,,,,,
-22.055999999999997,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.0,,,0.22311199999999998,0.21369849999999999,,0.278649,,,,0.25454,,,,,,,,,,,,,,,,,,0.2,,,,,,,
-21.9,,,,,,,,,,,,,,,,,0.23800000000000002,,,,,,,,,,,,,,,,,,
-21.1,,,,,,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,,,,
-21.034000000000002,,0.20199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.0,,,0.21668800000000002,0.180427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.9,,,,,,,,,,,,,,,,,,,,0.271,,,,,,,,,,,,,,,
-20.8,,,,,,,,,,,,,,,,,,,,,,0.09699999999999999,,,,,,,,,,,,,
-20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
-20.1,,,,0.190532,,,,,,,0.2905,,,,,,0.23800000000000002,,,,,,,,,,0.204,,,,,,,,
-20.0,0.186,,0.220388,,0.26594183333333327,0.25249,0.25021333333333334,,0.2934543333333333,,,,0.29600000000000004,,0.282,,,,0.233,,0.18899999999999997,,0.16899999999999998,,,0.13,,,0.17600000000000002,0.127,0.163,0.17600000000000002,0.2,,
-19.9,,,,,,,,,,,,,,,,,,,,,,,,,0.23800000000000002,,,,,,,,,,
-19.857,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,,
-19.3,,,,,,0.294329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,
-18.983,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.8,,,,,,,,,,,,,,,,0.21899999999999997,,,,,,,,,,,,,,,,,,,
-18.2,,,,,,,,0.18704,,,,,,,,,,,,,,,,,,,,0.126,,,,,,,
-18.0,,,,0.15118,,,,,,0.230456,,,,,,,,0.258,,,,,,,,,,,,,,,,,
-17.963,,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.9,,,,,,,,,,,,,,0.18600000000000003,,,,,,,,,,,,,,,,,,,,,
-17.5,,,,,,,,,,0.243966,,,,,,,,,,,,,,,,,,,,,,,,,
-17.0,,,,,,,,,,,,0.161,,,,,,,,,,,,,,0.018000000000000002,,,,,,,,,
-16.9,,,,,,0.29446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.6,,,,,,,,,,,,,,,,,,,0.213,,,,,,,,,,,,,,,,
-16.5,,,,,,,,,,,0.271,,,,,,,,,,0.20199999999999999,,0.13,,0.22349999999999998,,0.255,,0.129,,0.1265,,0.141,,
-16.4,,,,,,,,,,,,,,,0.45299999999999996,,0.23299999999999998,,,,,,,,,,,,,,,,,,
-16.3,,,,,,,,,,,,,0.344,,,,,,,,,,,,,,,,,,,,,,0.215
-16.1,,,,,,0.18725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.0,0.174,,,0.1585065,,,0.23834899999999998,,0.34777399999999997,,,0.162,,,,,,,,,,,,,,,,,,,,,,,
-15.5,,,0.22038899999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.2,,,,0.160242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.0,,,,,0.26140599999999997,,0.246798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.5,,,,,,,,,,,,,,,,,,,,,,,,0.087,,,,,,,,,,,
-14.0,,,,,,0.1912165,,,,,,0.183,,,,,,,,,,,,,,,,,,,,,,0.063,
-13.942,,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.9,,,,,,,,,,,,,,,,,,0.19899999999999998,,,,,,,,,,,,,,,,,
-13.075999999999999,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.0,,,,0.1421995,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,,
-12.886,,0.14800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.8,,,,,,,,,,,,,,,,,,,,,,,,0.073,,,,,,,,,,,
-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,
-12.4,,,,,,,,,,,,,,,,,,,,0.155,,,,,,,,,,,,,,,
-12.1,,,,,,,,,,,,,,,,,,,,,,0.027000000000000003,,,,,,,,,,,,,
-12.0,,,,,,0.181232,,,,,,,,,,,,,,,,,,,,,,0.08199999999999999,,0.1,,0.128,,,
-11.988,,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.5,,,,0.163731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,,,,,
-11.1,,,,,,,,,,,,,,,,,,,,,,,,0.068,,,,,,,,,,,
-11.0,,,,,,,,,,,,,,,,,,,,0.132,,,,,,,,,,,,,,,
-10.8,,,,,,,,,,,,,,,,,,,,,,0.059000000000000004,,,,,,,,,,,,,
-10.4,,,,,,,,,,,,,,,,,,0.221,,,,,,,,,,,,,,,,,
-10.3,,,,,,,,,,,,,,,,,,,,,,,,0.08199999999999999,,,,,,,,,,,
-10.1,,,,,,,,,,,,,,,0.282,0.121,,,,,,,,,0.239,,0.205,,,,,,,,0.23450000000000001
-10.0,0.20600000000000002,,,,0.26953699999999997,,0.26027466666666665,0.19045299999999998,0.28961,,0.2905,,0.29600000000000004,,,,0.249,0.1965,0.23399999999999999,0.10800000000000001,0.18899999999999997,,0.16699999999999998,0.078,,,,0.051666666666666666,0.17800000000000002,0.0985,0.16899999999999998,,0.203,,
-9.9,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,,,
-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,
-9.4,,,,,,,,,,,,,,0.121,,,,,,0.12,,,,,,,,,,,,0.055,,,
-9.3,,,,,,,,,,,,,,0.155,,,,,,,,,,,,,,,,,,,,,
-9.0,,,,,,,,0.155283,,0.210508,,,,0.153,,,,0.158,,,,,,,,0.0175,,,,,,0.06,,,
-8.5,,,,,,,,,,0.220561,,,,,,,,,,,,,,,,0.017,,,,,,0.057,,,
-8.2,,,,,,,,,,,,0.126,,,,,,,,,,,,,,,,,,,,,,,
-8.1,,,,,,,,,,,,,,,,,,,,,,0.044000000000000004,,,,,,,,,,,,,
-8.0,,,,,,,,,,0.244821,,,,,,,,,,,,,,,,,,0.05,,,,,,,
-7.7,,,,,,0.168904,,,,0.214312,,0.136,,,,,,,,,,,,,,0.07200000000000001,,,,,,,,,
-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,,,
-7.0360000000000005,,0.07400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.0,,,,0.14311400000000002,,0.1630525,,0.24231,,,,0.151,,,,,,,,0.132,,,,0.092,,,,,,,,,,0.0625,
-6.6,,,,0.147477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.5,,,,0.127572,,,,,,,,,,,,0.095,,,,,,,,,,,,,,,,,,0.065,
-6.492000000000001,,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.4510000000000005,,0.08199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.079,,0.059000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.0,,,,,,0.179398,,,,,,,,,,,,,,,,,,,,,,0.067,,,,,,0.067,
-5.5,,,,,,,,,,,,,,0.11599999999999999,,,,,,,,,,,,,,,,,,,,,
-5.4,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,
-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231
-5.1,,,,,,,,,,,0.296,,,,0.28300000000000003,,0.242,,,,0.19,,,,,,,,,,,,,,
-5.0,0.21100000000000002,,0.220085,0.143131,0.2726235,,0.2548865,0.163968,0.28912899999999997,,0.289,,0.29600000000000004,,,0.12,,,0.233,,,,,,0.23800000000000002,,,,0.177,,0.165,0.04,0.20600000000000002,,
-4.9,,,,,,,,,,,,,,,,0.102,,,,,,,0.168,,,,0.221,,,,,,,,
