YEAR,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2010,2010,2011,2011,2012,2012
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32.61,,,,,,11.1,,,,,,10.2,,,12.5,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32.31,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32.0,12.8,,,,13.2,,,,,,,9.8,,9.9,13.3,,,,,,,,,,13.99365079,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.955,,,,,,,,,,,,,,,,,,,,,,,,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.9,,,,,,,,,,,,,,,,,,,,,,,,,12.635,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.7,,,,,13.4,,11.700000000000001,,13.3,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,
-31.39,,,,,12.4,8.4,10.8,8.55,13.0,,,8.0,,8.7,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,
-31.09,,,,,,,,,13.35,9.2,13.9,8.4,,9.600000000000001,13.3,8.4,,8.4,12.55,,13.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.88346457,,,,,,,,,,,,,,,,,,,,,
-30.78,,,,,13.4,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.48,,7.5,,10.0,,7.5,,11.1,,8.65,12.9,6.9,,,14.0,8.399999999999999,13.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.18,,,,,12.8,9.8,,,13.6,9.1,13.8,,,,,,13.6,,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,
-29.87,,8.3,13.5,9.6,13.3,,10.350000000000001,,13.3,,13.95,10.2,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.749000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78,,,,,,,,,,,,,,,,,,,,
-29.57,,,,,,,,10.4,13.1,,,9.8,,9.4,13.6,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.26,,9.7,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.65,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.35,,,,,,,,,,,,,,9.7,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.04,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.43,,,,,13.3,9.3,,7.6,,,,9.7,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.82,,,,,,,,,,,,7.6,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.52,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.21,,,,,,,,,,,,,,,,5.5,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.91,,,,,,8.5,,,,9.0,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.99,,,,9.6,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.38,,,,,,,,,,7.6,,,,,,8.3,8.5,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.08,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.77,,,,,,8.5,,,,,,,,,,5.9,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.47,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.16,,,,8.4,,,11.3,,,,,7.9,,,,6.699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,
-22.86,,,,,12.3,,12.6,,13.4,,,6.9,,8.1,13.9,5.8,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.56,,,,,,,,,13.2,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.25,,7.2,,,,,,6.2,,,,,,,,7.7,13.4,9.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
-21.95,,,,8.8,,,,,,,14.1,7.45,,9.2,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.64,,,,,,,,,13.3,,,,,,,,13.4,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.34,12.8,,13.4,,,6.8,,,13.2,6.7,14.1,,,,13.5,7.0,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.03,,,13.8,,,7.1,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.73,12.8,,,8.2,,7.9,,,13.3,,,7.8,,,12.9,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.42,,,,,,9.4,,,13.2,,,,,8.0,13.6,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.12,,9.6,,,,8.1,8.8,5.3,13.0,,14.05,,,9.5,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.81,,,,,13.083333333333336,8.4,12.75,7.6,13.4,6.9,14.0,,,8.0,14.0,,13.6,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.51,,6.9,,,,,,7.1,,,,,,,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.2,12.6,,14.2,9.0,,,,,,,,6.8,,8.100000000000001,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.9,13.0,,13.1,,,7.7,,,,7.8,13.0,8.15,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.59,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
