3. Vostok methane record to the CH4 time scale of this paper (ageRR03).
The GT4 time scale [Petit et al. 1999] and the Shackleton [2000]
time scale (ageNJS) are given for comparison purposes.
All ages are gas ages in Kyr.
All the ice core data was downloaded from NCDC Paleo [Petit et al., 1999].


Depth(m)   CH4ppbv)   AgeRR03      AgeGT4      AgeNJS
1630.3      463         118.47      112.79      111.48
1637.7      505         118.82      113.48      112.15
1638.8      483         118.88      113.57      112.27
1643.4      497         119.1       114.03      112.74
1649        511         119.36      114.51      113.32
1654.5      485         119.62      115.06      113.89
1658.6      503         119.82      115.4       114.26
1664.5      520         120.1       115.77      114.74
1667.6      550         120.25      116.04      115
1669.5      531         120.34      116.2       115.15
1671.3      548         120.42      116.35      115.3
1674.2      575         120.56      116.61      115.54
1680        541         120.84      117.05      116.02
1684.5      555         121.05      117.34      116.37
1686.2      572         121.13      117.45      116.49
1688.4      590         121.24      117.59      116.64
1694        560         121.5       117.96      117.03
1694.6      573         121.53      118.01      117.07
1697.7      575         121.68      118.21      117.27
1704.7      563         122.01      118.63      117.74
1708.8      559         122.21      118.85      118.01
1714.2      589         122.47      119.16      118.36
1716        573         122.55      119.27      118.48
1719.4      584         122.71      119.5       118.73
1722.6      591         122.87      119.7       118.98
1731.2      603         123.28      120.32      119.63
1735.2      601         123.47      120.57      119.91
1736.8      578         123.54      120.65      120.01
1739        606         123.65      120.76      120.16
1744.3      592         123.9       121.09      120.51
1751.5      598         124.24      121.56      120.99
1754.3      594         124.38      121.75      121.17
1759.4      618         124.62      122.02      121.5
1765.5      592         124.91      122.37      121.9
1768.5      594         125.05      122.53      122.09
1770        600         125.12      122.61      122.19
1775.7      598         125.4       122.97      122.56
1780        604         125.6       123.28      122.83
1783.1      601         125.75      123.44      123.03
1786.8      622         125.92      123.68      123.26
1789.2      602         126.04      123.82      123.4
1789.4      630         126.05      123.83      123.41
1794.2      618         126.28      124.08      123.69
1797.8      619         126.45      124.24      123.9
1804.5      610         126.77      124.6       124.3
1814.8      649         127.26      125.18      124.9
1818.4      645         127.43      125.35      125.11
1819.6      623         127.49      125.42      125.18
1820.4      677         127.52      125.47      125.23
1824.6      672         127.72      125.68      125.49
1831        633         128.03      126.09      125.93
1832.3      644         128.09      126.2       126.02
1834.2      644         128.18      126.34      126.15
1834.7      636         128.2       126.38      126.19
1838.5      632         128.39      126.65      126.46
1844.8      638         128.69      127.01      126.91
1848.4      655         128.86      127.21      127.14
1852.3      666         129.04      127.44      127.38
1853.9      683         129.12      127.53      127.48
1857.4      653         129.29      127.72      127.69
1860.6      687         129.44      127.89      127.95
1863.8      708         129.59      128.08      128.21
1869.4      710         129.86      128.36      128.68
1870.2      699         129.9       128.4       128.75
1874.4      700         130.1       128.58      129.13
1875.5      704         130.15      128.63      129.23
1878.8      676         130.3       128.81      129.53
1883.3      552         130.52      129.06      129.98
1884.2      565         130.56      129.13      130.07
1888.6      540         130.77      129.35      130.51
1893.4      560         131         129.68      130.99
1897.9      524         131.2       129.9       131.45
1903.6      542         131.45      130.17      132.02
1910.9      492         131.76      130.55      132.78
1921.5      477         132.23      131.15      133.93
1922.3      491         132.26      131.2       134.02
1932.1      453         132.69      131.79      135.09
1954.6      431         133.67      133.34      137.92
1969.9      399         134.34      134.21      139.59
1980.2      352         134.79      135         140.89
1987.4      357         135.1       135.68      141.53
1994.7      374         135.42      136.37      142.07
1998        377         135.56      136.66      142.31
2005.9      348         135.91      137.39      142.9
2009.4      339         136.06      137.69      143.16
2016.4      318         136.37      138.41      143.68
2030.9      319         137         140.07      145.01
2042.5      345         138.31      141.42      146.07
2063.7      355         140.71      143.98      148.01
2088.6      356         143.52      146.78      150.27
2102.4      400         145.08      148.57      151.65
2109        418         145.82      149.41      152.33
2116        410         146.62      150.3       152.99
2119        376         146.95      150.63      153.24
2127.2      395         147.88      151.44      153.95
2137.1      445         149         152.56      154.82
2143        414         150.76      153.17      155.34
2153.4      382         153.87      154.13      156.13
2164        377         157.03      155.3       157.03
2167.2      406         157.99      155.71      157.38
2177.3      403         161         157.3       158.56
2180.4      381         161.22      157.81      158.94
2196.4      376         162.34      159.79      160.65
2225        405         164.34      163         163.22
2247        420         165.88      165.28      165.27
2273        478         167.7       169.27      168.51
2302        456         169.73      172.6       171.91
2312.3      402         170.45      174.19      173.41
2325        468         171.34      175.44      174.57
2348        503         172.95      178.55      177.44
2363        522         174         180.78      179.14
2373        464         175.49      181.72      180.07
2386        470         177.42      183.35      181.51
2399        510         179.35      185.06      182.92
2414        445         181.58      187.2       184.74
2425        440         183.22      189.34      186.57
2437        414         185         191.06      188.11
2475        460         189.75      195.63      192.33
2501        558         193         199.29      195.63
2525        612         196         202.21      198.31
2543        482         202.61      204.28      200.83
2552        425         205.91      205.15      202.08
2554.9      421         206.97      205.44      202.49
2557.7      413         208         205.71      203.01
2560.9      436         208.55      206.12      203.6
2564.9      466         209.24      206.68      204.35
2567.5      463         209.68      207.03      204.83
2570.4      455         210.18      207.42      205.37
2574.2      496         210.84      207.99      206.1
2575.5      475         211.06      208.18      206.35
2579.9      476         211.82      208.8       207.22
2581.9      485         212.16      209.08      207.61
2584.7      515         212.64      209.41      208.17
2588.5      473         213.29      209.98      208.81
2590.4      498         213.62      210.24      209.08
2595.1      567         214.43      210.83      209.74
2596.7      503         214.7       211.01      209.94
2600.4      509         215.34      211.48      210.37
2603.7      586         215.91      211.93      210.75
2606.6      551         216.4       212.28      211.09
2609.7      554         216.94      212.66      211.45
2612.5      545         217.42      213.01      211.76
2615.5      569         217.93      213.38      212.1
2621.7      581         219         214.15      212.79
2629        558         220.05      215         213.57
2633.5      568         220.7       215.5       214.03
2636.7      586         221.16      215.88      214.41
2639.5      544         221.57      216.31      214.78
2643.7      557         222.17      216.92      215.33
2646.4      541         222.56      217.25      215.63
2649.4      483         222.99      217.58      215.94
2656.2      440         223.97      218.34      216.66
2659.5      436         224.45      218.77      217.01
2666.7      476         225.49      219.68      217.86
2669.4      473         225.88      220.05      218.18
2674.6      498         226.63      220.76      218.8
2676.9      480         226.96      221         219.07
2682.6      482         227.78      221.61      219.72
2691        494         228.99      222.96      221.18
2693.6      532         229.37      223.45      221.86
2698        532         230         224.63      223.18
2700.5      512         230.34      225.14      223.79
2702.9      506         230.67      225.54      224.25
2705.6      497         231.04      225.89      224.77
2707.9      483         231.35      226.21      225.15
2711.8      484         231.89      226.73      225.78
2714.7      476         232.28      227.22      226.43
2717.7      445         232.69      227.84      227.13
2732.5      439         234.71      230.67      230.69
2735.7      460         235.15      231.38      231.64
2738.7      495         235.56      231.99      232.69
2741.9      502         236         232.62      233.74
2744.8      514         236.39      233.14      234.65
2747.6      541         236.78      233.65      235.38
2751.1      540         237.25      234.13      236.28
2753.6      550         237.6       234.47      236.92
2756.2      540         237.95      234.78      237.58
2759.2      554         238.36      235.22      238.35
2765.2      582         239.18      236.23      239.98
2771.2      619         240         237.47      241.99
2773.5      631         240.43      237.83      242.66
2776.5      650         240.98      238.2       243.18
2780        500         241.64      238.62      243.74
2782.8      554         242.16      238.94      244.11
2785.5      538         242.66      239.25      244.46
2788.5      522         243.21      239.54      244.86
2794.6      498         244.35      240.21      245.68
2797.5      484         244.89      240.58      246.09
2800.5      470         245.44      240.97      246.57
2806.5      509         246.56      242.07      247.84
2815.6      402         248.25      243.66      249.94
2818.5      437         248.79      244.2       250.56
2821.5      401         249.35      244.86      251.22
2824.5      380         249.9       245.48      251.97
2830.4      405         251         246.71      253.46
2833.8      399         252.76      247.44      254.37
2836.5      424         254.15      248.08      255.2
2839.5      447         255.7       248.98      256.56
2842.4      465         257.2       249.75      257.88
2845.5      467         258.8       250.46      259.21
2851.5      421         261.9       251.52      261.16
2854.4      410         263.4       252.18      262.17
2857.5      511         265         252.96      263.63
2860.5      486         265.72      253.89      264.95
2866.5      398         267.17      255.23      266.81
2870.4      408         268.11      256.04      267.97
2872.7      385         268.67      256.49      268.43
2876.2      402         269.51      257.24      269.12
2881.5      457         270.79      258.49      270.26
2884.5      445         271.51      259.23      270.93
2887.5      426         272.24      259.96      271.63
2890.5      448         272.96      260.76      272.36
2893.5      454         273.68      261.6       273.1
2896.4      448         274.38      262.39      273.83
2899.5      441         275.13      263.2       274.6
2902.5      442         275.85      264.04      275.37
2905.5      443         276.58      264.83      276.16
2911.4      417         278         266.48      277.69
2914.5      453         279.12      267.44      278.48
2917.5      429         280.21      268.27      279.24
2919.4      441         280.9       268.68      279.73
2926.5      484         283.47      270.68      281.54
2935.5      472         286.74      273.01      283.7
2941.5      508         288.91      274.44      285.03
2944.5      516         290         275.21      285.72
2951.2      522         291.47      276.87      287.21
2956.5      430         292.64      277.92      288.26
2964.5      430         294.4       279.54      289.76
2973.9      507         296.47      282.33      292.23
2979.5      464         297.7       283.49      293.76
2988.6      482         299.7       286.21      297.15
2994.5      522         301         287.85      299.07
2997.5      454         301.58      288.49      300.14
3000.4      433         302.14      289.44      301.29
3003.5      438         302.74      290.57      302.52
3009.5      475         303.89      292.47      304.1
3015.6      429         305.07      293.7       305.53
3018.5      468         305.63      294.61      306.3
3021.5      464         306.21      295.51      307.09
3027.7      460         307.41      297.18      308.66
3030.4      487         307.93      298.06      309.37
3033.5      486         308.53      299.02      310.2
3036.5      511         309.11      299.88      311.01
3039.5      545         309.68      300.64      311.79
3042.5      539         310.26      301.49      312.57
3045.5      603         310.84      302.45      313.27
3048.5      568         311.42      303.33      313.92
3051.5      588         312         303.95      314.57
3054.5      435         320         304.58      315.22
3057.7      443         321.07      305.3       315.91
3060.5      457         322         306.09      316.52
3063.5      478         323         307.12      317.26
3066.5      478         324         308.1       318.08
3072.5      488         326         310.04      319.65
3075.6      522         327.03      310.98      320.45
3078.5      570         328         311.77      321.16
3081.6      561         328.6       312.67      321.89
3084.6      589         329.18      313.51      322.59
3087.8      624         329.8       314.37      323.51
3090.5      620         330.32      315.14      324.39
3093.5      621         330.9       315.94      325.33
3096.4      639         331.46      316.67      326.22
3099.5      627         332.06      317.44      327.17
3102.5      637         332.65      318.26      328.05
3105.5      639         333.23      318.98      328.9
3109.5      636         334         319.87      330.04
3111.5      604         334.28      320.39      330.71
3114.8      604         334.73      321.38      331.86
3117.5      647         335.1       322.11      332.7
3119.7      665         335.41      322.62      333.31
3120.6      731         335.53      322.83      333.56
3123.5      773         335.93      323.49      334.37
3126.5      575         336.34      324.19      335.1
3129.9      581         336.81      324.99      335.82
3132.4      588         337.16      325.52      336.38
3135.5      558         337.59      326.24      337.11
3138.5      537         338         327.12      337.81
3141.5      517         338.67      328.08      338.51
3145        471         339.44      329.23      339.49
3147.5      451         340         330.2       340.26
3153.5      458         341.33      332.29      342.06
3156.5      371         342         333.6       343.2
3159.5      383         342.67      335.4       344.56
3162.8      342         343.4       336.97      345.96
3165.5      369         344         338.27      347.07
3169        422         345.41      340.16      348.55
3171.5      397         346.42      341.57      349.6
3174.5      442         347.63      342.99      350.84
3177.8      406         348.96      344.73      352.17
3180.5      384         350.05      346.1       353.28
3183.4      398         351.22      347.6       354.48
3186.5      391         352.47      349.16      355.77
3189.5      386         353.68      350.76      357.03
3192.5      392         354.89      352.41      358.37
3195.7      384         356.18      354.33      359.88
3199        399         357.51      356.2       361.4
3200        399         357.91      356.84      361.86
3201.4      396         358.47      357.73      362.53
3204.7      454         359.8       359.68      364.12
3207.5      422         360.93      361.17      365.47
3210.6      386         362.18      362.81      366.88
3213.7      397         363.43      364.47      368.34
3216.5      432         364.56      366.19      369.72
3219.5      463         365.77      368.11      371.21
3222.5      517         366.98      369.55      372.75
3225.5      405         368.19      370.92      374.35
3228.9      432         369.56      373.01      376.56
3231.5      482         370.61      374.57      378.45
3237.5      521         373.03      378.18      382.36
3240.5      445         374.24      379.62      384.39
3243.5      516         375.45      381.61      386.56
3246.5      542         376.66      383.53      388.07
3249.5      578         377.87      384.91      389
3252.5      567         379.08      386.54      390.02
3255.5      544         380.29      388.65      391.11
3258.5      439         381.49      390.57      392.2
3261.5      448         382.7       392.43      393.31
3264.5      478         383.91      394.62      394.44
3267.5      550         385.12      396.7       395.56
3270.6      574         386.37      398.58      396.64
3273.8      566         387.66      400.36      397.67
3276.5      598         388.75      401.86      398.61
3280.5      600         390.36      404.16      400.09
3283.5      672         391.57      405.82      401.21
3286.5      634         392.78      407.44      402.32
3289.5      644         393.99      408.99      403.4
3292.8      623         395.32      410.79      404.56
3295.5      626         396.41      412.18      405.48
3299        653         397.82      414.08      406.74
3301.4      678         398.79      415.45      407.62
3304.4      695         400         417.17      408.73

