Date,"00600 - Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, mg/l","00602 - Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, mg/l","00605 - Organic nitrogen, water, unfiltered, mg/l","00607 - Organic nitrogen, water, filtered, mg/l","00608 - Ammonia (NH3 + NH4+), water, filtered, mg/l as N","00613 - Nitrite, water, filtered, mg/l as N","00618 - Nitrate, water, filtered, mg/l as N","00623 - Ammonia plus organic nitrogen, water, filtered, mg/l as N","00625 - Ammonia plus organic nitrogen, water, unfiltered, mg/l as N","00631 - Nitrate plus nitrite, water, filtered, mg/l as N","00660 - Orthophosphate, water, filtered, mg/l asPO4","00665 - Phosphorus, water, unfiltered, mg/l as P","00666 - Phosphorus, water, filtered, mg/l as P","00671 - Orthophosphate, water, filtered, mg/l as P","00940 - Chloride, water, filtered, mg/l","00955 - Silica, water, filtered, mg/l",MonitoringLocationIdentifier
1999-11-29,,,,,,,,0.64,1.2,,,0.063,0.017,,96.6,0.243,USGS-04193500
1999-12-27,3.1,2.9,0.79,0.56,0.04,0.022000000000000002,2.29,0.59,0.82,2.31,0.049,0.07,0.022000000000000002,0.02,101.0,1.75,USGS-04193500
2000-01-31,8.1,7.7,1.0,0.63,0.23,0.053,6.83,0.85,1.2,6.89,0.11,0.109,0.071,0.04,94.4,3.82,USGS-04193500
2000-02-29,11.0,10.0,1.6,0.76,0.16,0.053,9.44,0.92,1.7,9.49,0.159,0.33,0.087,0.05,44.8,6.49,USGS-04193500
2000-03-22,11.0,10.0,1.4,0.88,0.06,0.033,9.19,0.93,1.4,9.22,0.037000000000000005,0.22,0.025,0.01,71.5,3.23,USGS-04193500
2000-04-24,11.0,9.7,2.1,0.89,0.11,0.061,8.63,1.0,2.2,8.69,0.17800000000000002,0.5,0.08199999999999999,0.06,24.1,6.8,USGS-04193500
2000-05-09,7.6,7.1,,,,0.034,6.36,0.68,1.3,6.39,,0.008,0.012,,41.0,1.56,USGS-04193500
2000-05-11,9.4,8.8,1.6,0.88,0.11,0.055999999999999994,7.7,0.99,1.7,7.76,0.071,0.028999999999999998,0.049,0.02,38.3,2.74,USGS-04193500
2000-06-15,12.0,11.0,1.9,0.74,0.05,0.11699999999999999,9.88,0.79,2.0,10.0,0.267,0.53,0.114,0.09,24.4,6.93,USGS-04193500
2000-06-28,8.0,7.1,,,,0.083,6.14,0.84,1.7,6.22,0.359,0.48,0.153,0.12,14.1,7.07,USGS-04193500
2000-07-24,3.6,2.6,,,,0.022000000000000002,1.89,0.71,1.7,1.91,,0.084,0.016,,31.4,1.93,USGS-04193500
2000-08-02,2.7,0.99,,,,0.012,0.3,0.67,2.4,0.31,,0.17600000000000002,0.016,,42.1,1.24,USGS-04193500
2000-09-13,2.4,2.0,1.1,0.6,0.13,0.039,1.19,0.73,1.2,1.23,0.187,0.182,0.09,0.06,46.6,4.24,USGS-04193500
2000-10-30,4.8,4.0,,,,0.018000000000000002,3.14,0.85,1.6,3.16,,0.124,0.018000000000000002,,46.3,5.18,USGS-04193500
