,SampleDateTime,Ammonia filtered,Unit Ammonia filtered,Carbon dissolved inorganic,Unit Carbon dissolved inorganic,Carbon dissolved organic,Unit Carbon dissolved organic,Carbon particulate organic,Unit Carbon particulate organic,Chloride dissolved,Unit Chloride dissolved,Chlorophyll A,Unit Chlorophyll A,Chlorophyll corrected,Unit Chlorophyll corrected,Nitrite and nitrate filtered,Unit Nitrite and nitrate filtered,Nitrite filtered,Unit Nitrite filtered,Nitrogen Kjeldahl total,Unit Nitrogen Kjeldahl total,Nitrogen particulate,Unit Nitrogen particulate,Nitrogen total,Unit Nitrogen total,Nitrogen total dissolved,Unit Nitrogen total dissolved,Phosphorus particulate,Unit Phosphorus particulate,Phosphorus soluble reactive,Unit Phosphorus soluble reactive,Phosphorus total,Unit Phosphorus total,Phosphorus total dissolved,Unit Phosphorus total dissolved,Phosphorus total filtered,Unit Phosphorus total filtered,SiO2,Unit SiO2,Silica soluble reactive,Unit Silica soluble reactive,Specific conductance,Unit Specific conductance,Total suspended solids (non-filterable residue),Unit Total suspended solids (non-filterable residue),Turbidity,Unit Turbidity
26,2012-10-01,0.005,mg/L,46.8,mg/L,4.8,mg/L,0.791,mg/L,36.7,mg/L,36.2,µg/L,31.7,µg/L,1.41,mg/L,,,0.349,mg/L,0.153,mg/L,1.6,mg/L,,,0.0253,mg/L,0.0127,mg/L,0.0465,mg/L,,,0.0168,mg/L,7.37,mg/L,,,,,19.3,mg/L,16.1,NTU
27,2012-10-09,0.01,mg/L,47.0,mg/L,4.8,mg/L,0.884,mg/L,37.0,mg/L,8.6,µg/L,8.1,µg/L,1.26,mg/L,,,0.351,mg/L,0.143,mg/L,1.62,mg/L,,,0.0214,mg/L,0.0074,mg/L,0.0395,mg/L,,,0.0133,mg/L,5.89,mg/L,,,,,13.2,mg/L,11.8,NTU
28,2012-10-16,0.0295,mg/L,48.099999999999994,mg/L,5.45,mg/L,0.712,mg/L,33.9,mg/L,3.85,µg/L,3.1500000000000004,µg/L,0.929,mg/L,,,0.373,mg/L,0.097,mg/L,1.245,mg/L,,,0.02335,mg/L,0.0127,mg/L,0.04215,mg/L,,,0.0196,mg/L,5.465,mg/L,,,,,10.8,mg/L,12.1,NTU
29,2012-10-23,0.007,mg/L,48.5,mg/L,5.0,mg/L,0.838,mg/L,36.7,mg/L,4.2,µg/L,3.8,µg/L,1.28,mg/L,,,0.366,mg/L,0.109,mg/L,1.63,mg/L,,,0.0175,mg/L,0.0038,mg/L,0.0219,mg/L,,,0.0112,mg/L,4.69,mg/L,,,,,13.3,mg/L,12.1,NTU
30,2012-11-05,0.017,mg/L,46.8,mg/L,6.8,mg/L,1.02,mg/L,34.8,mg/L,1.5,µg/L,1.2,µg/L,6.07,mg/L,,,0.775,mg/L,0.127,mg/L,6.3,mg/L,,,0.032,mg/L,0.0463,mg/L,0.0901,mg/L,,,0.0484,mg/L,8.64,mg/L,,,,,25.3,mg/L,27.2,NTU
31,2012-11-19,0.009,mg/L,52.5,mg/L,4.2,mg/L,0.412,mg/L,32.8,mg/L,0.9,µg/L,0.8,µg/L,3.8,mg/L,,,0.463,mg/L,0.055,mg/L,4.2,mg/L,,,0.0117,mg/L,0.0046,mg/L,0.0221,mg/L,,,0.009,mg/L,5.6,mg/L,,,,,8.8,mg/L,8.65,NTU
32,2013-05-01,0.015,mg/L,40.3,mg/L,5.1,mg/L,0.839,mg/L,25.3,mg/L,2.6,µg/L,2.5,µg/L,4.82,mg/L,,,0.565,mg/L,0.112,mg/L,5.49,mg/L,,,0.0235,mg/L,0.0045,mg/L,0.0249,mg/L,0.0076,mg/L,,,,,2.92,mg/L,,,24.2,mg/L,18.4,NTU
33,2013-06-25,0.008,mg/L,,,,,,,26.7,mg/L,4.1,µg/L,4.5,µg/L,4.15,mg/L,,,0.488,mg/L,,,,,,,,,0.0079,mg/L,0.0628,mg/L,0.0136,mg/L,,,,,,,,,43.8,mg/L,,
34,2013-07-08,0.076,mg/L,36.4,mg/L,8.2,mg/L,3.03,mg/L,22.5,mg/L,13.3,µg/L,9.7,µg/L,10.6,mg/L,0.121,mg/L,1.2,mg/L,0.481,mg/L,11.5,mg/L,,,0.0414,mg/L,0.0582,mg/L,0.149,mg/L,0.0664,mg/L,,,,,9.1,mg/L,,,95.6,mg/L,51.3,NTU
35,2013-07-24,0.018,mg/L,,,,,,,32.5,mg/L,,,,,2.3,mg/L,,,0.484,mg/L,,,,,,,,,0.0251,mg/L,0.0758,mg/L,0.031,mg/L,,,,,,,,,34.5,mg/L,,
36,2013-07-30,0.012,mg/L,,,,,,,33.9,mg/L,,,,,1.52,mg/L,,,0.379,mg/L,,,,,,,,,0.0184,mg/L,0.0649,mg/L,0.024,mg/L,,,,,,,,,29.1,mg/L,,
37,2013-08-06,0.0095,mg/L,,,,,,,34.7,mg/L,,,,,1.625,mg/L,,,0.3795,mg/L,,,,,,,,,0.014499999999999999,mg/L,0.04295,mg/L,0.02005,mg/L,,,,,,,,,19.0,mg/L,,
38,2013-08-13,0.015,mg/L,,,,,,,30.5,mg/L,,,,,1.59,mg/L,,,0.418,mg/L,,,,,,,,,0.0169,mg/L,0.0544,mg/L,0.0241,mg/L,,,,,,,,,13.6,mg/L,,
39,2013-08-20,0.006,mg/L,,,,,,,37.3,mg/L,,,,,0.528,mg/L,,,0.402,mg/L,,,,,,,,,0.0042,mg/L,0.0492,mg/L,0.0116,mg/L,,,,,,,,,22.2,mg/L,,
40,2013-08-27,0.033,mg/L,,,,,,,37.4,mg/L,,,,,0.898,mg/L,,,0.459,mg/L,,,,,,,,,0.0122,mg/L,0.0547,mg/L,0.0196,mg/L,,,,,,,,,22.7,mg/L,,
41,2013-09-04,0.013,mg/L,,,,,,,31.1,mg/L,,,,,2.07,mg/L,,,0.613,mg/L,,,,,,,,,0.0244,mg/L,0.0786,mg/L,0.033,mg/L,,,,,,,,,36.5,mg/L,,
42,2013-09-24,0.028,mg/L,,,,,,,12.6,mg/L,,,,,2.7800000000000002,mg/L,,,0.8534999999999999,mg/L,,,,,,,,,0.123,mg/L,0.2585,mg/L,0.135,mg/L,,,,,,,,,93.4,mg/L,,
43,2013-10-08,0.0125,mg/L,,,,,,,26.75,mg/L,,,,,5.6850000000000005,mg/L,,,0.8525,mg/L,,,,,,,,,0.03475,mg/L,0.0703,mg/L,0.03995,mg/L,,,,,,,,,23.55,mg/L,,
44,2013-10-10,0.037,mg/L,,,,,,,23.3,mg/L,,,,,4.17,mg/L,,,0.868,mg/L,,,,,,,,,0.136,mg/L,0.259,mg/L,0.143,mg/L,,,,,,,,,71.2,mg/L,,
45,2013-10-17,0.01,mg/L,,,,,,,27.5,mg/L,,,,,3.21,mg/L,,,0.486,mg/L,,,,,,,,,0.0088,mg/L,0.0289,mg/L,0.0136,mg/L,,,,,,,,,15.0,mg/L,,
46,2013-10-22,0.009,mg/L,,,,,,,29.8,mg/L,,,,,3.72,mg/L,,,0.441,mg/L,,,,,,,,,0.0122,mg/L,0.035,mg/L,0.0157,mg/L,,,,,,,,,17.7,mg/L,,
47,2013-10-29,0.017,mg/L,,,,,,,33.0,mg/L,,,,,3.27,mg/L,,,0.461,mg/L,,,,,,,,,0.0061,mg/L,0.0247,mg/L,0.0102,mg/L,,,,,,,,,10.7,mg/L,,
48,2013-11-05,0.018,mg/L,,,,,,,24.4,mg/L,,,,,5.04,mg/L,,,0.776,mg/L,,,,,,,,,0.0611,mg/L,0.125,mg/L,0.0686,mg/L,,,,,,,,,27.4,mg/L,,
49,2013-11-12,0.0055,mg/L,,,,,,,30.0,mg/L,,,,,4.88,mg/L,,,0.5955,mg/L,,,,,,,,,0.017349999999999997,mg/L,0.057050000000000003,mg/L,0.0221,mg/L,,,,,,,,,24.299999999999997,mg/L,,
50,2013-11-21,0.1,mg/L,,,,,,,29.3,mg/L,,,,,5.0,mg/L,,,0.691,mg/L,,,,,,,,,0.0608,mg/L,0.153,mg/L,0.0682,mg/L,,,,,,,,,42.0,mg/L,,
51,2013-11-27,0.041,mg/L,,,,,,,32.2,mg/L,,,,,4.95,mg/L,,,0.675,mg/L,,,,,,,,,0.0468,mg/L,0.0735,mg/L,0.053,mg/L,,,,,,,,,9.6,mg/L,,
52,2013-12-03,0.041,mg/L,,,,,,,34.5,mg/L,,,,,4.54,mg/L,,,0.486,mg/L,,,,,,,,,0.0084,mg/L,0.0221,mg/L,0.0117,mg/L,,,,,,,,,26.9,mg/L,,
53,2013-12-10,0.028,mg/L,,,,,,,24.8,mg/L,,,,,4.07,mg/L,,,0.662,mg/L,,,,,,,,,0.0479,mg/L,0.0839,mg/L,0.0516,mg/L,,,,,,,,,16.8,mg/L,,
54,2013-12-18,0.0215,mg/L,,,,,,,33.25,mg/L,,,,,4.49,mg/L,,,0.5905,mg/L,,,,,,,,,0.01065,mg/L,0.0227,mg/L,0.01345,mg/L,,,,,,,,,4.95,mg/L,,
55,2014-01-07,0.036,mg/L,,,,,,,38.0,mg/L,,,,,5.21,mg/L,,,0.474,mg/L,,,,,,,,,0.0141,mg/L,0.0278,mg/L,0.0173,mg/L,,,,,,,,,4.1,mg/L,,
56,2014-01-14,0.033,mg/L,,,,,,,21.9,mg/L,,,,,5.6,mg/L,,,0.729,mg/L,,,,,,,,,0.0877,mg/L,0.137,mg/L,0.09140000000000001,mg/L,,,,,,,,,41.0,mg/L,,
57,2014-01-20,0.043,mg/L,,,,,,,28.3,mg/L,,,,,5.57,mg/L,,,0.572,mg/L,,,,,,,,,0.0324,mg/L,0.0518,mg/L,0.0355,mg/L,,,,,,,,,17.4,mg/L,,
58,2014-02-03,0.064,mg/L,,,,,,,33.3,mg/L,,,,,4.43,mg/L,,,0.522,mg/L,,,,,,,,,0.0138,mg/L,0.0254,mg/L,0.016,mg/L,,,,,,,,,9.5,mg/L,,
59,2014-02-10,0.074,mg/L,,,,,,,38.8,mg/L,,,,,4.07,mg/L,,,0.507,mg/L,,,,,,,,,0.0114,mg/L,0.0257,mg/L,0.0148,mg/L,,,,,,,,,6.6,mg/L,,
60,2014-02-17,0.057499999999999996,mg/L,,,,,,,33.5,mg/L,,,,,3.9050000000000002,mg/L,,,0.477,mg/L,,,,,,,,,0.01155,mg/L,0.0254,mg/L,0.0142,mg/L,,,,,,,,,4.15,mg/L,,
61,2014-02-24,0.139,mg/L,,,,,,,32.5,mg/L,,,,,3.67,mg/L,,,0.708,mg/L,,,,,,,,,0.0634,mg/L,0.108,mg/L,0.0708,mg/L,,,,,,,,,19.4,mg/L,,
62,2014-02-28,0.239,mg/L,,,,,,,41.6,mg/L,,,,,4.25,mg/L,,,0.852,mg/L,,,,,,,,,0.0479,mg/L,0.076,mg/L,0.0555,mg/L,,,,,,,,,,,,
63,2014-03-03,0.07,mg/L,,,,,,,42.9,mg/L,,,,,4.24,mg/L,,,0.567,mg/L,,,,,,,,,0.0308,mg/L,0.0526,mg/L,0.0359,mg/L,,,,,,,,,9.7,mg/L,,
64,2014-03-09,0.09,mg/L,,,,,,,37.3,mg/L,,,,,3.84,mg/L,,,0.546,mg/L,,,,,,,,,0.0133,mg/L,0.0282,mg/L,0.0183,mg/L,,,,,,,,,,,,
65,2014-03-10,0.043,mg/L,,,,,,,35.75,mg/L,,,,,3.91,mg/L,,,0.4175,mg/L,,,,,,,,,0.01285,mg/L,0.029249999999999998,mg/L,0.01645,mg/L,,,,,,,,,8.7897,mg/L,,
66,2014-03-12,0.156,mg/L,,,,,,,21.0,mg/L,,,,,2.43,mg/L,,,0.765,mg/L,,,,,,,,,0.0866,mg/L,0.247,mg/L,0.0982,mg/L,,,,,,,,,,,,
67,2014-03-14,0.325,mg/L,,,,,,,23.5,mg/L,,,,,2.65,mg/L,,,0.973,mg/L,,,,,,,,,0.0754,mg/L,0.124,mg/L,0.0864,mg/L,,,,,,,,,,,,
68,2014-03-15,0.3035,mg/L,,,,,,,27.75,mg/L,,,,,2.665,mg/L,,,0.9115,mg/L,,,,,,,,,0.0925,mg/L,0.1735,mg/L,0.10464999999999999,mg/L,,,,,,,,,,,,
69,2014-03-17,0.24866666666666667,mg/L,,,,,,,21.866666666666664,mg/L,,,,,2.1366666666666667,mg/L,,,0.8303333333333333,mg/L,,,,,,,,,0.0998,mg/L,0.1723333333333333,mg/L,0.10866666666666668,mg/L,,,,,,,,,33.9683,mg/L,,
70,2014-03-20,0.224,mg/L,,,,,,,20.7,mg/L,,,,,2.13,mg/L,,,0.747,mg/L,,,,,,,,,0.0868,mg/L,0.178,mg/L,0.0963,mg/L,,,,,,,,,93.0,mg/L,,
71,2014-03-21,0.21833333333333335,mg/L,,,,,,,14.166666666666666,mg/L,,,,,1.93,mg/L,,,0.7726666666666667,mg/L,,,,,,,,,0.09149999999999998,mg/L,0.18366666666666664,mg/L,0.10326666666666666,mg/L,,,,,,,,,98.04316666666666,mg/L,,
72,2014-03-23,0.17266666666666666,mg/L,,,,,,,15.299999999999999,mg/L,,,,,2.19,mg/L,,,0.7483333333333334,mg/L,,,,,,,,,0.08556666666666668,mg/L,0.167,mg/L,0.09596666666666666,mg/L,,,,,,,,,81.03896666666667,mg/L,,
73,2014-03-24,0.083,mg/L,,,,,,,18.466666666666665,mg/L,,,,,3.2733333333333334,mg/L,,,0.6283333333333333,mg/L,,,,,,,,,0.0618,mg/L,0.12116666666666666,mg/L,0.07166666666666667,mg/L,,,,,,,,,29.67535,mg/L,,
74,2014-03-25,0.098,mg/L,,,,,,,19.9,mg/L,,,,,3.04,mg/L,,,0.67,mg/L,,,,,,,,,0.0607,mg/L,0.117,mg/L,0.0709,mg/L,,,,,,,,,35.8289,mg/L,,
75,2014-03-26,0.083,mg/L,,,,,,,21.4,mg/L,,,,,3.15,mg/L,,,0.591,mg/L,,,,,,,,,0.0516,mg/L,0.0988,mg/L,0.0608,mg/L,,,,,,,,,29.1429,mg/L,,
76,2014-03-27,0.086,mg/L,,,,,,,23.3,mg/L,,,,,3.66,mg/L,,,0.551,mg/L,,,,,,,,,0.0391,mg/L,0.0868,mg/L,0.0465,mg/L,,,,,,,,,42.1277,mg/L,,
77,2014-03-28,0.066,mg/L,,,,,,,25.7,mg/L,,,,,4.08,mg/L,,,0.666,mg/L,,,,,,,,,0.0329,mg/L,0.0848,mg/L,0.0399,mg/L,,,,,,,,,65.4054,mg/L,,
78,2014-03-29,0.19333333333333333,mg/L,,,,,,,21.766666666666666,mg/L,,,,,3.06,mg/L,,,0.7240000000000001,mg/L,,,,,,,,,0.04843333333333333,mg/L,0.13633333333333333,mg/L,0.057999999999999996,mg/L,,,,,,,,,79.25,mg/L,,
79,2014-03-30,0.2813333333333334,mg/L,,,,,,,20.233333333333334,mg/L,,,,,2.856666666666667,mg/L,,,0.8553333333333333,mg/L,,,,,,,,,0.06483333333333334,mg/L,0.20266666666666666,mg/L,0.07816666666666666,mg/L,,,,,,,,,104.70723333333335,mg/L,,
80,2014-03-31,0.163,mg/L,,,,,,,20.549999999999997,mg/L,,,,,3.325,mg/L,,,0.718,mg/L,,,,,,,,,0.05155,mg/L,0.132,mg/L,0.0615,mg/L,,,,,,,,,56.3,mg/L,,
81,2014-04-01,0.169,mg/L,,,,,,,18.6,mg/L,,,,,2.67,mg/L,,,0.717,mg/L,,,,,,,,,0.0506,mg/L,0.181,mg/L,0.0587,mg/L,,,,,,,,,126.8085,mg/L,,
82,2014-04-02,0.121,mg/L,,,,,,,16.9,mg/L,,,,,2.95,mg/L,,,0.687,mg/L,,,,,,,,,0.0537,mg/L,0.185,mg/L,0.062,mg/L,,,,,,,,,141.8182,mg/L,,
83,2014-04-03,0.0625,mg/L,,,,,,,18.4,mg/L,,,,,3.825,mg/L,,,0.569,mg/L,,,,,,,,,0.0322,mg/L,0.115,mg/L,0.039400000000000004,mg/L,,,,,,,,,78.4,mg/L,,
84,2014-04-04,0.05466666666666666,mg/L,,,,,,,20.533333333333335,mg/L,,,,,4.22,mg/L,,,0.5236666666666666,mg/L,,,,,,,,,0.031,mg/L,0.09486666666666665,mg/L,0.038733333333333335,mg/L,,,,,,,,,52.55006666666667,mg/L,,
85,2014-04-05,0.04933333333333333,mg/L,,,,,,,20.96666666666667,mg/L,,,,,4.13,mg/L,,,0.6403333333333333,mg/L,,,,,,,,,0.036699999999999997,mg/L,0.11666666666666665,mg/L,0.044500000000000005,mg/L,,,,,,,,,73.14163333333333,mg/L,,
86,2014-04-06,0.05000000000000001,mg/L,,,,,,,22.233333333333334,mg/L,,,,,4.706666666666666,mg/L,,,0.6293333333333333,mg/L,,,,,,,,,0.033999999999999996,mg/L,0.11333333333333333,mg/L,0.04256666666666667,mg/L,,,,,,,,,65.23116666666667,mg/L,,
87,2014-04-07,0.041,mg/L,,,,,,,24.3,mg/L,,,,,5.3,mg/L,,,0.622,mg/L,,,,,,,,,0.0251,mg/L,0.0884,mg/L,0.0324,mg/L,,,,,,,,,50.4,mg/L,,
