"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"76",2013-01-31,87.2158868155262,4.46838650257212,0.608,0.608,1,0.608,59565,1,31,2013.08367579909,1957,2013,0.501862333524209,0.864947511811923,-1.13648924491748,0.551143499188854,0.373585021203937
"77",2013-02-11,13.167333561435,2.57773903219185,0.075,0.075,1,0.075,59576,2,42,2013.11381278539,1958,2013,0.655698072710179,0.755023203248852,-2.23499882044238,0.451921928619178,0.118495285304432
"78",2013-02-13,14.6964432653435,2.68760550977039,0.165,0.165,1,0.165,59578,2,44,2013.11929223744,1958,2013,0.681298621987148,0.732005592655148,-2.23447449922536,0.465082805407274,0.119275004329367
"79",2013-02-26,7.19247897764405,1.97303589362303,0.084,0.084,1,0.084,59591,2,57,2013.1549086758,1958,2013,0.826757910823917,0.562557869814361,-2.47638250676476,0.436110139693089,0.0924315896166985
"80",2013-02-27,95.4277722624427,4.55836964995091,0.8105,0.8105,1,0.8105,59592,2,58,2013.15764840183,1958,2013,0.836318926689902,0.548243242420963,-1.10522422321704,0.549567459958756,0.38511548574729
"81",2013-02-28,98.5426253629972,4.59048919937302,0.429,0.429,1,0.429,59593,2,59,2013.16038812785,1958,2013,0.845632123207668,0.533766158724297,-1.02418705823805,0.566007237525961,0.421470723529024
"82",2013-03-01,46.4396280446309,3.83815314742274,0.314,0.314,1,0.314,59594,3,61,2013.16312785388,1959,2013,0.854694740677116,0.519130908595199,-1.50889617381614,0.550335859407168,0.257313165079201
"83",2013-03-27,17.641395287686,2.87024814539195,0.089,0.089,1,0.089,59620,3,87,2013.23436073059,1959,2013,0.995175934717804,0.0981063655352945,-2.10269930505025,0.521508097426326,0.139915871170335
"84",2013-04-10,6.0031714301596,1.79228790127651,0.128,0.128,1,0.128,59634,4,101,2013.27271689498,1960,2013,0.989830719462334,-0.142250296339509,-2.35737515297222,0.484813182176148,0.10647412914523
"85",2013-04-11,145.265421871315,4.97856256476931,0.722,0.722,1,0.722,59635,4,102,2013.275456621,1960,2013,0.987235460345776,-0.159267529132162,-0.785931090801143,0.576470448354779,0.53806710189391
"86",2013-04-13,87.499055279213,4.47162799649629,0.407,0.407,1,0.407,59637,4,104,2013.28093607306,1960,2013,0.981168180310659,-0.193155382906795,-1.02009633642259,0.58099640975336,0.426852003287037
"87",2013-04-15,15.2910970390858,2.72727076616282,0.222,0.222,1,0.222,59639,4,106,2013.28641552511,1960,2013,0.973938021199487,-0.226814309209156,-2.1140654130024,0.512731881469585,0.137708186698764
"88",2013-04-17,9.99584676814311,2.30216968353779,0.119,0.119,1,0.119,59641,4,108,2013.29189497717,1960,2013,0.965553552186434,-0.260204415527792,-2.21288462732606,0.484591721893668,0.123012406989658
"89",2013-05-07,2.1067733698296,0.745157568443544,0.499,0.499,1,0.499,59661,5,128,2013.34668949772,1961,2013,0.821067330843195,-0.570831357076703,-2.41384736272809,0.415293109491752,0.0975282519528801
"90",2013-05-21,0.824020229328511,-0.193560199218056,0.077,0.077,1,0.077,59675,5,142,2013.3850456621,1961,2013,0.661096628664018,-0.750300771403755,-2.12541791842834,0.509189622241554,0.135907484911653
"91",2013-06-18,29.4495202234245,3.38267761873992,0.284,0.284,1,0.284,59703,6,170,2013.46175799087,1962,2013,0.237976174811373,-0.971270992165496,-1.1644551099101,0.571351290069707,0.367425772038429
"92",2013-06-19,10.618817388254,2.36262765257491,0.523,0.523,1,0.523,59704,6,171,2013.4644977169,1962,2013,0.221222082561941,-0.975223456540581,-1.66486066580264,0.461403900447933,0.210469635403702
"93",2013-06-25,6.96594420669463,1.94103316253686,0.558,0.558,1,0.558,59710,6,177,2013.48093607306,1962,2013,0.11949595648409,-0.992834687339213,-1.7648027878974,0.461776954143879,0.190484622357162
"94",2013-07-01,34.5465525697864,3.5423077643318,0.212,0.212,1,0.212,59716,7,183,2013.49737442922,1963,2013,0.0164961994623307,-0.999863928443915,-0.973284596096664,0.553026022341236,0.440270615718299
"95",2013-07-09,57.2000296647283,4.04655441699975,0.208,0.208,1,0.208,59724,7,191,2013.51929223744,1963,2013,-0.120920071471624,-0.992662246846981,-0.824152496792056,0.532968876566377,0.50554178404353
"96",2013-07-11,308.653625418583,5.73221969482173,0.384,0.384,1,0.384,59726,7,193,2013.5247716895,1963,2013,-0.155017448662187,-0.987911732195881,-0.130882784902921,0.522294095730547,1.0055279996273
"97",2013-07-17,3.8794079525088,1.35568255243262,0.122,0.122,1,0.122,59732,7,199,2013.54121004566,1963,2013,-0.256046709277712,-0.966664410572798,-1.73545560634467,0.508758332632642,0.200681122513339
"98",2013-08-20,0.438911118714499,-0.823458349470301,0.257,0.257,1,0.257,59766,8,233,2013.63436073059,1964,2013,-0.74744876876195,-0.664319454837991,-2.19800081073096,0.426273110479082,0.121584421737025
"99",2013-08-22,0.47572301899378,-0.742919486986289,0.085,0.085,1,0.085,59768,8,235,2013.63984018265,1964,2013,-0.769872777442435,-0.638197388394117,-2.15049224053814,0.439721358341499,0.128244740688709
"100",2013-09-04,0.608812196926563,-0.496245438261885,0.108,0.108,1,0.108,59781,9,248,2013.675456621,1965,2013,-0.892305369661388,-0.451432306413103,-2.18497653131504,0.429781965762301,0.123363467315829
"101",2013-09-11,0.385109110614012,-0.954228580653496,0.09,0.09,1,0.09,59788,9,255,2013.6946347032,1965,2013,-0.940100810731716,-0.340896561527938,-2.24958247089264,0.426108268778668,0.115463785628006
"102",2013-10-21,7.73049905864892,2.04517342178946,0.144,0.144,1,0.144,59828,10,295,2013.80422374429,1966,2014,-0.942521717556362,0.334144896616132,-1.61486910029857,0.363353172566709,0.212490852991197
"103",2013-11-05,7.10752843853802,1.96115456573628,0.216,0.216,1,0.216,59843,11,310,2013.8453196347,1967,2014,-0.825950061497559,0.56374328901742,-1.77256698969895,0.347747666619287,0.18048587305789
"104",2013-12-05,2.05013967709224,0.717907925996168,0.062,0.062,1,0.062,59873,12,340,2013.92751141553,1968,2014,-0.439874756926158,0.89805912846491,-2.26039684421838,0.316527766506158,0.10966753151799
"105",2014-01-21,4.2475269553016,1.44633692070075,0.087,0.087,1,0.087,59920,1,21,2014.05627853881,1969,2014,0.346285282962988,0.938129256980744,-2.44735109066729,0.385023743386352,0.0931793219699796
"106",2014-02-24,51.253491927306,3.93678375086437,0.212,0.212,1,0.212,59954,2,55,2014.14942922374,1970,2014,0.806903826187753,0.590682838148836,-1.34880735683899,0.550993604131216,0.302096015220721
"107",2014-03-21,20.6996146955031,3.03011508635428,0.138,0.138,1,0.138,59979,3,81,2014.21792237443,1971,2014,0.979757530124928,0.200187867173562,-2.00156844778534,0.522719727327424,0.154903878813123
"108",2014-03-24,8.80653922065866,2.17549453878373,0.05,0.05,1,0.05,59982,3,84,2014.22614155251,1971,2014,0.988784964429781,0.149346222307754,-2.32928737322858,0.443051177167625,0.1074058960431
"109",2014-04-30,91.7465822345146,4.51903023539087,0.578,0.578,1,0.578,60019,4,121,2014.32751141553,1972,2014,0.883732065147312,-0.467993201906254,-0.907570343648233,0.585523394639205,0.478953616248953
"110",2014-05-28,3.51128894971599,1.25598319220953,0.092,0.092,1,0.092,60047,5,149,2014.40422374429,1973,2014,0.566110644710179,-0.824329265491542,-2.00190506081306,0.519129475379225,0.154562404015357
"111",2014-06-11,7.10752843853802,1.96115456573628,0.067,0.067,1,0.067,60061,6,163,2014.44257990868,1974,2014,0.353005130555757,-0.935621385925585,-1.70210877149045,0.465689387062765,0.203177465231476
"112",2014-07-01,6.99426105306331,1.94508996323247,0.099,0.099,1,0.099,60081,7,183,2014.49737442922,1975,2014,0.016496199463489,-0.999863928443896,-1.5971619799378,0.481515874856394,0.227357136092554
"113",2014-07-18,0.90047571452394,-0.104832083609371,0.064,0.064,1,0.064,60098,7,200,2014.54394977169,1975,2014,-0.272648311976954,-0.962113765609929,-2.05956751711319,0.456101368164407,0.141486172419272
"114",2014-08-08,0.416257641619557,-0.876450879610812,0.085,0.085,1,0.085,60119,8,221,2014.60148401826,1976,2014,-0.595303158170058,-0.803501182247266,-2.2006974194771,0.447910338916117,0.122409220161619
"115",2014-09-03,1.01940646927238,0.0192205650606076,0.084,0.084,1,0.084,60145,9,247,2014.67271689498,1977,2014,-0.884402499922268,-0.466724991971977,-2.18947893092393,0.421583936209929,0.122381456044162
"116",2014-10-17,4.8704975754125,1.58319610341795,0.158,0.158,1,0.158,60189,10,291,2014.79326484018,1978,2015,-0.963278208634543,0.268505293746372,-1.85739452791788,0.35863228630843,0.166445729852369
"117",2014-11-10,4.10594272345822,1.41243536902507,0.163,0.163,1,0.163,60213,11,315,2014.85901826484,1979,2015,-0.7744304604771,0.632659040783602,-2.05694129280963,0.323072304821534,0.134693502205497
"118",2014-12-23,2.94495202234245,1.08009252574587,0.1,0.1,1,0.1,60256,12,358,2014.97682648402,1980,2015,-0.145089565359079,0.989418525207565,-2.36206797281514,0.333683845742371,0.0996196825092314
"119",2015-03-26,16.5087214329389,2.80388881295499,0.065,0.065,1,0.065,60349,3,86,2015.23162100457,1983,2015,0.993339748853173,0.115222147820264,-2.05185709005439,0.487748357092357,0.144726740890972
"120",2015-03-30,8.80653922065866,2.17549453878373,0.078,0.078,1,0.078,60353,3,90,2015.24257990868,1983,2015,0.998913400312982,0.0466049211474093,-2.30337577017861,0.454238103151622,0.11077993169041
"121",2015-04-20,3.8794079525088,1.35568255243262,0.064,0.064,1,0.064,60374,4,111,2015.30011415525,1984,2015,0.950834626578292,-0.30969906829004,-2.24398153097698,0.492897772686748,0.119731035362011
"122",2015-05-26,0.699426105306331,-0.357495129761571,0.068,0.068,1,0.068,60410,5,147,2015.39874429224,1985,2015,0.594149909786479,-0.804354327831161,-2.24032298719256,0.50111936785763,0.120661922032336
