Date,code,"Silica, mg/L"
2011-12-29,0,6.84
2011-12-30,0,7.16
2011-12-31,0,7.49
2012-01-01,0,7.13
2012-01-02,0,7.325
2012-01-03,0,7.67
2012-01-04,0,7.83
2012-01-05,0,7.65
2012-01-06,0,7.66
2012-01-07,0,7.53
2012-01-08,0,7.24
2012-01-09,0,6.966666666666668
2012-01-10,0,7.17
2012-01-11,0,6.86
2012-01-12,0,6.79
2012-01-13,0,6.9
2012-01-14,0,7.33
2012-01-15,0,7.64
2012-01-16,0,7.080000000000001
2012-01-17,0,6.2
2012-01-18,0,4.84
2012-01-19,0,5.615
2012-01-23,0,5.323333333333333
2012-01-24,0,4.803333333333334
2012-01-25,0,5.4350000000000005
2012-01-26,0,6.08
2012-01-27,0,5.593333333333334
2012-01-28,0,5.075
2012-01-29,0,5.75
2012-01-30,0,6.246666666666667
2012-01-31,0,7.02
2012-02-01,0,6.93
2012-02-02,0,6.83
2012-02-03,0,6.51
2012-02-04,0,6.59
2012-02-05,0,6.46
2012-02-06,0,6.263333333333333
2012-02-07,0,6.03
2012-02-08,0,6.22
2012-02-09,0,6.51
2012-02-10,0,6.34
2012-02-11,0,6.4
2012-02-12,0,6.14
2012-02-13,0,5.75
2012-02-14,0,5.24
2012-02-15,0,5.19
2012-02-16,0,4.81
2012-02-17,0,4.57
2012-02-18,0,4.88
2012-02-19,0,4.91
2012-02-20,0,4.943333333333333
2012-02-21,0,4.9
2012-02-22,0,4.73
2012-02-23,0,4.265000000000001
2012-02-24,0,4.343333333333334
2012-02-25,0,5.216666666666666
2012-02-26,0,5.6899999999999995
2012-02-27,0,6.053333333333334
2012-02-28,0,5.75
2012-02-29,0,4.98
2012-03-01,0,4.640000000000001
2012-03-02,0,5.303333333333334
2012-03-03,0,4.576666666666667
2012-03-04,0,5.12
2012-03-05,0,5.946666666666666
2012-03-06,0,6.38
2012-03-07,0,6.13
2012-03-08,0,5.6
2012-03-09,0,5.12
2012-03-10,0,4.81
2012-03-11,0,4.79
2012-03-12,0,4.055
2012-03-13,0,4.13
2012-03-14,0,4.75
2012-03-15,0,5.15
2012-03-16,0,4.746666666666667
2012-03-17,0,4.86
2012-03-18,0,5.22
2012-03-19,0,5.1525
2012-03-20,0,6.366666666666667
2012-03-21,0,6.4350000000000005
2012-03-22,0,5.9
2012-03-23,0,4.82
2012-03-24,0,4.74
2012-03-25,0,4.97
2012-03-26,0,5.349999999999999
2012-03-27,0,4.69
2012-03-28,0,3.46
