"","day","month","year","flow","hyear","baseflow"
"68",8,3,1996,421,1996,364.461538461538
"69",9,3,1996,400,1996,371.230769230769
"70",10,3,1996,378,1996,378
"71",11,3,1996,364,1996,364
"72",12,3,1996,395,1996,360.571428571429
"73",13,3,1996,453,1996,357.142857142857
"74",14,3,1996,476,1996,353.714285714286
"75",15,3,1996,467,1996,350.285714285714
"76",16,3,1996,404,1996,346.857142857143
"77",17,3,1996,360,1996,343.428571428571
"78",18,3,1996,340,1996,340
"79",19,3,1996,539,1996,328.666666666667
"80",20,3,1996,3380,1996,317.333333333333
"81",21,3,1996,721,1996,306
"82",22,3,1996,381,1996,294.666666666667
"83",23,3,1996,322,1996,283.333333333333
"84",24,3,1996,395,1996,272
"85",25,3,1996,952,1996,260.666666666667
"86",26,3,1996,472,1996,249.333333333333
"87",27,3,1996,284,1996,238
"88",28,3,1996,244,1996,226.666666666667
"89",29,3,1996,226,1996,215.333333333333
"90",30,3,1996,204,1996,204
"91",31,3,1996,192,1996,192
"92",1,4,1996,202,1996,193.4
"93",2,4,1996,228,1996,188.1
"94",3,4,1996,220,1996,182.8
"95",4,4,1996,215,1996,177.5
"96",5,4,1996,246,1996,172.2
"97",6,4,1996,199,1996,166.9
"98",7,4,1996,177,1996,161.6
"99",8,4,1996,161,1996,156.3
"100",9,4,1996,151,1996,151
"101",10,4,1996,152,1996,150
"102",11,4,1996,149,1996,149
"103",12,4,1996,158,1996,153.964285714286
"104",13,4,1996,481,1996,158.928571428571
"105",14,4,1996,362,1996,163.892857142857
"106",15,4,1996,564,1996,168.857142857143
"107",16,4,1996,1530,1996,173.821428571429
"108",17,4,1996,462,1996,178.785714285714
"109",18,4,1996,294,1996,183.75
"110",19,4,1996,233,1996,188.714285714286
"111",20,4,1996,410,1996,193.678571428571
"112",21,4,1996,369,1996,198.642857142857
"113",22,4,1996,293,1996,203.607142857143
"114",23,4,1996,4820,1996,208.571428571429
"115",24,4,1996,3030,1996,213.535714285714
"116",25,4,1996,794,1996,218.5
"117",26,4,1996,521,1996,223.464285714286
"118",27,4,1996,470,1996,228.428571428571
"119",28,4,1996,376,1996,233.392857142857
"120",29,4,1996,396,1996,238.357142857143
"121",30,4,1996,3250,1996,243.321428571429
"122",1,5,1996,1060,1996,248.285714285714
"123",2,5,1996,652,1996,253.25
"124",3,5,1996,457,1996,258.214285714286
"125",4,5,1996,444,1996,263.178571428571
"126",5,5,1996,431,1996,268.142857142857
"127",6,5,1996,395,1996,273.107142857143
"128",7,5,1996,331,1996,278.071428571429
"129",8,5,1996,302,1996,283.035714285714
"130",9,5,1996,288,1996,288
"131",10,5,1996,419,1996,280.391304347826
"132",11,5,1996,1880,1996,272.782608695652
"133",12,5,1996,1470,1996,265.173913043478
"134",13,5,1996,542,1996,257.565217391304
"135",14,5,1996,380,1996,249.95652173913
"136",15,5,1996,353,1996,242.347826086957
"137",16,5,1996,381,1996,234.739130434783
"138",17,5,1996,942,1996,227.130434782609
"139",18,5,1996,507,1996,219.521739130435
"140",19,5,1996,351,1996,211.913043478261
"141",20,5,1996,287,1996,204.304347826087
"142",21,5,1996,319,1996,196.695652173913
"143",22,5,1996,253,1996,189.086956521739
"144",23,5,1996,205,1996,181.478260869565
"145",24,5,1996,183,1996,173.869565217391
"146",25,5,1996,164,1996,164
"147",26,5,1996,151,1996,151
"148",27,5,1996,153,1996,151.04347826087
"149",28,5,1996,155,1996,143.434782608696
"150",29,5,1996,146,1996,135.826086956522
"151",30,5,1996,131,1996,128.217391304348
"152",31,5,1996,120,1996,120
"153",1,6,1996,113,1996,113
"154",2,6,1996,123,1996,111.571428571429
