"","day","month","year","flow","hyear","baseflow"
"315",10,11,1996,254,1996,35.7826086956522
"316",11,11,1996,161,1996,35.4782608695652
"317",12,11,1996,106,1996,35.1739130434783
"318",13,11,1996,82,1996,34.8695652173913
"319",14,11,1996,71,1996,34.5652173913043
"320",15,11,1996,64,1996,34.2608695652174
"321",16,11,1996,54,1996,33.9565217391304
"322",17,11,1996,51,1996,33.6521739130435
"323",18,11,1996,53,1996,33.3478260869565
"324",19,11,1996,55,1996,33.0434782608696
"325",20,11,1996,54,1996,32.7391304347826
"326",21,11,1996,50,1996,32.4347826086957
"327",22,11,1996,45,1996,32.1304347826087
"328",23,11,1996,41,1996,31.8260869565217
"329",24,11,1996,37,1996,31.5217391304348
"330",25,11,1996,35,1996,31.2173913043478
"331",26,11,1996,34,1996,30.9130434782609
"332",27,11,1996,32,1996,30.6086956521739
"333",28,11,1996,31,1996,30.304347826087
"334",29,11,1996,30,1996,30
"335",30,11,1996,30,1996,30
"336",1,12,1996,86,1996,47.1428571428571
"337",2,12,1996,167,1996,55.7142857142857
"338",3,12,1996,137,1996,64.2857142857143
"339",4,12,1996,102,1996,72.8571428571429
"340",5,12,1996,94,1996,81.4285714285714
"341",6,12,1996,90,1996,90
"342",7,12,1996,111,1996,90.8
"343",8,12,1996,130,1996,91.6
"344",9,12,1996,115,1996,92.4
"345",10,12,1996,97,1996,93.2
"346",11,12,1996,94,1996,94
"347",12,12,1996,102,1996,94.4545454545455
"348",13,12,1996,306,1996,94.9090909090909
"349",14,12,1996,398,1996,95.3636363636364
"350",15,12,1996,244,1996,95.8181818181818
"351",16,12,1996,181,1996,96.2727272727273
"352",17,12,1996,293,1996,96.7272727272727
"353",18,12,1996,423,1996,97.1818181818182
"354",19,12,1996,251,1996,97.6363636363636
"355",20,12,1996,121,1996,98.0909090909091
"356",21,12,1996,105,1996,98.5454545454545
"357",22,12,1996,99,1996,99
"358",23,12,1996,99,1996,99
"359",24,12,1996,331,1996,105.363636363636
"360",25,12,1996,544,1996,108.545454545455
"361",26,12,1996,303,1996,111.727272727273
"362",27,12,1996,221,1996,114.909090909091
"363",28,12,1996,160,1996,118.090909090909
"364",29,12,1996,180,1996,121.272727272727
"365",30,12,1996,170,1996,124.454545454545
"366",31,12,1996,160,1996,127.636363636364
"367",1,1,1997,150,1997,130.818181818182
"368",2,1,1997,134,1997,134
"369",3,1,1997,226,1997,129
"370",4,1,1997,325,1997,124
"371",5,1,1997,456,1997,119
"372",6,1,1997,477,1997,114
"373",7,1,1997,235,1997,109
"374",8,1,1997,155,1997,104
"375",9,1,1997,121,1997,99
"376",10,1,1997,96,1997,94
"377",11,1,1997,82,1997,82
"378",12,1,1997,75,1997,75
"379",13,1,1997,67,1997,67
"380",14,1,1997,62,1997,62
"381",15,1,1997,59,1997,59
"382",16,1,1997,56,1997,56
"383",17,1,1997,54,1997,54
"384",18,1,1997,51,1997,51
"385",19,1,1997,49,1997,49
"386",20,1,1997,47,1997,47
