YYYY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
yy,mm,dd,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,ft
2005,4,24,284.3913043,12.13217391,14.92017544,NAN,NAN,NAN,NAN,998.5484615,2,7.207692308,NAN,NAN,NAN
2005,4,25,242.9090909,5.600865801,9.300869565,NAN,NAN,NAN,NAN,999.44875,6.70625,6.90625,NAN,NAN,NAN
2005,4,26,197.8961039,2.708658009,4.567826087,NAN,NAN,NAN,NAN,1001.397333,9.964,8.221333333,NAN,NAN,NAN
2005,4,27,226.8565217,3.510434783,6.005240175,NAN,NAN,NAN,NAN,1005.232,7.445333333,8.172,NAN,NAN,NAN
2005,4,28,212.6077586,3.124137931,4.709482759,NAN,NAN,NAN,NAN,1014.238144,7.137113402,8.462886598,NAN,NAN,NAN
2005,4,29,254.4137931,1.851724138,2.349122807,NAN,NAN,NAN,NAN,1013.629293,8.276767677,8.513131313,NAN,NAN,NAN
2005,4,30,142.3690987,2.816309013,3.463157895,NAN,NAN,NAN,NAN,1011.509091,8.147474747,9.061616162,NAN,NAN,NAN
2005,5,1,234.3187773,3.473799127,5.57309417,NAN,NAN,NAN,NAN,1014.450588,8.721176471,9.614117647,NAN,NAN,NAN
2005,5,2,250.4628821,4.516593886,7.255021834,NAN,NAN,NAN,NAN,1015.148,7.2,9.652,NAN,NAN,NAN
2005,5,3,263.2782609,3.414782609,4.963043478,NAN,NAN,NAN,NAN,1019.586517,5.907865169,9.268539326,NAN,NAN,NAN
2005,5,4,204.4147465,2.501382488,3.471428571,NAN,NAN,NAN,NAN,1027.448148,6.955555556,9.485185185,NAN,NAN,NAN
2005,5,5,97.37837838,2.481081081,3.670588235,NAN,NAN,NAN,NAN,1029.369159,8.457943925,9.505607477,NAN,NAN,NAN
2005,5,6,112.75,2.185087719,2.873542601,NAN,NAN,NAN,NAN,1023.568478,9.958695652,9.994565217,NAN,NAN,NAN
2005,5,7,165.6696035,2.335242291,3.197787611,NAN,NAN,NAN,NAN,1016.95625,12.71458333,9.902083333,NAN,NAN,NAN
2005,5,8,108.0862069,1.803448276,2.512669683,NAN,NAN,NAN,NAN,1019.597778,11.76888889,10.01777778,NAN,NAN,NAN
2005,5,9,118.6130435,2.995217391,4.352608696,NAN,NAN,NAN,NAN,1016.501923,16.71442308,9.931730769,NAN,NAN,NAN
2005,5,10,178.7330317,2.653846154,4.570776256,NAN,NAN,NAN,NAN,1012.058333,19.145,10.13333333,NAN,NAN,NAN
2005,5,11,197.4009217,2.706912442,3.862561576,NAN,NAN,NAN,NAN,1015.6975,17.2025,13.125,NAN,NAN,NAN
2005,5,12,23.84259259,8.853240741,11.53661972,NAN,NAN,NAN,NAN,1027.5875,7.919444444,12.95277778,NAN,NAN,NAN
2005,5,13,71.86111111,6.14212963,8.082407407,NAN,NAN,NAN,NAN,1021.885507,10.02463768,12.22753623,NAN,NAN,NAN
2005,5,14,194.3917051,2.561751152,4.238888889,NAN,NAN,NAN,NAN,1009.882609,16.06521739,12.55217391,NAN,NAN,NAN
2005,5,15,243.9954545,3.729545455,6.007272727,NAN,NAN,NAN,NAN,1011.207143,12.16071429,12.9,NAN,NAN,NAN
2005,5,16,245.0790698,4.189302326,5.343192488,NAN,NAN,NAN,NAN,1017.40625,10.02916667,12.74791667,NAN,NAN,NAN
2005,5,17,81.7751938,2.955813953,3.96015625,NAN,NAN,NAN,NAN,1020.571429,11.22040816,13.55918367,NAN,NAN,NAN
2005,5,18,81.37037037,3.118055556,4.701869159,NAN,NAN,NAN,NAN,1020.839216,12.54901961,13.14901961,NAN,NAN,NAN
2005,5,19,80.16143498,3.887443946,5.656108597,NAN,NAN,NAN,NAN,1016.745238,13.03809524,13.23095238,NAN,NAN,NAN
2005,5,20,53.50446429,7.278125,9.392410714,NAN,NAN,NAN,NAN,1012.193333,12.44333333,13.43333333,NAN,NAN,NAN
2005,5,21,245.2443439,1.622171946,2.153023256,NAN,NAN,NAN,NAN,1016.742105,15.41842105,14.42368421,NAN,NAN,NAN
2005,5,22,183.1925134,1.527807487,2.326347305,NAN,NAN,NAN,NAN,1011.773171,14.6902439,15.32439024,NAN,NAN,NAN
2005,5,23,143.9339207,3.270484581,4.426431718,NAN,NAN,NAN,NAN,1003.590909,13.12,15.06,NAN,NAN,NAN
2005,5,24,157.21875,5.712053571,6.99009009,NAN,NAN,NAN,NAN,1011.191045,11.87462687,14.94925373,NAN,NAN,NAN
2005,5,25,140.2136364,4.533636364,5.717431193,NAN,NAN,NAN,NAN,1016.263158,12.93552632,14.83815789,NAN,NAN,NAN
2005,5,26,223.6591928,1.734080717,2.407657658,NAN,NAN,NAN,NAN,1013.386667,17.61111111,16.30666667,NAN,NAN,NAN
2005,5,27,234.0639269,3.569863014,5.505555556,NAN,NAN,NAN,NAN,1011.296667,18.47333333,16.78333333,NAN,NAN,NAN
2005,5,28,208.0727273,2.764090909,4.359817352,NAN,NAN,NAN,NAN,1010.747619,15.85952381,16.84285714,NAN,NAN,NAN
2005,5,29,223.7612613,2.256306306,3.183181818,NAN,NAN,NAN,NAN,1014.171429,15.73265306,16.79795918,NAN,NAN,NAN
2005,5,30,237.6844444,1.764888889,2.257399103,NAN,NAN,NAN,NAN,1015.345614,17.19473684,17.78596491,NAN,NAN,NAN
2005,5,31,147.9776786,1.851785714,2.75625,NAN,NAN,NAN,NAN,1018.612308,17.42615385,18.09076923,NAN,NAN,NAN
2005,6,1,523.1100917,2.331553398,3.41314554,NAN,NAN,NAN,NAN,1019.685526,17.68026316,17.77631579,NAN,NAN,NAN
2005,6,2,78.44329897,3.903846154,4.874093264,NAN,NAN,NAN,NAN,1017.06087,18.5942029,18.02318841,NAN,NAN,NAN
2005,6,3,85.9040404,2.985353535,4.355612245,NAN,NAN,NAN,NAN,1014.227957,18.28924731,18.30645161,NAN,NAN,NAN
2005,6,4,98.81777778,2.457777778,3.470666667,NAN,NAN,NAN,NAN,1013.306863,19.61078431,18.66764706,NAN,NAN,NAN
2005,6,5,160.24,2.439111111,4.107111111,NAN,NAN,NAN,NAN,1012.790698,25.87209302,18.78023256,NAN,NAN,NAN
2005,6,6,218.1304348,3.796943231,6.380869565,NAN,NAN,NAN,NAN,1012.114035,24.01929825,18.72105263,NAN,NAN,NAN
2005,6,7,182.5243902,2.401219512,3.729878049,NAN,NAN,NAN,NAN,1012.928866,26.05360825,20.11958763,NAN,NAN,NAN
2005,6,8,155.1545455,2.401818182,3.975799087,NAN,NAN,NAN,NAN,1012.533051,25.63644068,19.71864407,NAN,NAN,NAN
2005,6,9,151.3463203,2.25974026,3.629130435,NAN,NAN,NAN,NAN,1013.818182,23.99727273,18.60454545,NAN,NAN,NAN
2005,6,10,182.5584416,2.315584416,3.743043478,NAN,NAN,NAN,NAN,1015.103125,25.178125,20.16458333,NAN,NAN,NAN
2005,6,11,169.3106383,1.953191489,3.282478632,NAN,NAN,NAN,NAN,1016.022222,25.13846154,21.54102564,NAN,NAN,NAN
2005,6,12,123.9322034,1.457627119,2.177021277,NAN,NAN,NAN,NAN,1014.593478,24.09057971,22.41304348,NAN,NAN,NAN
2005,6,13,161.2136752,2.941025641,5.166666667,NAN,NAN,NAN,NAN,1008.795575,24.39646018,20.91150442,NAN,NAN,NAN
2005,6,14,212.07173,2.747679325,5.213983051,NAN,NAN,NAN,NAN,1007.134259,26.65925926,20.975,NAN,NAN,NAN
2005,6,15,233.3554502,4.16492891,7.529047619,NAN,NAN,NAN,NAN,1004.314925,22.27985075,19.03432836,NAN,NAN,NAN
2005,6,16,290.5021277,7.135744681,8.770638298,NAN,NAN,NAN,NAN,1007.684091,17.78977273,17.51761364,NAN,NAN,NAN
2005,6,17,299.5215517,5.513362069,6.6875,NAN,NAN,NAN,NAN,1010.313613,17.10628272,20.12041885,NAN,NAN,NAN
2005,6,18,85.55701754,3.205701754,4.101754386,NAN,NAN,NAN,NAN,1015.424118,17.02470588,21.56058824,NAN,NAN,NAN
2005,6,19,50.87931034,4.435775862,5.710344828,NAN,NAN,NAN,NAN,1021.626316,18.09263158,21.37578947,NAN,NAN,NAN
2005,6,20,72.4173913,3.231304348,4.31826087,NAN,NAN,NAN,NAN,1023.049198,18.69251337,21.29197861,NAN,NAN,NAN
2005,6,21,200.7699115,2.338938053,3.457079646,NAN,NAN,NAN,NAN,1018.38642,22.22716049,21.16296296,NAN,NAN,NAN
2005,6,22,213.9311927,3.317431193,4.092165899,NAN,NAN,NAN,NAN,1017.920106,20.93121693,22.73650794,NAN,NAN,NAN
2005,6,23,117.8302752,2.503669725,3.225229358,NAN,NAN,NAN,NAN,1021.09,20.14705882,22.87647059,NAN,NAN,NAN
2005,6,24,180.9025641,2.659487179,4.696391753,NAN,NAN,NAN,NAN,1018.243151,25.17328767,21.64452055,NAN,NAN,NAN
2005,6,25,162.1674877,2.268965517,3.614285714,NAN,NAN,NAN,NAN,1017.753571,27.96309524,21.23809524,NAN,NAN,NAN
2005,6,26,113.555,2.2185,3.141919192,NAN,NAN,NAN,NAN,1019.86738,24.55614973,21.28983957,NAN,NAN,NAN
2005,6,27,96.87317073,1.877560976,2.645853659,NAN,NAN,NAN,NAN,1020.353416,24.87080745,22.85279503,NAN,NAN,NAN
2005,6,28,203.9,1.945,3.166101695,NAN,NAN,NAN,NAN,1016.891358,26.34320988,24.49135802,NAN,NAN,NAN
2005,6,29,147.2166667,1.85125,2.933333333,NAN,NAN,NAN,NAN,1015.729412,25.00941176,25.52823529,NAN,NAN,NAN
2005,6,30,170.9162996,2.051327434,3.281696429,NAN,NAN,NAN,NAN,1013.88764,23.73370787,25.04269663,NAN,NAN,NAN
2005,7,1,232.9,4.4425,6.893305439,NAN,NAN,NAN,NAN,1008.742169,23.60240964,21.56746988,NAN,NAN,NAN
2005,7,2,94.9,5.505,6.829288703,NAN,NAN,NAN,NAN,1015.334463,18.68418079,21.70225989,NAN,NAN,NAN
2005,7,3,92.12916667,2.395416667,3.328870293,NAN,NAN,NAN,NAN,1016.031933,21.78151261,22.48907563,NAN,NAN,NAN
2005,7,4,166.5083333,2.57,4.40209205,NAN,NAN,NAN,NAN,1015.543056,25.57777778,21.95138889,NAN,NAN,NAN
