#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2015,2,1,158.8677249,3.730833333,7.460833333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,2,315.5789474,4.369583333,12.7675,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,3,236.2916667,3.93625,5.905416667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,4,225.1083333,4.567083333,7.40375,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,5,286.2458333,4.68625,6.205,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,6,231.8755365,5.531355932,8.647881356,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,7,210.2958333,2.682083333,4.49625,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,8,95.10833333,5.24375,6.40125,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,9,42.9375,5.78,10.90166667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,10,39.02083333,5.19,6.25125,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,11,158.075,2.697083333,4.085416667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,12,290.1875,4.12875,5.497083333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,13,270.6276151,4.04875,5.49125,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,14,232.9157895,4.437662338,9.12034632,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,15,304.122549,5.533333333,8.95,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,16,188.6041667,2.2,2.779166667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,17,177.1625,2.732083333,3.452083333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,18,233.5021277,4.227731092,6.448739496,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,19,266.1350211,6.124686192,8.245606695,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,20,253.9375,3.36875,4.662916667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,21,178.5696203,2.157083333,3.630833333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,22,251.7238494,2.391631799,3.277824268,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,23,289.7541667,3.850416667,5.020833333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,24,207.5375,3.853333333,6.265,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,25,260.978903,4.758333333,6.996666667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,26,104.0858369,4.748497854,5.638626609,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,27,273.1217391,2.870434783,3.813043478,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,2,28,195.1704036,2.594170404,3.323318386,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,1,167.0625,1.628444444,2.198222222,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,2,251.4884793,5.607834101,7.966820276,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,3,179.372807,2.818859649,4.620175439,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,4,251.5291667,4.925833333,7.304583333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,5,254.0466102,5.74875,7.524166667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,6,229.0252101,3.199159664,4.508823529,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,7,217.2869955,4.052914798,6.761434978,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,8,242.6065574,3.710928962,5.528961749,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,9,241.2948718,3.233760684,4.782478632,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,10,189.4112554,2.014718615,2.934199134,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,11,237.3017241,3.915948276,5.894827586,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,12,150.7838983,2.71779661,3.61059322,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,13,125.6764706,2.843697479,4.225210084,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,14,210.9458333,3.420416667,5.409583333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,15,265.9416667,5.8775,7.8875,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,16,209.0958333,3.9225,6.0575,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,17,259.1347826,4.464224138,5.944827586,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,18,266.7772926,3.973799127,5.373799127,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,19,121.6094421,2.683261803,3.200858369,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,20,154.907173,2.974261603,4.11814346,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,21,230.853211,4.088392857,6.613392857,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,22,299.2136752,4.158974359,5.435042735,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,23,117.3416667,4.157916667,5.0225,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,24,65.33472803,4.956066946,5.830543933,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,25,150.5125,4.43125,7.060833333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,26,219.6137339,2.81965812,4.044444444,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,27,282.0132743,5.044247788,6.583185841,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,28,219.6431718,5.152863436,6.456387665,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,29,237.3975904,3.590963855,5.548795181,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
