,basin,country,STATION_NAME,STATION_NUMBER,LATITUDE,LONGITUDE,DRAINAGE_AREA_GROSS,count,mean,std,min,25%,50%,75%,max
54,CB,CA,"Kettle Creek Above St. Thomas, ON",02GC029,42.8351898,-81.1347198,134.0,5479.0,1.6,3.9,0.0,0.1,0.4,1.2,64.3
55,CB,CA,"Catfish Creek At Aylmer, ON",02GC030,42.773750299999996,-80.9826736,127.0,5479.0,1.5,3.2,0.0,0.2,0.5,1.3,66.4
56,CB,CA,"Dodd Creek Below Paynes Mills, ON",02GC031,42.7873917,-81.26750179999999,100.0,5479.0,1.2,3.0,0.0,0.1,0.3,0.9,50.6
57,CB,CA,"Silver Creek Near Grovesend, ON",02GC036,42.67583079999999,-80.953331,40.0,3653.0,0.5,0.7,0.1,0.2,0.3,0.5,17.8
58,EB,US,"Cattaraugus Creek At Gowanda, NY",04213500,42.463333299999995,-78.9341667,1129.0,5479.0,23.1,30.1,2.0,7.7,14.5,26.4,515.2
59,EB,US,"Buffalo Creek At Gardenville, NY",04214500,42.8547222,-78.755,368.0,3651.0,6.4,10.6,0.1,1.4,3.1,6.6,152.9
60,EB,US,"Cazenovia Creek At Ebenezer, NY",04215500,42.8297222,-78.775,350.0,5479.0,7.8,14.1,0.1,1.5,3.6,7.7,250.6
61,EB,US,"Cayuga Creek Near Lancaster, NY",04215000,42.89,-78.645,250.0,5479.0,4.5,8.9,0.0,0.6,1.9,4.3,124.3
62,EB,CA,"Grand River At Brantford, ON",02GB001,43.132720899999995,-80.26731109999999,5200.0,5479.0,65.5,74.8,11.7,26.4,39.0,73.0,1000.0
63,EB,CA,"Grand River At Galt, ON",02GA003,43.353111299999995,-80.31575009999999,3520.0,5479.0,45.1,54.4,6.4,18.0,25.5,48.5,780.0
64,EB,CA,"Big Creek Near Walsingham, ON",02GC007,42.6856117,-80.53846740000002,567.0,5479.0,7.4,5.5,1.6,4.0,5.9,8.9,75.4
65,EB,CA,"Nanticoke Creek At Nanticoke, ON",02GC022,42.8099213,-80.0761719,177.0,4765.0,1.9,2.7,0.0,0.4,1.0,2.3,39.8
66,EB,CA,"Mckenzie Creek Near Caledonia, ON",02GB010,43.033939399999994,-79.9498062,173.0,5479.0,2.1,3.3,0.0,0.4,0.9,2.1,38.9
67,EB,CA,"Lynn River At Simcoe, ON",02GC008,42.8233299,-80.2894363,144.0,5479.0,1.8,1.2,0.6,1.1,1.5,2.2,21.1
68,EB,CA,"Venison Creek Near Walsingham, ON",02GC021,42.6533585,-80.548439,68.0,3646.0,1.4,1.0,0.5,0.8,1.1,1.6,8.4
69,EB,CA,"Young Creek Near Vittoria, ON",02GC014,42.76575089999999,-80.2945786,66.0,2097.0,0.8,0.5,0.3,0.5,0.7,1.0,7.0
71,NR,US,"Niagara River At Buffalo, NY",04216000,42.8777778,-78.91638890000002,682980.0,5478.0,5761.2,551.3,3808.0,5376.0,5712.0,6076.0,8176.0
72,NR,US,"Tonawanda Creek At Rapids, NY",04218000,43.09305560000001,-78.6361111,904.0,5479.0,13.9,18.2,0.3,2.9,7.6,16.8,159.3
73,NR,US,"Ellicott Creek Below Williamsville, NY",04218518,42.9777778,-78.76361109999999,211.0,5479.0,4.3,5.9,0.3,1.3,2.5,4.6,74.8
74,NR,CA,"Niagara River At Queenston, ON",02HA003,43.156940500000005,-79.0472183,686000.0,5479.0,5860.0,568.9,3910.0,5460.0,5820.0,6200.0,8190.0
75,NR,CA,"Niagara River At Fort Erie, ON",02HA013,42.930278799999996,-78.9141693,683000.0,585.0,5778.8,619.1,3900.0,5340.0,5740.0,6220.0,8460.0
76,NR,CA,"Welland River Below Caistor Corners, ON",02HA007,43.0217781,-79.6180191,223.0,5470.0,2.6,6.2,0.0,0.1,0.4,2.0,82.5
77,NR,CA,"Oswego Creek At Canborough, ON",02HA024,42.9913101,-79.6782532,83.0,2647.0,1.2,3.1,0.0,0.0,0.1,0.8,50.0
78,NR,CA,"Welland Canal Diversion From Lake Erie, ON",02HA019,42.9500008,-79.2166672,,5386.0,190.6,51.2,19.1,152.0,199.0,234.0,304.0
