Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type,Depth,Depth Units,Sample Time
,,,,,,Total Total Nitrate,ND,mg N/L        ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),6.9,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Calcium,65,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Nitrite,0.006,mg N/L        ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Organic Carbon,5,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Potassium,5.1,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Sodium,33,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Sulfate,67,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Conductivity (Field),686,umhos/cm,WCMP,9/10/2007,Actual,,,
,,,,,,Total Conductivity (Lab),681,umhos/cm,WCMP,9/10/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,284,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total pH (Field),8,pH,WCMP,9/10/2007,Actual,,,
,,,,,,Total Temperature of Water,23.6,C,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Ammonia,0.011,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.52,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Organic Carbon,5.8,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.013,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Sulfate,74,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Suspended Solids,11,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total pH (Lab),8.24,pH,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Alkalinity,200,mg CaCO3/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Calcium,69.6,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,440,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Potassium,4.3,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Sodium,32,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Magnesium,26.8,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.05,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),7.1,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Nitrate,,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Total Nitrite,0.006,mg/L,WCMP,9/10/2007,Actual,,,
,,,,,,Total Turbidity,13,NTU,WCMP,9/10/2007,Actual,,,
,,,,,,Total Temperature of Water,23.2,C,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Dissolved Solids,420,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Nitrate,1.5,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Organic Carbon,8.6,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.015,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Sulfate,47,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Alkalinity,222,mg CaCO3/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Ammonia,0.012,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.78,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Phosphorus,0.059,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Potassium,4.8,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Conductivity (Field),631,umhos/cm,WCMP,8/5/2009,Actual,,,
,,,,,,Total Conductivity (Lab),644,umhos/cm,WCMP,8/5/2009,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),8.1,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Hardness Ca2CO3,285,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total pH (Lab),8.29,pH,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Calcium,76.3,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Magnesium,22.8,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Sodium,18,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Suspended Solids,17,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total pH (Field),7.8,pH,WCMP,8/5/2009,Actual,,,
,,,,,,Total Total Nitrite,0.013,mg/L,WCMP,8/5/2009,Actual,,,
,,,,,,Total Turbidity,18,NTU,WCMP,8/5/2009,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),5.9,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total pH (Field),8.2,pH            ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Temperature of Water,23.7,° C           ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Organic Carbon,5.6,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Chloride                                ,64,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Alkalinity,170,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Calcium,62,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.62,mg N/L        ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Magnesium,28,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.018,mg P/L        ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Suspended Solids,22,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Conductivity (Lab),690,umhos/cm      ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Hardness Ca2CO3,270,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total pH (Lab),8.17,pH            ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Ammonia,ND,mg N/L        ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,450,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Nitrite,0.008,mg N/L        ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Potassium,4.6,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Sulfate,66,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Conductivity (Field),676,umhos/cm      ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,0.006,mg N/L        ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Nitrate,ND,mg N/L        ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.058,mg P/L        ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Total Sodium,36,mg/L          ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Turbidity,19.8,NTU           ,WCMP,8/30/2012,Actual,,,
,,,,,,Total Conductivity (Field),730,umhos/cm,WCMP,8/28/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,299,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total pH (Lab),7.96,pH,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,450,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Sodium,32.4,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Conductivity (Lab),696,umhos/cm,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.55,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Nitrate,0.003,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Turbidity,27,NTU,WCMP,8/28/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),6.3,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Temperature of Water,23.5,C,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Ammonia,0.009,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Magnesium,28.2,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Nitrite,0.002,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Sulfate,81,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total pH (Field),7.9,pH,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Alkalinity,198,mg CaCO3/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Calcium,73,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Organic Carbon,5.5,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.005,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.076,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Potassium,3.7,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Total Suspended Solids,26,mg/L,WCMP,8/28/2007,Actual,,,
,,,,,,Total Conductivity (Lab),756,umhos/cm,WCMP,8/20/2013,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),7.9,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Alkalinity,218.8147,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.013904,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Sodium,30.84,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Ammonia,0.008126,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Calcium,84.66,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.7672,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Organic Carbon,8.3,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Potassium,4.948,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Suspended Solids,27,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Conductivity (Field),728,umhos/cm,WCMP,8/20/2013,Actual,,,
,,,,,,Total Nitrate + Nitrite,0.043986,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total pH (Field),8.3,pH,WCMP,8/20/2013,Actual,,,
,,,,,,Total pH (Lab),8.39,pH,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Magnesium,28.94,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Sulfate,65.63314,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Chloride,56.39535,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Temperature of Water,22.5,° C,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Nitrite,0.009387,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Total Phosphorus,0.0548,mg/L,WCMP,8/20/2013,Actual,,,
,,,,,,Total Turbidity,21.3,NTU,WCMP,8/20/2013,Actual,,,
,,,,,,Total pH (Lab),8.59,pH,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Alkalinity,142,mg CaCO3/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,340,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.51,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Suspended Solids,18,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Conductivity (Field),618,umhos/cm,WCMP,8/15/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),8.2,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total pH (Field),8.1,pH,WCMP,8/15/2007,Actual,,,
,,,,,,Total Temperature of Water,24.3,C,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Magnesium,19.8,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Nitrate,0.32,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Nitrite,0.019,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.012,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Potassium,3,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Sodium,22.8,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Calcium,54.6,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Turbidity,16,NTU,WCMP,8/15/2007,Actual,,,
,,,,,,Total Conductivity (Lab),527,umhos/cm,WCMP,8/15/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,218,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Ammonia,0.016,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Organic Carbon,4.8,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.049,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Total Sulfate,48,mg/L,WCMP,8/15/2007,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,0.001,mg/L,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Alkalinity,224,mg CaCO3/L,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Calcium,70.9,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Nitrate,,mg/L,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Potassium,4.6,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Sulfate,50,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Suspended Solids,16,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Hardness Ca2CO3,286,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total pH (Lab),8.41,pH            ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Ammonia,0.011,mg/L,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Sodium,27.3,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Turbidity                               ,13,NTU           ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Chloride                                ,51,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Conductivity (Field),675,umhos/cm      ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Conductivity (Lab),660,umhos/cm      ,WCMP,8/11/2010,Actual,,,
,,,,,,Total pH (Field),8.3,pH            ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Dissolved Solids,430,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.68,mg/L,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Magnesium,26.4,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Organic Carbon,6.8,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.055,mg/L,WCMP,8/11/2010,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),6.4,mg/L          ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Temperature of Water,27.1,° C           ,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Nitrite,0.004,mg/L,WCMP,8/11/2010,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.009,mg/L,WCMP,8/11/2010,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),6,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total pH (Field),8.3,pH            ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Calcium,76.6,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.66,mg/L,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Magnesium,27.2,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.059,mg/L,WCMP,8/1/2011,Actual,,,
,,,,,,Total Chloride                                ,54,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Hardness Ca2CO3,303,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Ammonia,0.001,mg/L,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Dissolved Solids,480,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Nitrate,,mg/L,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Potassium,3.4,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Sodium,30.4,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Conductivity (Field),724,umhos/cm      ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Conductivity (Lab),731,umhos/cm      ,WCMP,8/1/2011,Actual,,,
,,,,,,Total pH (Lab),8.29,pH            ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Nitrite,0.005,mg/L,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Organic Carbon,6.3,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,,mg/L,WCMP,8/1/2011,Actual,,,
,,,,,,Total Temperature of Water,28.4,° C           ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Alkalinity,230,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.011,mg/L,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Sulfate,71,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Total Suspended Solids,13,mg/L          ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Turbidity                               ,18,NTU           ,WCMP,8/1/2011,Actual,,,
,,,,,,Total Conductivity (Field),632,umhos/cm,WCMP,7/31/2008,Actual,,,
,,,,,,Total Conductivity (Lab),644,umhos/cm,WCMP,7/31/2008,Actual,,,
,,,,,,Total Hardness Ca2CO3,288,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total pH (Field),8,pH,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Alkalinity,207,mg CaCO3/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Nitrate,3.4,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Potassium,5.1,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Suspended Solids,29,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Temperature of Water,25.6,C,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Sodium,19.2,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),10.4,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Calcium,80,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Dissolved Solids,420,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,1.24,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Magnesium,21.5,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Organic Carbon,10,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.003,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Phosphorus,0.094,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Turbidity,29,NTU,WCMP,7/31/2008,Actual,,,
,,,,,,Total pH (Lab),8.47,pH,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Ammonia,,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Nitrite,0.025,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Total Sulfate,47,mg/L,WCMP,7/31/2008,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,0.011,mg N/L        ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Temperature of Water,25.4,° C           ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Alkalinity,200,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.67,mg N/L        ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Nitrate,ND,mg N/L        ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Chloride                                ,58,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Hardness Ca2CO3,289,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total pH (Field),8,pH            ,WCMP,7/25/2012,Actual,,,
,,,,,,Total pH (Lab),8.31,pH            ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Magnesium,29,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.03,mg P/L        ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Sodium,34,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Turbidity,22.1,NTU           ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Conductivity (Field),661,umhos/cm      ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Calcium,68,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Nitrite,0.009,mg N/L        ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Organic Carbon,5.7,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Sulfate,56,mg/L          ,WCMP,7/25/2012,Actual,,,
