Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Phosphorus,0.27,mg/l,WCTMP,9/3/2003,Actual
,,,,,,Total Total Organic Carbon (TOC),7.2,mg/l,WCTMP,9/3/2003,Actual
,,,,,,Total Turbidity,19,mg/l,WCTMP,9/3/2003,Actual
,,,,,, Temperature, water,21.7,deg C,WCTMP,9/3/2003
,,,,,,Total Chloride,169,mg/l,WCTMP,9/3/2003,Actual
,,,,,,Total Copper,3.52,ug/l,WCTMP,9/3/2003,Actual
,,,,,,Total Mercury,2.42,ng/l,WCTMP,9/3/2003,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.114,mg/l,WCTMP,9/3/2003
,,,,,,Total Nitrogen, Kjeldahl,1.06,mg/l,WCTMP,9/3/2003
,,,,,,Total Phosphorus, orthophosphate as P,0.155,mg/l,WCTMP,9/3/2003
,,,,,,Total Sodium,96.6,mg/l,WCTMP,9/3/2003,Actual
,,,,,,Total Specific conductivity,923,umho/cm,WCTMP,9/3/2003,Actual
,,,,,,Total Sulfate (SO4) as SO4,35,mg/l,WCTMP,9/3/2003,Actual
,,,,,,Dissolved Dissolved Solids,486,mg/l,WCTMP,9/3/1998,Calculated
,,,,,,Total Calcium,53.8,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Chloride,117,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Chromium,2.935,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Hardness, carbonate,197,mg/l,WCTMP,9/3/1998
,,,,,,Total Mercury,3.067,ng/l,WCTMP,9/3/1998,Actual
,,,,,,Total pH,7.76,,WCTMP,9/3/1998,Actual
,,,,,,Total Phosphorus,0.148,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Specific conductivity,748,umho/cm,WCTMP,9/3/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),15,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Dissolved oxygen (DO),5.5,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Cadmium,0.069,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.067,mg/l,WCTMP,9/3/1998
,,,,,, Temperature, water,21,deg C,WCTMP,9/3/1998
,,,,,,Total Copper,3.059,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Lead,1.744,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Magnesium,15.2,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Nickel,6.461,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.09,mg/l,WCTMP,9/3/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.56,mg/l,WCTMP,9/3/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.045,mg/l,WCTMP,9/3/1998
,,,,,,Total Phosphorus, orthophosphate as P,0.073,mg/l,WCTMP,9/3/1998
,,,,,,Total Sulfate (SO4) as SO4,30,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),7.3,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Zinc,10.068,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Chloride,107,mg/l,WCTMP,9/29/1998,Actual
,,,,,,Total Chromium,2.973,ug/l,WCTMP,9/29/1998,Actual
,,,,,,Total DDT,1.43,ug/l,WCTMP,9/29/1998,Actual
,,,,,,Total Hardness, carbonate,230,mg/l,WCTMP,9/29/1998
,,,,,,Total Mercury,3.829,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.028,mg/l,WCTMP,9/29/1998
,,,,,,Total Pcb-101,0.260695715,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-118,0.195521032,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-135/144,0.112957883,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-146,0.086542096,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-151,0.115942093,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-158,0.075931571,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-167,0.028294734,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-182/187,0.155289457,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-195/208,0.033710523,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-206,0.031168418,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-207,0.003315789,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-44,0.185646949,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-45,0.041221117,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-6,0.046082576,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-7/9,0.024003452,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-85,0.061781036,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-89,0.014685656,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Polychlorinated biphenyls (PCBs),9.960509705,ug/l,WCTMP,9/29/1998,Actual
,,,,,,Total Specific conductivity,790,umho/cm,WCTMP,9/29/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),6.4,mg/l,WCTMP,9/29/1998,Actual
,,,,,,Total Cadmium,0.074,ug/l,WCTMP,9/29/1998,Actual
,,,,,,Total Chlordane,0.709,ug/l,WCTMP,9/29/1998,Actual
,,,,,,Total Copper,2.999,ug/l,WCTMP,9/29/1998,Actual
,,,,,,Total Magnesium,22.4,mg/l,WCTMP,9/29/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.06,mg/l,WCTMP,9/29/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,2.2,mg/l,WCTMP,9/29/1998
,,,,,,Total Pcb-15/17,0.307183413,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-172,0.043105259,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-18,0.106952088,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-183,0.092289464,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-201,0.135615775,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-22,0.099761181,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-41/64/71,0.188178958,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-47/48,0.095304844,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-51,0.03139692,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-56+60,0.121435184,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-66,0.211676008,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-77/110,0.420111044,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-99,0.098849657,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Zinc,10.42,ug/l,WCTMP,9/29/1998,Actual
,,,,,, Temperature, water,19.3,deg C,WCTMP,9/29/1998
,,,,,,Dissolved Dissolved Solids,514,mg/l,WCTMP,9/29/1998,Calculated
,,,,,,Total Lead,2.136,ug/l,WCTMP,9/29/1998,Actual
,,,,,,Total Nickel,7.295,ug/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-128,0.099142095,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-136,0.050640193,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-137/176,0.009726315,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-138/163,0.623699934,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-141,0.110747357,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-170/190,0.173968403,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-171/202,0.040563154,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-174,0.15971051,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-177,0.106215778,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-178,0.048521048,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-180,0.369489435,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-193,0.02840526,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-194,0.076815781,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-198,0,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-3,0,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-33,0.089329301,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-37/42,0.137032363,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-4/10,0.280850512,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-46,0.027143144,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-5/8,0.417275193,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-70/76,0.135209316,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-74,0.064313046,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-84/92,0.246820302,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-87,0.108268733,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-91,0.083252478,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total pH,8.08,,WCTMP,9/29/1998,Actual
,,,,,,Total Phosphorus,0.22,mg/l,WCTMP,9/29/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.148,mg/l,WCTMP,9/29/1998
,,,,,,Total Calcium,55.8,mg/l,WCTMP,9/29/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.9,mg/l,WCTMP,9/29/1998
,,,,,,Total Pcb-123/149,0.311794704,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-132/153,0.561142046,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-16/32,0.273153203,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-185,0.016578946,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-19,0.046994099,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-196/203,0.155289457,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-199,0.010942104,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-24/27,0.025927779,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-28/31,0.434290298,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-40,0.049526109,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-49,0.132981148,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-52,0.466598741,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-53,0.056109334,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-63,0.009722917,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-82,0.040894733,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-83,0.029776434,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-95,0.358330008,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Pcb-97,0.068668102,ng/l,WCTMP,9/29/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,29,mg/l,WCTMP,9/29/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),17,mg/l,WCTMP,9/29/1998,Actual
,,,,,,Total Conductivity (Field),860,umhos/cm,WCMP,9/25/2013,Actual
,,,,,,Total pH (Lab),8.14,pH,WCMP,9/25/2013,Actual
,,,,,,Total Total Potassium,4.232,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Turbidity,5.88,NTU,WCMP,9/25/2013,Actual
,,,,,,Total Chloride,125.384,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Temperature of Water,15.7,° C,WCMP,9/25/2013,Actual
,,,,,,Total Total Ammonia,0.048501,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Nitrite,0.018565,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Phosphorus,0.1166,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Sodium,77.4,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Sulfate,38.14597,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Suspended Solids,8,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Conductivity (Lab),902,umhos/cm,WCMP,9/25/2013,Actual
,,,,,,Total Nitrate + Nitrite,2.247518,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Alkalinity,164.5455,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Dissolved Solids,460,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Magnesium,21.36,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Organic Carbon,5.9,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Dissolved Oxygen (Field),8.5,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total pH (Field),8.2,pH,WCMP,9/25/2013,Actual
,,,,,,Total Total Calcium,63.56,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.749,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Total Ortho Phosphate,0.085502,mg/L,WCMP,9/25/2013,Actual
,,,,,,Total Chloride                                ,160,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total Dissolved Oxygen (Field),8.6,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total pH (Field),8.2,pH            ,WCMP,9/24/2012,Actual
,,,,,,Total Total Alkalinity,200,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total Total Magnesium,23,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total Total Nitrate,3.26,mg N/L        ,WCMP,9/24/2012,Actual
,,,,,,Total Total Sulfate,52,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total Hardness Ca2CO3,275,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total Temperature of Water,13.6,° C           ,WCMP,9/24/2012,Actual
,,,,,,Total Total Ammonia,0.017,mg N/L        ,WCMP,9/24/2012,Actual
,,,,,,Total Total Nitrite,0.021,mg N/L        ,WCMP,9/24/2012,Actual
,,,,,,Total Total Organic Carbon,5.6,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total Total Phosphorus                        ,0.128,mg P/L        ,WCMP,9/24/2012,Actual
,,,,,,Total Total Suspended Solids,6,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total Conductivity (Field),1020,umhos/cm      ,WCMP,9/24/2012,Actual
,,,,,,Total Conductivity (Lab),1044,umhos/cm      ,WCMP,9/24/2012,Actual
,,,,,,Total pH (Lab),8.05,pH            ,WCMP,9/24/2012,Actual
,,,,,,Total Total Dissolved Solids,680,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.86,mg N/L        ,WCMP,9/24/2012,Actual
,,,,,,Total Total Potassium,5.6,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total Turbidity,3.12,NTU           ,WCMP,9/24/2012,Actual
,,,,,,Total Nitrate + Nitrite                       ,3.28,mg N/L        ,WCMP,9/24/2012,Actual
,,,,,,Total Total Calcium,72,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Total Total Ortho Phosphate,0.095,mg P/L        ,WCMP,9/24/2012,Actual
,,,,,,Total Total Sodium,100,mg/L          ,WCMP,9/24/2012,Actual
,,,,,,Dissolved Dissolved Solids,500,mg/l,WCTMP,9/22/1998,Calculated
,,,,,,Total Calcium,52.2,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Chloride,111,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Hardness, carbonate,215,mg/l,WCTMP,9/22/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.78,mg/l,WCTMP,9/22/1998
,,,,,,Total Pcb-128,0.094117647,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-132/153,0.535529412,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-135/144,0.103247059,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-136,0.053076903,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-137/176,0.008658824,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-158,0.077082353,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-18,0.12923072,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-182/187,0.142588235,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-185,0.015623529,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-193,0.0272,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-206,0.027294118,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-22,0.114692264,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-24/27,0.030461527,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-3,0,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-44,0.210115304,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-47/48,0.106153805,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-5/8,0.508269035,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-91,0.091615349,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-95,0.408807535,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,25,mg/l,WCTMP,9/22/1998,Actual
,,,,,, Temperature, water,21.5,deg C,WCTMP,9/22/1998
,,,,,,Total Chromium,2.96,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total DDT,1.521,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Magnesium,20.5,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.096,mg/l,WCTMP,9/22/1998
,,,,,,Total Pcb-118,0.190494118,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-123/149,0.281223529,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-138/163,0.644423529,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-141,0.101929412,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-151,0.105976471,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-171/202,0.036611765,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-177,0.099388235,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-183,0.085741177,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-194,0.077929412,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-195/208,0.032188235,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-196/203,0.150964706,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-198,0,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-33,0.103730729,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-4/10,0.19511531,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-40,0.053538441,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-63,0.011769226,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-7/9,0.024346145,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-74,0.068192282,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-77/110,0.574845933,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-82,0.037552941,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-83,0.034961525,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-84/92,0.284653737,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-87,0.135230717,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total pH,7.99,,WCTMP,9/22/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),16,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Copper,3.445,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Mercury,4.792,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.96,mg/l,WCTMP,9/22/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.038,mg/l,WCTMP,9/22/1998
,,,,,,Total Pcb-101,0.321692184,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-146,0.085364706,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-15/17,0.350999865,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-16/32,0.314192187,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-167,0.027576471,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-172,0.042070588,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-19,0.035538448,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-199,0.009882353,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-201,0.126964706,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-28/31,0.501115192,ng/l,WCTMP,9/22/1998,Actual
