Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total pH,7.81,,WCTMP,9/8/1998,Actual
,,,,,,Total Zinc,9.197,ug/l,WCTMP,9/8/1998,Actual
,,,,,, Temperature, water,22.5,deg C,WCTMP,9/8/1998
,,,,,,Dissolved Dissolved Solids,313,mg/l,WCTMP,9/8/1998,Calculated
,,,,,,Total Lead,1.836,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.147,mg/l,WCTMP,9/8/1998
,,,,,,Total Phosphorus, orthophosphate as P,0.033,mg/l,WCTMP,9/8/1998
,,,,,,Total Chloride,63,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),4,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),12,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Chromium,2.064,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Copper,2.883,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Dissolved oxygen (DO),6.1,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Magnesium,10.5,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.91,mg/l,WCTMP,9/3/1998
,,,,,,Total Phosphorus,0.096,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Specific conductivity,474,umho/cm,WCTMP,9/3/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,23,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Nickel,3.206,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.023,mg/l,WCTMP,9/3/1998
,,,,,,Total Zinc,8.866,ug/l,WCTMP,9/3/1998,Actual
,,,,,, Temperature, water,26,deg C,WCTMP,9/3/1998
,,,,,,Total Cadmium,0.047,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Chloride,60,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Lead,2.15,ug/l,WCTMP,9/3/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.59,mg/l,WCTMP,9/3/1998
,,,,,,Total Phosphorus, orthophosphate as P,0.041,mg/l,WCTMP,9/3/1998
,,,,,,Dissolved Dissolved Solids,308,mg/l,WCTMP,9/3/1998,Calculated
,,,,,,Total Calcium,40.5,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Hardness, carbonate,144,mg/l,WCTMP,9/3/1998
,,,,,,Total Mercury,3.461,ng/l,WCTMP,9/3/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.125,mg/l,WCTMP,9/3/1998
,,,,,,Total pH,7.79,,WCTMP,9/3/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),3.8,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),17,mg/l,WCTMP,9/3/1998,Actual
,,,,,,Dissolved Dissolved Solids,248,mg/l,WCTMP,9/22/1998,Calculated
,,,,,,Total Calcium,32.6,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Dissolved oxygen (DO),6.1,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Magnesium,8.8,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Specific conductivity,382,umho/cm,WCTMP,9/22/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),18,mg/l,WCTMP,9/22/1998,Actual
,,,,,, Temperature, water,24,deg C,WCTMP,9/22/1998
,,,,,,Total Chloride,40,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Copper,3.741,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Hardness, carbonate,118,mg/l,WCTMP,9/22/1998
,,,,,,Total Mercury,6.232,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total pH,7.79,,WCTMP,9/22/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.026,mg/l,WCTMP,9/22/1998
,,,,,,Total Total Organic Carbon (TOC),2.6,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Cadmium,0.07,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Lead,2.814,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Nickel,2.908,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.122,mg/l,WCTMP,9/22/1998
,,,,,,Total Nitrogen, Kjeldahl,0.48,mg/l,WCTMP,9/22/1998
,,,,,,Total Sulfate (SO4) as SO4,18,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Chromium,2.302,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.6,mg/l,WCTMP,9/22/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.016,mg/l,WCTMP,9/22/1998
,,,,,,Total Phosphorus,0.079,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Zinc,11.929,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Chromium,0.99,ug/l,WCTMP,9/18/2003,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.83,mg/l,WCTMP,9/18/2003
,,,,,,Total Pcb-123/149,0.230065,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-128,0.0390789,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-141,0.0785202,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-146,0.0763329,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-151,0.0995597,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-16/32,0.499425962,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-172,0.040694,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-174,0.143782,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-182/187,0.132093,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-185,0.014815,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-195/208,0.0310865,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-207,0.00242232,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-37/42,0.368186397,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-40,0.074140587,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-41/64/71,0.293574118,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-51,0.039003793,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-56+60,0.180441854,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-66,0.281860276,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-7/9,0,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-84/92,0.221231453,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-85,0.060779746,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-91,0.082620084,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Phosphorus,0.062,mg/l,WCTMP,9/18/2003,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.025,mg/l,WCTMP,9/18/2003
,,,,,,Total Polychlorinated biphenyls (PCBs),10.65877647,ug/l,WCTMP,9/18/2003,Actual
,,,,,,Total Sodium,44.8,mg/l,WCTMP,9/18/2003,Actual
,,,,,,Total Zinc,8.25,ug/l,WCTMP,9/18/2003,Actual
,,,,,,Total Calcium,41.7,mg/l,WCTMP,9/18/2003,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.033,mg/l,WCTMP,9/18/2003
,,,,,,Total Pcb-101,0.26967105,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-135/144,0.0886082,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-15/17,0.335789871,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-178,0.0487277,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-180,0.304598,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-19,0.021725415,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-193,0.0261542,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-196/203,0.139063,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-206,0.0250193,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-26,0.072338741,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-44,0.300418731,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-45,0.052103288,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-5/8,0.284094122,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-63,0.014016918,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-82,0.0351824,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-95,0.282747584,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Turbidity,8.8,mg/l,WCTMP,9/18/2003,Actual
,,,,,,Dissolved Dissolved Solids,360,mg/l,WCTMP,9/18/2003,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,96,mg/l
,,,,,,Total Cadmium,0.035,ug/l,WCTMP,9/18/2003,Actual
,,,,,,Total Chlordane,0,ug/l,WCTMP,9/18/2003,Actual
,,,,,,Total Chloride,90,mg/l,WCTMP,9/18/2003,Actual
,,,,,,Total Copper,2.56,ug/l,WCTMP,9/18/2003,Actual
,,,,,,Total DDT,0,ug/l,WCTMP,9/18/2003,Actual
,,,,,,Total Hardness, carbonate,147,mg/l,WCTMP,9/18/2003
,,,,,,Total Lead,1.73,ug/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-118,0.152272,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-137/176,0.0063621,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-158,0.0590982,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-170/190,0.173437,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-171/202,0.0352281,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-177,0.0960338,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-194,0.0720228,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-199,0.00986853,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-24/27,0.036587871,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-28/31,0.903505037,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-4/10,0.107032113,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-46,0.023917837,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-49,0.185867236,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-77/110,0.33392641,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-89,0.025271413,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-97,0.066828782,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-99,0.091453811,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total pH,7.98,,WCTMP,9/18/2003,Actual
,,,,,,Total Potassium,7.2,mg/l,WCTMP,9/18/2003,Actual
,,,,,,Total Specific conductivity,561,umho/cm,WCTMP,9/18/2003,Actual
,,,,,,Total Sulfate (SO4) as SO4,26,mg/l,WCTMP,9/18/2003,Actual
,,,,,,Total Total Suspended Solids (TSS),8,mg/l,WCTMP,9/18/2003,Actual
,,,,,, Temperature, water,24.2,deg C,WCTMP,9/18/2003
,,,,,,Total Magnesium,10.5,mg/l,WCTMP,9/18/2003,Actual
,,,,,,Total Mercury,3.03,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Nickel,2.2,ug/l,WCTMP,9/18/2003,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.11,mg/l,WCTMP,9/18/2003
,,,,,,Total Nitrogen, Kjeldahl,0.52,mg/l,WCTMP,9/18/2003
,,,,,,Total Pcb-132/153,0.442713,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-138/163,0.421756,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-167,0.0205299,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-18,0.31734334,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-183,0.0750809,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-198,0.00308005,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-201,0.120027,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-22,0.188537235,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-25,0.075597779,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-3,0,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-33,0.151773403,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-47/48,0.161215323,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-52,0.500920192,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-53,0.07023955,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-70/76,0.203112614,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-74,0.104519614,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-83,0.030284527,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Pcb-87,0.103360691,ng/l,WCTMP,9/18/2003,Actual
,,,,,,Total Total Organic Carbon (TOC),3.6,mg/l,WCTMP,9/18/2003,Actual
,,,,,,Dissolved Dissolved Solids,257,mg/l,WCTMP,9/16/1998,Calculated
,,,,,,Total Calcium,34.2,mg/l,WCTMP,9/16/1998,Actual
,,,,,,Total Dissolved oxygen (DO),6.3,mg/l,WCTMP,9/16/1998,Actual
,,,,,,Total Lead,1.973,ug/l,WCTMP,9/16/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.021,mg/l,WCTMP,9/16/1998
,,,,,,Total Sulfate (SO4) as SO4,16,mg/l,WCTMP,9/16/1998,Actual
,,,,,,Total Zinc,9.878,ug/l,WCTMP,9/16/1998,Actual
,,,,,, Temperature, water,25,deg C,WCTMP,9/16/1998
,,,,,,Total Chloride,45,mg/l,WCTMP,9/16/1998,Actual
,,,,,,Total Chromium,2.233,ug/l,WCTMP,9/16/1998,Actual
,,,,,,Total Copper,3.886,ug/l,WCTMP,9/16/1998,Actual
,,,,,,Total Magnesium,9.2,mg/l,WCTMP,9/16/1998,Actual
,,,,,,Total Mercury,3.784,ng/l,WCTMP,9/16/1998,Actual
,,,,,,Total Specific conductivity,395,umho/cm,WCTMP,9/16/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),13,mg/l,WCTMP,9/16/1998,Actual
,,,,,,Total Cadmium,0.051,ug/l,WCTMP,9/16/1998,Actual
,,,,,,Total Nickel,2.903,ug/l,WCTMP,9/16/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.49,mg/l,WCTMP,9/16/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.013,mg/l,WCTMP,9/16/1998
,,,,,,Total pH,7.82,,WCTMP,9/16/1998,Actual
,,,,,,Total Hardness, carbonate,123,mg/l,WCTMP,9/16/1998
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.105,mg/l,WCTMP,9/16/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.65,mg/l,WCTMP,9/16/1998
,,,,,,Total Phosphorus,0.06,mg/l,WCTMP,9/16/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),3,mg/l,WCTMP,9/16/1998,Actual
,,,,,,Total Conductivity (Lab),468,umhos/cm      ,WCMP,9/13/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),5.8,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total pH (Field),7.7,pH            ,WCMP,9/13/2010,Actual
,,,,,,Total Temperature of Water,20.5,° C           ,WCMP,9/13/2010,Actual
,,,,,,Total Total Ammonia,0.52,mg/L,WCMP,9/13/2010,Actual
,,,,,,Total Total Calcium,36.6,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total Total Nitrite,0.016,mg/L,WCMP,9/13/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.105,mg/L,WCMP,9/13/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.91,mg/L,WCMP,9/13/2010,Actual
,,,,,,Total pH (Lab),7.75,pH            ,WCMP,9/13/2010,Actual
,,,,,,Total Total Alkalinity,86,mg CaCO3/L,WCMP,9/13/2010,Actual
,,,,,,Total Total Dissolved Solids,300,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total Total Organic Carbon,2.5,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.058,mg/L,WCMP,9/13/2010,Actual
,,,,,,Total Total Potassium,6.1,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total Total Suspended Solids,14,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total Chloride                                ,64,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total Hardness Ca2CO3,133,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.9,mg/L,WCMP,9/13/2010,Actual
,,,,,,Total Total Magnesium,10.1,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total Total Nitrate,0.89,mg/L,WCMP,9/13/2010,Actual
,,,,,,Total Total Sodium,33.4,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total Total Sulfate,24,mg/L          ,WCMP,9/13/2010,Actual
,,,,,,Total Conductivity (Field),461,umhos/cm      ,WCMP,9/13/2010,Actual
,,,,,,Total Turbidity                               ,12,NTU           ,WCMP,9/13/2010,Actual
,,,,,,Total Calcium,45,mg/l,WCTMP,9/13/2000,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.105,mg/l,WCTMP,9/13/2000
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.71,mg/l,WCTMP,9/13/2000
,,,,,,Total Phosphorus,0.162,mg/l,WCTMP,9/13/2000,Actual
,,,,,,Total Total Organic Carbon (TOC),8,mg/l,WCTMP,9/13/2000,Actual
,,,,,,Dissolved Dissolved Solids,310,mg/l,WCTMP,9/13/2000,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,103,mg/l
,,,,,,Total Hardness, carbonate,149,mg/l,WCTMP,9/13/2000
,,,,,,Total Lead,3.17,ug/l,WCTMP,9/13/2000,Actual
,,,,,,Total Mercury,6.19,ng/l,WCTMP,9/13/2000,Actual
,,,,,,Total Nickel,3.55,ug/l,WCTMP,9/13/2000,Actual
,,,,,,Total pH,7.56,,WCTMP,9/13/2000,Actual
,,,,,,Total Turbidity,42,mg/l,WCTMP,9/13/2000,Actual
,,,,,,Total Zinc,14.3,ug/l,WCTMP,9/13/2000,Actual
,,,,,,Total Chloride,57,mg/l,WCTMP,9/13/2000,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.038,mg/l,WCTMP,9/13/2000
,,,,,,Total Specific conductivity,472,umho/cm,WCTMP,9/13/2000,Actual
,,,,,, Temperature, water,20.8,deg C,WCTMP,9/13/2000
,,,,,,Total Cadmium,0.08,ug/l,WCTMP,9/13/2000,Actual
,,,,,,Total Chromium,2.57,ug/l,WCTMP,9/13/2000,Actual
,,,,,,Total Copper,5.09,ug/l,WCTMP,9/13/2000,Actual
,,,,,,Total Magnesium,9,mg/l,WCTMP,9/13/2000,Actual
,,,,,,Total Nitrogen, Kjeldahl,1,mg/l,WCTMP,9/13/2000
,,,,,,Total Phosphorus, orthophosphate as P,0.068,mg/l,WCTMP,9/13/2000
,,,,,,Total Sulfate (SO4) as SO4,23,mg/l,WCTMP,9/13/2000,Actual
,,,,,,Total Total Suspended Solids (TSS),23,mg/l,WCTMP,9/13/2000,Actual
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),81,mg/l,WCTMP,9/1/2005
,,,,,,Total Calcium,*Non-detect,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Calcium,36.5,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Chromium,0.998,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.5,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, Kjeldahl,0.52,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,*Non-detect,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.54,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,*Non-detect,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.023,mg/l,WCTMP,9/1/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.033,mg/l,WCTMP,9/1/2005
,,,,,,Total Potassium,7.4,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Zinc,9.15,ug/l,WCTMP,9/1/2005,Actual
,,,,,, Temperature, water,28.1,deg C,WCTMP,9/1/2005
,,,,,,Dissolved Dissolved Solids,300,mg/l,WCTMP,9/1/2005,Calculated
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,84,mg/l,WCTMP,9/1/2005
,,,,,,Total Cadmium,0.048,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Lead,2.13,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Mercury in Water,3.18,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.55,mg/l,WCTMP,9/1/2005
,,,,,,Total Phosphorus,0.059,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,*Non-detect,mg/l,WCTMP,9/1/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.032,mg/l,WCTMP,9/1/2005
,,,,,,Total Total Organic Carbon (TOC),2.7,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),*Non-detect,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Turbidity,13,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Dissolved Dissolved Solids,*Non-detect,mg/l,WCTMP,9/1/2005,Calculated
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,*Non-detect,mg/l,WCTMP,9/1/2005
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,81,mg/l,WCTMP,9/1/2005
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,9/1/2005
,,,,,,Total Chloride,*Non-detect,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Chloride,64,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Hardness, carbonate,*Non-detect,mg/l,WCTMP,9/1/2005
,,,,,,Total Hardness, carbonate,135,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,*Non-detect,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.154,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.53,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.001,mg/l,WCTMP,9/1/2005
