#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 10 00 50 264  3.5  4.3  0.25  4.76  4.12  24 1011.9   5.2   2.8 999.0 99.0 99.00
2009 05 10 01 50 313  4.3  5.2  0.22 99.00  4.24 999 1013.1   5.1   2.8 999.0 99.0 99.00
2009 05 10 02 50 299  4.2  4.9  0.23 99.00  4.28 999 1014.1   4.2   2.8 999.0 99.0 99.00
2009 05 10 03 50 318  3.4  3.9  0.46  4.55  4.46  24 1014.6   4.1   2.8 999.0 99.0 99.00
2009 05 10 04 50 279  3.5  5.2  0.42  5.26  4.41   5 1015.0   4.2   2.8 999.0 99.0 99.00
2009 05 10 05 50 283  4.6  5.4  0.42  5.56  5.03  12 1015.4   4.0   2.8 999.0 99.0 99.00
2009 05 10 06 50 304  3.0  3.6  0.48  5.56  4.54  14 1015.8   3.7   2.8 999.0 99.0 99.00
2009 05 10 07 50 326  4.8  5.9  0.48  5.00  4.27 327 1016.2   3.2   2.8 999.0 99.0 99.00
2009 05 10 08 50 321  5.3  6.3  0.54  5.56  4.54  25 1016.2   3.1   2.8 999.0 99.0 99.00
2009 05 10 09 50 305  5.7  6.5  0.55  5.88  4.44  24 1016.8   3.2   2.7 999.0 99.0 99.00
2009 05 10 10 50 297  4.1  4.9  0.52  5.26  4.29  13 1017.3   3.1   2.7 999.0 99.0 99.00
2009 05 10 11 50 297  5.0  6.1  0.63  8.33  4.85 170 1018.0   3.2   2.7 999.0 99.0 99.00
2009 05 10 12 50 301  4.8  6.0  0.47  5.56  4.26   9 1018.6   3.2   2.8 999.0 99.0 99.00
2009 05 10 13 50 300  5.6  6.5  0.46  5.88  4.27  12 1018.8   3.2   2.8 999.0 99.0 99.00
2009 05 10 14 50 300  4.4  5.0  0.44  5.88  4.30  10 1019.2   3.2   2.8 999.0 99.0 99.00
2009 05 10 15 50 281  3.7  4.2  0.33  6.67  4.44 168 1019.6   3.2   2.8 999.0 99.0 99.00
2009 05 10 16 50 258  3.8  4.2  0.38 10.00  4.95 139 1020.2   3.3   2.9 999.0 99.0 99.00
2009 05 10 17 50 233  1.8  2.1  0.27  5.56  4.27 354 1020.3   3.5   2.9 999.0 99.0 99.00
2009 05 10 18 50 216  2.5  3.0  0.23 99.00  4.58 999 1020.1   3.5   3.0 999.0 99.0 99.00
2009 05 10 19 50 154  0.8  1.1  0.14 99.00  4.23 999 1020.2   3.5   3.1 999.0 99.0 99.00
2009 05 10 20 50 194  2.0  2.4  0.11 99.00  4.17 999 1020.4   3.7   3.2 999.0 99.0 99.00
2009 05 10 21 50 206  0.8  1.2  0.07 99.00  4.28 999 1020.7   4.2   3.1 999.0 99.0 99.00
2009 05 10 22 50 169  2.0  2.8  0.09 99.00  5.70 999 1020.8   3.9   3.0 999.0 99.0 99.00
2009 05 10 23 50 164  1.9  2.6  0.03 99.00  4.23 999 1020.7   3.2   3.0 999.0 99.0 99.00
2009 05 11 00 50 146  1.2  1.4  0.01 99.00  4.31 999 1020.5   3.1   2.9 999.0 99.0 99.00
2009 05 11 01 50 145  0.5  0.8  0.00 99.00  4.76 999 1021.0   2.9   2.8 999.0 99.0 99.00
