,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
32,2012-04-17,0.098,MILLIGRAM PER LITER,0.007,MILLIGRAM PER LITER,,,,,0.059,MILLIGRAM PER LITER,0.99,MILLIGRAM PER LITER,2.26,MILLIGRAM PER LITER,,,57.5,MILLIGRAM PER LITER
33,2012-05-28,0.36,MILLIGRAM PER LITER,0.0979,MILLIGRAM PER LITER,,,,,0.193,MILLIGRAM PER LITER,1.67,MILLIGRAM PER LITER,3.25,MILLIGRAM PER LITER,,,62.0,MILLIGRAM PER LITER
34,2012-06-18,0.295,MILLIGRAM PER LITER,0.129,MILLIGRAM PER LITER,,,,,0.089,MILLIGRAM PER LITER,0.76,MILLIGRAM PER LITER,9.41,MILLIGRAM PER LITER,,,69.6,MILLIGRAM PER LITER
35,2012-07-30,0.24,MILLIGRAM PER LITER,0.127,MILLIGRAM PER LITER,,,,,0.028,MILLIGRAM PER LITER,0.66,MILLIGRAM PER LITER,4.65,MILLIGRAM PER LITER,,,66.9,MILLIGRAM PER LITER
36,2012-08-20,0.165,MILLIGRAM PER LITER,0.124,MILLIGRAM PER LITER,,,,,0.052,MILLIGRAM PER LITER,0.875,MILLIGRAM PER LITER,4.99,MILLIGRAM PER LITER,,,68.9,MILLIGRAM PER LITER
37,2012-09-17,0.19,MILLIGRAM PER LITER,0.105,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.88,MILLIGRAM PER LITER,6.06,MILLIGRAM PER LITER,,,69.8,MILLIGRAM PER LITER
38,2012-10-22,0.15,MILLIGRAM PER LITER,0.0683,MILLIGRAM PER LITER,,,,,0.025,MILLIGRAM PER LITER,0.8,MILLIGRAM PER LITER,2.46,MILLIGRAM PER LITER,,,56.3,MILLIGRAM PER LITER
39,2011-05-10,0.087,MILLIGRAM PER LITER,0.0307,MILLIGRAM PER LITER,,,,,0.087,MILLIGRAM PER LITER,0.67,MILLIGRAM PER LITER,4.53,MILLIGRAM PER LITER,,,58.8,MILLIGRAM PER LITER
40,2011-06-27,0.18,MILLIGRAM PER LITER,0.0907,MILLIGRAM PER LITER,,,,,0.063,MILLIGRAM PER LITER,1.05,MILLIGRAM PER LITER,6.43,MILLIGRAM PER LITER,,,53.8,MILLIGRAM PER LITER
41,2011-08-29,0.245,MILLIGRAM PER LITER,0.139,MILLIGRAM PER LITER,,,,,0.028,MILLIGRAM PER LITER,0.92,MILLIGRAM PER LITER,4.32,MILLIGRAM PER LITER,,,57.9,MILLIGRAM PER LITER
42,2011-09-20,0.23,MILLIGRAM PER LITER,0.155,MILLIGRAM PER LITER,,,,,0.071,MILLIGRAM PER LITER,1.05,MILLIGRAM PER LITER,4.02,MILLIGRAM PER LITER,,,63.8,MILLIGRAM PER LITER
43,2011-11-01,0.134,MILLIGRAM PER LITER,0.0863,MILLIGRAM PER LITER,,,,,0.052,MILLIGRAM PER LITER,0.77,MILLIGRAM PER LITER,5.06,MILLIGRAM PER LITER,,,49.3,MILLIGRAM PER LITER
44,2011-11-28,0.56,MILLIGRAM PER LITER,0.313,MILLIGRAM PER LITER,,,,,0.074,MILLIGRAM PER LITER,1.86,MILLIGRAM PER LITER,3.81,MILLIGRAM PER LITER,,,30.8,MILLIGRAM PER LITER
45,2010-04-21,0.048,MILLIGRAM PER LITER,0.0099,MILLIGRAM PER LITER,,,,,0.025,MILLIGRAM PER LITER,0.69,MILLIGRAM PER LITER,4.79,MILLIGRAM PER LITER,,,73.7,MILLIGRAM PER LITER
46,2010-05-25,0.095,MILLIGRAM PER LITER,0.0128,MILLIGRAM PER LITER,,,,,0.032,MILLIGRAM PER LITER,0.77,MILLIGRAM PER LITER,,,,,68.8,MILLIGRAM PER LITER
47,2010-03-22,0.065,MILLIGRAM PER LITER,0.0245,MILLIGRAM PER LITER,,,,,0.12,MILLIGRAM PER LITER,0.59,MILLIGRAM PER LITER,5.91,MILLIGRAM PER LITER,,,66.3,MILLIGRAM PER LITER
48,2010-06-23,0.142,MILLIGRAM PER LITER,0.0521,MILLIGRAM PER LITER,,,,,0.022,MILLIGRAM PER LITER,0.74,MILLIGRAM PER LITER,6.27,MILLIGRAM PER LITER,,,75.9,MILLIGRAM PER LITER
49,2010-07-21,0.21,MILLIGRAM PER LITER,0.186,MILLIGRAM PER LITER,,,,,0.047,MILLIGRAM PER LITER,2.95,MILLIGRAM PER LITER,4.8,MILLIGRAM PER LITER,,,62.1,MILLIGRAM PER LITER
50,2010-10-20,0.161,MILLIGRAM PER LITER,0.0969,MILLIGRAM PER LITER,,,,,0.014,MILLIGRAM PER LITER,0.69,MILLIGRAM PER LITER,4.75,MILLIGRAM PER LITER,,,91.4,MILLIGRAM PER LITER
51,2010-11-29,0.215,MILLIGRAM PER LITER,0.14,MILLIGRAM PER LITER,,,,,0.047,MILLIGRAM PER LITER,1.15,MILLIGRAM PER LITER,6.98,MILLIGRAM PER LITER,,,58.2,MILLIGRAM PER LITER
52,2009-04-08,0.145,MILLIGRAM PER LITER,0.0443,MILLIGRAM PER LITER,,,,,0.029,MILLIGRAM PER LITER,1.0,MILLIGRAM PER LITER,5.53,MILLIGRAM PER LITER,,,50.9,MILLIGRAM PER LITER
53,2009-07-09,0.143,MILLIGRAM PER LITER,0.0238,MILLIGRAM PER LITER,,,,,0.022,MILLIGRAM PER LITER,0.89,MILLIGRAM PER LITER,6.92,MILLIGRAM PER LITER,,,67.1,MILLIGRAM PER LITER
54,2009-08-18,0.171,MILLIGRAM PER LITER,0.0603,MILLIGRAM PER LITER,,,,,0.015,MILLIGRAM PER LITER,0.9,MILLIGRAM PER LITER,4.85,MILLIGRAM PER LITER,,,70.3,MILLIGRAM PER LITER
55,2009-09-15,0.165,MILLIGRAM PER LITER,0.0116,MILLIGRAM PER LITER,,,,,0.046,MILLIGRAM PER LITER,1.6,MILLIGRAM PER LITER,8.24,MILLIGRAM PER LITER,,,86.5,MILLIGRAM PER LITER
56,2009-10-21,0.123,MILLIGRAM PER LITER,0.0615,MILLIGRAM PER LITER,,,,,0.045,MILLIGRAM PER LITER,0.7,MILLIGRAM PER LITER,6.36,MILLIGRAM PER LITER,,,67.3,MILLIGRAM PER LITER
57,2009-11-18,0.044,MILLIGRAM PER LITER,0.0166,MILLIGRAM PER LITER,,,,,0.018,MILLIGRAM PER LITER,0.55,MILLIGRAM PER LITER,6.06,MILLIGRAM PER LITER,,,72.0,MILLIGRAM PER LITER
