,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
38,2014-06-02,0.12,MILLIGRAM PER LITER,0.034,MILLIGRAM PER LITER,1.93,MILLIGRAM PER LITER,,,0.073,MILLIGRAM PER LITER,0.93,MILLIGRAM PER LITER,1.13,MILLIGRAM PER LITER,,,233.0,MILLIGRAM PER LITER
39,2014-06-30,0.121,MILLIGRAM PER LITER,0.0369,MILLIGRAM PER LITER,1.21,MILLIGRAM PER LITER,,,0.046,MILLIGRAM PER LITER,0.57,MILLIGRAM PER LITER,0.639,MILLIGRAM PER LITER,,,148.0,MILLIGRAM PER LITER
40,2014-09-09,0.078,MILLIGRAM PER LITER,0.0395,MILLIGRAM PER LITER,0.91,MILLIGRAM PER LITER,,,0.019,MILLIGRAM PER LITER,0.47,MILLIGRAM PER LITER,0.54,MILLIGRAM PER LITER,,,170.0,MILLIGRAM PER LITER
41,2013-04-15,0.041,MILLIGRAM PER LITER,0.0195,MILLIGRAM PER LITER,,,,,0.039,MILLIGRAM PER LITER,0.1,MILLIGRAM PER LITER,1.97,MILLIGRAM PER LITER,,,253.0,MILLIGRAM PER LITER
42,2013-05-14,0.103,MILLIGRAM PER LITER,0.0091,MILLIGRAM PER LITER,,,,,0.046,MILLIGRAM PER LITER,0.78,MILLIGRAM PER LITER,0.92,MILLIGRAM PER LITER,,,279.0,MILLIGRAM PER LITER
43,2013-06-11,0.164,MILLIGRAM PER LITER,0.0479,MILLIGRAM PER LITER,,,,,0.048,MILLIGRAM PER LITER,0.74,MILLIGRAM PER LITER,1.12,MILLIGRAM PER LITER,,,99.6,MILLIGRAM PER LITER
44,2013-07-09,0.132,MILLIGRAM PER LITER,0.0511,MILLIGRAM PER LITER,,,,,0.037,MILLIGRAM PER LITER,0.69,MILLIGRAM PER LITER,1.2,MILLIGRAM PER LITER,,,82.4,MILLIGRAM PER LITER
45,2013-08-20,0.061,MILLIGRAM PER LITER,0.0287,MILLIGRAM PER LITER,1.31,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,0.57,MILLIGRAM PER LITER,0.692,MILLIGRAM PER LITER,,,155.0,MILLIGRAM PER LITER
46,2013-09-24,0.073,MILLIGRAM PER LITER,0.0299,MILLIGRAM PER LITER,1.76,MILLIGRAM PER LITER,,,0.028,MILLIGRAM PER LITER,1.02,MILLIGRAM PER LITER,0.934,MILLIGRAM PER LITER,,,175.0,MILLIGRAM PER LITER
47,2012-03-26,0.126,MILLIGRAM PER LITER,0.0247,MILLIGRAM PER LITER,,,,,0.078,MILLIGRAM PER LITER,1.39,MILLIGRAM PER LITER,1.11,MILLIGRAM PER LITER,,,251.0,MILLIGRAM PER LITER
48,2012-04-30,0.067,MILLIGRAM PER LITER,0.0367,MILLIGRAM PER LITER,,,,,0.032,MILLIGRAM PER LITER,0.57,MILLIGRAM PER LITER,0.828,MILLIGRAM PER LITER,,,143.0,MILLIGRAM PER LITER
49,2012-06-05,0.123,MILLIGRAM PER LITER,0.0402,MILLIGRAM PER LITER,,,,,0.075,MILLIGRAM PER LITER,1.3,MILLIGRAM PER LITER,0.414,MILLIGRAM PER LITER,,,187.0,MILLIGRAM PER LITER
50,2012-07-16,0.104,MILLIGRAM PER LITER,0.0108,MILLIGRAM PER LITER,,,,,0.003,MILLIGRAM PER LITER,0.91,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,196.0,MILLIGRAM PER LITER
51,2012-08-13,0.091,MILLIGRAM PER LITER,0.0182,MILLIGRAM PER LITER,,,,,0.087,MILLIGRAM PER LITER,1.02,MILLIGRAM PER LITER,0.627,MILLIGRAM PER LITER,,,108.0,MILLIGRAM PER LITER
52,2012-09-10,0.142,MILLIGRAM PER LITER,0.0311,MILLIGRAM PER LITER,,,,,0.071,MILLIGRAM PER LITER,1.09,MILLIGRAM PER LITER,0.578,MILLIGRAM PER LITER,,,101.0,MILLIGRAM PER LITER
53,2012-10-23,0.068,MILLIGRAM PER LITER,0.0565,MILLIGRAM PER LITER,,,,,0.057,MILLIGRAM PER LITER,0.16,MILLIGRAM PER LITER,0.892,MILLIGRAM PER LITER,,,94.8,MILLIGRAM PER LITER
54,2012-11-13,0.084,MILLIGRAM PER LITER,,,,,,,0.218,MILLIGRAM PER LITER,0.54,MILLIGRAM PER LITER,1.59,MILLIGRAM PER LITER,,,95.9,MILLIGRAM PER LITER
55,2011-05-18,0.098,MILLIGRAM PER LITER,0.0329,MILLIGRAM PER LITER,,,,,0.034,MILLIGRAM PER LITER,0.98,MILLIGRAM PER LITER,0.97,MILLIGRAM PER LITER,,,109.0,MILLIGRAM PER LITER
56,2011-06-06,0.195,MILLIGRAM PER LITER,0.0192,MILLIGRAM PER LITER,,,,,0.038,MILLIGRAM PER LITER,2.3,MILLIGRAM PER LITER,0.692,MILLIGRAM PER LITER,,,263.0,MILLIGRAM PER LITER
57,2011-07-25,0.167,MILLIGRAM PER LITER,0.026,MILLIGRAM PER LITER,,,,,0.05,MILLIGRAM PER LITER,1.18,MILLIGRAM PER LITER,0.804,MILLIGRAM PER LITER,,,89.7,MILLIGRAM PER LITER
58,2011-09-20,0.145,MILLIGRAM PER LITER,0.0772,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,1.33,MILLIGRAM PER LITER,,,64.4,MILLIGRAM PER LITER
59,2011-08-22,0.089,MILLIGRAM PER LITER,0.0275,MILLIGRAM PER LITER,,,,,0.042,MILLIGRAM PER LITER,0.84,MILLIGRAM PER LITER,1.22,MILLIGRAM PER LITER,,,138.0,MILLIGRAM PER LITER
60,2011-11-21,0.059,MILLIGRAM PER LITER,0.0216,MILLIGRAM PER LITER,,,,,0.022,MILLIGRAM PER LITER,0.65,MILLIGRAM PER LITER,1.02,MILLIGRAM PER LITER,,,152.0,MILLIGRAM PER LITER
61,2011-10-25,0.098,MILLIGRAM PER LITER,0.034,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.76,MILLIGRAM PER LITER,1.2,MILLIGRAM PER LITER,,,118.0,MILLIGRAM PER LITER
62,2010-05-17,0.108,MILLIGRAM PER LITER,0.0351,MILLIGRAM PER LITER,,,,,0.041,MILLIGRAM PER LITER,1.03,MILLIGRAM PER LITER,,,,,229.0,MILLIGRAM PER LITER
63,2010-04-20,0.099,MILLIGRAM PER LITER,0.0381,MILLIGRAM PER LITER,,,,,0.025,MILLIGRAM PER LITER,0.72,MILLIGRAM PER LITER,0.655,MILLIGRAM PER LITER,,,437.0,MILLIGRAM PER LITER
64,2010-06-15,0.11,MILLIGRAM PER LITER,0.0087,MILLIGRAM PER LITER,,,,,0.064,MILLIGRAM PER LITER,1.05,MILLIGRAM PER LITER,0.801,MILLIGRAM PER LITER,,,254.0,MILLIGRAM PER LITER
65,2010-07-29,0.138,MILLIGRAM PER LITER,0.0535,MILLIGRAM PER LITER,,,,,0.047,MILLIGRAM PER LITER,0.84,MILLIGRAM PER LITER,0.624,MILLIGRAM PER LITER,,,72.4,MILLIGRAM PER LITER
66,2010-10-07,0.114,MILLIGRAM PER LITER,0.0234,MILLIGRAM PER LITER,,,,,0.04,MILLIGRAM PER LITER,0.98,MILLIGRAM PER LITER,1.25,MILLIGRAM PER LITER,,,245.0,MILLIGRAM PER LITER
67,2009-05-26,0.046,MILLIGRAM PER LITER,0.0064,MILLIGRAM PER LITER,,,,,0.045,MILLIGRAM PER LITER,0.51,MILLIGRAM PER LITER,0.734,MILLIGRAM PER LITER,,,249.0,MILLIGRAM PER LITER
68,2009-06-24,0.098,MILLIGRAM PER LITER,0.0671,MILLIGRAM PER LITER,,,,,0.048,MILLIGRAM PER LITER,0.78,MILLIGRAM PER LITER,1.04,MILLIGRAM PER LITER,,,76.6,MILLIGRAM PER LITER
69,2009-07-27,0.106,MILLIGRAM PER LITER,0.0075,MILLIGRAM PER LITER,,,,,0.035,MILLIGRAM PER LITER,0.89,MILLIGRAM PER LITER,0.385,MILLIGRAM PER LITER,,,145.0,MILLIGRAM PER LITER
