,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
29,2014-08-26,0.043,MILLIGRAM PER LITER,0.0248,MILLIGRAM PER LITER,0.69,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,0.59,MILLIGRAM PER LITER,0.093,MILLIGRAM PER LITER,1.16,MILLIGRAM PER LITER,59.9,MILLIGRAM PER LITER
30,2014-09-30,0.089,MILLIGRAM PER LITER,0.0588,MILLIGRAM PER LITER,3.24,MILLIGRAM PER LITER,,,0.019,MILLIGRAM PER LITER,0.69,MILLIGRAM PER LITER,2.56,MILLIGRAM PER LITER,4.24,MILLIGRAM PER LITER,33.7,MILLIGRAM PER LITER
31,2014-10-28,0.057,MILLIGRAM PER LITER,0.0467,MILLIGRAM PER LITER,3.42,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,0.98,MILLIGRAM PER LITER,2.75,MILLIGRAM PER LITER,3.8,MILLIGRAM PER LITER,38.0,MILLIGRAM PER LITER
32,2014-11-25,0.356,MILLIGRAM PER LITER,0.202,MILLIGRAM PER LITER,6.53,MILLIGRAM PER LITER,,,0.071,MILLIGRAM PER LITER,1.23,MILLIGRAM PER LITER,5.72,MILLIGRAM PER LITER,2.92,MILLIGRAM PER LITER,36.6,MILLIGRAM PER LITER
33,2013-04-30,0.173,MILLIGRAM PER LITER,0.13,MILLIGRAM PER LITER,,,,,0.058,MILLIGRAM PER LITER,1.37,MILLIGRAM PER LITER,4.91,MILLIGRAM PER LITER,2.68,MILLIGRAM PER LITER,24.2,MILLIGRAM PER LITER
34,2013-05-28,0.066,MILLIGRAM PER LITER,0.0275,MILLIGRAM PER LITER,,,,,0.011,MILLIGRAM PER LITER,0.74,MILLIGRAM PER LITER,0.642,MILLIGRAM PER LITER,0.16,MILLIGRAM PER LITER,48.4,MILLIGRAM PER LITER
35,2013-06-25,0.117,MILLIGRAM PER LITER,0.0418,MILLIGRAM PER LITER,,,,,0.026,MILLIGRAM PER LITER,1.09,MILLIGRAM PER LITER,1.57,MILLIGRAM PER LITER,0.16,MILLIGRAM PER LITER,45.6,MILLIGRAM PER LITER
36,2013-08-07,0.115,MILLIGRAM PER LITER,0.0571,MILLIGRAM PER LITER,1.16,MILLIGRAM PER LITER,,,0.019,MILLIGRAM PER LITER,1.08,MILLIGRAM PER LITER,0.122,MILLIGRAM PER LITER,1.52,MILLIGRAM PER LITER,51.1,MILLIGRAM PER LITER
37,2013-08-27,0.148,MILLIGRAM PER LITER,0.0493,MILLIGRAM PER LITER,0.8,MILLIGRAM PER LITER,,,0.013,MILLIGRAM PER LITER,0.79,MILLIGRAM PER LITER,0.065,MILLIGRAM PER LITER,1.04,MILLIGRAM PER LITER,58.6,MILLIGRAM PER LITER
38,2013-10-01,0.114,MILLIGRAM PER LITER,0.0772,MILLIGRAM PER LITER,4.6,MILLIGRAM PER LITER,,,0.042,MILLIGRAM PER LITER,1.07,MILLIGRAM PER LITER,3.47,MILLIGRAM PER LITER,4.06,MILLIGRAM PER LITER,36.3,MILLIGRAM PER LITER
39,2013-10-29,0.049,MILLIGRAM PER LITER,0.0052,MILLIGRAM PER LITER,2.15,MILLIGRAM PER LITER,,,0.006,MILLIGRAM PER LITER,0.78,MILLIGRAM PER LITER,1.3,MILLIGRAM PER LITER,1.96,MILLIGRAM PER LITER,52.9,MILLIGRAM PER LITER
40,2013-11-26,0.198,MILLIGRAM PER LITER,0.138,MILLIGRAM PER LITER,7.1,MILLIGRAM PER LITER,,,0.036,MILLIGRAM PER LITER,1.03,MILLIGRAM PER LITER,6.33,MILLIGRAM PER LITER,3.74,MILLIGRAM PER LITER,32.9,MILLIGRAM PER LITER
41,2012-05-01,0.139,MILLIGRAM PER LITER,0.036,MILLIGRAM PER LITER,,,,,0.026,MILLIGRAM PER LITER,1.41,MILLIGRAM PER LITER,1.55,MILLIGRAM PER LITER,0.36,MILLIGRAM PER LITER,56.7,MILLIGRAM PER LITER
42,2012-05-29,0.167,MILLIGRAM PER LITER,0.0476,MILLIGRAM PER LITER,,,,,0.049,MILLIGRAM PER LITER,1.2,MILLIGRAM PER LITER,1.62,MILLIGRAM PER LITER,1.32,MILLIGRAM PER LITER,46.3,MILLIGRAM PER LITER
43,2012-06-26,0.26,MILLIGRAM PER LITER,0.0798,MILLIGRAM PER LITER,,,,,0.089,MILLIGRAM PER LITER,1.25,MILLIGRAM PER LITER,6.06,MILLIGRAM PER LITER,3.16,MILLIGRAM PER LITER,31.8,MILLIGRAM PER LITER
44,2012-07-31,0.171,MILLIGRAM PER LITER,0.0754,MILLIGRAM PER LITER,,,,,0.041,MILLIGRAM PER LITER,1.23,MILLIGRAM PER LITER,0.642,MILLIGRAM PER LITER,,,84.5,MILLIGRAM PER LITER
45,2012-08-28,0.141,MILLIGRAM PER LITER,0.0683,MILLIGRAM PER LITER,,,,,0.048,MILLIGRAM PER LITER,1.1,MILLIGRAM PER LITER,0.049,MILLIGRAM PER LITER,1.72,MILLIGRAM PER LITER,73.9,MILLIGRAM PER LITER
46,2012-10-30,0.099,MILLIGRAM PER LITER,0.376,MILLIGRAM PER LITER,,,,,0.143,MILLIGRAM PER LITER,0.82,MILLIGRAM PER LITER,5.68,MILLIGRAM PER LITER,2.36,MILLIGRAM PER LITER,44.0,MILLIGRAM PER LITER
47,2012-11-27,0.039,MILLIGRAM PER LITER,0.0178,MILLIGRAM PER LITER,,,,,0.026,MILLIGRAM PER LITER,1.0,MILLIGRAM PER LITER,5.31,MILLIGRAM PER LITER,2.52,MILLIGRAM PER LITER,58.2,MILLIGRAM PER LITER
48,2011-05-31,0.195,MILLIGRAM PER LITER,0.091,MILLIGRAM PER LITER,,,,,0.112,MILLIGRAM PER LITER,1.45,MILLIGRAM PER LITER,6.75,MILLIGRAM PER LITER,3.26,MILLIGRAM PER LITER,25.4,MILLIGRAM PER LITER
49,2011-07-26,0.16,MILLIGRAM PER LITER,0.0235,MILLIGRAM PER LITER,,,,,0.026,MILLIGRAM PER LITER,1.35,MILLIGRAM PER LITER,0.262,MILLIGRAM PER LITER,2.08,MILLIGRAM PER LITER,48.5,MILLIGRAM PER LITER
50,2011-04-26,0.5,MILLIGRAM PER LITER,0.0163,MILLIGRAM PER LITER,,,,,0.087,MILLIGRAM PER LITER,1.85,MILLIGRAM PER LITER,4.39,MILLIGRAM PER LITER,2.72,MILLIGRAM PER LITER,19.8,MILLIGRAM PER LITER
51,2011-09-27,0.26,MILLIGRAM PER LITER,0.0651,MILLIGRAM PER LITER,,,,,0.02,MILLIGRAM PER LITER,1.68,MILLIGRAM PER LITER,2.83,MILLIGRAM PER LITER,2.92,MILLIGRAM PER LITER,48.8,MILLIGRAM PER LITER
52,2011-11-01,0.107,MILLIGRAM PER LITER,0.0566,MILLIGRAM PER LITER,,,,,0.021,MILLIGRAM PER LITER,0.79,MILLIGRAM PER LITER,4.41,MILLIGRAM PER LITER,3.76,MILLIGRAM PER LITER,33.0,MILLIGRAM PER LITER
53,2011-08-30,0.185,MILLIGRAM PER LITER,0.0942,MILLIGRAM PER LITER,,,,,0.026,MILLIGRAM PER LITER,1.5,MILLIGRAM PER LITER,0.906,MILLIGRAM PER LITER,2.92,MILLIGRAM PER LITER,48.8,MILLIGRAM PER LITER
54,2010-04-28,0.062,MILLIGRAM PER LITER,0.0106,MILLIGRAM PER LITER,,,,,0.022,MILLIGRAM PER LITER,0.77,MILLIGRAM PER LITER,,,0.22,MILLIGRAM PER LITER,53.7,MILLIGRAM PER LITER
55,2010-05-25,0.128,MILLIGRAM PER LITER,0.0164,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,1.38,MILLIGRAM PER LITER,,,,,35.8,MILLIGRAM PER LITER
56,2010-06-21,0.133,MILLIGRAM PER LITER,0.0147,MILLIGRAM PER LITER,,,,,0.024,MILLIGRAM PER LITER,1.23,MILLIGRAM PER LITER,4.46,MILLIGRAM PER LITER,2.42,MILLIGRAM PER LITER,37.0,MILLIGRAM PER LITER
57,2010-07-27,0.2,MILLIGRAM PER LITER,0.0857,MILLIGRAM PER LITER,,,,,0.04,MILLIGRAM PER LITER,1.25,MILLIGRAM PER LITER,2.5,MILLIGRAM PER LITER,3.88,MILLIGRAM PER LITER,34.0,MILLIGRAM PER LITER
58,2010-08-31,0.03,MILLIGRAM PER LITER,0.0167,MILLIGRAM PER LITER,,,,,0.013,MILLIGRAM PER LITER,0.22,MILLIGRAM PER LITER,0.028,MILLIGRAM PER LITER,1.28,MILLIGRAM PER LITER,59.1,MILLIGRAM PER LITER
59,2010-09-28,0.113,MILLIGRAM PER LITER,0.0394,MILLIGRAM PER LITER,,,,,0.015,MILLIGRAM PER LITER,0.775,MILLIGRAM PER LITER,0.01,MILLIGRAM PER LITER,0.56,MILLIGRAM PER LITER,56.9,MILLIGRAM PER LITER
60,2010-10-26,0.15,MILLIGRAM PER LITER,0.0506,MILLIGRAM PER LITER,,,,,0.03,MILLIGRAM PER LITER,1.8,MILLIGRAM PER LITER,1.29,MILLIGRAM PER LITER,0.16,MILLIGRAM PER LITER,74.5,MILLIGRAM PER LITER
61,2009-04-14,0.095,MILLIGRAM PER LITER,0.0415,MILLIGRAM PER LITER,,,,,0.022,MILLIGRAM PER LITER,0.7,MILLIGRAM PER LITER,4.3,MILLIGRAM PER LITER,2.0,MILLIGRAM PER LITER,30.2,MILLIGRAM PER LITER
62,2009-05-20,0.16,MILLIGRAM PER LITER,0.0265,MILLIGRAM PER LITER,,,,,0.028,MILLIGRAM PER LITER,1.1,MILLIGRAM PER LITER,3.13,MILLIGRAM PER LITER,1.24,MILLIGRAM PER LITER,33.0,MILLIGRAM PER LITER
63,2009-06-16,0.163,MILLIGRAM PER LITER,0.0094,MILLIGRAM PER LITER,,,,,0.013,MILLIGRAM PER LITER,1.03,MILLIGRAM PER LITER,1.44,MILLIGRAM PER LITER,0.82,MILLIGRAM PER LITER,42.4,MILLIGRAM PER LITER
64,2009-07-14,0.193,MILLIGRAM PER LITER,0.0104,MILLIGRAM PER LITER,,,,,0.018,MILLIGRAM PER LITER,1.79,MILLIGRAM PER LITER,2.27,MILLIGRAM PER LITER,0.82,MILLIGRAM PER LITER,43.4,MILLIGRAM PER LITER
65,2009-08-18,0.2,MILLIGRAM PER LITER,0.0408,MILLIGRAM PER LITER,,,,,0.023,MILLIGRAM PER LITER,1.2,MILLIGRAM PER LITER,0.796,MILLIGRAM PER LITER,3.26,MILLIGRAM PER LITER,45.9,MILLIGRAM PER LITER
66,2009-09-15,0.17,MILLIGRAM PER LITER,0.0194,MILLIGRAM PER LITER,,,,,0.01,MILLIGRAM PER LITER,1.15,MILLIGRAM PER LITER,0.01,MILLIGRAM PER LITER,1.48,MILLIGRAM PER LITER,61.8,MILLIGRAM PER LITER
67,2009-10-13,0.16,MILLIGRAM PER LITER,0.0499,MILLIGRAM PER LITER,,,,,0.029,MILLIGRAM PER LITER,1.3,MILLIGRAM PER LITER,3.5,MILLIGRAM PER LITER,2.16,MILLIGRAM PER LITER,71.4,MILLIGRAM PER LITER
68,2008-04-30,0.075,MILLIGRAM PER LITER,0.0046,MILLIGRAM PER LITER,,,,,0.015,MILLIGRAM PER LITER,0.82,MILLIGRAM PER LITER,1.95,MILLIGRAM PER LITER,0.3,MILLIGRAM PER LITER,49.4,MILLIGRAM PER LITER
69,2008-05-27,0.062,MILLIGRAM PER LITER,0.0031,MILLIGRAM PER LITER,,,,,0.013,MILLIGRAM PER LITER,0.64,MILLIGRAM PER LITER,2.09,MILLIGRAM PER LITER,0.02,MILLIGRAM PER LITER,76.4,MILLIGRAM PER LITER
70,2008-06-24,0.615,MILLIGRAM PER LITER,0.396,MILLIGRAM PER LITER,,,,,0.077,MILLIGRAM PER LITER,2.25,MILLIGRAM PER LITER,7.14,MILLIGRAM PER LITER,2.88,MILLIGRAM PER LITER,40.7,MILLIGRAM PER LITER
71,2008-07-30,0.203,MILLIGRAM PER LITER,0.0751,MILLIGRAM PER LITER,,,,,0.031,MILLIGRAM PER LITER,1.23,MILLIGRAM PER LITER,2.36,MILLIGRAM PER LITER,3.76,MILLIGRAM PER LITER,29.0,MILLIGRAM PER LITER
72,2008-10-02,0.26,MILLIGRAM PER LITER,,,,,,,0.034,MILLIGRAM PER LITER,1.1,MILLIGRAM PER LITER,2.26,MILLIGRAM PER LITER,3.96,MILLIGRAM PER LITER,40.4,MILLIGRAM PER LITER
73,2008-10-28,0.074,MILLIGRAM PER LITER,0.0152,MILLIGRAM PER LITER,,,,,0.009,MILLIGRAM PER LITER,0.92,MILLIGRAM PER LITER,1.85,MILLIGRAM PER LITER,,,55.3,MILLIGRAM PER LITER
74,2008-11-25,0.171,MILLIGRAM PER LITER,0.137,MILLIGRAM PER LITER,,,,,0.031,MILLIGRAM PER LITER,1.02,MILLIGRAM PER LITER,4.99,MILLIGRAM PER LITER,3.42,MILLIGRAM PER LITER,29.9,MILLIGRAM PER LITER
75,2007-04-17,0.149,MILLIGRAM PER LITER,0.05,MILLIGRAM PER LITER,,,,,0.03,MILLIGRAM PER LITER,1.11,MILLIGRAM PER LITER,4.52,MILLIGRAM PER LITER,1.54,MILLIGRAM PER LITER,49.1,MILLIGRAM PER LITER
76,2007-05-23,0.174,MILLIGRAM PER LITER,0.0685,MILLIGRAM PER LITER,,,,,0.066,MILLIGRAM PER LITER,1.29,MILLIGRAM PER LITER,7.15,MILLIGRAM PER LITER,2.28,MILLIGRAM PER LITER,41.0,MILLIGRAM PER LITER
