#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,deg T,hPa,degC,degC,degC,nmi,ft
2012,8,19,141.65,3.06,NAN,0.1325,NAN,NAN,NAN,NAN,21.545,23.66,NAN,NAN,NAN
2012,8,20,80.90909091,2.313636364,NAN,0.167272727,NAN,NAN,NAN,NAN,22.2,23.67272727,NAN,NAN,NAN
2012,8,21,171.0769231,2.785714286,NAN,0.174285714,NAN,NAN,NAN,NAN,21.3,23.57619048,NAN,NAN,NAN
2012,8,22,NAN,2.754545455,NAN,0.125,NAN,NAN,NAN,NAN,22.34090909,23.79090909,NAN,NAN,NAN
2012,8,23,NAN,3.095454545,NAN,0.125909091,NAN,NAN,NAN,NAN,23.56818182,23.89090909,NAN,NAN,NAN
2012,8,24,NAN,3.476923077,NAN,0.112307692,NAN,NAN,NAN,NAN,24.13846154,23.91538462,NAN,NAN,NAN
2012,8,25,NAN,4.770588235,NAN,0.171764706,NAN,NAN,NAN,NAN,24.58823529,24.02352941,NAN,NAN,NAN
2012,8,26,NAN,5.535,NAN,0.2665,NAN,NAN,NAN,NAN,24.645,23.855,NAN,NAN,NAN
2012,8,27,NAN,4.395652174,NAN,0.265652174,NAN,NAN,NAN,NAN,22.96086957,23.66086957,NAN,NAN,NAN
2012,8,28,NAN,4.281818182,NAN,0.294090909,NAN,NAN,NAN,NAN,22.82272727,23.74545455,NAN,NAN,NAN
2012,8,29,NAN,4.447619048,NAN,0.444285714,NAN,NAN,NAN,NAN,21.7047619,23.73809524,NAN,NAN,NAN
2012,8,30,NAN,3.045454545,NAN,0.139545455,NAN,NAN,NAN,NAN,22.02727273,23.76363636,NAN,NAN,NAN
2012,8,31,NAN,6.561904762,NAN,0.46,NAN,NAN,NAN,NAN,24.6,23.61904762,NAN,NAN,NAN
2012,9,1,NAN,4.15,NAN,0.283636364,NAN,NAN,NAN,NAN,24.09090909,23.74090909,NAN,NAN,NAN
2012,9,2,NAN,4.413636364,NAN,0.265454545,NAN,NAN,NAN,NAN,23.32727273,23.71363636,NAN,NAN,NAN
2012,9,3,NAN,4.436363636,NAN,0.475909091,NAN,NAN,NAN,NAN,24.08181818,23.88636364,NAN,NAN,NAN
2012,9,4,NAN,4.577272727,NAN,0.192272727,NAN,NAN,NAN,NAN,23.85,23.87727273,NAN,NAN,NAN
2012,9,5,NAN,2.561904762,NAN,0.319047619,NAN,NAN,NAN,NAN,23.08095238,24.07619048,NAN,NAN,NAN
2012,9,6,NAN,3.555,NAN,0.198,NAN,NAN,NAN,NAN,24.735,24.375,NAN,NAN,NAN
2012,9,7,NAN,3.918181818,NAN,0.171818182,NAN,NAN,NAN,NAN,23.91363636,24.27272727,NAN,NAN,NAN
2012,9,8,NAN,8.554545455,NAN,0.836818182,NAN,NAN,NAN,NAN,20.36818182,23.77272727,NAN,NAN,NAN
2012,9,9,NAN,5.072727273,NAN,0.506818182,NAN,NAN,NAN,NAN,19.23636364,23.30454545,NAN,NAN,NAN
2012,9,10,NAN,7.5,NAN,0.695,NAN,NAN,NAN,NAN,19.45,23.1,NAN,NAN,NAN
2012,9,12,NAN,3.793333333,NAN,0.421333333,NAN,NAN,NAN,NAN,23.22666667,22.22666667,NAN,NAN,NAN
2012,9,13,NAN,4.273684211,NAN,0.218947368,NAN,NAN,NAN,NAN,23.55789474,22.86315789,NAN,NAN,NAN
2012,9,14,NAN,4.586666667,NAN,0.543333333,NAN,NAN,NAN,NAN,18.88461538,22.06,NAN,NAN,NAN
2012,9,15,NAN,4.628571429,NAN,0.367857143,NAN,NAN,NAN,NAN,19.06428571,22.32857143,NAN,NAN,NAN
2012,9,16,NAN,4.35,NAN,0.250714286,NAN,NAN,NAN,NAN,19.85,22.25714286,NAN,NAN,NAN
2012,9,17,NAN,5.03,NAN,0.204,NAN,NAN,NAN,NAN,21.01,22.11,NAN,NAN,NAN
2012,9,18,NAN,8.376470588,NAN,0.7,NAN,NAN,NAN,NAN,18.9,21.82352941,NAN,NAN,NAN
2012,9,19,NAN,6.476470588,NAN,0.796470588,NAN,NAN,NAN,NAN,15.14117647,21.2,NAN,NAN,NAN
2012,9,20,NAN,8.578947368,NAN,0.613157895,NAN,NAN,NAN,NAN,18.01052632,20.65263158,NAN,NAN,NAN
2012,9,21,NAN,5.369230769,NAN,0.408461538,NAN,NAN,NAN,NAN,19.46153846,20.22307692,NAN,NAN,NAN
2012,9,22,NAN,6.153333333,NAN,0.31,NAN,NAN,NAN,NAN,15.2,20.08666667,NAN,NAN,NAN
2012,9,23,NAN,7.44375,NAN,0.4925,NAN,NAN,NAN,NAN,13.95,19.7375,NAN,NAN,NAN
2012,9,24,NAN,6.85625,NAN,0.52875,NAN,NAN,NAN,NAN,13.8,19.425,NAN,NAN,NAN
2012,9,25,NAN,8.633333333,NAN,0.778888889,NAN,NAN,NAN,NAN,16.87777778,19.12222222,NAN,NAN,NAN
2012,9,26,NAN,7.24375,NAN,0.533125,NAN,NAN,NAN,NAN,17.95625,19,NAN,NAN,NAN
2012,9,27,NAN,7.121428571,NAN,0.647857143,NAN,NAN,NAN,NAN,16.77857143,18.90714286,NAN,NAN,NAN
2012,9,28,NAN,4.235714286,NAN,0.522142857,NAN,NAN,NAN,NAN,16.21428571,18.78571429,NAN,NAN,NAN
2012,9,29,NAN,2.86,NAN,0.201333333,NAN,NAN,NAN,NAN,16.62666667,18.81333333,NAN,NAN,NAN
2012,9,30,NAN,4.0875,NAN,0.214375,NAN,NAN,NAN,NAN,15.36875,18.73125,NAN,NAN,NAN
2012,10,1,NAN,3.9375,NAN,0.25,NAN,NAN,NAN,NAN,15.675,18.51875,NAN,NAN,NAN
2012,10,2,NAN,5.836363636,NAN,0.340909091,NAN,NAN,NAN,NAN,16.14545455,18.40909091,NAN,NAN,NAN
2012,10,3,NAN,8,NAN,0.32,NAN,NAN,NAN,NAN,18.1,18.4,NAN,NAN,NAN
2012,10,4,NAN,4.5,NAN,0.49,NAN,NAN,NAN,NAN,18.5,18.4,NAN,NAN,NAN
2012,10,6,NAN,6.8,NAN,1.57,NAN,NAN,NAN,NAN,13.3,18.3,NAN,NAN,NAN
2012,10,7,NAN,6.5,NAN,0.77,NAN,NAN,NAN,NAN,10.7,17.75,NAN,NAN,NAN
2012,10,8,NAN,1.5,NAN,0.3,NAN,NAN,NAN,NAN,9.9,17.5,NAN,NAN,NAN
2012,10,9,NAN,6.9,NAN,1.79,NAN,NAN,NAN,NAN,11.7,17.2,NAN,NAN,NAN
2012,10,10,NAN,8.3,NAN,1.51,NAN,NAN,NAN,NAN,14.6,16.9,NAN,NAN,NAN
2012,10,11,NAN,11.5,NAN,1.5,NAN,NAN,NAN,NAN,10.7,16.5,NAN,NAN,NAN
2012,10,12,NAN,9.5,NAN,1.1,NAN,NAN,NAN,NAN,14.9,16,NAN,NAN,NAN
2012,10,13,NAN,3.4,NAN,0.15,NAN,NAN,NAN,NAN,9.6,15.9,NAN,NAN,NAN
2012,10,14,NAN,8.5,NAN,1.25,NAN,NAN,NAN,NAN,16.4,15.5,NAN,NAN,NAN
2012,10,15,NAN,10.8,NAN,1.83,NAN,NAN,NAN,NAN,18.9,15.7,NAN,NAN,NAN
2012,10,16,NAN,9.3,NAN,0.42,NAN,NAN,NAN,NAN,12.3,15.5,NAN,NAN,NAN
2012,10,17,NAN,5.3,NAN,0.89,NAN,NAN,NAN,NAN,12.8,15.5,NAN,NAN,NAN
2012,10,18,NAN,4.5,NAN,1.5,NAN,NAN,NAN,NAN,17.6,15.2,NAN,NAN,NAN
2012,10,19,NAN,8.5,NAN,2.47,NAN,NAN,NAN,NAN,14.1,15,NAN,NAN,NAN
2012,10,20,NAN,11,NAN,0.4,NAN,NAN,NAN,NAN,11.2,14.8,NAN,NAN,NAN
2012,10,21,NAN,10,NAN,0.45,NAN,NAN,NAN,NAN,12.9,14.5,NAN,NAN,NAN
2012,10,22,NAN,1,NAN,0.38,NAN,NAN,NAN,NAN,13.1,14.5,NAN,NAN,NAN
2012,10,23,NAN,2.9,NAN,0.39,NAN,NAN,NAN,NAN,17.2,15,NAN,NAN,NAN
2012,10,24,NAN,2.6,NAN,0.45,NAN,NAN,NAN,NAN,15.9,14.6,NAN,NAN,NAN
2012,10,25,NAN,3.3,NAN,0.42,NAN,NAN,NAN,NAN,17.1,15.4,NAN,NAN,NAN
2012,10,26,NAN,4.7,NAN,0.14,NAN,NAN,NAN,NAN,18.2,15,NAN,NAN,NAN
2014,8,1,NAN,1.68,1.9,0.1575,2.2675,NAN,165.25,NAN,26,22.84,NAN,NAN,NAN
2014,8,2,NAN,3.069565217,4.2,0.273913043,2.566363636,NAN,205.9565217,NAN,22.1826087,22.0173913,NAN,NAN,NAN
2014,8,3,NAN,2.355555556,2.861111111,0.185555556,2.106363636,NAN,131.2222222,NAN,21.47777778,21.78888889,NAN,NAN,NAN
2014,8,5,NAN,3.67,4.26,0.42125,2.64,NAN,66.875,NAN,21.6,22.55,NAN,NAN,NAN
2014,8,6,NAN,3.3375,4.029166667,0.2825,2.31875,NAN,130.375,NAN,21.675,22.53333333,NAN,NAN,NAN
2014,8,7,NAN,4.183333333,5.061111111,0.411176471,2.505294118,NAN,81.29411765,NAN,22.06111111,22.51666667,NAN,NAN,NAN
2014,8,8,NAN,2.97826087,3.6,0.195652174,2.194666667,NAN,169.2173913,NAN,22.01304348,22.77391304,NAN,NAN,NAN
2014,8,9,NAN,6.145454545,7.236363636,0.505238095,2.647619048,NAN,86.0952381,NAN,21.62272727,22.37272727,NAN,NAN,NAN
2014,8,10,NAN,5.466666667,6.466666667,0.603333333,3.1175,NAN,78.45833333,NAN,22.47916667,22.28333333,NAN,NAN,NAN
2014,8,11,NAN,5.3,6.2375,0.67,3.215,NAN,79.5,NAN,22.5625,22.175,NAN,NAN,NAN
2014,8,12,286,5.575,6.45,0.455,2.68,NAN,282,NAN,22.025,22.225,NAN,NAN,NAN
2014,8,13,292.3333333,7.42173913,8.566666667,0.967,3.571818182,NAN,294.5,NAN,20.02380952,21.91428571,NAN,NAN,NAN
2014,8,14,285.35,5.23,6.48,0.7095,3.129,NAN,191.9,NAN,18.93,21.715,NAN,NAN,NAN
2014,8,15,296.2941176,4.95,5.888235294,0.513888889,2.74,NAN,289.1111111,NAN,18.6,21.51764706,NAN,NAN,NAN
2014,8,16,272,6.8,7.9,NAN,NAN,NAN,NAN,NAN,21.8,21.4,NAN,NAN,NAN
2014,8,17,228.5263158,4.542105263,5.405263158,0.488333333,2.785789474,NAN,178.7894737,NAN,20.48421053,21.54736842,NAN,NAN,NAN
2014,8,18,105.2727273,5.322727273,6.072727273,0.343636364,2.295454545,NAN,121.0909091,NAN,20.86363636,21.61363636,NAN,NAN,NAN
2014,8,19,NAN,9,NAN,0.225,2.525,NAN,90.5,NAN,NAN,NAN,NAN,NAN,NAN
2014,8,25,NAN,9,NAN,0.211428571,2.17,NAN,101.1428571,NAN,NAN,NAN,NAN,NAN,NAN
2014,8,26,NAN,9,NAN,0.3125,2.295,NAN,203.4166667,NAN,NAN,NAN,NAN,NAN,NAN
2014,8,27,NAN,9,NAN,0.396521739,2.515652174,NAN,152.9565217,NAN,NAN,NAN,NAN,NAN,NAN
2014,8,28,NAN,9,NAN,0.6375,3.002,NAN,75.65,NAN,NAN,NAN,NAN,NAN,NAN
2014,8,29,NAN,9,NAN,0.246956522,2.152222222,NAN,137,NAN,NAN,NAN,NAN,NAN,NAN
2014,8,30,NAN,9,NAN,0.440869565,2.603478261,NAN,185.6521739,NAN,NAN,NAN,NAN,NAN,NAN
2014,8,31,NAN,9,NAN,0.517391304,2.83,NAN,268.173913,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,1,NAN,9,NAN,0.411904762,2.587368421,NAN,229.9047619,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,2,NAN,9,NAN,0.70047619,3.1285,NAN,267.5238095,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,3,NAN,9,NAN,0.310434783,2.394,NAN,215.7391304,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,4,NAN,9,NAN,0.20625,2.17,NAN,154.9583333,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,5,NAN,9,NAN,0.359130435,2.431363636,NAN,224.5,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,6,NAN,9,NAN,0.639565217,2.973478261,NAN,152.9565217,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,7,NAN,9,NAN,0.394583333,2.5825,NAN,63.95833333,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,8,NAN,9,NAN,0.27,2.184210526,NAN,126.6666667,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,9,NAN,9,NAN,0.456521739,2.64,NAN,140.0434783,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,10,NAN,9,NAN,0.458095238,2.693125,NAN,147.047619,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,11,NAN,9,NAN,1.117894737,3.734736842,NAN,262.8421053,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,15,NAN,9,NAN,0.415,2.625,NAN,281,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,16,NAN,9,NAN,0.430909091,2.612727273,NAN,144.2727273,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,17,NAN,9,NAN,0.41,2.446,NAN,247.6190476,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,18,NAN,9,NAN,0.389090909,2.5385,NAN,130.5454545,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,19,NAN,9,NAN,0.473478261,2.822173913,NAN,58.69565217,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,20,NAN,9,NAN,0.620434783,2.924782609,NAN,184.5217391,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,21,NAN,9,NAN,1.08,3.543181818,NAN,269.5652174,NAN,NAN,NAN,NAN,NAN,NAN
2014,9,22,296.6666667,8.317647059,7,1.406470588,4.05875,NAN,147.3529412,NAN,13.6,19.2,NAN,NAN,NAN
2014,9,24,NAN,5.166666667,6,0.391666667,2.426666667,NAN,99.5,NAN,20.06666667,19.1,NAN,NAN,NAN
2014,9,25,NAN,5,5.766666667,0.415833333,2.519545455,NAN,83.58333333,NAN,18.76666667,18.83333333,NAN,NAN,NAN
2014,9,26,NAN,3.617391304,4.204347826,0.338695652,2.456956522,NAN,103.5652174,NAN,18.8173913,18.42173913,NAN,NAN,NAN
2014,9,27,NAN,4.013043478,4.586956522,0.296086957,2.274,NAN,111,NAN,18.83478261,18.52173913,NAN,NAN,NAN
2014,9,28,NAN,1.660869565,1.956521739,0.187826087,2.177,NAN,131.5652174,NAN,19.7173913,18.97826087,NAN,NAN,NAN
2014,9,29,NAN,1.069565217,1.37826087,0.155652174,2.250588235,NAN,120.2727273,NAN,20.25217391,19.53043478,NAN,NAN,NAN
2014,9,30,NAN,4.808333333,5.604166667,0.452916667,2.675714286,NAN,102.0833333,NAN,17.34583333,19.0375,NAN,NAN,NAN
2014,10,1,NAN,3.970833333,4.754166667,0.457916667,2.691304348,NAN,52.08333333,NAN,17.13333333,18.97083333,NAN,NAN,NAN
2014,10,2,NAN,3.975,4.608333333,0.417083333,2.718181818,NAN,77.04166667,NAN,19.01666667,19.0125,NAN,NAN,NAN
2014,10,3,NAN,6.547826087,9.769565217,0.747727273,3.022608696,NAN,170.7391304,NAN,19.76086957,18.8,NAN,NAN,NAN
2014,10,4,NAN,3.213043478,12.50434783,1.723478261,4.449130435,NAN,272.4347826,NAN,11.93913043,18.05217391,NAN,NAN,NAN
2014,10,5,NAN,4.372727273,11.69047619,1.599090909,4.255238095,NAN,263.9545455,NAN,11.11428571,17.21428571,NAN,NAN,NAN
2014,10,6,NAN,8.573684211,10.23684211,0.898333333,3.301578947,NAN,231.1578947,NAN,13.91052632,16.7,NAN,NAN,NAN
2014,10,7,NAN,7.16,8.36,0.614,2.872,NAN,228.6,NAN,15.52,16.6,NAN,NAN,NAN
2014,10,8,NAN,6.833333333,10.94166667,1.267619048,3.836956522,NAN,270.6956522,NAN,14.89583333,16.50833333,NAN,NAN,NAN
2014,10,9,NAN,7.247826087,8.52173913,1.005217391,3.502173913,NAN,279.8695652,NAN,14.36086957,16.25217391,NAN,NAN,NAN
2014,10,10,NAN,3.890909091,4.881818182,0.449545455,2.602380952,NAN,124.5909091,NAN,13.32272727,16.05454545,NAN,NAN,NAN
2014,10,11,NAN,5.295238095,6.628571429,0.56,2.82,NAN,74.61904762,NAN,12.46190476,15.94761905,NAN,NAN,NAN
2014,10,12,NAN,6.154545455,7.395454545,0.555909091,2.758181818,NAN,63.36363636,NAN,12.84090909,15.78181818,NAN,NAN,NAN
2014,10,13,NAN,5.556521739,6.465217391,0.53,2.761304348,NAN,128.0434783,NAN,16.88695652,15.80434783,NAN,NAN,NAN
2014,10,14,NAN,7.366666667,8.6625,0.623333333,2.813043478,NAN,167.8333333,NAN,19.07083333,15.85833333,NAN,NAN,NAN
2014,10,15,NAN,5.411111111,6.311111111,0.496666667,2.656666667,NAN,235.8888889,NAN,15.22222222,15.82222222,NAN,NAN,NAN
2015,7,16,NAN,6.425,NAN,NAN,NAN,NAN,NAN,NAN,19.325,21.675,NAN,NAN,NAN
2015,7,17,215.2,5.386363636,NAN,NAN,NAN,NAN,NAN,NAN,20.86818182,21.49545455,NAN,NAN,NAN
2015,7,18,234,3.825,NAN,NAN,NAN,NAN,NAN,NAN,22.39166667,22,NAN,NAN,NAN
2015,7,19,234,3.543478261,NAN,NAN,NAN,NAN,NAN,NAN,22.96521739,22.66086957,NAN,NAN,NAN
2015,7,20,283.9166667,3.795833333,NAN,NAN,NAN,NAN,NAN,NAN,21.78333333,22.87916667,NAN,NAN,NAN
2015,7,21,200,4.213043478,NAN,NAN,NAN,NAN,NAN,NAN,21.73478261,23.14782609,NAN,NAN,NAN
2015,7,22,192.1304348,3.982608696,NAN,NAN,NAN,NAN,NAN,NAN,20.85217391,22.89130435,NAN,NAN,NAN
2015,7,23,195.3478261,3.473913043,NAN,NAN,NAN,NAN,NAN,NAN,20.76086957,22.9,NAN,NAN,NAN
2015,7,24,253.3636364,3.609090909,NAN,NAN,NAN,NAN,NAN,NAN,22.28181818,22.94545455,NAN,NAN,NAN
2015,7,25,212.8095238,4.166666667,NAN,NAN,NAN,NAN,NAN,NAN,22.91428571,23.37619048,NAN,NAN,NAN
2015,7,26,117.9545455,4.181818182,NAN,NAN,NAN,NAN,NAN,NAN,22.56363636,23.67727273,NAN,NAN,NAN
2015,7,27,74.08695652,2.739130435,NAN,NAN,NAN,NAN,NAN,NAN,22.68695652,24.1173913,NAN,NAN,NAN
2015,7,28,78.81818182,3.722727273,NAN,NAN,NAN,NAN,NAN,NAN,23.37727273,24.60909091,NAN,NAN,NAN
2015,7,29,146.952381,2.123809524,NAN,NAN,NAN,NAN,NAN,NAN,24.76666667,24.78571429,NAN,NAN,NAN
2015,7,30,271.8181818,6.581818182,NAN,NAN,NAN,NAN,NAN,NAN,23.63181818,24.78636364,NAN,NAN,NAN
2015,7,31,261.9545455,6.327272727,NAN,NAN,NAN,NAN,NAN,NAN,23.45454545,24.36363636,NAN,NAN,NAN
2015,8,1,290.9130435,5.765217391,NAN,NAN,NAN,NAN,NAN,NAN,22.76086957,24.30434783,NAN,NAN,NAN
2015,8,2,248.3913043,5.556521739,NAN,NAN,NAN,NAN,NAN,NAN,23.36956522,24.32608696,NAN,NAN,NAN
2015,8,3,226.875,7.683333333,NAN,NAN,NAN,NAN,NAN,NAN,20.67083333,24.175,NAN,NAN,NAN
2015,8,4,282.3888889,6.116666667,NAN,NAN,NAN,NAN,NAN,NAN,22.02222222,23.95555556,NAN,NAN,NAN
2015,8,5,256.6956522,4.834782609,NAN,NAN,NAN,NAN,NAN,NAN,21.13478261,23.9173913,NAN,NAN,NAN
2015,8,6,88.08695652,5.443478261,NAN,NAN,NAN,NAN,NAN,NAN,19.63913043,23.85652174,NAN,NAN,NAN
2015,8,7,91.72727273,6.172727273,NAN,NAN,NAN,NAN,NAN,NAN,20.39090909,23.59090909,NAN,NAN,NAN
2015,8,8,99.86956522,4.404347826,NAN,NAN,NAN,NAN,NAN,NAN,21.65217391,23.55652174,NAN,NAN,NAN
2015,8,9,90.75,5.7875,NAN,NAN,NAN,NAN,NAN,NAN,21.475,23.55833333,NAN,NAN,NAN
2015,8,10,158.7826087,3.42173913,NAN,NAN,NAN,NAN,NAN,NAN,22.62173913,23.70869565,NAN,NAN,NAN
2015,8,11,227.3478261,5.682608696,NAN,NAN,NAN,NAN,NAN,NAN,20.82173913,23.80434783,NAN,NAN,NAN
2015,8,12,197.3636364,6.686363636,NAN,NAN,NAN,NAN,NAN,NAN,19.91818182,23.66363636,NAN,NAN,NAN
2015,8,13,231.826087,6.152173913,NAN,NAN,NAN,NAN,NAN,NAN,20.8826087,23.53043478,NAN,NAN,NAN
2015,8,14,223.826087,6.504347826,NAN,NAN,NAN,NAN,NAN,NAN,22.66956522,23.49565217,NAN,NAN,NAN
2015,8,15,248.2173913,3.756521739,NAN,NAN,NAN,NAN,NAN,NAN,21.77826087,23.63913043,NAN,NAN,NAN
2015,8,16,183.3478261,2.404347826,NAN,NAN,NAN,NAN,NAN,NAN,22.86086957,24.07391304,NAN,NAN,NAN
2015,8,17,221.55,3.525,NAN,NAN,NAN,NAN,NAN,NAN,23.49,24.35,NAN,NAN,NAN
2015,8,18,203,3.113043478,NAN,NAN,NAN,NAN,NAN,NAN,23.16956522,24.52173913,NAN,NAN,NAN
2015,8,19,175.8095238,4.833333333,NAN,NAN,NAN,NAN,NAN,NAN,23.75714286,24.53333333,NAN,NAN,NAN
