#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,ft
2011,6,9,215.0945946,6.321621622,8.654421769,NAN,NAN,NAN,NAN,NAN,24.78783784,NAN,NAN,NAN,NAN
2011,6,10,56.86986301,5.315068493,6.495890411,NAN,NAN,NAN,NAN,NAN,16.70890411,NAN,NAN,NAN,NAN
2011,6,11,133.3819444,2.566666667,3.306944444,NAN,NAN,NAN,NAN,NAN,18.16666667,NAN,NAN,NAN,NAN
2011,6,12,221.2827586,4.432413793,5.63125,NAN,NAN,NAN,NAN,NAN,17.12344828,NAN,NAN,NAN,NAN
2011,6,13,264.5103448,7.734482759,9.191034483,NAN,NAN,NAN,NAN,NAN,15.83448276,NAN,NAN,NAN,NAN
2011,6,14,110.5310345,6.235172414,7.597241379,NAN,NAN,NAN,NAN,NAN,15.23724138,NAN,NAN,NAN,NAN
2011,6,15,159.8958333,2.513888889,3.277777778,NAN,NAN,NAN,NAN,NAN,16.01597222,NAN,NAN,NAN,NAN
2011,6,16,134.7241379,3.086896552,4.705517241,NAN,NAN,NAN,NAN,NAN,19.10137931,NAN,NAN,NAN,NAN
2011,6,17,201.0694444,4.366666667,5.480555556,NAN,NAN,NAN,NAN,NAN,17.60486111,NAN,NAN,NAN,NAN
2011,6,18,216.7847222,2.745833333,3.588194444,NAN,NAN,NAN,NAN,NAN,19.43680556,NAN,NAN,NAN,NAN
2011,6,19,61.56944444,4.166666667,5.099305556,NAN,NAN,NAN,NAN,NAN,19.09513889,NAN,NAN,NAN,NAN
2011,6,20,67.74125874,3.287412587,4.29020979,NAN,NAN,NAN,NAN,NAN,19.2006993,NAN,NAN,NAN,NAN
2011,6,21,85.13829787,2.990425532,3.592553191,NAN,NAN,NAN,NAN,NAN,20.21382979,NAN,NAN,NAN,NAN
