#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 10 19 09 00 170  6.7  7.7 99.00 99.00 99.00 999 9999.0  11.1 999.0 999.0 99.0 99.00
2012 10 19 10 00 150  4.6  5.7 99.00 99.00 99.00 999 9999.0  11.1 999.0 999.0 99.0 99.00
2012 10 19 11 00 140  7.7  9.3 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2012 10 19 12 00 140  8.2  9.3 99.00 99.00 99.00 999 9999.0  11.1 999.0 999.0 99.0 99.00
2012 10 19 13 00 150  8.8 11.3 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2012 10 19 14 00 160  8.2  9.8 99.00 99.00 99.00 999 9999.0  11.1 999.0 999.0 99.0 99.00
2012 10 19 15 00 150  6.7  8.2 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2012 10 19 16 00  20  7.2  9.8 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2012 10 19 17 00 120  6.2  8.2 99.00 99.00 99.00 999 9999.0  11.5 999.0 999.0 99.0 99.00
2012 10 19 18 00 200  8.8 10.8 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2012 10 19 19 00  20  5.1  6.7 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2012 10 19 20 00  30  5.7  7.2 99.00 99.00 99.00 999 9999.0  11.6 999.0 999.0 99.0 99.00
2012 10 19 21 00 360  6.7  8.8 99.00 99.00 99.00 999 9999.0  11.4 999.0 999.0 99.0 99.00
2012 10 19 22 00 190 10.8 13.9 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2012 10 19 23 00 190  9.3 11.3 99.00 99.00 99.00 999 9999.0   9.8 999.0 999.0 99.0 99.00
