YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 04 11 23  39  1.3  1.7  0.27  4.17  3.48 999 1023.3  -0.2   1.3 999.0 99.0 99.00
2004 04 12 00 352  2.1  2.6  0.24  4.00  3.43 999 1023.8   0.0   1.3 999.0 99.0 99.00
2004 04 12 01 351  2.7  3.2  0.22  3.45  3.35 999 1024.4   0.0   1.2 999.0 99.0 99.00
2004 04 12 02 360  3.5  4.0  0.19  3.23  3.23 999 1024.6   0.1   1.1 999.0 99.0 99.00
2004 04 12 03 354  2.8  3.3  0.17  3.33  3.29 999 1024.6   0.2   1.0 999.0 99.0 99.00
2004 04 12 04 354  4.8  5.8  0.00  0.00  0.00 999 1024.3   0.3   1.0 999.0 99.0 99.00
2004 04 12 05  17  5.1  5.8  0.00  0.00  0.00 999 1024.7   0.4   0.9 999.0 99.0 99.00
2004 04 12 06  17  5.6  6.5  0.19  2.63  2.93 999 1024.7   0.4   0.9 999.0 99.0 99.00
2004 04 12 07  28  5.3  6.1  0.28  2.94  2.92 999 1024.7   0.5   0.9 999.0 99.0 99.00
2004 04 12 08  35  5.3  6.3  0.35  3.23  3.09 999 1024.7   0.5   0.8 999.0 99.0 99.00
2004 04 12 09  51  4.4  5.3  0.34  3.13  3.01 999 1025.0   0.6   0.8 999.0 99.0 99.00
2004 04 12 10  47  4.5  5.2  0.29  2.94  2.99 999 1025.1   0.7   0.8 999.0 99.0 99.00
2004 04 12 11  52  4.1  4.8  0.28  3.03  2.93 999 1025.7   0.7   0.8 999.0 99.0 99.00
2004 04 12 12  57  3.9  4.4  0.33  2.94  3.03 999 1026.3   0.8   0.8 999.0 99.0 99.00
2004 04 12 13  43  4.4  5.1  0.33  3.45  3.14 999 1026.4   0.9   0.8 999.0 99.0 99.00
2004 04 12 14  43  4.5  5.1  0.33  3.33  3.14 999 1026.4   1.1   0.8 999.0 99.0 99.00
2004 04 12 15  50  4.6  5.3  0.29  3.23  3.11 999 1026.2   1.1   0.9 999.0 99.0 99.00
2004 04 12 16  37  5.4  6.2  0.29  3.13  3.03 999 1025.7   1.2   0.9 999.0 99.0 99.00
2004 04 12 17  38  5.5  6.6  0.32  3.13  3.03 999 1025.0   1.1   0.9 999.0 99.0 99.00
2004 04 12 18  31  5.1  5.9  0.37  3.13  3.03 999 1024.7   1.2   1.0 999.0 99.0 99.00
2004 04 12 19  16  5.1  5.7  0.33  3.23  3.05 999 1024.7   1.3   1.0 999.0 99.0 99.00
