Date,"Discharge, cu feet per s"
 2010-03-18,206000
 2010-03-19,203000
 2010-03-20,207000
 2010-03-21,197000
 2010-03-22,191000
 2010-03-23,180000
 2010-03-24,163000
 2010-03-25,162000
 2010-03-26,158000
 2010-03-27,163000
 2010-03-28,179000
 2010-03-29,195000
 2010-03-30,199000
 2010-03-31,192000
 2010-04-01,189000
 2010-04-02,188000
 2010-04-03,184000
 2010-04-04,183000
 2010-04-05,186000
 2010-04-06,184000
 2010-04-07,185000
 2010-04-08,185000
 2010-04-09,201000
 2010-04-10,194000
 2010-04-11,207000
 2010-04-12,199000
 2010-04-13,190000
 2010-04-14,190000
 2010-04-15,190000
 2010-04-16,193000
 2010-04-17,195000
 2010-04-18,194000
 2010-04-19,189000
 2010-04-20,190000
 2010-04-21,192000
 2010-04-22,189000
 2010-04-23,185000
 2010-04-24,185000
 2010-04-25,183000
 2010-04-26,200000
 2010-04-27,204000
 2010-04-28,199000
 2010-04-29,184000
 2010-04-30,182000
 2010-05-01,183000
 2010-05-02,183000
 2010-05-03,186000
 2010-05-04,184000
 2010-05-05,183000
 2010-05-06,188000
 2010-05-07,179000
 2010-05-08,200000
 2010-05-09,196000
 2010-05-10,187000
 2010-05-11,198000
 2010-05-12,208000
 2010-05-13,200000
 2010-05-14,197000
 2010-05-15,196000
 2010-05-16,191000
 2010-05-17,190000
 2010-05-18,187000
 2010-05-19,193000
 2010-05-20,190000
 2010-05-21,183000
 2010-05-22,186000
 2010-05-23,182000
 2010-05-24,181000
 2010-05-25,185000
 2010-05-26,182000
 2010-05-27,185000
 2010-05-28,186000
 2010-05-29,191000
 2010-05-30,188000
 2010-05-31,187000
 2010-06-01,191000
 2010-06-02,185000
 2010-06-03,179000
 2010-06-04,178000
 2010-06-05,181000
 2010-06-06,185000
 2010-06-07,188000
 2010-06-08,186000
 2010-06-09,184000
 2010-06-10,190000
 2010-06-11,184000
 2010-06-12,193000
 2010-06-13,187000
 2010-06-14,183000
 2010-06-15,182000
 2010-06-16,192000
 2010-06-17,182000
 2010-06-18,179000
 2010-06-19,198000
 2010-06-20,189000
 2010-06-21,178000
 2010-06-22,181000
 2010-06-23,178000
 2010-06-24,191000
 2010-06-25,188000
 2010-06-26,182000
 2010-06-27,188000
 2010-06-28,190000
 2010-06-29,189000
 2010-06-30,189000
 2010-07-01,190000
 2010-07-02,190000
 2010-07-03,195000
 2010-07-04,200000
 2010-07-05,196000
 2010-07-06,183000
 2010-07-07,184000
 2010-07-08,185000
 2010-07-09,186000
 2010-07-10,188000
 2010-07-11,186000
 2010-07-12,189000
 2010-07-13,193000
 2010-07-14,190000
 2010-07-15,187000
 2010-07-16,197000
 2010-07-17,195000
 2010-07-18,185000
 2010-07-19,190000
 2010-07-20,180000
 2010-07-21,188000
 2010-07-22,187000
 2010-07-23,187000
 2010-07-24,190000
 2010-07-25,190000
 2010-07-26,189000
 2010-07-27,196000
 2010-07-28,193000
 2010-07-29,189000
 2010-07-30,189000
 2010-07-31,182000
 2010-08-01,187000
 2010-08-02,189000
 2010-08-03,188000
 2010-08-04,190000
 2010-08-05,189000
 2010-08-06,186000
 2010-08-07,176000
 2010-08-08,183000
 2010-08-09,186000
 2010-08-10,192000
 2010-08-11,191000
 2010-08-12,193000
 2010-08-13,183000
 2010-08-14,182000
 2010-08-15,185000
 2010-08-16,189000
 2010-08-17,185000
 2010-08-18,185000
 2010-08-19,187000
 2010-08-20,184000
 2010-08-21,186000
 2010-08-22,185000
 2010-08-23,185000
 2010-08-24,183000
 2010-08-25,187000
 2010-08-26,187000
 2010-08-27,185000
 2010-08-28,185000
 2010-08-29,185000
 2010-08-30,184000
 2010-08-31,181000
 2010-09-01,177000
 2010-09-02,182000
 2010-09-03,181000
 2010-09-04,194000
 2010-09-05,187000
 2010-09-06,187000
 2010-09-07,176000
 2010-09-08,193000
 2010-09-09,201000
 2010-09-10,196000
 2010-09-11,193000
 2010-09-12,200000
 2010-09-13,191000
 2010-09-14,197000
 2010-09-15,191000
 2010-09-16,196000
 2010-09-17,197000
 2010-09-18,194000
 2010-09-19,197000
 2010-09-20,193000
 2010-09-21,187000
 2010-09-22,193000
 2010-09-23,186000
 2010-09-24,178000
 2010-09-25,200000
 2010-09-26,190000
 2010-09-27,192000
 2010-09-28,205000
 2010-09-29,192000
 2010-09-30,194000
 2010-10-01,200000
 2010-10-02,206000
 2010-10-03,201000
 2010-10-04,203000
 2010-10-05,203000
 2010-10-06,202000
 2010-10-07,203000
 2010-10-08,200000
 2010-10-09,197000
 2010-10-10,196000
 2010-10-11,194000
 2010-10-12,191000
 2010-10-13,192000
 2010-10-14,201000
 2010-10-15,198000
 2010-10-16,194000
 2010-10-17,195000
 2010-10-18,190000
 2010-10-19,191000
 2010-10-20,190000
 2010-10-21,200000
 2010-10-22,195000
 2010-10-23,194000
 2010-10-24,190000
 2010-10-25,187000
 2010-10-26,180000
 2010-10-27,169000
 2010-10-28,203000
 2010-10-29,199000
 2010-10-30,192000
 2010-10-31,196000
 2010-11-01,195000
 2010-11-02,189000
 2010-11-03,193000
 2010-11-04,198000
 2010-11-05,199000
 2010-11-06,187000
 2010-11-07,187000
 2010-11-08,195000
 2010-11-09,191000
 2010-11-10,187000
 2010-11-11,191000
 2010-11-12,193000
 2010-11-13,193000
 2010-11-14,193000
 2010-11-15,194000
 2010-11-16,196000
 2010-11-17,206000
 2010-11-18,199000
 2010-11-19,186000
 2010-11-20,181000
 2010-11-21,175000
 2010-11-22,196000
 2010-11-23,171000
 2010-11-24,199000
 2010-11-25,187000
 2010-11-26,192000
 2010-11-27,200000
 2010-11-28,195000
 2010-11-29,187000
 2010-11-30,183000
 2010-12-01,192000
 2010-12-02,184000
 2010-12-03,187000
 2010-12-04,189000
 2010-12-05,197000
 2010-12-06,200000
 2010-12-07,196000
 2010-12-08,191000
 2010-12-09,181000
 2010-12-10,177000
 2010-12-11,184000
 2010-12-12,190000
 2010-12-13,204000
 2010-12-14,197000
 2010-12-15,178000
 2010-12-16,181000
 2010-12-17,186000
 2010-12-18,174000
 2010-12-19,170000
 2010-12-20,181000
 2010-12-21,181000
 2010-12-22,183000
 2010-12-23,191000
 2010-12-24,187000
 2010-12-25,186000
 2010-12-26,188000
 2010-12-27,185000
 2010-12-28,179000
 2010-12-29,171000
 2010-12-30,163000
 2010-12-31,165000
 2011-01-01,168000
 2011-01-02,186000
 2011-01-03,171000
 2011-01-04,189000
 2011-01-05,191000
 2011-01-06,191000
 2011-01-07,191000
 2011-01-08,190000
 2011-01-09,186000
 2011-01-10,186000
 2011-01-11,184000
 2011-01-12,184000
 2011-01-13,168000
 2011-01-14,153000
 2011-01-15,145000
 2011-01-16,143000
 2011-01-17,137000
 2011-01-18,133000
 2011-01-19,137000
 2011-01-20,130000
 2011-01-21,136000
 2011-01-22,133000
 2011-01-23,128000
 2011-01-24,127000
 2011-01-25,128000
 2011-01-26,134000
 2011-01-27,138000
 2011-01-28,144000
 2011-01-29,148000
 2011-01-30,151000
 2011-01-31,152000
 2011-02-01,154000
 2011-02-02,153000
 2011-02-03,151000
 2011-02-04,145000
 2011-02-05,147000
 2011-02-06,152000
 2011-02-07,154000
 2011-02-08,152000
 2011-02-09,146000
 2011-02-10,142000
 2011-02-11,142000
 2011-02-12,141000
 2011-02-13,137000
 2011-02-14,153000
 2011-02-15,155000
 2011-02-16,157000
 2011-02-17,157000
 2011-02-18,162000
 2011-02-19,179000
 2011-02-20,184000
 2011-02-21,160000
 2011-02-22,158000
 2011-02-23,158000
 2011-02-24,149000
 2011-02-25,139000
 2011-02-26,127000
 2011-02-27,115000
 2011-02-28,127000
 2011-03-01,119000
 2011-03-02,125000
 2011-03-03,112000
 2011-03-04,128000
 2011-03-05,141000
 2011-03-06,147000
 2011-03-07,150000
 2011-03-08,147000
 2011-03-09,147000
 2011-03-10,158000
 2011-03-11,178000
 2011-03-12,170000
 2011-03-13,175000
 2011-03-14,178000
 2011-03-15,177000
 2011-03-16,189000
 2011-03-17,175000
 2011-03-18,190000
 2011-03-19,194000
 2011-03-20,191000
 2011-03-21,204000
 2011-03-22,203000
 2011-03-23,187000
 2011-03-24,213000
 2011-03-25,192000
 2011-03-26,179000
 2011-03-27,177000
 2011-03-28,179000
 2011-03-29,178000
 2011-03-30,180000
 2011-03-31,178000
 2011-04-01,187000
 2011-04-02,188000
 2011-04-03,179000
 2011-04-04,179000
 2011-04-05,187000
 2011-04-06,185000
 2011-04-07,188000
 2011-04-08,184000
 2011-04-09,185000
 2011-04-10,178000
 2011-04-11,175000
 2011-04-12,189000
 2011-04-13,179000
 2011-04-14,181000
 2011-04-15,152000
 2011-04-16,160000
 2011-04-17,190000
 2011-04-18,177000
 2011-04-19,174000
 2011-04-20,191000
 2011-04-21,184000
 2011-04-22,177000
 2011-04-23,176000
 2011-04-24,183000
 2011-04-25,173000
 2011-04-26,174000
 2011-04-27,167000
 2011-04-28,160000
 2011-04-29,197000
 2011-04-30,187000
 2011-05-01,183000
 2011-05-02,184000
 2011-05-03,186000
 2011-05-04,183000
 2011-05-05,176000
 2011-05-06,175000
 2011-05-07,176000
 2011-05-08,175000
 2011-05-09,171000
 2011-05-10,169000
 2011-05-11,185000
 2011-05-12,176000
 2011-05-13,180000
 2011-05-14,183000
 2011-05-15,190000
 2011-05-16,200000
 2011-05-17,197000
 2011-05-18,187000
 2011-05-19,191000
 2011-05-20,189000
 2011-05-21,181000
 2011-05-22,174000
 2011-05-23,168000
 2011-05-24,183000
 2011-05-25,170000
 2011-05-26,184000
 2011-05-27,193000
 2011-05-28,185000
 2011-05-29,194000
 2011-05-30,193000
 2011-05-31,177000
 2011-06-01,183000
 2011-06-02,184000
 2011-06-03,179000
 2011-06-04,186000
 2011-06-05,182000
 2011-06-06,176000
 2011-06-07,170000
 2011-06-08,170000
 2011-06-09,180000
 2011-06-10,163000
 2011-06-11,179000
 2011-06-12,179000
 2011-06-13,180000
 2011-06-14,190000
 2011-06-15,185000
 2011-06-16,197000
 2011-06-17,201000
 2011-06-18,192000
 2011-06-19,188000
 2011-06-20,192000
 2011-06-21,181000
 2011-06-22,178000
 2011-06-23,178000
 2011-06-24,185000
 2011-06-25,183000
 2011-06-26,185000
 2011-06-27,171000
 2011-06-28,181000
 2011-06-29,188000
 2011-06-30,192000
 2011-07-01,181000
 2011-07-02,177000
 2011-07-03,182000
 2011-07-04,181000
 2011-07-05,180000
 2011-07-06,189000
 2011-07-07,179000
 2011-07-08,184000
 2011-07-09,187000
 2011-07-10,180000
 2011-07-11,180000
 2011-07-12,185000
 2011-07-13,182000
 2011-07-14,175000
 2011-07-15,174000
 2011-07-16,176000
 2011-07-17,178000
 2011-07-18,183000
 2011-07-19,175000
 2011-07-20,178000
 2011-07-21,183000
 2011-07-22,181000
 2011-07-23,180000
 2011-07-24,181000
 2011-07-25,179000
 2011-07-26,182000
 2011-07-27,179000
 2011-07-28,185000
 2011-07-29,185000
 2011-07-30,182000
 2011-07-31,180000
 2011-08-01,184000
 2011-08-02,177000
 2011-08-03,175000
 2011-08-04,174000
 2011-08-05,173000
 2011-08-06,179000
 2011-08-07,184000
 2011-08-08,178000
 2011-08-09,177000
 2011-08-10,182000
 2011-08-11,178000
 2011-08-12,174000
 2011-08-13,175000
 2011-08-14,179000
 2011-08-15,179000
 2011-08-16,181000
 2011-08-17,181000
 2011-08-18,179000
 2011-08-19,180000
 2011-08-20,177000
 2011-08-21,186000
 2011-08-22,185000
 2011-08-23,176000
 2011-08-24,163000
 2011-08-25,182000
 2011-08-26,175000
 2011-08-27,177000
 2011-08-28,184000
 2011-08-29,180000
 2011-08-30,180000
 2011-08-31,177000
 2011-09-01,180000
 2011-09-02,176000
 2011-09-03,173000
 2011-09-04,178000
 2011-09-05,183000
 2011-09-06,181000
 2011-09-07,187000
 2011-09-08,190000
 2011-09-09,193000
 2011-09-10,191000
 2011-09-11,184000
 2011-09-12,184000
 2011-09-13,182000
 2011-09-14,191000
 2011-09-15,197000
 2011-09-16,186000
 2011-09-17,184000
 2011-09-18,183000
 2011-09-19,177000
 2011-09-20,181000
 2011-09-21,171000
 2011-09-22,181000
 2011-09-23,188000
 2011-09-24,185000
 2011-09-25,188000
 2011-09-26,184000
 2011-09-27,183000
 2011-09-28,180000
 2011-09-29,187000
 2011-09-30,207000
 2011-10-01,203000
 2011-10-02,193000
 2011-10-03,201000
 2011-10-04,193000
 2011-10-05,184000
 2011-10-06,175000
 2011-10-07,176000
 2011-10-08,173000
 2011-10-09,173000
 2011-10-10,170000
 2011-10-11,169000
 2011-10-12,165000
 2011-10-13,173000
 2011-10-14,183000
 2011-10-15,191000
 2011-10-16,179000
 2011-10-17,185000
 2011-10-18,176000
 2011-10-19,184000
 2011-10-20,188000
 2011-10-21,208000
 2011-10-22,197000
 2011-10-23,190000
 2011-10-24,195000
 2011-10-25,194000
 2011-10-26,198000
 2011-10-27,197000
 2011-10-28,197000
 2011-10-29,193000
 2011-10-30,189000
 2011-10-31,186000
 2011-11-01,190000
 2011-11-02,185000
 2011-11-03,197000
 2011-11-04,193000
 2011-11-05,185000
 2011-11-06,184000
 2011-11-07,184000
 2011-11-08,185000
 2011-11-09,168000
 2011-11-10,195000
 2011-11-11,186000
 2011-11-12,174000
 2011-11-13,163000
 2011-11-14,183000
 2011-11-15,176000
 2011-11-16,190000
 2011-11-17,202000
 2011-11-18,170000
 2011-11-19,174000
 2011-11-20,182000
 2011-11-21,185000
 2011-11-22,179000
 2011-11-23,195000
 2011-11-24,199000
 2011-11-25,184000
 2011-11-26,182000
 2011-11-27,186000
 2011-11-28,194000
 2011-11-29,222000
 2011-11-30,228000
 2011-12-01,213000
 2011-12-02,215000
 2011-12-03,197000
 2011-12-04,191000
 2011-12-05,205000
 2011-12-06,205000
 2011-12-07,205000
 2011-12-08,207000
 2011-12-09,199000
 2011-12-10,192000
 2011-12-11,177000
 2011-12-12,180000
 2011-12-13,181000
 2011-12-14,174000
 2011-12-15,176000
 2011-12-16,194000
 2011-12-17,182000
 2011-12-18,180000
 2011-12-19,184000
 2011-12-20,181000
 2011-12-21,184000
 2011-12-22,183000
 2011-12-23,192000
 2011-12-24,176000
 2011-12-25,187000
 2011-12-26,176000
 2011-12-27,176000
 2011-12-28,198000
 2011-12-29,167000
 2011-12-30,173000
 2011-12-31,186000
 2012-01-01,177000
 2012-01-02,204000
 2012-01-03,189000
 2012-01-04,181000
 2012-01-05,179000
 2012-01-06,174000
 2012-01-07,182000
 2012-01-08,180000
 2012-01-09,173000
 2012-01-10,184000
 2012-01-11,173000
 2012-01-12,173000
 2012-01-13,209000
 2012-01-14,175000
 2012-01-15,167000
 2012-01-16,163000
 2012-01-17,179000
 2012-01-18,181000
 2012-01-19,177000
 2012-01-20,176000
 2012-01-21,173000
 2012-01-22,163000
 2012-01-23,159000
 2012-01-24,191000
 2012-01-25,177000
 2012-01-26,169000
 2012-01-27,184000
 2012-01-28,178000
 2012-01-29,185000
 2012-01-30,167000
 2012-01-31,167000
 2012-02-01,183000
 2012-02-02,183000
 2012-02-03,182000
 2012-02-04,183000
 2012-02-05,184000
 2012-02-06,183000
 2012-02-07,191000
 2012-02-08,184000
 2012-02-09,186000
 2012-02-10,178000
 2012-02-11,202000
 2012-02-12,193000
 2012-02-13,182000
 2012-02-14,165000
 2012-02-15,166000
 2012-02-16,170000
 2012-02-17,175000
 2012-02-18,181000
 2012-02-19,183000
 2012-02-20,179000
 2012-02-21,172000
 2012-02-22,174000
 2012-02-23,179000
 2012-02-24,188000
 2012-02-25,194000
 2012-02-26,172000
 2012-02-27,176000
 2012-02-28,175000
 2012-02-29,172000
 2012-03-01,184000
 2012-03-02,166000
 2012-03-03,187000
 2012-03-04,188000
 2012-03-05,179000
 2012-03-06,159000
 2012-03-07,162000
 2012-03-08,178000
 2012-03-09,194000
 2012-03-10,172000
 2012-03-11,176000
 2012-03-12,172000
 2012-03-13,180000
 2012-03-14,180000
 2012-03-15,176000
 2012-03-16,180000
 2012-03-17,172000
 2012-03-18,169000
 2012-03-19,169000
 2012-03-20,167000
 2012-03-21,167000
 2012-03-22,170000
