Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered,  as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,2,27,433043.8717,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,28,410413.0479,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,29,382889.073,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,1,374326.0586,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,2,346802.0837,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,3,349860.3031,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,4,340074.0009,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,5,340074.0009,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,6,330899.3426,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,7,323559.616,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,8,338850.7131,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,9,343743.8642,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,10,363316.4686,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,11,346190.4397,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,12,340685.6448,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,13,346190.4397,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,14,357200.0297,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,15,351083.5909,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,16,418976.0623,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,17,1113803.517,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,18,1220229.553,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,19,1165181.604,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,20,1302801.478,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,21,1349286.413,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,22,1352956.277,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,23,1291180.244,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,24,1223287.773,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,25,1214724.758,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,26,1167628.179,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,27,1084444.611,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,28,1042852.826,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,29,1048969.265,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,30,1064872.006,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,31,1104017.215,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,1,1135211.053,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,2,1104017.215,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,3,1161511.74,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,4,1530944.648,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,5,1631865.889,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,6,1526051.497,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,7,1422683.68,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,8,1379868.608,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,9,1453877.518,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,10,1515653.551,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,11,1434916.558,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,12,1305859.698,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,13,1317480.931,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,14,1365189.155,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,15,1491799.439,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,16,1479566.561,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,17,1259986.406,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,18,1437363.133,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,19,1362742.579,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,20,1263656.27,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,21,1212889.827,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,22,1132764.478,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,23,1083832.967,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,24,960280.9019,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,25,892388.4303,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,26,896058.2936,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,27,875874.0454,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,28,950494.5997,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,29,801253.4913,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,30,904009.6644,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,1,1034901.456,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,2,1001872.686,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,3,940096.6536,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,4,900951.4448,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,5,748652.1172,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,6,767001.4338,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,7,732749.3759,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,8,688099.3724,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,9,612867.1742,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,10,590236.3504,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,11,563935.6633,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,12,576780.185,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,13,556595.9367,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,14,552926.0734,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,15,533965.113,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,16,481975.3826,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,17,552926.0733,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,18,880767.1967,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,19,930310.3513,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,20,868534.3189,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,21,803088.423,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,22,782292.5308,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,23,742535.6783,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,24,707671.9767,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,25,666080.1923,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,26,604915.8036,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,27,513780.8648,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,28,424480.8572,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,29,460567.8465,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,30,537634.9762,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,31,619595.2571,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,1,613478.8181,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,2,569440.4583,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,3,841621.9878,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,4,927863.7759,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,5,768836.3655,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,6,755380.1997,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,7,850796.6461,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,8,948659.6681,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,9,900339.801,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,10,833670.6173,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,11,792690.4769,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,12,752933.6244,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,13,710118.5522,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,14,675866.4947,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,15,861806.236,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,16,900339.8011,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,17,719904.8543,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,18,689322.6601,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,19,713788.4157,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,20,720516.4982,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,21,633051.4224,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,22,555984.2929,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,23,522343.8792,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,24,520508.9474,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,25,477082.2315,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,26,476470.5877,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,27,455063.0516,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,28,409801.404,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,29,279521.2561,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,30,325394.5476,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,1,286249.3389,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,2,310103.4505,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,3,290530.8461,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,4,253220.569,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,5,301540.4361,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,6,293589.0655,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,7,303987.0116,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,8,285637.695,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,9,290530.8461,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,10,277074.6806,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,11,275851.3928,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,12,234871.2524,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,13,272181.5295,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,14,251385.6374,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,15,244657.5546,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,16,351083.5909,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,17,319889.7527,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,18,261783.5834,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,19,278297.9684,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,20,236094.5402,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,21,230589.7452,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,22,247104.1302,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,23,226308.238,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,24,211017.1409,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,25,162697.2738,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,26,187163.0293,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,27,203677.4142,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,28,230589.7452,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,29,326006.1915,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,30,278909.6122,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,31,291142.49,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,1,267900.0223,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,2,435490.4472,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,3,617760.3254,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,4,585954.8434,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,5,481363.7387,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,6,463626.066,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,7,463014.4221,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,8,471577.4364,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,9,483198.6704,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,10,461791.1344,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,11,433043.8717,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,12,384724.0046,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,13,401238.3896,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,14,461791.1343,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,15,438548.6666,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,16,395121.9507,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,17,346802.0837,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,18,415917.8428,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,19,379219.2097,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,20,599411.0088,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,21,707060.3328,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,22,710730.196,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,23,626323.3398,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,24,537634.9764,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,25,472800.7243,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,26,479528.807,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,27,425092.5011,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,28,415917.8428,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,29,406743.1846,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,30,488091.8215,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,31,578003.4729,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,1,676478.1384,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,2,799418.5596,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,3,705837.045,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,4,582284.9801,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,5,559654.1562,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,6,518062.3719,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,7,494208.2604,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,8,422645.9256,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,9,469130.861,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,10,458732.9149,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,11,435490.4473,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,12,410413.0479,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,13,441606.886,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,14,526013.7425,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,15,507052.7819,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,16,467295.9292,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,17,631828.1347,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,18,718069.9227,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,19,675866.4946,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,20,622653.4766,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,21,595741.1454,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,22,644672.6563,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,23,768836.3654,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,24,792078.8331,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,25,820214.4517,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,26,760884.9948,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,27,727244.581,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,28,704002.1135,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,29,665468.5486,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,30,652012.383,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,1,602469.2283,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,2,649565.8075,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,3,572498.6779,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,4,577391.8289,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,5,576780.1849,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,6,543139.7711,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,7,485645.2459,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,8,503994.5624,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,9,499713.0553,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,10,485033.602,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,11,462402.7782,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,12,450781.5444,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,13,429985.6523,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,14,369432.9075,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,15,429374.0083,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,16,406743.1845,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,17,433043.8717,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,18,442830.1738,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,19,477082.2315,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,20,482587.0264,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,21,403684.9651,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,22,471577.4365,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,23,481975.3826,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,24,481975.3826,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,25,490538.397,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,26,468519.2171,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,27,514392.5086,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,28,524790.4546,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,29,515615.7963,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,30,551702.7856,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,31,548644.5662,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,1,533965.1129,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,2,547421.2784,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,3,642837.7248,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,4,592682.926,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,5,538858.264,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,6,525402.0985,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,7,548032.9223,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,8,560265.8001,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,9,553537.7173,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,10,538858.264,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,11,520508.9474,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,12,511945.933,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,13,506441.1381,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,14,505217.8503,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,15,573721.9656,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,16,596352.7893,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,17,476470.5876,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,18,403684.9651,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,19,408578.1162,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,20,412247.9795,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,21,417141.1306,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,22,411636.3356,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,23,396345.2385,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,24,407354.8284,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,25,400626.7457,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,26,397568.5262,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,27,402461.6773,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,28,428762.3645,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,29,441606.8861,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,30,440995.2422,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,1,439771.9544,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,2,532130.1812,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,3,576780.185,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,4,565770.595,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,5,544974.7029,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,6,544974.703,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,7,629381.5591,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,8,778011.0235,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,9,897893.2253,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,10,892388.4303,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,11,836728.8369,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,12,809816.5057,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,13,784739.1064,,,,,,,,,,,,,,,,,,,,,,,,
