agency_cd, site_no, datetime, 109477_00060_00003, 109477_00060_00003_cd, 109480_80154_00003, 109480_80154_00003_cd, 109481_80155_00003, 109481_80155_00003_cd, 232942_00665_00003, 232942_00665_00003_cd, 232943_91007_00003, 232943_91007_00003_cd
USGS,4193500, 1982-11-09,2690, A,86, A,625, A, , , ,
USGS,4193500, 1982-11-10,2320, A,82, A,514, A, , , ,
USGS,4193500, 1982-11-11,1910, A,80, A,413, A, , , ,
USGS,4193500, 1982-11-12,1850, A,32, A,160, A, , , ,
USGS,4193500, 1982-11-13,1430, A,28, A,108, A, , , ,
USGS,4193500, 1982-11-14,1700, A,33, A,151, A, , , ,
USGS,4193500, 1982-11-15,1770, A,31, A,148, A, , , ,
USGS,4193500, 1982-11-16,1740, A,32, A,150, A, , , ,
USGS,4193500, 1982-11-17,1620, A,30, A,131, A, , , ,
USGS,4193500, 1982-11-18,1640, A,29, A,128, A, , , ,
USGS,4193500, 1982-11-19,1340, A,28, A,101, A, , , ,
USGS,4193500, 1982-11-20,1720, A,32, A,149, A, , , ,
USGS,4193500, 1982-11-21,4320, A,58, A,677, A, , , ,
USGS,4193500, 1982-11-22,7030, A,92, A,1750, A, , , ,
USGS,4193500, 1982-11-23,7820, A,99, A,2090, A, , , ,
USGS,4193500, 1982-11-24,8900, A,108, A,2600, A, , , ,
USGS,4193500, 1982-11-25,11100, A,140, A,4200, A, , , ,
USGS,4193500, 1982-11-26,9020, A,115, A,2800, A, , , ,
USGS,4193500, 1982-11-27,6440, A,86, A,1500, A, , , ,
USGS,4193500, 1982-11-28,7060, A,94, A,1790, A, , , ,
USGS,4193500, 1982-11-29,14400, A,170, A,6610, A, , , ,
USGS,4193500, 1982-11-30,17200, A,207, A,9610, A, , , ,
USGS,4193500, 1982-12-01,14000, A,169, A,6390, A, , , ,
USGS,4193500, 1982-12-02,10500, A,131, A,3710, A, , , ,
USGS,4193500, 1982-12-03,8280, A,103, A,2300, A, , , ,
USGS,4193500, 1982-12-04,9980, A,122, A,3290, A, , , ,
USGS,4193500, 1982-12-05,15800, A,188, A,8020, A, , , ,
USGS,4193500, 1982-12-06,16300, A,195, A,8580, A, , , ,
USGS,4193500, 1982-12-07,13100, A,164, A,5800, A, , , ,
USGS,4193500, 1982-12-08,10900, A,136, A,4000, A, , , ,
USGS,4193500, 1982-12-09,8640, A,107, A,2500, A, , , ,
USGS,4193500, 1982-12-10,7250, A,92, A,1800, A, , , ,
USGS,4193500, 1982-12-11,6100, A,79, A,1300, A, , , ,
USGS,4193500, 1982-12-12,5030, A,69, A,937, A, , , ,
USGS,4193500, 1982-12-13,3830, A,52, A,538, A, , , ,
USGS,4193500, 1982-12-14,3010, A,44, A,358, A, , , ,
USGS,4193500, 1982-12-15,2580, A,39, A,272, A, , , ,
USGS,4193500, 1982-12-16,5930, A,36, A,576, A, , , ,
USGS,4193500, 1982-12-17,12100, A,147, A,4800, A, , , ,
USGS,4193500, 1982-12-18,13700, A,162, A,5990, A, , , ,
USGS,4193500, 1982-12-19,10900, A,133, A,3910, A, , , ,
USGS,4193500, 1982-12-20,9780, A,121, A,3200, A, , , ,
USGS,4193500, 1982-12-21,8560, A,108, A,2500, A, , , ,
USGS,4193500, 1982-12-22,7890, A,99, A,2110, A, , , ,
USGS,4193500, 1982-12-23,6710, A,88, A,1590, A, , , ,
USGS,4193500, 1982-12-24,7740, A,100, A,2090, A, , , ,
USGS,4193500, 1982-12-25,11400, A,143, A,4400, A, , , ,
USGS,4193500, 1982-12-26,30000, A,358, A,29000, A, , , ,
USGS,4193500, 1982-12-27,32500, A,387, A,34000, A, , , ,
USGS,4193500, 1982-12-28,31000, A,370, A,31000, A, , , ,
USGS,4193500, 1982-12-29,30000, A,358, A,29000, A, , , ,
USGS,4193500, 1982-12-30,25500, A,305, A,21000, A, , , ,
USGS,4193500, 1982-12-31,20000, A,241, A,13000, A, , , ,
USGS,4193500, 1983-01-01,13000, A,160, A,5620, A, , , ,
USGS,4193500, 1983-01-02,9700, A,118, A,3090, A, , , ,
USGS,4193500, 1983-01-03,8000, A,102, A,2200, A, , , ,
USGS,4193500, 1983-01-04,6700, A,83, A,1500, A, , , ,
USGS,4193500, 1983-01-05,4450, A,62, A,745, A, , , ,
USGS,4193500, 1983-01-06,3900, A,54, A,569, A, , , ,
USGS,4193500, 1983-01-07,3200, A,46, A,397, A, , , ,
USGS,4193500, 1983-01-08,2900, A,43, A,337, A, , , ,
USGS,4193500, 1983-01-09,2600, A,40, A,281, A, , , ,
USGS,4193500, 1983-01-10,2350, A,38, A,241, A, , , ,
USGS,4193500, 1983-01-11,2150, A,34, A,197, A, , , ,
USGS,4193500, 1983-01-12,2060, A,35, A,195, A, , , ,
USGS,4193500, 1983-01-13,2040, A,25, A,138, A, , , ,
USGS,4193500, 1983-01-14,2010, A,20, A,109, A, , , ,
USGS,4193500, 1983-01-15,1960, A,18, A,95, A, , , ,
USGS,4193500, 1983-01-16,1700, A,16, A,73, A, , , ,
USGS,4193500, 1983-01-17,1550, A,12, A,50, A, , , ,
USGS,4193500, 1983-01-18,1200, A,10, A,32, A, , , ,
USGS,4193500, 1983-01-19,1100, A,8, A,24, A, , , ,
USGS,4193500, 1983-01-20,1100, A,7, A,21, A, , , ,
USGS,4193500, 1983-01-21,1300, A,8, A,28, A, , , ,
USGS,4193500, 1983-01-22,1150, A,8, A,25, A, , , ,
USGS,4193500, 1983-01-23,1330, A,8, A,29, A, , , ,
USGS,4193500, 1983-01-24,1500, A,10, A,40, A, , , ,
USGS,4193500, 1983-01-25,1770, A,12, A,57, A, , , ,
USGS,4193500, 1983-01-26,1890, A,6, A,31, A, , , ,
USGS,4193500, 1983-01-27,1870, A,24, A,121, A, , , ,
USGS,4193500, 1983-01-28,2020, A,12, A,65, A, , , ,
USGS,4193500, 1983-01-29,1860, A,6, A,30, A, , , ,
USGS,4193500, 1983-01-30,1680, A,12, A,54, A, , , ,
USGS,4193500, 1983-01-31,1780, A,10, A,48, A, , , ,
USGS,4193500, 1983-02-01,2540, A,9, A,62, A, , , ,
USGS,4193500, 1983-02-02,2510, A,9, A,61, A, , , ,
USGS,4193500, 1983-02-03,7900, A,33, A,704, A, , , ,
USGS,4193500, 1983-02-04,12100, A,206, A,6730, A, , , ,
USGS,4193500, 1983-02-05,10300, A,172, A,4780, A, , , ,
USGS,4193500, 1983-02-06,7700, A,124, A,2580, A, , , ,
USGS,4193500, 1983-02-07,5880, A,90, A,1430, A, , , ,
USGS,4193500, 1983-02-08,4460, A,96, A,1160, A, , , ,
USGS,4193500, 1983-02-09,3650, A,93, A,917, A, , , ,
USGS,4193500, 1983-02-10,2950, A,64, A,510, A, , , ,
USGS,4193500, 1983-02-11,2700, A,48, A,350, A, , , ,
USGS,4193500, 1983-02-12,2550, A,45, A,310, A, , , ,
USGS,4193500, 1983-02-13,2150, A,32, A,186, A, , , ,
USGS,4193500, 1983-02-14,1850, A,33, A,165, A, , , ,
USGS,4193500, 1983-02-15,1720, A,35, A,163, A, , , ,
USGS,4193500, 1983-02-16,1680, A,37, A,168, A, , , ,
USGS,4193500, 1983-02-17,2250, A,21, A,128, A, , , ,
USGS,4193500, 1983-02-18,3360, A,24, A,218, A, , , ,
USGS,4193500, 1983-02-19,4350, A,24, A,282, A, , , ,
USGS,4193500, 1983-02-20,5400, A,21, A,306, A, , , ,
USGS,4193500, 1983-02-21,5330, A,25, A,360, A, , , ,
USGS,4193500, 1983-02-22,5100, A,32, A,441, A, , , ,
USGS,4193500, 1983-02-23,4610, A,36, A,448, A, , , ,
USGS,4193500, 1983-02-24,4170, A,38, A,428, A, , , ,
USGS,4193500, 1983-02-25,3660, A,38, A,376, A, , , ,
USGS,4193500, 1983-02-26,3310, A,40, A,357, A, , , ,
USGS,4193500, 1983-02-27,2760, A,40, A,298, A, , , ,
USGS,4193500, 1983-02-28,2310, A,36, A,225, A, , , ,
USGS,4193500, 1983-03-01,2160, A,34, A,198, A, , , ,
USGS,4193500, 1983-03-02,1900, A,28, A,144, A, , , ,
USGS,4193500, 1983-03-03,1770, A,28, A,134, A, , , ,
USGS,4193500, 1983-03-04,1680, A,28, A,127, A, , , ,
USGS,4193500, 1983-03-05,1510, A,30, A,122, A, , , ,
USGS,4193500, 1983-03-06,1590, A,32, A,137, A, , , ,
USGS,4193500, 1983-03-07,1640, A,26, A,115, A, , , ,
USGS,4193500, 1983-03-08,1830, A,28, A,138, A, , , ,
USGS,4193500, 1983-03-09,3600, A,28, A,272, A, , , ,
USGS,4193500, 1983-03-10,4070, A,25, A,275, A, , , ,
USGS,4193500, 1983-03-11,3890, A,24, A,252, A, , , ,
USGS,4193500, 1983-03-12,3530, A,30, A,286, A, , , ,
USGS,4193500, 1983-03-13,3220, A,34, A,296, A, , , ,
USGS,4193500, 1983-03-14,2940, A,28, A,222, A, , , ,
USGS,4193500, 1983-03-15,2450, A,16, A,106, A, , , ,
USGS,4193500, 1983-03-16,2010, A,18, A,98, A, , , ,
USGS,4193500, 1983-03-17,1940, A,12, A,63, A, , , ,
USGS,4193500, 1983-03-18,1920, A,14, A,73, A, , , ,
USGS,4193500, 1983-03-19,2040, A,12, A,66, A, , , ,
USGS,4193500, 1983-03-20,1640, A,12, A,53, A, , , ,
USGS,4193500, 1983-03-21,2480, A,10, A,67, A, , , ,
USGS,4193500, 1983-03-22,3780, A,10, A,102, A, , , ,
USGS,4193500, 1983-03-23,5400, A,10, A,146, A, , , ,
USGS,4193500, 1983-03-24,5390, A,10, A,146, A, , , ,
USGS,4193500, 1983-03-25,5480, A,14, A,207, A, , , ,
USGS,4193500, 1983-03-26,5180, A,20, A,280, A, , , ,
USGS,4193500, 1983-03-27,7090, A,38, A,727, A, , , ,
USGS,4193500, 1983-03-28,14700, A,135, A,5360, A, , , ,
USGS,4193500, 1983-03-29,16000, A,420, A,18100, A, , , ,
USGS,4193500, 1983-03-30,13700, A,365, A,13500, A, , , ,
USGS,4193500, 1983-03-31,11000, A,190, A,5640, A, , , ,
USGS,4193500, 1983-04-01,9030, A,138, A,3360, A, , , ,
USGS,4193500, 1983-04-02,8580, A,122, A,2830, A, , , ,
USGS,4193500, 1983-04-03,20600, A,220, A,13100, A, , , ,
USGS,4193500, 1983-04-04,26300, A,538, A,38200, A, , , ,
USGS,4193500, 1983-04-05,22200, A,435, A,26100, A, , , ,
USGS,4193500, 1983-04-06,16300, A,320, A,14100, A, , , ,
USGS,4193500, 1983-04-07,15400, A,240, A,9980, A, , , ,
USGS,4193500, 1983-04-08,18500, A,215, A,10700, A, , , ,
USGS,4193500, 1983-04-09,17000, A,225, A,10300, A, , , ,
USGS,4193500, 1983-04-10,18700, A,215, A,10900, A, , , ,
USGS,4193500, 1983-04-11,20600, A,280, A,15600, A, , , ,
USGS,4193500, 1983-04-12,19700, A,255, A,13600, A, , , ,
USGS,4193500, 1983-04-13,17100, A,250, A,11500, A, , , ,
USGS,4193500, 1983-04-14,22800, A,270, A,16600, A, , , ,
USGS,4193500, 1983-04-15,36900, A,648, A,64600, A, , , ,
USGS,4193500, 1983-04-16,33100, A,708, A,63300, A, , , ,
USGS,4193500, 1983-04-17,26000, A,458, A,32200, A, , , ,
USGS,4193500, 1983-04-18,18300, A,330, A,16300, A, , , ,
USGS,4193500, 1983-04-19,12900, A,262, A,9130, A, , , ,
USGS,4193500, 1983-04-20,11000, A,185, A,5490, A, , , ,
USGS,4193500, 1983-04-21,8430, A,145, A,3300, A, , , ,
USGS,4193500, 1983-04-22,7140, A,110, A,2120, A, , , ,
USGS,4193500, 1983-04-23,5670, A,82, A,1260, A, , , ,
USGS,4193500, 1983-04-24,4900, A,78, A,1030, A, , , ,
USGS,4193500, 1983-04-25,4160, A,76, A,854, A, , , ,
USGS,4193500, 1983-04-26,3590, A,52, A,504, A, , , ,
USGS,4193500, 1983-04-27,3110, A,34, A,285, A, , , ,
USGS,4193500, 1983-04-28,2890, A,35, A,273, A, , , ,
USGS,4193500, 1983-04-29,2780, A,30, A,225, A, , , ,
USGS,4193500, 1983-04-30,3560, A,34, A,327, A, , , ,
USGS,4193500, 1983-05-01,9760, A,72, A,1900, A, , , ,
USGS,4193500, 1983-05-02,33400, A,258, A,22600, A, , , ,
USGS,4193500, 1983-05-03,53000, A,840, A,120000, A, , , ,
USGS,4193500, 1983-05-04,54200, A,765, A,112000, A, , , ,
USGS,4193500, 1983-05-05,44900, A,502, A,60900, A, , , ,
USGS,4193500, 1983-05-06,32200, A,372, A,32300, A, , , ,
USGS,4193500, 1983-05-07,25000, A,290, A,19600, A, , , ,
USGS,4193500, 1983-05-08,20000, A,240, A,13000, A, , , ,
USGS,4193500, 1983-05-09,13600, A,202, A,7420, A, , , ,
USGS,4193500, 1983-05-10,11800, A,162, A,5160, A, , , ,
USGS,4193500, 1983-05-11,9820, A,115, A,3050, A, , , ,
USGS,4193500, 1983-05-12,7740, A,80, A,1670, A, , , ,
USGS,4193500, 1983-05-13,6260, A,66, A,1120, A, , , ,
USGS,4193500, 1983-05-14,5400, A,58, A,846, A, , , ,
USGS,4193500, 1983-05-15,4690, A,55, A,696, A, , , ,
USGS,4193500, 1983-05-16,4210, A,53, A,602, A, , , ,
USGS,4193500, 1983-05-17,3530, A,51, A,486, A, , , ,
USGS,4193500, 1983-05-18,3140, A,46, A,390, A, , , ,
USGS,4193500, 1983-05-19,3110, A,48, A,403, A, , , ,
USGS,4193500, 1983-05-20,2850, A,42, A,323, A, , , ,
USGS,4193500, 1983-05-21,2520, A,38, A,259, A, , , ,
USGS,4193500, 1983-05-22,3140, A,34, A,288, A, , , ,
USGS,4193500, 1983-05-23,4200, A,33, A,374, A, , , ,
USGS,4193500, 1983-05-24,6140, A,41, A,680, A, , , ,
USGS,4193500, 1983-05-25,5410, A,38, A,555, A, , , ,
USGS,4193500, 1983-05-26,4790, A,39, A,504, A, , , ,
USGS,4193500, 1983-05-27,4080, A,40, A,441, A, , , ,
USGS,4193500, 1983-05-28,3570, A,48, A,463, A, , , ,
USGS,4193500, 1983-05-29,3430, A,40, A,370, A, , , ,
USGS,4193500, 1983-05-30,3190, A,44, A,379, A, , , ,
USGS,4193500, 1983-05-31,2850, A,42, A,323, A, , , ,
USGS,4193500, 1983-06-01,2570, A,46, A,319, A, , , ,
USGS,4193500, 1983-06-02,2480, A,42, A,281, A, , , ,
USGS,4193500, 1983-06-03,2180, A,42, A,247, A, , , ,
USGS,4193500, 1983-06-04,2160, A,41, A,239, A, , , ,
USGS,4193500, 1983-06-05,1990, A,41, A,220, A, , , ,
USGS,4193500, 1983-06-06,2340, A,30, A,190, A, , , ,
USGS,4193500, 1983-06-07,3950, A,41, A,437, A, , , ,
USGS,4193500, 1983-06-08,4970, A,55, A,738, A, , , ,
USGS,4193500, 1983-06-09,4290, A,54, A,625, A, , , ,
USGS,4193500, 1983-06-10,3260, A,46, A,405, A, , , ,
USGS,4193500, 1983-06-11,3410, A,56, A,516, A, , , ,
USGS,4193500, 1983-06-12,3130, A,51, A,431, A, , , ,
USGS,4193500, 1983-06-13,2400, A,53, A,343, A, , , ,
USGS,4193500, 1983-06-14,1800, A,51, A,248, A, , , ,
USGS,4193500, 1983-06-15,1470, A,56, A,222, A, , , ,
USGS,4193500, 1983-06-16,1210, A,60, A,196, A, , , ,
USGS,4193500, 1983-06-17,1420, A,51, A,196, A, , , ,
USGS,4193500, 1983-06-18,1260, A,53, A,180, A, , , ,
USGS,4193500, 1983-06-19,1150, A,54, A,168, A, , , ,
USGS,4193500, 1983-06-20,976, A,50, A,132, A, , , ,
USGS,4193500, 1983-06-21,885, A,54, A,129, A, , , ,
USGS,4193500, 1983-06-22,968, A,50, A,131, A, , , ,
USGS,4193500, 1983-06-23,992, A,51, A,137, A, , , ,
USGS,4193500, 1983-06-24,945, A,48, A,122, A, , , ,
USGS,4193500, 1983-06-25,945, A,49, A,125, A, , , ,
USGS,4193500, 1983-06-26,917, A,41, A,102, A, , , ,
USGS,4193500, 1983-06-27,831, A,42, A,94, A, , , ,
USGS,4193500, 1983-06-28,5090, A,100, A,1370, A, , , ,
USGS,4193500, 1983-06-29,14400, A,310, A,12100, A, , , ,
USGS,4193500, 1983-06-30,11300, A,415, A,12700, A, , , ,
USGS,4193500, 1983-07-01,11500, A,260, A,8070, A, , , ,
USGS,4193500, 1983-07-02,9340, A,244, A,6150, A, , , ,
USGS,4193500, 1983-07-03,9300, A,230, A,5780, A, , , ,
USGS,4193500, 1983-07-04,8650, A,215, A,5020, A, , , ,
USGS,4193500, 1983-07-05,9770, A,192, A,5060, A, , , ,
USGS,4193500, 1983-07-06,8550, A,155, A,3580, A, , , ,
USGS,4193500, 1983-07-07,5790, A,140, A,2190, A, , , ,
USGS,4193500, 1983-07-08,3660, A,105, A,1040, A, , , ,
USGS,4193500, 1983-07-09,2490, A,82, A,551, A, , , ,
USGS,4193500, 1983-07-10,1900, A,84, A,431, A, , , ,
USGS,4193500, 1983-07-11,1760, A,78, A,371, A, , , ,
USGS,4193500, 1983-07-12,1540, A,70, A,291, A, , , ,
USGS,4193500, 1983-07-13,1190, A,69, A,222, A, , , ,
USGS,4193500, 1983-07-14,1050, A,66, A,187, A, , , ,
USGS,4193500, 1983-07-15,907, A,56, A,137, A, , , ,
USGS,4193500, 1983-07-16,741, A,45, A,90, A, , , ,
USGS,4193500, 1983-07-17,673, A,38, A,69, A, , , ,
USGS,4193500, 1983-07-18,684, A,38, A,70, A, , , ,
USGS,4193500, 1983-07-19,728, A,36, A,71, A, , , ,
USGS,4193500, 1983-07-20,703, A,32, A,61, A, , , ,
USGS,4193500, 1983-07-21,777, A,43, A,90, A, , , ,
USGS,4193500, 1983-07-22,868, A,41, A,96, A, , , ,
USGS,4193500, 1983-07-23,1010, A,69, A,188, A, , , ,
USGS,4193500, 1983-07-24,684, A,45, A,83, A, , , ,
USGS,4193500, 1983-07-25,613, A,45, A,74, A, , , ,
USGS,4193500, 1983-07-26,645, A,68, A,118, A, , , ,
USGS,4193500, 1983-07-27,900, A,68, A,165, A, , , ,
USGS,4193500, 1983-07-28,760, A,69, A,142, A, , , ,
USGS,4193500, 1983-07-29,560, A,63, A,95, A, , , ,
USGS,4193500, 1983-07-30,580, A,60, A,94, A, , , ,
USGS,4193500, 1983-07-31,560, A,80, A,121, A, , , ,
USGS,4193500, 1983-08-01,550, A,67, A,99, A, , , ,
USGS,4193500, 1983-08-02,1000, A,80, A,216, A, , , ,
USGS,4193500, 1983-08-03,960, A,58, A,150, A, , , ,
USGS,4193500, 1983-08-04,870, A,57, A,134, A, , , ,
USGS,4193500, 1983-08-05,970, A,50, A,131, A, , , ,
USGS,4193500, 1983-08-06,950, A,45, A,115, A, , , ,
USGS,4193500, 1983-08-07,830, A,30, A,67, A, , , ,
USGS,4193500, 1983-08-08,660, A,25, A,45, A, , , ,
